year,nuts_id,nuts_year_spec,aps_econ_active_stem_associate_profs_data
2010,UKG2,2010,9500.0
2011,UKG2,2010,10500.0
2012,UKG2,2010,11800.0
2013,UKG2,2013,12100.0
2014,UKG2,2013,15800.0
2015,UKG2,2013,11000.0
2016,UKG2,2016,11300.0
2017,UKG2,2016,15000.0
2018,UKG2,2016,16200.0
2019,UKG2,2016,16100.0
2010,UKG3,2010,16700.0
2011,UKG3,2010,19600.0
2012,UKG3,2010,18900.0
2013,UKG3,2013,14200.0
2014,UKG3,2013,20700.0
2015,UKG3,2013,16100.0
2016,UKG3,2016,21500.0
2017,UKG3,2016,25600.0
2018,UKG3,2016,25900.0
2019,UKG3,2016,29700.0
2010,UKH1,2010,24300.0
2011,UKH1,2010,27800.0
2012,UKH1,2010,26200.0
2013,UKH1,2013,27000.0
2014,UKH1,2013,21900.0
2015,UKH1,2013,25800.0
2016,UKH1,2016,27000.0
2017,UKH1,2016,25300.0
2018,UKH1,2016,28800.0
2019,UKH1,2016,22700.0
2010,UKH2,2010,15000.0
2011,UKH2,2010,19600.0
2012,UKH2,2010,14600.0
2013,UKH2,2013,19300.0
2014,UKH2,2013,13800.0
2015,UKH2,2013,17300.0
2016,UKH2,2016,18100.0
2017,UKH2,2016,20300.0
2018,UKH2,2016,21400.0
2019,UKH2,2016,18800.0
2010,UKH3,2010,15900.0
2011,UKH3,2010,14400.0
2012,UKH3,2010,13500.0
2013,UKH3,2013,10500.0
2014,UKH3,2013,14800.0
2015,UKH3,2013,20400.0
2016,UKH3,2016,13200.0
2017,UKH3,2016,16100.0
2018,UKH3,2016,19000.0
2019,UKH3,2016,12400.0
2010,UKI1,2010,21400.0
2011,UKI1,2010,23500.0
2012,UKI1,2010,26200.0
2010,UKI2,2010,39800.0
2011,UKI2,2010,35900.0
2012,UKI2,2010,37400.0
2013,UKI3,2013,7100.0
2014,UKI3,2013,6400.0
2015,UKI3,2013,7100.0
2016,UKI3,2016,5100.0
2017,UKI3,2016,8100.0
2018,UKI3,2016,7700.0
2019,UKI3,2016,7100.0
2013,UKI4,2013,14200.0
2014,UKI4,2013,13400.0
2015,UKI4,2013,12800.0
2016,UKI4,2016,14100.0
2017,UKI4,2016,15000.0
2018,UKI4,2016,25000.0
2019,UKI4,2016,25700.0
2013,UKI5,2013,17000.0
2014,UKI5,2013,13500.0
2015,UKI5,2013,11700.0
2016,UKI5,2016,12300.0
2017,UKI5,2016,11200.0
2018,UKI5,2016,17600.0
2019,UKI5,2016,12100.0
2013,UKI6,2013,11300.0
2014,UKI6,2013,10800.0
2015,UKI6,2013,10700.0
2016,UKI6,2016,13200.0
2017,UKI6,2016,11100.0
2018,UKI6,2016,7700.0
2019,UKI6,2016,11000.0
2013,UKI7,2013,15100.0
2014,UKI7,2013,14100.0
2015,UKI7,2013,16700.0
2016,UKI7,2016,17200.0
2017,UKI7,2016,14900.0
2018,UKI7,2016,17500.0
2019,UKI7,2016,17400.0
2010,UKJ1,2010,28300.0
2011,UKJ1,2010,25200.0
2012,UKJ1,2010,24500.0
2013,UKJ1,2013,25300.0
2014,UKJ1,2013,32500.0
2015,UKJ1,2013,26500.0
2016,UKJ1,2016,30200.0
2017,UKJ1,2016,27600.0
2018,UKJ1,2016,36000.0
2019,UKJ1,2016,29300.0
2010,UKJ2,2010,19800.0
2011,UKJ2,2010,25300.0
2012,UKJ2,2010,28000.0
2013,UKJ2,2013,27700.0
2014,UKJ2,2013,20200.0
2015,UKJ2,2013,19300.0
2016,UKJ2,2016,25300.0
2017,UKJ2,2016,25700.0
2018,UKJ2,2016,22800.0
2019,UKJ2,2016,22200.0
2010,UKJ3,2010,13800.0
2011,UKJ3,2010,20000.0
2012,UKJ3,2010,19900.0
2013,UKJ3,2013,19700.0
2014,UKJ3,2013,22800.0
2015,UKJ3,2013,20500.0
2016,UKJ3,2016,16800.0
2017,UKJ3,2016,23400.0
2018,UKJ3,2016,23400.0
2019,UKJ3,2016,18100.0
2010,UKJ4,2010,14400.0
2011,UKJ4,2010,14600.0
2012,UKJ4,2010,16700.0
2013,UKJ4,2013,16700.0
2014,UKJ4,2013,14000.0
2015,UKJ4,2013,11800.0
2016,UKJ4,2016,13200.0
2017,UKJ4,2016,17100.0
2018,UKJ4,2016,17900.0
2019,UKJ4,2016,20600.0
2010,UKK1,2010,25000.0
2011,UKK1,2010,23000.0
2012,UKK1,2010,22600.0
2013,UKK1,2013,27000.0
2014,UKK1,2013,23000.0
2015,UKK1,2013,21900.0
2016,UKK1,2016,25000.0
2017,UKK1,2016,22300.0
2018,UKK1,2016,26600.0
2019,UKK1,2016,21900.0
2010,UKK2,2010,6600.0
2011,UKK2,2010,9800.0
2012,UKK2,2010,12600.0
2013,UKK2,2013,12900.0
2014,UKK2,2013,10000.0
2015,UKK2,2013,11500.0
2016,UKK2,2016,10000.0
2017,UKK2,2016,15100.0
2018,UKK2,2016,11600.0
2019,UKK2,2016,9700.0
2010,UKK3,2010,3400.0
2011,UKK3,2010,3700.0
2012,UKK3,2010,4400.0
2013,UKK3,2013,2500.0
2014,UKK3,2013,3500.0
2015,UKK3,2013,3100.0
2016,UKK3,2016,5300.0
2017,UKK3,2016,4700.0
2018,UKK3,2016,4100.0
2019,UKK3,2016,3100.0
2010,UKK4,2010,10000.0
2011,UKK4,2010,6400.0
2012,UKK4,2010,8600.0
2013,UKK4,2013,8000.0
2014,UKK4,2013,8900.0
2015,UKK4,2013,14600.0
2016,UKK4,2016,10800.0
2017,UKK4,2016,10200.0
2018,UKK4,2016,9600.0
2019,UKK4,2016,9100.0
2010,UKL1,2010,11800.0
2011,UKL1,2010,12000.0
2012,UKL1,2010,16600.0
2013,UKL1,2013,15200.0
2014,UKL1,2013,14300.0
2015,UKL1,2013,15100.0
2016,UKL1,2016,14400.0
2017,UKL1,2016,16600.0
2018,UKL1,2016,16400.0
2019,UKL1,2016,15400.0
2010,UKL2,2010,8900.0
2011,UKL2,2010,9700.0
2012,UKL2,2010,8400.0
2013,UKL2,2013,9900.0
2014,UKL2,2013,11900.0
2015,UKL2,2013,8200.0
2016,UKL2,2016,9000.0
2017,UKL2,2016,11400.0
2018,UKL2,2016,10700.0
2019,UKL2,2016,10400.0
2010,UKM2,2010,19500.0
2011,UKM2,2010,20200.0
2012,UKM2,2010,19400.0
2013,UKM2,2013,17500.0
2014,UKM2,2013,19200.0
2015,UKM2,2013,16900.0
2010,UKM3,2010,16600.0
2011,UKM3,2010,19300.0
2012,UKM3,2010,14900.0
2013,UKM3,2013,19600.0
2014,UKM3,2013,18700.0
2015,UKM3,2013,20000.0
2010,UKM5,2010,5400.0
2011,UKM5,2010,5800.0
2012,UKM5,2010,8500.0
2013,UKM5,2013,9200.0
2014,UKM5,2013,10300.0
2015,UKM5,2013,8000.0
2016,UKM5,2016,7400.0
2017,UKM5,2016,6900.0
2018,UKM5,2016,6300.0
2019,UKM5,2016,6000.0
2010,UKM6,2010,5300.0
2011,UKM6,2010,3900.0
2012,UKM6,2010,3900.0
2013,UKM6,2013,4300.0
2014,UKM6,2013,5400.0
2015,UKM6,2013,4300.0
2016,UKM6,2016,3700.0
2017,UKM6,2016,5800.0
2018,UKM6,2016,5100.0
2019,UKM6,2016,5100.0
2016,UKM7,2016,20200.0
2017,UKM7,2016,22500.0
2018,UKM7,2016,21000.0
2019,UKM7,2016,24000.0
2016,UKM8,2016,16900.0
2017,UKM8,2016,15900.0
2018,UKM8,2016,12400.0
2019,UKM8,2016,15400.0
2016,UKM9,2016,7500.0
2017,UKM9,2016,7200.0
2018,UKM9,2016,6700.0
2019,UKM9,2016,7800.0
