year,nuts_id,nuts_year_spec,aps_pro_occupations_data
2013,UKD44,2013,16.1
2014,UKD44,2013,20.5
2015,UKD44,2013,23.8
2016,UKD44,2016,20.1
2017,UKD44,2016,20.5
2018,UKD44,2016,19.3
2019,UKD44,2016,21.2
2013,UKD45,2013,18.2
2014,UKD45,2013,17.0
2015,UKD45,2013,15.3
2016,UKD45,2016,20.4
2017,UKD45,2016,16.9
2018,UKD45,2016,20.1
2019,UKD45,2016,17.3
2013,UKD46,2013,13.2
2014,UKD46,2013,14.6
2015,UKD46,2013,15.9
2016,UKD46,2016,16.3
2017,UKD46,2016,17.6
2018,UKD46,2016,15.1
2019,UKD46,2016,14.5
2013,UKD47,2013,19.8
2014,UKD47,2013,22.7
2015,UKD47,2013,17.3
2016,UKD47,2016,22.6
2017,UKD47,2016,16.8
2018,UKD47,2016,18.8
2019,UKD47,2016,16.9
2010,UKD61,2010,18.1
2011,UKD61,2010,20.4
2012,UKD61,2010,20.9
2013,UKD61,2013,24.1
2014,UKD61,2013,20.3
2015,UKD61,2013,21.6
2016,UKD61,2016,19.7
2017,UKD61,2016,19.5
2018,UKD61,2016,21.5
2019,UKD61,2016,24.5
2010,UKD62,2010,19.6
2011,UKD62,2010,25.7
2012,UKD62,2010,23.9
2013,UKD62,2013,21.0
2014,UKD62,2013,22.3
2015,UKD62,2013,22.8
2016,UKD62,2016,21.5
2017,UKD62,2016,23.0
2018,UKD62,2016,24.3
2019,UKD62,2016,23.0
2010,UKD63,2010,19.9
2011,UKD63,2010,17.0
2012,UKD63,2010,18.6
2013,UKD63,2013,19.7
2014,UKD63,2013,20.4
2015,UKD63,2013,18.6
2016,UKD63,2016,18.7
2017,UKD63,2016,21.3
2018,UKD63,2016,26.2
2019,UKD63,2016,21.4
2010,UKD71,2010,14.1
2011,UKD71,2010,14.7
2012,UKD71,2010,13.5
2013,UKD71,2013,14.5
2014,UKD71,2013,14.1
2015,UKD71,2013,14.6
2016,UKD71,2016,16.2
2017,UKD71,2016,15.7
2018,UKD71,2016,15.9
2019,UKD71,2016,17.0
2010,UKD72,2010,15.9
2011,UKD72,2010,17.7
2012,UKD72,2010,15.3
2013,UKD72,2013,19.9
2014,UKD72,2013,23.4
2015,UKD72,2013,22.8
2016,UKD72,2016,21.0
2017,UKD72,2016,21.5
2018,UKD72,2016,21.0
2019,UKD72,2016,22.2
2010,UKD73,2010,16.5
2011,UKD73,2010,19.1
2012,UKD73,2010,20.9
2013,UKD73,2013,18.8
2014,UKD73,2013,17.6
2015,UKD73,2013,18.6
2016,UKD73,2016,18.7
2017,UKD73,2016,18.9
2018,UKD73,2016,17.6
2019,UKD73,2016,19.0
2010,UKD74,2010,18.7
2011,UKD74,2010,17.0
2012,UKD74,2010,16.7
2013,UKD74,2013,16.3
2014,UKD74,2013,20.6
2015,UKD74,2013,22.1
2016,UKD74,2016,23.3
2017,UKD74,2016,20.1
2018,UKD74,2016,22.2
2019,UKD74,2016,20.0
2010,UKE11,2010,13.8
2011,UKE11,2010,13.7
2012,UKE11,2010,13.8
2013,UKE11,2013,13.0
2014,UKE11,2013,13.5
2015,UKE11,2013,15.4
2016,UKE11,2016,17.2
2017,UKE11,2016,13.5
2018,UKE11,2016,12.7
2019,UKE11,2016,14.1
2010,UKE12,2010,19.4
2011,UKE12,2010,19.1
2012,UKE12,2010,17.8
2013,UKE12,2013,19.3
2014,UKE12,2013,16.9
2015,UKE12,2013,18.4
2016,UKE12,2016,19.4
2017,UKE12,2016,19.7
2018,UKE12,2016,19.2
2019,UKE12,2016,19.0
2010,UKE13,2010,13.2
2011,UKE13,2010,11.0
2012,UKE13,2010,12.4
2013,UKE13,2013,12.1
2014,UKE13,2013,12.1
2015,UKE13,2013,12.1
2016,UKE13,2016,13.4
2017,UKE13,2016,13.4
2018,UKE13,2016,11.4
2019,UKE13,2016,13.4
2010,UKE21,2010,22.8
2011,UKE21,2010,22.5
2012,UKE21,2010,23.2
2013,UKE21,2013,22.6
2014,UKE21,2013,21.4
2015,UKE21,2013,22.9
2016,UKE21,2016,22.6
2017,UKE21,2016,26.6
2018,UKE21,2016,23.1
2019,UKE21,2016,23.5
2010,UKE22,2010,16.9
2011,UKE22,2010,17.6
2012,UKE22,2010,16.3
2013,UKE22,2013,19.5
2014,UKE22,2013,17.4
2015,UKE22,2013,17.6
2016,UKE22,2016,16.8
2017,UKE22,2016,16.1
2018,UKE22,2016,17.9
2019,UKE22,2016,20.0
2010,UKE31,2010,13.9
2011,UKE31,2010,12.5
2012,UKE31,2010,13.7
2013,UKE31,2013,14.1
2014,UKE31,2013,13.4
2015,UKE31,2013,12.7
2016,UKE31,2016,15.1
2017,UKE31,2016,14.8
2018,UKE31,2016,13.9
2019,UKE31,2016,14.0
2010,UKE32,2010,22.1
2011,UKE32,2010,23.0
2012,UKE32,2010,22.9
2013,UKE32,2013,23.3
2014,UKE32,2013,24.4
2015,UKE32,2013,24.2
2016,UKE32,2016,21.5
2017,UKE32,2016,24.6
2018,UKE32,2016,29.2
2019,UKE32,2016,27.0
2010,UKE41,2010,13.8
2011,UKE41,2010,13.0
2012,UKE41,2010,16.0
2013,UKE41,2013,17.4
2014,UKE41,2013,14.8
2015,UKE41,2013,15.9
2016,UKE41,2016,17.1
2017,UKE41,2016,16.5
2018,UKE41,2016,17.7
2019,UKE41,2016,16.9
2010,UKE42,2010,18.6
2011,UKE42,2010,20.9
2012,UKE42,2010,19.3
2013,UKE42,2013,21.7
2014,UKE42,2013,20.6
2015,UKE42,2013,20.5
2016,UKE42,2016,21.3
2017,UKE42,2016,21.6
2018,UKE42,2016,20.5
2019,UKE42,2016,23.2
2010,UKE44,2010,19.5
2011,UKE44,2010,17.6
2012,UKE44,2010,19.1
2013,UKE44,2013,19.5
2014,UKE44,2013,19.4
2015,UKE44,2013,20.1
2016,UKE44,2016,19.4
2017,UKE44,2016,17.7
2018,UKE44,2016,17.4
2019,UKE44,2016,19.8
2010,UKE45,2010,11.0
2011,UKE45,2010,11.1
2012,UKE45,2010,11.5
2013,UKE45,2013,12.5
2014,UKE45,2013,13.1
2015,UKE45,2013,11.9
2016,UKE45,2016,15.0
2017,UKE45,2016,17.1
2018,UKE45,2016,15.8
2019,UKE45,2016,15.9
2010,UKF11,2010,19.3
2011,UKF11,2010,19.8
2012,UKF11,2010,17.5
2013,UKF11,2013,16.0
2014,UKF11,2013,16.7
2015,UKF11,2013,20.0
2016,UKF11,2016,20.3
2017,UKF11,2016,18.5
2018,UKF11,2016,20.5
2019,UKF11,2016,19.9
2010,UKF12,2010,14.6
2011,UKF12,2010,16.1
2012,UKF12,2010,21.1
2013,UKF12,2013,19.9
2014,UKF12,2013,17.1
2015,UKF12,2013,16.2
2016,UKF12,2016,19.3
2017,UKF12,2016,13.9
2018,UKF12,2016,15.7
2019,UKF12,2016,15.1
2010,UKF13,2010,19.0
2011,UKF13,2010,18.7
2012,UKF13,2010,15.0
2013,UKF13,2013,19.0
2014,UKF13,2013,19.0
2015,UKF13,2013,21.9
2016,UKF13,2016,19.7
2017,UKF13,2016,22.1
2018,UKF13,2016,18.8
2019,UKF13,2016,19.6
2010,UKF14,2010,17.8
2011,UKF14,2010,17.4
2012,UKF14,2010,16.7
2013,UKF14,2013,18.0
2014,UKF14,2013,17.9
2015,UKF14,2013,19.9
2016,UKF14,2016,16.0
2017,UKF14,2016,17.3
2018,UKF14,2016,17.1
2019,UKF14,2016,18.8
2010,UKF15,2010,11.4
2011,UKF15,2010,11.5
2012,UKF15,2010,12.8
2013,UKF15,2013,14.0
2014,UKF15,2013,11.5
2015,UKF15,2013,13.1
2016,UKF15,2016,12.2
2017,UKF15,2016,9.5
2018,UKF15,2016,13.5
2019,UKF15,2016,14.1
2010,UKF16,2010,22.8
2011,UKF16,2010,24.1
2012,UKF16,2010,21.9
2013,UKF16,2013,28.5
2014,UKF16,2013,27.8
2015,UKF16,2013,27.3
2016,UKF16,2016,25.9
2017,UKF16,2016,20.5
2018,UKF16,2016,20.8
2019,UKF16,2016,26.5
2010,UKF21,2010,12.0
2011,UKF21,2010,14.6
2012,UKF21,2010,16.4
2013,UKF21,2013,15.3
2014,UKF21,2013,16.4
2015,UKF21,2013,16.6
2016,UKF21,2016,12.6
2017,UKF21,2016,16.5
2018,UKF21,2016,17.2
2019,UKF21,2016,18.5
2010,UKF22,2010,18.6
2011,UKF22,2010,18.6
2012,UKF22,2010,17.4
2013,UKF22,2013,19.4
2014,UKF22,2013,18.1
2015,UKF22,2013,20.9
2016,UKF22,2016,18.9
2017,UKF22,2016,16.5
2018,UKF22,2016,16.5
2019,UKF22,2016,20.2
2010,UKF24,2010,14.8
2011,UKF24,2010,17.0
2012,UKF24,2010,15.2
2013,UKF24,2013,18.7
2014,UKF24,2013,22.0
2015,UKF24,2013,19.2
2016,UKF24,2016,17.2
2017,UKF24,2016,22.6
2018,UKF24,2016,23.5
2019,UKF24,2016,19.9
2010,UKF25,2010,15.2
2011,UKF25,2010,14.9
2012,UKF25,2010,15.3
2013,UKF25,2013,15.8
2014,UKF25,2013,16.2
2015,UKF25,2013,15.1
2016,UKF25,2016,16.5
2017,UKF25,2016,13.1
2018,UKF25,2016,17.2
2019,UKF25,2016,13.7
2010,UKF30,2010,14.8
2011,UKF30,2010,14.4
2012,UKF30,2010,17.6
2013,UKF30,2013,13.9
2014,UKF30,2013,14.7
2015,UKF30,2013,14.2
2016,UKF30,2016,13.1
2017,UKF30,2016,15.8
2018,UKF30,2016,14.9
2019,UKF30,2016,15.8
2010,UKG11,2010,15.0
2011,UKG11,2010,14.6
2012,UKG11,2010,15.0
2013,UKG11,2013,17.0
2014,UKG11,2013,15.7
2015,UKG11,2013,14.7
2016,UKG11,2016,13.7
2017,UKG11,2016,16.6
2018,UKG11,2016,15.5
2019,UKG11,2016,17.1
2010,UKG12,2010,19.2
2011,UKG12,2010,20.4
2012,UKG12,2010,19.3
2013,UKG12,2013,19.9
2014,UKG12,2013,22.9
2015,UKG12,2013,18.6
2016,UKG12,2016,21.3
2017,UKG12,2016,21.3
2018,UKG12,2016,20.3
2019,UKG12,2016,19.4
2010,UKG13,2010,18.6
2011,UKG13,2010,18.7
2012,UKG13,2010,21.0
2013,UKG13,2013,23.2
2014,UKG13,2013,21.8
2015,UKG13,2013,22.5
2016,UKG13,2016,19.1
2017,UKG13,2016,19.8
2018,UKG13,2016,21.4
2019,UKG13,2016,22.4
2010,UKG21,2010,15.0
2011,UKG21,2010,17.2
2012,UKG21,2010,17.7
2013,UKG21,2013,18.4
2014,UKG21,2013,17.0
2015,UKG21,2013,14.4
2016,UKG21,2016,15.7
2017,UKG21,2016,17.8
2018,UKG21,2016,16.6
2019,UKG21,2016,17.9
2010,UKG22,2010,16.7
2011,UKG22,2010,17.2
2012,UKG22,2010,14.3
2013,UKG22,2013,16.5
2014,UKG22,2013,18.6
2015,UKG22,2013,16.7
2016,UKG22,2016,15.1
2017,UKG22,2016,14.7
2018,UKG22,2016,18.1
2019,UKG22,2016,19.7
2010,UKG23,2010,13.4
2011,UKG23,2010,12.0
2012,UKG23,2010,13.9
2013,UKG23,2013,14.0
2014,UKG23,2013,12.8
2015,UKG23,2013,12.9
2016,UKG23,2016,11.1
2017,UKG23,2016,12.6
2018,UKG23,2016,12.1
2019,UKG23,2016,14.4
2010,UKG24,2010,14.3
2011,UKG24,2010,18.1
2012,UKG24,2010,18.2
2013,UKG24,2013,15.9
2014,UKG24,2013,17.2
2015,UKG24,2013,17.9
2016,UKG24,2016,17.1
2017,UKG24,2016,16.9
2018,UKG24,2016,19.1
2019,UKG24,2016,20.9
2010,UKG31,2010,19.2
2011,UKG31,2010,19.3
2012,UKG31,2010,17.9
2013,UKG31,2013,18.5
2014,UKG31,2013,19.2
2015,UKG31,2013,20.6
2016,UKG31,2016,20.9
2017,UKG31,2016,19.2
2018,UKG31,2016,21.2
2019,UKG31,2016,20.4
2010,UKG32,2010,19.3
2011,UKG32,2010,24.2
2012,UKG32,2010,24.3
2013,UKG32,2013,21.3
2014,UKG32,2013,23.1
2015,UKG32,2013,23.8
2016,UKG32,2016,23.8
2017,UKG32,2016,24.7
2018,UKG32,2016,25.4
2019,UKG32,2016,26.2
2010,UKG33,2010,19.9
2011,UKG33,2010,19.6
2012,UKG33,2010,15.7
2013,UKG33,2013,17.8
2014,UKG33,2013,20.4
2015,UKG33,2013,17.0
2016,UKG33,2016,17.3
2017,UKG33,2016,20.4
2018,UKG33,2016,20.7
2019,UKG33,2016,22.1
2010,UKG36,2010,16.1
2011,UKG36,2010,16.9
2012,UKG36,2010,15.9
2013,UKG36,2013,15.1
2014,UKG36,2013,14.9
2015,UKG36,2013,14.6
2016,UKG36,2016,16.2
2017,UKG36,2016,13.4
2018,UKG36,2016,16.0
2019,UKG36,2016,17.6
2010,UKG37,2010,12.6
2011,UKG37,2010,12.0
2012,UKG37,2010,11.9
2013,UKG37,2013,12.1
2014,UKG37,2013,10.1
2015,UKG37,2013,13.1
2016,UKG37,2016,10.8
2017,UKG37,2016,13.3
2018,UKG37,2016,14.1
2019,UKG37,2016,12.9
2010,UKG38,2010,13.1
2011,UKG38,2010,13.7
2012,UKG38,2010,14.6
2013,UKG38,2013,15.0
2014,UKG38,2013,15.6
2015,UKG38,2013,12.2
2016,UKG38,2016,15.4
2017,UKG38,2016,15.6
2018,UKG38,2016,16.5
2019,UKG38,2016,15.4
2010,UKG39,2010,14.0
2011,UKG39,2010,14.6
2012,UKG39,2010,13.6
2013,UKG39,2013,12.5
2014,UKG39,2013,13.5
2015,UKG39,2013,11.3
2016,UKG39,2016,12.7
2017,UKG39,2016,13.4
2018,UKG39,2016,15.0
2019,UKG39,2016,16.7
2010,UKH11,2010,14.3
2011,UKH11,2010,14.2
2012,UKH11,2010,16.0
2013,UKH11,2013,14.7
2014,UKH11,2013,14.6
2015,UKH11,2013,15.6
2016,UKH11,2016,14.0
2017,UKH11,2016,16.3
2018,UKH11,2016,17.3
2019,UKH11,2016,18.1
2010,UKH12,2010,25.3
2011,UKH12,2010,26.4
2012,UKH12,2010,27.4
2013,UKH12,2013,27.5
2014,UKH12,2013,24.1
2015,UKH12,2013,25.1
2016,UKH12,2016,26.2
2017,UKH12,2016,24.4
2018,UKH12,2016,27.6
2019,UKH12,2016,27.1
2010,UKH13,2010,15.3
2011,UKH13,2010,14.8
2012,UKH13,2010,17.0
2010,UKH14,2010,16.5
2011,UKH14,2010,17.0
2012,UKH14,2010,16.8
2013,UKH14,2013,15.7
2014,UKH14,2013,16.5
2015,UKH14,2013,16.2
2016,UKH14,2016,17.6
2017,UKH14,2016,15.6
2018,UKH14,2016,17.6
2019,UKH14,2016,20.7
2013,UKH15,2013,18.9
2014,UKH15,2013,15.8
2015,UKH15,2013,17.6
2016,UKH15,2016,18.5
2017,UKH15,2016,18.8
2018,UKH15,2016,17.4
2019,UKH15,2016,14.3
2013,UKH16,2013,13.5
2014,UKH16,2013,13.0
2015,UKH16,2013,13.6
2016,UKH16,2016,15.0
2017,UKH16,2016,15.2
2018,UKH16,2016,16.8
2019,UKH16,2016,15.2
2013,UKH17,2013,13.7
2014,UKH17,2013,14.9
2015,UKH17,2013,16.5
2016,UKH17,2016,20.5
2017,UKH17,2016,24.2
2018,UKH17,2016,17.6
2019,UKH17,2016,15.3
2010,UKH21,2010,12.6
2011,UKH21,2010,12.3
2012,UKH21,2010,17.8
2013,UKH21,2013,17.0
2014,UKH21,2013,17.0
2015,UKH21,2013,15.2
2016,UKH21,2016,18.1
2017,UKH21,2016,14.8
2018,UKH21,2016,16.7
2019,UKH21,2016,16.4
2010,UKH23,2010,23.2
2011,UKH23,2010,23.5
2012,UKH23,2010,21.6
2013,UKH23,2013,23.6
2014,UKH23,2013,24.0
2015,UKH23,2013,21.9
2016,UKH23,2016,23.0
2017,UKH23,2016,23.4
2018,UKH23,2016,22.2
2019,UKH23,2016,24.9
2010,UKH24,2010,22.4
2011,UKH24,2010,18.8
2012,UKH24,2010,25.7
2013,UKH24,2013,22.8
2014,UKH24,2013,24.6
2015,UKH24,2013,22.4
2016,UKH24,2016,23.5
2017,UKH24,2016,24.2
2018,UKH24,2016,23.7
2019,UKH24,2016,23.1
2010,UKH25,2010,19.0
2011,UKH25,2010,20.9
2012,UKH25,2010,16.0
2013,UKH25,2013,18.3
2014,UKH25,2013,21.4
2015,UKH25,2013,22.4
2016,UKH25,2016,18.0
2017,UKH25,2016,18.9
2018,UKH25,2016,19.4
2019,UKH25,2016,21.7
2010,UKH31,2010,17.4
2011,UKH31,2010,18.4
2012,UKH31,2010,22.0
2013,UKH31,2013,20.6
2014,UKH31,2013,21.3
2015,UKH31,2013,19.9
2016,UKH31,2016,20.4
2017,UKH31,2016,21.1
2018,UKH31,2016,19.4
2019,UKH31,2016,21.1
2010,UKH32,2010,12.6
2011,UKH32,2010,11.1
2012,UKH32,2010,14.4
2013,UKH32,2013,14.8
2014,UKH32,2013,14.0
2015,UKH32,2013,13.5
2016,UKH32,2016,14.2
2017,UKH32,2016,13.1
2018,UKH32,2016,13.1
2019,UKH32,2016,17.7
2010,UKH33,2010,17.6
2011,UKH33,2010,17.0
2012,UKH33,2010,16.4
2013,UKH34,2013,18.0
2014,UKH34,2013,15.7
2015,UKH34,2013,13.2
2016,UKH34,2016,15.5
2017,UKH34,2016,15.5
2018,UKH34,2016,16.2
2019,UKH34,2016,19.1
2013,UKH35,2013,20.6
2014,UKH35,2013,19.8
2015,UKH35,2013,17.6
2016,UKH35,2016,18.5
2017,UKH35,2016,14.7
2018,UKH35,2016,16.4
2019,UKH35,2016,22.9
2013,UKH36,2013,17.6
2014,UKH36,2013,20.9
2015,UKH36,2013,20.6
2016,UKH36,2016,22.6
2017,UKH36,2016,17.1
2018,UKH36,2016,19.2
2019,UKH36,2016,22.7
2013,UKH37,2013,20.2
2014,UKH37,2013,17.7
2015,UKH37,2013,18.2
2016,UKH37,2016,19.2
2017,UKH37,2016,19.2
2018,UKH37,2016,18.2
2019,UKH37,2016,16.5
2010,UKI11,2010,30.2
2011,UKI11,2010,29.1
2012,UKI11,2010,29.7
2010,UKI12,2010,24.1
2011,UKI12,2010,26.5
2012,UKI12,2010,26.8
2010,UKI21,2010,20.0
2011,UKI21,2010,19.3
2012,UKI21,2010,19.4
2010,UKI22,2010,24.6
2011,UKI22,2010,24.9
2012,UKI22,2010,23.7
2010,UKI23,2010,22.4
2011,UKI23,2010,25.0
2012,UKI23,2010,23.6
2013,UKI31,2013,35.5
2014,UKI31,2013,32.2
2015,UKI31,2013,36.5
2016,UKI31,2016,38.1
2017,UKI31,2016,32.4
2018,UKI31,2016,29.7
2019,UKI31,2016,32.9
2013,UKI32,2013,26.6
2014,UKI32,2013,28.3
2015,UKI32,2013,23.4
2016,UKI32,2016,23.9
2017,UKI32,2016,27.8
2018,UKI32,2016,31.9
2019,UKI32,2016,30.8
2013,UKI33,2013,26.9
2014,UKI33,2013,24.2
2015,UKI33,2013,27.8
2016,UKI33,2016,26.0
2017,UKI33,2016,25.5
2018,UKI33,2016,23.8
2019,UKI33,2016,25.2
2013,UKI34,2013,30.5
2014,UKI34,2013,30.4
2015,UKI34,2013,28.5
2016,UKI34,2016,29.2
2017,UKI34,2016,30.5
2018,UKI34,2016,29.3
2019,UKI34,2016,34.7
2013,UKI41,2013,21.2
2014,UKI41,2013,20.6
2015,UKI41,2013,18.3
2016,UKI41,2016,22.0
2017,UKI41,2016,25.1
2018,UKI41,2016,25.3
2019,UKI41,2016,26.4
2013,UKI42,2013,26.0
2014,UKI42,2013,23.0
2015,UKI42,2013,25.5
2016,UKI42,2016,26.7
2017,UKI42,2016,25.9
2018,UKI42,2016,27.0
2019,UKI42,2016,28.9
2013,UKI43,2013,34.0
2014,UKI43,2013,29.5
2015,UKI43,2013,28.0
2016,UKI43,2016,29.0
2017,UKI43,2016,30.0
2018,UKI43,2016,30.7
2019,UKI43,2016,29.1
2013,UKI44,2013,25.2
2014,UKI44,2013,27.6
2015,UKI44,2013,24.1
2016,UKI44,2016,27.2
2017,UKI44,2016,28.1
2018,UKI44,2016,30.4
2019,UKI44,2016,27.9
2013,UKI45,2013,32.8
2014,UKI45,2013,28.4
2015,UKI45,2013,31.3
2016,UKI45,2016,26.9
2017,UKI45,2016,31.8
2018,UKI45,2016,29.4
2019,UKI45,2016,29.2
2013,UKI51,2013,21.0
2014,UKI51,2013,17.7
2015,UKI51,2013,18.9
2016,UKI51,2016,21.7
2017,UKI51,2016,23.2
2018,UKI51,2016,25.7
2019,UKI51,2016,24.4
2013,UKI52,2013,16.0
2014,UKI52,2013,15.1
2015,UKI52,2013,16.4
2016,UKI52,2016,18.0
2017,UKI52,2016,17.9
2018,UKI52,2016,16.6
2019,UKI52,2016,16.8
2013,UKI53,2013,23.5
2014,UKI53,2013,21.6
2015,UKI53,2013,21.9
2016,UKI53,2016,22.8
2017,UKI53,2016,21.3
2018,UKI53,2016,25.3
2019,UKI53,2016,24.7
2013,UKI54,2013,21.8
2014,UKI54,2013,23.6
2015,UKI54,2013,22.0
2016,UKI54,2016,24.2
2017,UKI54,2016,23.4
2018,UKI54,2016,24.9
2019,UKI54,2016,20.7
2013,UKI61,2013,25.1
2014,UKI61,2013,25.1
2015,UKI61,2013,27.9
2016,UKI61,2016,28.2
2017,UKI61,2016,26.7
2018,UKI61,2016,27.7
2019,UKI61,2016,25.5
2013,UKI62,2013,21.0
2014,UKI62,2013,16.9
2015,UKI62,2013,21.0
2016,UKI62,2016,23.9
2017,UKI62,2016,25.4
2018,UKI62,2016,26.6
2019,UKI62,2016,22.4
2013,UKI63,2013,26.6
2014,UKI63,2013,27.2
2015,UKI63,2013,26.0
2016,UKI63,2016,27.1
2017,UKI63,2016,27.5
2018,UKI63,2016,25.4
2019,UKI63,2016,25.4
2013,UKI71,2013,26.9
2014,UKI71,2013,21.6
2015,UKI71,2013,26.2
2016,UKI71,2016,27.5
2017,UKI71,2016,28.0
2018,UKI71,2016,29.2
2019,UKI71,2016,30.1
2013,UKI72,2013,18.3
2014,UKI72,2013,18.6
2015,UKI72,2013,18.0
2016,UKI72,2016,18.7
2017,UKI72,2016,19.4
2018,UKI72,2016,18.9
2019,UKI72,2016,30.8
2013,UKI73,2013,19.7
2014,UKI73,2013,20.0
2015,UKI73,2013,19.9
2016,UKI73,2016,23.6
2017,UKI73,2016,25.0
2018,UKI73,2016,23.9
2019,UKI73,2016,28.1
2013,UKI74,2013,22.4
2014,UKI74,2013,23.6
2015,UKI74,2013,23.5
2016,UKI74,2016,23.5
2017,UKI74,2016,22.7
2018,UKI74,2016,21.3
2019,UKI74,2016,22.5
2013,UKI75,2013,24.4
2014,UKI75,2013,24.6
2015,UKI75,2013,25.5
2016,UKI75,2016,25.7
2017,UKI75,2016,21.7
2018,UKI75,2016,27.5
2019,UKI75,2016,26.1
2010,UKJ11,2010,22.3
2011,UKJ11,2010,20.7
2012,UKJ11,2010,21.6
2013,UKJ11,2013,23.2
2014,UKJ11,2013,23.7
2015,UKJ11,2013,24.2
2016,UKJ11,2016,26.1
2017,UKJ11,2016,23.8
2018,UKJ11,2016,24.8
