year,nuts_id,nuts_year_spec,aps_nvq4_education_data
2015,UKD36,2013,32.2
2016,UKD36,2016,33.9
2017,UKD36,2016,34.3
2018,UKD36,2016,35.5
2019,UKD36,2016,33.6
2013,UKD37,2013,31.6
2014,UKD37,2013,32.1
2015,UKD37,2013,35.7
2016,UKD37,2016,35.3
2017,UKD37,2016,35.9
2018,UKD37,2016,35.5
2019,UKD37,2016,36.0
2012,UKD41,2010,28.0
2013,UKD41,2013,30.6
2014,UKD41,2013,29.2
2015,UKD41,2013,31.9
2016,UKD41,2016,34.7
2017,UKD41,2016,33.4
2018,UKD41,2016,35.2
2019,UKD41,2016,36.0
2012,UKD42,2010,26.8
2013,UKD42,2013,25.2
2014,UKD42,2013,25.5
2015,UKD42,2013,25.2
2016,UKD42,2016,29.9
2017,UKD42,2016,27.1
2018,UKD42,2016,32.5
2019,UKD42,2016,32.2
2012,UKD43,2010,36.6
2013,UKD44,2013,31.1
2014,UKD44,2013,32.7
2015,UKD44,2013,40.0
2016,UKD44,2016,38.4
2017,UKD44,2016,36.7
2018,UKD44,2016,41.1
2019,UKD44,2016,40.0
2013,UKD45,2013,36.3
2014,UKD45,2013,33.5
2015,UKD45,2013,35.1
2016,UKD45,2016,39.2
2017,UKD45,2016,38.1
2018,UKD45,2016,45.9
2019,UKD45,2016,45.1
2013,UKD46,2013,29.8
2014,UKD46,2013,30.2
2015,UKD46,2013,34.2
2016,UKD46,2016,33.7
2017,UKD46,2016,37.4
2018,UKD46,2016,30.9
2019,UKD46,2016,31.7
2013,UKD47,2013,38.4
2014,UKD47,2013,40.7
2015,UKD47,2013,36.2
2016,UKD47,2016,40.8
2017,UKD47,2016,33.7
2018,UKD47,2016,42.7
2019,UKD47,2016,35.2
2012,UKD61,2010,38.1
2013,UKD61,2013,40.6
2014,UKD61,2013,41.3
2015,UKD61,2013,46.0
2016,UKD61,2016,42.0
2017,UKD61,2016,46.4
2018,UKD61,2016,44.0
2019,UKD61,2016,46.0
2012,UKD62,2010,42.6
2013,UKD62,2013,46.0
2014,UKD62,2013,43.8
2015,UKD62,2013,44.0
2016,UKD62,2016,43.6
2017,UKD62,2016,51.1
2018,UKD62,2016,49.2
2019,UKD62,2016,44.6
2012,UKD63,2010,35.0
2013,UKD63,2013,40.3
2014,UKD63,2013,40.4
2015,UKD63,2013,43.3
2016,UKD63,2016,46.2
2017,UKD63,2016,48.0
2018,UKD63,2016,47.6
2019,UKD63,2016,49.1
2012,UKD71,2010,27.0
2013,UKD71,2013,27.5
2014,UKD71,2013,29.1
2015,UKD71,2013,27.7
2016,UKD71,2016,29.4
2017,UKD71,2016,29.7
2018,UKD71,2016,32.3
2019,UKD71,2016,34.7
2012,UKD72,2010,29.1
2013,UKD72,2013,33.5
2014,UKD72,2013,33.6
2015,UKD72,2013,36.8
2016,UKD72,2016,39.7
2017,UKD72,2016,42.0
2018,UKD72,2016,44.3
2019,UKD72,2016,47.2
2012,UKD73,2010,32.5
2013,UKD73,2013,35.8
2014,UKD73,2013,32.6
2015,UKD73,2013,35.1
2016,UKD73,2016,37.5
2017,UKD73,2016,37.6
2018,UKD73,2016,35.0
2019,UKD73,2016,39.0
2012,UKD74,2010,34.6
2013,UKD74,2013,34.1
2014,UKD74,2013,36.8
2015,UKD74,2013,38.4
2016,UKD74,2016,42.8
2017,UKD74,2016,36.3
2018,UKD74,2016,39.4
2019,UKD74,2016,40.3
2012,UKE11,2010,27.4
2013,UKE11,2013,25.6
2014,UKE11,2013,25.1
2015,UKE11,2013,25.7
2016,UKE11,2016,32.6
2017,UKE11,2016,29.9
2018,UKE11,2016,25.9
2019,UKE11,2016,30.1
2012,UKE12,2010,34.6
2013,UKE12,2013,35.6
2014,UKE12,2013,39.2
2015,UKE12,2013,38.3
2016,UKE12,2016,39.4
2017,UKE12,2016,39.5
2018,UKE12,2016,37.1
2019,UKE12,2016,37.9
2012,UKE13,2010,25.5
2013,UKE13,2013,24.9
2014,UKE13,2013,25.3
2015,UKE13,2013,29.2
2016,UKE13,2016,29.1
2017,UKE13,2016,27.8
2018,UKE13,2016,25.6
2019,UKE13,2016,29.9
2012,UKE21,2010,42.9
2013,UKE21,2013,44.9
2014,UKE21,2013,45.5
2015,UKE21,2013,45.2
2016,UKE21,2016,45.9
2017,UKE21,2016,53.6
2018,UKE21,2016,51.9
2019,UKE21,2016,54.4
2012,UKE22,2010,39.8
2013,UKE22,2013,41.4
2014,UKE22,2013,39.2
2015,UKE22,2013,39.5
2016,UKE22,2016,38.0
2017,UKE22,2016,37.5
2018,UKE22,2016,42.6
2019,UKE22,2016,40.9
2012,UKE31,2010,26.6
2013,UKE31,2013,25.5
2014,UKE31,2013,26.7
2015,UKE31,2013,27.5
2016,UKE31,2016,29.3
2017,UKE31,2016,30.1
2018,UKE31,2016,27.8
2019,UKE31,2016,29.9
2012,UKE32,2010,39.1
2013,UKE32,2013,41.1
2014,UKE32,2013,39.5
2015,UKE32,2013,39.8
2016,UKE32,2016,43.3
2017,UKE32,2016,46.5
2018,UKE32,2016,51.1
2019,UKE32,2016,52.5
2012,UKE41,2010,30.7
2013,UKE41,2013,28.8
2014,UKE41,2013,30.3
2015,UKE41,2013,32.8
2016,UKE41,2016,30.9
2017,UKE41,2016,31.1
2018,UKE41,2016,33.2
2019,UKE41,2016,30.7
2012,UKE42,2010,38.9
2013,UKE42,2013,39.2
2014,UKE42,2013,39.8
2015,UKE42,2013,37.9
2016,UKE42,2016,39.3
2017,UKE42,2016,40.7
2018,UKE42,2016,43.3
2019,UKE42,2016,45.5
2012,UKE44,2010,35.6
2013,UKE44,2013,35.8
2014,UKE44,2013,34.4
2015,UKE44,2013,37.4
2016,UKE44,2016,34.7
2017,UKE44,2016,38.3
2018,UKE44,2016,38.3
2019,UKE44,2016,38.4
2012,UKE45,2010,23.9
2013,UKE45,2013,23.2
2014,UKE45,2013,24.5
2015,UKE45,2013,26.7
2016,UKE45,2016,28.4
2017,UKE45,2016,31.8
2018,UKE45,2016,28.7
2019,UKE45,2016,30.8
2012,UKF11,2010,31.7
2013,UKF11,2013,30.8
2014,UKF11,2013,34.2
2015,UKF11,2013,36.9
2016,UKF11,2016,38.1
2017,UKF11,2016,39.1
2018,UKF11,2016,39.9
2019,UKF11,2016,38.8
2012,UKF12,2010,33.5
2013,UKF12,2013,30.8
2014,UKF12,2013,30.3
2015,UKF12,2013,29.1
2016,UKF12,2016,34.3
2017,UKF12,2016,31.0
2018,UKF12,2016,35.9
2019,UKF12,2016,30.7
2012,UKF13,2010,33.6
2013,UKF13,2013,34.2
2014,UKF13,2013,38.6
2015,UKF13,2013,42.1
2016,UKF13,2016,38.1
2017,UKF13,2016,39.5
2018,UKF13,2016,40.2
2019,UKF13,2016,40.4
2012,UKF14,2010,34.1
2013,UKF14,2013,35.9
2014,UKF14,2013,36.9
2015,UKF14,2013,40.3
2016,UKF14,2016,36.6
2017,UKF14,2016,38.0
2018,UKF14,2016,38.8
2019,UKF14,2016,42.7
2012,UKF15,2010,27.8
2013,UKF15,2013,24.8
2014,UKF15,2013,26.9
2015,UKF15,2013,29.5
2016,UKF15,2016,27.2
2017,UKF15,2016,25.7
2018,UKF15,2016,26.2
2019,UKF15,2016,26.0
2012,UKF16,2010,40.1
2013,UKF16,2013,46.1
2014,UKF16,2013,45.1
2015,UKF16,2013,48.1
2016,UKF16,2016,44.0
2017,UKF16,2016,42.5
2018,UKF16,2016,48.0
2019,UKF16,2016,51.4
2012,UKF21,2010,30.9
2013,UKF21,2013,33.2
2014,UKF21,2013,35.8
2015,UKF21,2013,35.0
2016,UKF21,2016,30.0
2017,UKF21,2016,34.1
2018,UKF21,2016,34.8
2019,UKF21,2016,39.2
2012,UKF22,2010,33.5
2013,UKF22,2013,36.2
2014,UKF22,2013,35.9
2015,UKF22,2013,38.6
2016,UKF22,2016,39.1
2017,UKF22,2016,39.4
2018,UKF22,2016,42.6
2019,UKF22,2016,43.2
2012,UKF24,2010,32.2
2013,UKF24,2013,36.0
2014,UKF24,2013,38.7
2015,UKF24,2013,34.8
2016,UKF24,2016,36.9
2017,UKF24,2016,41.8
2018,UKF24,2016,39.9
2019,UKF24,2016,40.9
2012,UKF25,2010,29.0
2013,UKF25,2013,31.1
2014,UKF25,2013,28.7
2015,UKF25,2013,28.2
2016,UKF25,2016,31.7
2017,UKF25,2016,32.3
2018,UKF25,2016,31.6
2019,UKF25,2016,27.8
2012,UKF30,2010,28.8
2013,UKF30,2013,29.9
2014,UKF30,2013,28.3
2015,UKF30,2013,30.9
2016,UKF30,2016,31.1
2017,UKF30,2016,31.7
2018,UKF30,2016,33.1
2019,UKF30,2016,33.2
2012,UKG11,2010,34.0
2013,UKG11,2013,33.2
2014,UKG11,2013,35.7
2015,UKG11,2013,36.2
2016,UKG11,2016,34.0
2017,UKG11,2016,37.5
2018,UKG11,2016,36.9
2019,UKG11,2016,37.4
2012,UKG12,2010,36.1
2013,UKG12,2013,38.5
2014,UKG12,2013,39.3
2015,UKG12,2013,40.6
2016,UKG12,2016,43.3
2017,UKG12,2016,39.4
2018,UKG12,2016,38.8
2019,UKG12,2016,40.0
2012,UKG13,2010,39.8
2013,UKG13,2013,41.1
2014,UKG13,2013,39.8
2015,UKG13,2013,45.6
2016,UKG13,2016,41.3
2017,UKG13,2016,42.6
2018,UKG13,2016,42.7
2019,UKG13,2016,46.6
2012,UKG21,2010,29.6
2013,UKG21,2013,30.8
2014,UKG21,2013,29.1
2015,UKG21,2013,30.0
2016,UKG21,2016,33.7
2017,UKG21,2016,32.7
2018,UKG21,2016,33.8
2019,UKG21,2016,31.2
2012,UKG22,2010,32.0
2013,UKG22,2013,33.8
2014,UKG22,2013,35.8
2015,UKG22,2013,36.3
2016,UKG22,2016,33.3
2017,UKG22,2016,33.9
2018,UKG22,2016,39.3
2019,UKG22,2016,41.2
2012,UKG23,2010,23.1
2013,UKG23,2013,24.6
2014,UKG23,2013,25.5
2015,UKG23,2013,29.1
2016,UKG23,2016,23.6
2017,UKG23,2016,25.7
2018,UKG23,2016,25.2
2019,UKG23,2016,30.7
2012,UKG24,2010,30.3
2013,UKG24,2013,31.5
2014,UKG24,2013,31.9
2015,UKG24,2013,33.5
2016,UKG24,2016,35.8
2017,UKG24,2016,35.6
2018,UKG24,2016,38.1
2019,UKG24,2016,41.0
2012,UKG31,2010,33.8
2013,UKG31,2013,31.9
2014,UKG31,2013,34.4
2015,UKG31,2013,40.8
2016,UKG31,2016,39.6
2017,UKG31,2016,36.2
2018,UKG31,2016,40.4
2019,UKG31,2016,39.4
2012,UKG32,2010,42.3
2013,UKG32,2013,44.0
2014,UKG32,2013,44.3
2015,UKG32,2013,42.1
2016,UKG32,2016,39.4
2017,UKG32,2016,44.2
2018,UKG32,2016,44.5
2019,UKG32,2016,49.3
2012,UKG33,2010,31.8
2013,UKG33,2013,33.8
2014,UKG33,2013,37.7
2015,UKG33,2013,35.1
2016,UKG33,2016,36.1
2017,UKG33,2016,36.9
2018,UKG33,2016,39.5
2019,UKG33,2016,40.7
2012,UKG36,2010,28.9
2013,UKG36,2013,27.6
2014,UKG36,2013,27.6
2015,UKG36,2013,28.7
2016,UKG36,2016,30.0
2017,UKG36,2016,27.2
2018,UKG36,2016,27.8
2019,UKG36,2016,28.3
2012,UKG37,2010,23.7
2013,UKG37,2013,23.8
2014,UKG37,2013,26.3
2015,UKG37,2013,23.0
2016,UKG37,2016,24.2
2017,UKG37,2016,26.2
2018,UKG37,2016,25.4
2019,UKG37,2016,26.2
2012,UKG38,2010,28.2
2013,UKG38,2013,28.6
2014,UKG38,2013,27.9
2015,UKG38,2013,25.2
2016,UKG38,2016,30.6
2017,UKG38,2016,32.9
2018,UKG38,2016,35.8
2019,UKG38,2016,31.3
2012,UKG39,2010,25.3
2013,UKG39,2013,24.4
2014,UKG39,2013,28.8
2015,UKG39,2013,28.5
2016,UKG39,2016,28.8
2017,UKG39,2016,31.8
2018,UKG39,2016,27.1
2019,UKG39,2016,29.1
2012,UKH11,2010,28.1
2013,UKH11,2013,31.2
2014,UKH11,2013,30.6
2015,UKH11,2013,29.1
2016,UKH11,2016,31.4
2017,UKH11,2016,29.9
2018,UKH11,2016,28.9
2019,UKH11,2016,33.0
2012,UKH12,2010,46.6
2013,UKH12,2013,48.9
2014,UKH12,2013,45.5
2015,UKH12,2013,49.0
2016,UKH12,2016,47.5
2017,UKH12,2016,46.4
2018,UKH12,2016,49.0
2019,UKH12,2016,49.7
2012,UKH13,2010,32.4
2012,UKH14,2010,31.7
2013,UKH14,2013,30.3
2014,UKH14,2013,32.3
2015,UKH14,2013,30.4
2016,UKH14,2016,34.6
2017,UKH14,2016,34.8
2018,UKH14,2016,34.8
2019,UKH14,2016,36.7
2013,UKH15,2013,36.2
2014,UKH15,2013,30.7
2015,UKH15,2013,35.1
2016,UKH15,2016,33.3
2017,UKH15,2016,31.3
2018,UKH15,2016,35.5
2019,UKH15,2016,29.3
2013,UKH16,2013,27.2
2014,UKH16,2013,24.8
2015,UKH16,2013,24.5
2016,UKH16,2016,26.0
2017,UKH16,2016,27.9
2018,UKH16,2016,30.0
2019,UKH16,2016,32.3
2013,UKH17,2013,30.7
2014,UKH17,2013,35.6
2015,UKH17,2013,32.2
2016,UKH17,2016,37.2
2017,UKH17,2016,36.6
2018,UKH17,2016,32.6
2019,UKH17,2016,34.6
2012,UKH21,2010,35.6
2013,UKH21,2013,32.5
2014,UKH21,2013,31.9
2015,UKH21,2013,35.9
2016,UKH21,2016,37.1
2017,UKH21,2016,39.4
2018,UKH21,2016,41.2
2019,UKH21,2016,37.9
2012,UKH23,2010,43.5
2013,UKH23,2013,44.6
2014,UKH23,2013,47.2
2015,UKH23,2013,45.3
2016,UKH23,2016,46.3
2017,UKH23,2016,46.4
2018,UKH23,2016,45.9
2019,UKH23,2016,48.3
2012,UKH24,2010,45.7
2013,UKH24,2013,40.6
2014,UKH24,2013,40.9
2015,UKH24,2013,41.1
2016,UKH24,2016,47.5
2017,UKH24,2016,43.7
2018,UKH24,2016,43.7
2019,UKH24,2016,49.4
2012,UKH25,2010,35.8
2013,UKH25,2013,34.2
2014,UKH25,2013,37.5
2015,UKH25,2013,42.4
2016,UKH25,2016,35.5
2017,UKH25,2016,34.8
2018,UKH25,2016,43.2
2019,UKH25,2016,46.4
2012,UKH31,2010,27.5
2013,UKH31,2013,28.1
2014,UKH31,2013,33.2
2015,UKH31,2013,29.5
2016,UKH31,2016,31.4
2017,UKH31,2016,34.2
2018,UKH31,2016,34.2
2019,UKH31,2016,34.7
2012,UKH32,2010,25.5
2013,UKH32,2013,27.9
2014,UKH32,2013,29.0
2015,UKH32,2013,27.8
2016,UKH32,2016,26.4
2017,UKH32,2016,26.9
2018,UKH32,2016,29.1
2019,UKH32,2016,32.0
2012,UKH33,2010,30.6
2013,UKH34,2013,30.4
2014,UKH34,2013,24.7
2015,UKH34,2013,29.5
2016,UKH34,2016,34.4
2017,UKH34,2016,34.8
2018,UKH34,2016,33.7
2019,UKH34,2016,39.0
2013,UKH35,2013,36.4
2014,UKH35,2013,33.8
2015,UKH35,2013,35.0
2016,UKH35,2016,40.3
2017,UKH35,2016,36.3
2018,UKH35,2016,39.4
2019,UKH35,2016,44.2
2013,UKH36,2013,34.9
2014,UKH36,2013,37.4
2015,UKH36,2013,37.4
2016,UKH36,2016,40.6
2017,UKH36,2016,37.5
2018,UKH36,2016,37.3
2019,UKH36,2016,37.9
2013,UKH37,2013,25.0
2014,UKH37,2013,22.2
2015,UKH37,2013,28.1
2016,UKH37,2016,28.9
2017,UKH37,2016,27.1
2018,UKH37,2016,26.6
2019,UKH37,2016,28.4
2012,UKI11,2010,71.1
2012,UKI12,2010,61.3
2012,UKI21,2010,39.9
2012,UKI22,2010,48.0
2012,UKI23,2010,51.6
2013,UKI31,2013,70.2
2014,UKI31,2013,72.7
2015,UKI31,2013,74.3
2016,UKI31,2016,72.6
2017,UKI31,2016,72.3
2018,UKI31,2016,75.6
2019,UKI31,2016,73.0
2013,UKI32,2013,71.8
2014,UKI32,2013,76.0
2015,UKI32,2013,71.2
2016,UKI32,2016,70.4
2017,UKI32,2016,72.5
2018,UKI32,2016,78.0
2019,UKI32,2016,75.5
2013,UKI33,2013,69.1
2014,UKI33,2013,70.5
2015,UKI33,2013,73.3
2016,UKI33,2016,66.8
2017,UKI33,2016,71.6
2018,UKI33,2016,70.4
2019,UKI33,2016,76.1
2013,UKI34,2013,71.3
2014,UKI34,2013,77.4
2015,UKI34,2013,71.6
2016,UKI34,2016,77.0
2017,UKI34,2016,76.9
2018,UKI34,2016,76.0
2019,UKI34,2016,77.3
2013,UKI41,2013,52.5
2014,UKI41,2013,51.3
2015,UKI41,2013,54.3
2016,UKI41,2016,60.0
2017,UKI41,2016,58.1
2018,UKI41,2016,59.9
2019,UKI41,2016,61.0
2013,UKI42,2013,57.7
2014,UKI42,2013,53.5
2015,UKI42,2013,54.6
2016,UKI42,2016,60.6
2017,UKI42,2016,60.9
2018,UKI42,2016,65.1
2019,UKI42,2016,71.3
2013,UKI43,2013,66.7
2014,UKI43,2013,62.1
2015,UKI43,2013,63.9
2016,UKI43,2016,63.3
2017,UKI43,2016,65.0
2018,UKI43,2016,68.6
2019,UKI43,2016,66.9
2013,UKI44,2013,61.3
2014,UKI44,2013,63.3
2015,UKI44,2013,61.3
2016,UKI44,2016,61.7
2017,UKI44,2016,63.0
2018,UKI44,2016,68.0
2019,UKI44,2016,67.2
2013,UKI45,2013,68.8
2014,UKI45,2013,68.4
2015,UKI45,2013,73.0
2016,UKI45,2016,71.3
2017,UKI45,2016,73.4
2018,UKI45,2016,68.8
2019,UKI45,2016,70.9
2013,UKI51,2013,44.4
2014,UKI51,2013,43.1
2015,UKI51,2013,43.9
2016,UKI51,2016,46.1
2017,UKI51,2016,51.5
2018,UKI51,2016,53.6
2019,UKI51,2016,48.1
2013,UKI52,2013,29.1
2014,UKI52,2013,30.7
2015,UKI52,2013,32.6
2016,UKI52,2016,33.4
2017,UKI52,2016,34.3
2018,UKI52,2016,36.1
2019,UKI52,2016,38.3
2013,UKI53,2013,52.0
2014,UKI53,2013,52.3
2015,UKI53,2013,50.9
2016,UKI53,2016,53.8
2017,UKI53,2016,51.6
2018,UKI53,2016,54.3
2019,UKI53,2016,54.1
2013,UKI54,2013,44.3
2014,UKI54,2013,48.1
2015,UKI54,2013,50.5
2016,UKI54,2016,48.4
2017,UKI54,2016,43.0
2018,UKI54,2016,49.4
2019,UKI54,2016,46.4
2013,UKI61,2013,51.9
2014,UKI61,2013,50.0
2015,UKI61,2013,51.5
2016,UKI61,2016,54.2
2017,UKI61,2016,50.2
2018,UKI61,2016,53.5
2019,UKI61,2016,57.1
2013,UKI62,2013,47.8
2014,UKI62,2013,45.6
2015,UKI62,2013,45.8
2016,UKI62,2016,52.6
2017,UKI62,2016,50.8
2018,UKI62,2016,54.3
2019,UKI62,2016,48.2
2013,UKI63,2013,53.4
2014,UKI63,2013,55.1
2015,UKI63,2013,55.3
2016,UKI63,2016,58.8
2017,UKI63,2016,59.7
2018,UKI63,2016,58.1
2019,UKI63,2016,59.9
2013,UKI71,2013,56.8
2014,UKI71,2013,49.9
2015,UKI71,2013,55.4
2016,UKI71,2016,65.2
2017,UKI71,2016,62.2
2018,UKI71,2016,61.5
2019,UKI71,2016,59.3
2013,UKI72,2013,50.8
2014,UKI72,2013,53.9
2015,UKI72,2013,53.4
2016,UKI72,2016,52.0
2017,UKI72,2016,45.1
2018,UKI72,2016,47.5
2019,UKI72,2016,55.6
2013,UKI73,2013,51.9
2014,UKI73,2013,54.2
2015,UKI73,2013,57.0
2016,UKI73,2016,61.1
2017,UKI73,2016,56.7
2018,UKI73,2016,58.0
2019,UKI73,2016,63.8
2013,UKI74,2013,49.1
2014,UKI74,2013,50.9
2015,UKI74,2013,48.7
2016,UKI74,2016,50.0
2017,UKI74,2016,50.2
2018,UKI74,2016,50.4
2019,UKI74,2016,58.7
2013,UKI75,2013,58.2
2014,UKI75,2013,62.4
2015,UKI75,2013,61.9
2016,UKI75,2016,63.4
2017,UKI75,2016,58.1
2018,UKI75,2016,64.2
2019,UKI75,2016,66.2
2012,UKJ11,2010,44.7
2013,UKJ11,2013,47.0
2014,UKJ11,2013,49.2
2015,UKJ11,2013,48.8
2016,UKJ11,2016,51.5
2017,UKJ11,2016,50.4
2018,UKJ11,2016,53.0
2019,UKJ11,2016,51.7
2012,UKJ12,2010,36.4
2013,UKJ12,2013,39.9
2014,UKJ12,2013,38.6
2015,UKJ12,2013,38.3
2016,UKJ12,2016,39.3
2017,UKJ12,2016,40.6
2018,UKJ12,2016,43.8
2019,UKJ12,2016,46.7
2012,UKJ13,2010,44.0
2013,UKJ13,2013,47.8
2014,UKJ13,2013,50.9
2015,UKJ13,2013,51.6
2016,UKJ13,2016,51.4
2017,UKJ13,2016,50.9
2018,UKJ13,2016,51.2
2019,UKJ13,2016,48.9
2012,UKJ14,2010,49.7
2013,UKJ14,2013,49.0
2014,UKJ14,2013,52.5
2015,UKJ14,2013,56.5
2016,UKJ14,2016,54.9
2017,UKJ14,2016,54.2
2018,UKJ14,2016,54.1
2019,UKJ14,2016,53.7
2012,UKJ21,2010,50.6
2013,UKJ21,2013,53.6
2014,UKJ21,2013,53.7
2015,UKJ21,2013,53.6
2016,UKJ21,2016,54.9
2017,UKJ21,2016,59.4
2018,UKJ21,2016,57.7
2019,UKJ21,2016,62.2
2012,UKJ22,2010,33.3
2013,UKJ22,2013,35.7
2014,UKJ22,2013,40.9
2015,UKJ22,2013,34.1
2016,UKJ22,2016,37.3
2017,UKJ22,2016,39.2
2018,UKJ22,2016,40.1
2019,UKJ22,2016,38.4
2012,UKJ23,2010,46.7
2012,UKJ24,2010,37.2
2013,UKJ25,2013,48.0
2014,UKJ25,2013,48.0
2015,UKJ25,2013,50.0
2016,UKJ25,2016,50.6
2017,UKJ25,2016,53.7
2018,UKJ25,2016,52.7
2019,UKJ25,2016,54.3
2013,UKJ26,2013,47.7
2014,UKJ26,2013,45.1
2015,UKJ26,2013,49.1
2016,UKJ26,2016,51.3
2017,UKJ26,2016,50.7
2018,UKJ26,2016,54.5
2019,UKJ26,2016,56.2
2013,UKJ27,2013,36.1
2014,UKJ27,2013,34.0
2015,UKJ27,2013,39.9
2016,UKJ27,2016,38.9
2017,UKJ27,2016,34.7
2018,UKJ27,2016,39.5
2019,UKJ27,2016,42.7
2013,UKJ28,2013,40.6
2014,UKJ28,2013,37.4
2015,UKJ28,2013,42.9
2016,UKJ28,2016,45.6
2017,UKJ28,2016,41.7
2018,UKJ28,2016,49.7
2019,UKJ28,2016,45.5
2012,UKJ31,2010,31.8
2013,UKJ31,2013,33.8
2014,UKJ31,2013,35.8
2015,UKJ31,2013,33.7
2016,UKJ31,2016,37.3
2017,UKJ31,2016,37.6
2018,UKJ31,2016,38.4
2019,UKJ31,2016,36.5
2012,UKJ32,2010,34.9
2013,UKJ32,2013,34.9
2014,UKJ32,2013,36.9
2015,UKJ32,2013,33.2
2016,UKJ32,2016,38.0
2017,UKJ32,2016,40.2
2018,UKJ32,2016,41.2
2019,UKJ32,2016,39.5
2012,UKJ33,2010,40.6
2012,UKJ34,2010,31.0
2013,UKJ34,2013,32.5
2014,UKJ34,2013,30.0
2015,UKJ34,2013,30.0
2016,UKJ34,2016,32.1
2017,UKJ34,2016,33.6
2018,UKJ34,2016,32.2
2019,UKJ34,2016,35.2
2013,UKJ35,2013,34.6
2014,UKJ35,2013,40.2
2015,UKJ35,2013,35.1
2016,UKJ35,2016,36.5
2017,UKJ35,2016,34.1
2018,UKJ35,2016,35.8
2019,UKJ35,2016,41.6
2013,UKJ36,2013,44.2
2014,UKJ36,2013,44.4
2015,UKJ36,2013,41.3
2016,UKJ36,2016,44.1
2017,UKJ36,2016,44.9
2018,UKJ36,2016,44.2
2019,UKJ36,2016,51.3
2013,UKJ37,2013,40.4
2014,UKJ37,2013,42.9
2015,UKJ37,2013,40.1
2016,UKJ37,2016,40.6
2017,UKJ37,2016,41.1
2018,UKJ37,2016,41.0
2019,UKJ37,2016,45.1
2012,UKJ41,2010,26.8
2013,UKJ41,2013,27.2
2014,UKJ41,2013,29.3
2015,UKJ41,2013,28.8
2016,UKJ41,2016,33.6
2017,UKJ41,2016,33.8
2018,UKJ41,2016,31.2
2019,UKJ41,2016,35.7
2012,UKJ42,2010,32.1
2013,UKJ43,2013,33.9
2014,UKJ43,2013,34.5
2015,UKJ43,2013,35.2
2016,UKJ43,2016,39.4
2017,UKJ43,2016,34.2
2018,UKJ43,2016,38.8
2019,UKJ43,2016,34.1
2013,UKJ44,2013,31.9
2014,UKJ44,2013,30.6
2015,UKJ44,2013,35.2
2016,UKJ44,2016,40.4
2017,UKJ44,2016,36.8
2018,UKJ44,2016,35.8
