year,lep_id,lep_year_spec,aps_econ_active_stem_associate_profs_data
2015,E37000044,2021,11500.0
2016,E37000044,2021,15200.0
2017,E37000044,2021,14500.0
2018,E37000044,2021,13300.0
2019,E37000044,2021,11300.0
2010,E37000045,2021,18000.0
2011,E37000045,2021,16000.0
2012,E37000045,2021,17400.0
2013,E37000045,2021,22600.0
2014,E37000045,2021,17700.0
2015,E37000045,2021,21200.0
2016,E37000045,2021,21200.0
2017,E37000045,2021,25100.0
2018,E37000045,2021,22900.0
2019,E37000045,2021,25100.0
2010,E37000046,2021,9300.0
2011,E37000046,2021,17200.0
2012,E37000046,2021,17900.0
2013,E37000046,2021,13400.0
2014,E37000046,2021,17000.0
2015,E37000046,2021,15400.0
2016,E37000046,2021,13900.0
2017,E37000046,2021,17300.0
2018,E37000046,2021,15800.0
2019,E37000046,2021,15200.0
2010,E37000047,2021,14900.0
2011,E37000047,2021,19100.0
2012,E37000047,2021,15600.0
2013,E37000047,2021,14500.0
2014,E37000047,2021,13500.0
2015,E37000047,2021,11000.0
2016,E37000047,2021,14700.0
2017,E37000047,2021,11600.0
2018,E37000047,2021,13400.0
2019,E37000047,2021,8300.0
2010,E37000048,2021,8500.0
2011,E37000048,2021,11400.0
2012,E37000048,2021,10400.0
2013,E37000048,2021,12400.0
2014,E37000048,2021,8500.0
2015,E37000048,2021,9600.0
2016,E37000048,2021,11800.0
2017,E37000048,2021,12400.0
2018,E37000048,2021,11300.0
2019,E37000048,2021,9600.0
2010,E37000049,2021,6500.0
2011,E37000049,2021,6000.0
2012,E37000049,2021,5800.0
2013,E37000049,2021,5500.0
2014,E37000049,2021,7800.0
2015,E37000049,2021,8000.0
2016,E37000049,2021,10000.0
2017,E37000049,2021,11000.0
2018,E37000049,2021,10600.0
2019,E37000049,2021,8900.0
2010,E37000050,2021,22500.0
2011,E37000050,2021,21300.0
2012,E37000050,2021,24200.0
2013,E37000050,2021,23200.0
2014,E37000050,2021,19200.0
2015,E37000050,2021,20000.0
2016,E37000050,2021,22700.0
2017,E37000050,2021,20800.0
2018,E37000050,2021,29000.0
2019,E37000050,2021,26800.0
2010,E37000051,2021,61200.0
2011,E37000051,2021,59400.0
2012,E37000051,2021,63600.0
2013,E37000051,2021,64700.0
2014,E37000051,2021,58100.0
2015,E37000051,2021,59100.0
2016,E37000051,2021,61900.0
2017,E37000051,2021,60300.0
2018,E37000051,2021,75500.0
2019,E37000051,2021,73200.0
2010,E37000052,2021,12100.0
2011,E37000052,2021,12200.0
2012,E37000052,2021,13500.0
2013,E37000052,2021,14500.0
2014,E37000052,2021,10600.0
2015,E37000052,2021,15700.0
2016,E37000052,2021,13200.0
2017,E37000052,2021,14800.0
2018,E37000052,2021,16300.0
2019,E37000052,2021,16200.0
2010,E37000053,2021,10100.0
2011,E37000053,2021,7500.0
2012,E37000053,2021,6800.0
2013,E37000053,2021,7800.0
2014,E37000053,2021,12900.0
2015,E37000053,2021,7300.0
2016,E37000053,2021,10000.0
2017,E37000053,2021,9100.0
2018,E37000053,2021,15300.0
2019,E37000053,2021,8300.0
2010,E37000054,2021,10400.0
2011,E37000054,2021,8800.0
2012,E37000054,2021,7600.0
2013,E37000054,2021,10300.0
2014,E37000054,2021,10400.0
2015,E37000054,2021,12200.0
2016,E37000054,2021,8200.0
2017,E37000054,2021,11900.0
2018,E37000054,2021,9600.0
2019,E37000054,2021,12200.0
2010,E37000055,2021,9800.0
2011,E37000055,2021,11300.0
2012,E37000055,2021,12900.0
2013,E37000055,2021,14400.0
2014,E37000055,2021,12400.0
2015,E37000055,2021,11200.0
2016,E37000055,2021,10500.0
2017,E37000055,2021,13100.0
2018,E37000055,2021,15100.0
2019,E37000055,2021,10200.0
2010,E37000056,2021,33800.0
2011,E37000056,2021,32000.0
2012,E37000056,2021,32400.0
2013,E37000056,2021,32700.0
2014,E37000056,2021,30900.0
2015,E37000056,2021,33900.0
2016,E37000056,2021,28900.0
2017,E37000056,2021,37300.0
2018,E37000056,2021,39000.0
2019,E37000056,2021,36600.0
2010,E37000057,2021,12800.0
2011,E37000057,2021,19900.0
2012,E37000057,2021,12100.0
2013,E37000057,2021,16400.0
2014,E37000057,2021,13400.0
2015,E37000057,2021,17000.0
2016,E37000057,2021,19000.0
2017,E37000057,2021,19200.0
2018,E37000057,2021,22300.0
2019,E37000057,2021,22500.0
2010,E37000058,2021,6100.0
2011,E37000058,2021,6900.0
2012,E37000058,2021,8800.0
2013,E37000058,2021,6700.0
2014,E37000058,2021,6500.0
2015,E37000058,2021,5400.0
2016,E37000058,2021,7500.0
2017,E37000058,2021,5800.0
2018,E37000058,2021,7500.0
2019,E37000058,2021,8700.0
