year,nuts_id,nuts_year_spec,travel_time_to_airport
2011,UKG24,2010,39.7
2011,UKG31,2010,23.9
2013,UKG31,2013,24.62
2011,UKG32,2010,13.05
2013,UKG32,2013,12.94
2013,UKG33,2013,19.83
2011,UKG33,2010,20.07
2013,UKG36,2013,49.86
2011,UKG36,2010,46.87
2013,UKG37,2013,37.99
2011,UKG37,2010,35.35
2013,UKG38,2013,36.38
2011,UKG38,2010,34.76
2013,UKG39,2013,46.53
2011,UKG39,2010,45.03
2013,UKH11,2013,58.68
2011,UKH11,2010,75.59
2013,UKH12,2013,32.24
2011,UKH12,2010,49.79
2011,UKH13,2010,34.02
2013,UKH14,2013,52.66
2011,UKH14,2010,58.32
2013,UKH15,2013,21.23
2013,UKH16,2013,49.97
2013,UKH17,2013,35.24
2013,UKH21,2013,12.52
2011,UKH21,2010,12.96
2013,UKH23,2013,27.57
2011,UKH23,2010,27.03
2011,UKH24,2010,47.15
2013,UKH24,2013,43.18
2011,UKH25,2010,31.35
2013,UKH25,2013,29.27
2011,UKH31,2010,9.5
2013,UKH31,2013,9.92
2013,UKH32,2013,32.68
2011,UKH32,2010,35.86
2011,UKH33,2010,32.64
2013,UKH34,2013,45.12
2013,UKH35,2013,22.32
2013,UKH36,2013,32.03
2013,UKH37,2013,21.51
2011,UKI11,2010,34.09
2011,UKI12,2010,27.62
2011,UKI21,2010,28.74
2011,UKI22,2010,39.98
2011,UKI23,2010,26.35
2013,UKI31,2013,40.97
2013,UKI32,2013,35.91
2013,UKI33,2013,28.66
2013,UKI34,2013,43.57
2013,UKI41,2013,18.38
2013,UKI42,2013,15.8
2013,UKI43,2013,34.53
2013,UKI44,2013,32.81
2013,UKI45,2013,42.82
2013,UKI51,2013,36.42
2013,UKI52,2013,28.13
2013,UKI53,2013,22.68
2013,UKI54,2013,32.02
2013,UKI61,2013,45.34
2013,UKI62,2013,37.31
2013,UKI63,2013,37.83
2013,UKI71,2013,36.03
2013,UKI72,2013,38.03
2013,UKI73,2013,23.97
2013,UKI74,2013,26.79
2013,UKI75,2013,19.34
2013,UKJ11,2013,34.4
2011,UKJ11,2010,34.07
2013,UKJ12,2013,39.2
2011,UKJ12,2010,46.57
2013,UKJ13,2013,37.69
2011,UKJ13,2010,37.88
2013,UKJ14,2013,53.84
2011,UKJ14,2010,53.82
2013,UKJ21,2013,18.28
2011,UKJ21,2010,19.06
2013,UKJ22,2013,50.3
2011,UKJ22,2010,51.28
2011,UKJ23,2010,27.37
2011,UKJ24,2010,25.12
2013,UKJ25,2013,29.05
2013,UKJ26,2013,22.49
2013,UKJ27,2013,30.28
2013,UKJ28,2013,18.94
2011,UKJ31,2010,28.19
2013,UKJ31,2013,30.78
2011,UKJ32,2010,11.71
2013,UKJ32,2013,12.69
2011,UKJ33,2010,26.94
2013,UKJ35,2013,24.48
2013,UKJ36,2013,26.11
2013,UKJ37,2013,34.98
2011,UKJ41,2010,48.32
2013,UKJ41,2013,47.37
2011,UKJ42,2010,39.65
2013,UKJ43,2013,44.89
2013,UKJ44,2013,24.45
2013,UKJ45,2013,50.71
2013,UKJ46,2013,47.4
2011,UKK11,2010,22.35
2013,UKK11,2013,23.76
2013,UKK12,2013,30.8
2011,UKK12,2010,30.48
2013,UKK13,2013,23.57
2011,UKK13,2010,23.12
2013,UKK14,2013,45.19
2011,UKK14,2010,43.96
2013,UKK15,2013,53.27
2011,UKK15,2010,52.82
2013,UKK21,2013,15.58
2011,UKK21,2010,16.1
2013,UKK22,2013,37.57
2011,UKK22,2010,39.77
2011,UKK23,2010,42.34
2013,UKK23,2013,42.35
2013,UKK30,2013,37.49
2011,UKK30,2010,37.58
2011,UKK41,2010,49.74
2013,UKK41,2013,50.36
2013,UKK42,2013,41.23
2011,UKK42,2010,40.07
2013,UKK43,2013,34.67
2011,UKK43,2010,34.47
2011,UKL11,2010,125.76
2011,UKL12,2010,120.11
2011,UKL13,2010,72.67
2011,UKL14,2010,97.15
2011,UKL15,2010,34.31
2011,UKL16,2010,38.68
2011,UKL17,2010,37.87
2011,UKL18,2010,51.57
2011,UKL21,2010,38.39
2011,UKL22,2010,15.66
2011,UKL23,2010,48.7
2011,UKL24,2010,92.66
