year,nuts_id,nuts_year_spec,travel_to_rail_time
2013,UKG36,2013,25.5
2011,UKG36,2010,25.49
2013,UKG37,2013,20.37
2011,UKG37,2010,20.34
2011,UKG38,2010,22.65
2013,UKG38,2013,22.59
2013,UKG39,2013,10.52
2011,UKG39,2010,10.5
2013,UKH11,2013,8.2
2011,UKH11,2010,8.2
2013,UKH12,2013,25.01
2011,UKH12,2010,25.01
2011,UKH13,2010,31.81
2011,UKH14,2010,27.64
2013,UKH14,2013,27.53
2013,UKH15,2013,20.36
2013,UKH16,2013,50.24
2013,UKH17,2013,30.56
2011,UKH21,2010,8.25
2013,UKH21,2013,8.25
2011,UKH23,2010,14.28
2013,UKH23,2013,14.3
2011,UKH24,2010,9.99
2013,UKH24,2013,9.95
2013,UKH25,2013,19.9
2011,UKH25,2010,19.93
2013,UKH31,2013,7.8
2011,UKH31,2010,7.85
2013,UKH32,2013,21.44
2011,UKH32,2010,21.39
2011,UKH33,2010,15.34
2013,UKH34,2013,14.79
2013,UKH35,2013,15.04
2013,UKH36,2013,12.97
2013,UKH37,2013,18.15
2011,UKI11,2010,8.03
2011,UKI12,2010,11.81
2011,UKI21,2010,14.87
2011,UKI22,2010,11.31
2011,UKI23,2010,13.72
2013,UKI31,2013,9.12
2013,UKI32,2013,4.44
2013,UKI33,2013,9.61
2013,UKI34,2013,7.8
2013,UKI41,2013,11.0
2013,UKI42,2013,9.12
2013,UKI43,2013,17.11
2013,UKI44,2013,9.78
2013,UKI45,2013,11.5
2013,UKI51,2013,15.68
2013,UKI52,2013,10.49
2013,UKI53,2013,12.25
2013,UKI54,2013,24.22
2013,UKI61,2013,12.63
2013,UKI62,2013,10.74
2013,UKI63,2013,10.91
2013,UKI71,2013,20.76
2013,UKI72,2013,12.96
2013,UKI73,2013,10.77
2013,UKI74,2013,13.75
2013,UKI75,2013,10.68
2013,UKJ11,2013,13.74
2011,UKJ11,2010,13.72
2013,UKJ12,2013,8.02
2011,UKJ12,2010,8.0
2013,UKJ13,2013,19.49
2011,UKJ13,2010,19.54
2011,UKJ14,2010,17.78
2013,UKJ14,2013,17.68
2011,UKJ21,2010,9.63
2013,UKJ21,2013,9.67
2013,UKJ22,2013,14.81
2011,UKJ22,2010,14.8
2011,UKJ23,2010,13.94
2011,UKJ24,2010,24.29
2013,UKJ25,2013,15.8
2013,UKJ26,2013,10.06
2013,UKJ27,2013,33.28
2013,UKJ28,2013,13.68
2011,UKJ31,2010,7.7
2013,UKJ31,2013,7.68
2011,UKJ32,2010,8.55
2013,UKJ32,2013,8.69
2011,UKJ33,2010,17.34
2013,UKJ35,2013,17.37
2013,UKJ36,2013,18.06
2013,UKJ37,2013,15.87
2013,UKJ41,2013,8.5
2011,UKJ41,2010,8.45
2011,UKJ42,2010,15.4
2013,UKJ43,2013,14.16
2013,UKJ44,2013,21.43
2013,UKJ45,2013,11.5
2013,UKJ46,2013,11.25
2013,UKK11,2013,13.39
2011,UKK11,2010,13.21
2013,UKK12,2013,20.6
2011,UKK12,2010,20.53
2011,UKK13,2010,17.92
2013,UKK13,2013,17.98
2013,UKK14,2013,9.13
2011,UKK14,2010,9.04
2013,UKK15,2013,18.69
2011,UKK15,2010,18.75
2013,UKK21,2013,8.3
2011,UKK21,2010,8.2
2013,UKK22,2013,21.84
2011,UKK22,2010,22.07
2011,UKK23,2010,30.4
2013,UKK23,2013,30.35
2013,UKK30,2013,26.1
2011,UKK30,2010,26.35
2013,UKK41,2013,10.6
2011,UKK41,2010,10.54
2013,UKK42,2013,21.45
2011,UKK42,2010,21.45
2011,UKK43,2010,31.43
2013,UKK43,2013,31.65
2013,UKL11,2013,22.22
2011,UKL11,2010,21.97
2013,UKL12,2013,31.11
2011,UKL12,2010,33.43
2011,UKL13,2010,36.38
2013,UKL13,2013,36.46
2013,UKL14,2013,53.63
2011,UKL14,2010,54.08
2013,UKL15,2013,24.9
2011,UKL15,2010,24.9
2011,UKL16,2010,18.24
2013,UKL16,2013,18.24
2011,UKL17,2010,18.58
2013,UKL17,2013,18.54
2011,UKL18,2010,5.66
2013,UKL18,2013,5.73
2011,UKL21,2010,11.36
2013,UKL21,2013,11.11
2013,UKL22,2013,6.69
2011,UKL22,2010,6.63
2011,UKL23,2010,25.17
2013,UKL23,2013,24.99
2011,UKL24,2010,47.24
2013,UKL24,2013,48.11
