year,nuts_id,nuts_year_spec,travel_to_road_junctions_average_time
2013,UKH35,2013,18.04
2013,UKH36,2013,17.83
2013,UKH37,2013,23.83
2011,UKI11,2010,25.4
2011,UKI12,2010,29.06
2011,UKI21,2010,19.81
2011,UKI22,2010,27.36
2011,UKI23,2010,16.0
2013,UKI31,2013,24.04
2013,UKI32,2013,24.56
2013,UKI33,2013,20.82
2013,UKI34,2013,32.73
2013,UKI41,2013,22.63
2013,UKI42,2013,24.36
2013,UKI43,2013,25.0
2013,UKI44,2013,33.9
2013,UKI45,2013,40.51
2013,UKI51,2013,22.43
2013,UKI52,2013,19.86
2013,UKI53,2013,18.56
2013,UKI54,2013,17.36
2013,UKI61,2013,24.36
2013,UKI62,2013,29.66
2013,UKI63,2013,27.5
2013,UKI71,2013,15.11
2013,UKI72,2013,18.11
2013,UKI73,2013,16.0
2013,UKI74,2013,16.25
2013,UKI75,2013,15.07
2013,UKJ11,2013,16.26
2011,UKJ11,2010,16.23
2013,UKJ12,2013,23.76
2011,UKJ12,2010,23.78
2013,UKJ13,2013,19.98
2011,UKJ13,2010,20.13
2011,UKJ14,2010,19.43
2013,UKJ14,2013,19.42
2011,UKJ21,2010,33.05
2013,UKJ21,2013,33.04
2013,UKJ22,2013,52.81
2011,UKJ22,2010,52.84
2011,UKJ23,2010,18.82
2011,UKJ24,2010,28.57
2013,UKJ25,2013,20.24
2013,UKJ26,2013,15.85
2013,UKJ27,2013,36.4
2013,UKJ28,2013,19.32
2011,UKJ31,2010,11.42
2013,UKJ31,2013,11.46
2011,UKJ32,2010,9.65
2013,UKJ32,2013,9.67
2011,UKJ33,2010,17.03
2013,UKJ35,2013,13.81
2013,UKJ36,2013,18.7
2013,UKJ37,2013,18.37
2013,UKJ41,2013,12.09
2011,UKJ41,2010,12.11
2011,UKJ42,2010,19.14
2013,UKJ43,2013,15.73
2013,UKJ44,2013,23.09
2013,UKJ45,2013,16.27
2013,UKJ46,2013,19.61
2013,UKK11,2013,16.5
2011,UKK11,2010,16.37
2013,UKK12,2013,20.92
2011,UKK12,2010,20.87
2011,UKK13,2010,20.48
2013,UKK13,2013,20.53
2013,UKK14,2013,22.98
2011,UKK14,2010,23.02
2013,UKK15,2013,34.95
2011,UKK15,2010,34.97
2013,UKK21,2013,37.53
2011,UKK21,2010,37.58
2013,UKK22,2013,51.99
2011,UKK22,2010,52.41
2011,UKK23,2010,31.17
2013,UKK23,2013,31.15
2013,UKK30,2013,95.06
2011,UKK30,2010,94.85
2013,UKK41,2013,52.59
2011,UKK41,2010,52.57
2013,UKK42,2013,42.89
2011,UKK42,2010,42.89
2011,UKK43,2010,35.95
2013,UKK43,2013,36.15
2013,UKL11,2013,100.75
2011,UKL11,2010,100.52
2013,UKL12,2013,93.11
2011,UKL12,2010,94.63
2011,UKL13,2010,47.4
2013,UKL13,2013,47.32
2013,UKL14,2013,116.76
2011,UKL14,2010,116.4
2013,UKL15,2013,53.03
2011,UKL15,2010,53.02
2011,UKL16,2010,40.75
2013,UKL16,2013,40.75
2011,UKL17,2010,63.01
2013,UKL17,2013,62.96
2011,UKL18,2010,76.01
2013,UKL18,2013,76.02
2011,UKL21,2010,27.2
2013,UKL21,2013,27.02
2013,UKL22,2013,40.82
2011,UKL22,2010,40.81
2011,UKL23,2010,24.16
2013,UKL23,2013,23.83
2011,UKL24,2010,78.58
2013,UKL24,2013,80.46
