year,nuts_id,nuts_year_spec,travel_time_to_work
2018,UKF12,2016,24.94
2016,UKF13,2016,28.18
2017,UKF13,2016,29.94
2018,UKF13,2016,26.41
2016,UKF14,2016,25.64
2017,UKF14,2016,29.85
2018,UKF14,2016,29.19
2016,UKF15,2016,24.86
2017,UKF15,2016,26.71
2018,UKF15,2016,24.37
2016,UKF16,2016,26.57
2017,UKF16,2016,30.55
2018,UKF16,2016,30.09
2016,UKF21,2016,23.48
2017,UKF21,2016,27.05
2018,UKF21,2016,26.12
2016,UKF22,2016,27.64
2017,UKF22,2016,25.65
2018,UKF22,2016,25.94
2016,UKF24,2016,25.03
2017,UKF24,2016,28.37
2018,UKF24,2016,24.57
2016,UKF25,2016,29.4
2017,UKF25,2016,22.26
2018,UKF25,2016,24.71
2016,UKF30,2016,22.53
2017,UKF30,2016,23.54
2018,UKF30,2016,25.87
2016,UKG11,2016,25.6
2017,UKG11,2016,19.25
2018,UKG11,2016,21.04
2016,UKG12,2016,25.56
2017,UKG12,2016,26.85
2018,UKG12,2016,26.61
2016,UKG13,2016,25.34
2017,UKG13,2016,25.38
2018,UKG13,2016,29.26
2016,UKG21,2016,18.95
2017,UKG21,2016,17.11
2018,UKG21,2016,21.16
2016,UKG22,2016,19.75
2017,UKG22,2016,25.65
2018,UKG22,2016,25.49
2016,UKG23,2016,22.27
2017,UKG23,2016,20.08
2018,UKG23,2016,22.65
2016,UKG24,2016,24.11
2017,UKG24,2016,25.26
2018,UKG24,2016,26.84
2016,UKG31,2016,29.29
2017,UKG31,2016,30.22
2018,UKG31,2016,32.18
2016,UKG32,2016,29.94
2017,UKG32,2016,29.41
2018,UKG32,2016,26.19
2016,UKG33,2016,28.06
2017,UKG33,2016,27.37
2018,UKG33,2016,27.83
2016,UKG36,2016,26.56
2017,UKG36,2016,31.04
2018,UKG36,2016,30.33
2016,UKG37,2016,25.8
2017,UKG37,2016,28.41
2018,UKG37,2016,27.02
2016,UKG38,2016,26.04
2017,UKG38,2016,27.07
2018,UKG38,2016,26.22
2016,UKG39,2016,24.11
2017,UKG39,2016,24.42
2018,UKG39,2016,28.31
2016,UKH11,2016,21.52
2017,UKH11,2016,33.54
2018,UKH11,2016,23.75
2016,UKH12,2016,29.36
2017,UKH12,2016,28.21
2018,UKH12,2016,30.22
2016,UKH14,2016,22.52
2017,UKH14,2016,26.86
2018,UKH14,2016,25.42
2016,UKH15,2016,21.57
2017,UKH15,2016,24.84
2018,UKH15,2016,27.11
2016,UKH16,2016,25.49
2017,UKH16,2016,24.34
2018,UKH16,2016,22.01
2016,UKH17,2016,28.35
2017,UKH17,2016,25.23
2018,UKH17,2016,23.86
2016,UKH21,2016,34.39
2017,UKH21,2016,33.42
2018,UKH21,2016,32.72
2016,UKH23,2016,33.82
2017,UKH23,2016,33.7
2018,UKH23,2016,35.73
2016,UKH24,2016,30.98
2017,UKH24,2016,27.7
2018,UKH24,2016,33.28
2016,UKH25,2016,34.8
2017,UKH25,2016,32.92
2018,UKH25,2016,32.84
2016,UKH31,2016,35.25
2017,UKH31,2016,32.77
2018,UKH31,2016,32.55
2016,UKH32,2016,36.8
2017,UKH32,2016,25.77
2018,UKH32,2016,39.84
2016,UKH34,2016,32.9
2017,UKH34,2016,33.06
2018,UKH34,2016,26.2
2016,UKH35,2016,34.22
2017,UKH35,2016,38.71
2018,UKH35,2016,35.39
2016,UKH36,2016,36.08
2017,UKH36,2016,38.74
2018,UKH36,2016,40.33
2016,UKH37,2016,31.24
2017,UKH37,2016,32.58
2018,UKH37,2016,37.84
2016,UKI31,2016,27.15
2017,UKI31,2016,28.59
2018,UKI31,2016,28.75
2016,UKI32,2016,31.1
2017,UKI32,2016,33.29
2018,UKI32,2016,33.36
2016,UKI33,2016,35.9
2017,UKI33,2016,34.82
2018,UKI33,2016,36.53
2016,UKI34,2016,44.17
2017,UKI34,2016,38.89
2018,UKI34,2016,38.65
2016,UKI41,2016,38.16
2017,UKI41,2016,41.71
2018,UKI41,2016,36.89
2016,UKI42,2016,34.48
2017,UKI42,2016,30.71
2018,UKI42,2016,36.37
2016,UKI43,2016,36.65
2017,UKI43,2016,39.01
2018,UKI43,2016,42.95
2016,UKI44,2016,40.09
2017,UKI44,2016,37.39
2018,UKI44,2016,39.87
2016,UKI45,2016,42.25
2017,UKI45,2016,38.5
2018,UKI45,2016,39.09
2016,UKI51,2016,47.28
2017,UKI51,2016,45.74
2018,UKI51,2016,45.82
2016,UKI52,2016,41.45
2017,UKI52,2016,42.86
2018,UKI52,2016,48.05
2016,UKI53,2016,43.48
2017,UKI53,2016,44.88
2018,UKI53,2016,41.34
2016,UKI54,2016,39.98
2017,UKI54,2016,39.08
2018,UKI54,2016,37.83
2016,UKI61,2016,43.25
2017,UKI61,2016,43.42
2018,UKI61,2016,45.39
2016,UKI62,2016,43.88
2017,UKI62,2016,39.5
2018,UKI62,2016,44.82
2016,UKI63,2016,41.47
2017,UKI63,2016,44.56
2018,UKI63,2016,42.48
2016,UKI71,2016,39.7
2017,UKI71,2016,38.14
2018,UKI71,2016,39.14
2016,UKI72,2016,35.88
2017,UKI72,2016,38.26
2018,UKI72,2016,37.18
2016,UKI73,2016,36.69
2017,UKI73,2016,38.75
2018,UKI73,2016,39.56
2016,UKI74,2016,38.8
2017,UKI74,2016,38.92
2018,UKI74,2016,38.95
2016,UKI75,2016,41.87
2017,UKI75,2016,40.18
2018,UKI75,2016,41.83
2016,UKJ11,2016,30.79
2017,UKJ11,2016,33.02
2018,UKJ11,2016,31.73
2016,UKJ12,2016,26.8
2017,UKJ12,2016,25.05
2018,UKJ12,2016,26.45
2016,UKJ13,2016,34.5
2017,UKJ13,2016,37.95
2018,UKJ13,2016,31.61
2016,UKJ14,2016,27.92
2017,UKJ14,2016,27.65
2018,UKJ14,2016,27.63
2016,UKJ21,2016,33.18
2017,UKJ21,2016,30.74
2018,UKJ21,2016,32.72
2016,UKJ22,2016,33.72
2017,UKJ22,2016,30.94
2018,UKJ22,2016,27.68
2016,UKJ25,2016,36.86
2017,UKJ25,2016,33.81
2018,UKJ25,2016,36.97
2016,UKJ26,2016,38.49
2017,UKJ26,2016,37.4
2018,UKJ26,2016,39.09
2016,UKJ27,2016,26.03
2017,UKJ27,2016,29.92
2018,UKJ27,2016,32.13
2016,UKJ28,2016,29.41
2017,UKJ28,2016,32.74
2018,UKJ28,2016,35.16
2016,UKJ31,2016,30.48
2017,UKJ31,2016,28.87
2018,UKJ31,2016,31.55
2016,UKJ32,2016,25.7
2017,UKJ32,2016,26.29
2018,UKJ32,2016,31.09
2016,UKJ34,2016,21.56
2017,UKJ34,2016,25.45
2018,UKJ34,2016,30.77
2016,UKJ35,2016,25.61
2017,UKJ35,2016,29.73
2018,UKJ35,2016,30.13
2016,UKJ36,2016,30.62
2017,UKJ36,2016,30.93
2018,UKJ36,2016,31.82
2016,UKJ37,2016,25.69
2017,UKJ37,2016,29.25
2018,UKJ37,2016,29.14
2016,UKJ41,2016,40.1
2017,UKJ41,2016,27.93
2018,UKJ41,2016,37.38
2016,UKJ43,2016,36.36
2017,UKJ43,2016,35.93
2018,UKJ43,2016,30.37
2016,UKJ44,2016,28.08
2017,UKJ44,2016,28.1
2018,UKJ44,2016,28.42
2016,UKJ45,2016,33.32
2017,UKJ45,2016,31.16
2018,UKJ45,2016,30.57
2016,UKJ46,2016,34.16
2017,UKJ46,2016,34.37
2018,UKJ46,2016,38.12
2016,UKK11,2016,30.3
2017,UKK11,2016,31.74
2018,UKK11,2016,27.29
2016,UKK12,2016,27.33
2017,UKK12,2016,29.77
2018,UKK12,2016,27.34
2016,UKK13,2016,26.27
2017,UKK13,2016,27.04
2018,UKK13,2016,24.08
2016,UKK14,2016,27.03
2017,UKK14,2016,23.56
2018,UKK14,2016,20.21
2016,UKK15,2016,24.22
2017,UKK15,2016,29.41
2018,UKK15,2016,28.81
2016,UKK21,2016,23.67
2017,UKK21,2016,25.2
2018,UKK21,2016,27.0
2016,UKK22,2016,25.29
2017,UKK22,2016,21.36
2018,UKK22,2016,20.93
2016,UKK23,2016,23.24
2017,UKK23,2016,20.37
2018,UKK23,2016,20.79
2016,UKK30,2016,23.84
2017,UKK30,2016,22.38
2018,UKK30,2016,23.06
2016,UKK41,2016,22.01
2017,UKK41,2016,22.35
2018,UKK41,2016,24.4
2016,UKK42,2016,21.54
2017,UKK42,2016,19.37
2018,UKK42,2016,22.0
2016,UKK43,2016,23.83
2017,UKK43,2016,25.52
2018,UKK43,2016,24.39
2016,UKL11,2016,31.9
2017,UKL11,2016,15.48
2018,UKL11,2016,26.89
2016,UKL12,2016,23.24
2017,UKL12,2016,30.43
2018,UKL12,2016,25.22
2016,UKL13,2016,19.2
2017,UKL13,2016,22.31
2018,UKL13,2016,24.29
2016,UKL14,2016,21.65
2017,UKL14,2016,23.17
2018,UKL14,2016,25.25
2016,UKL15,2016,34.14
2017,UKL15,2016,29.67
2018,UKL15,2016,27.74
2016,UKL16,2016,25.41
2017,UKL16,2016,24.41
2018,UKL16,2016,27.13
2016,UKL17,2016,24.93
2017,UKL17,2016,27.26
2018,UKL17,2016,25.07
2016,UKL18,2016,22.46
2017,UKL18,2016,25.17
2018,UKL18,2016,26.0
2016,UKL21,2016,23.03
2017,UKL21,2016,31.66
2018,UKL21,2016,27.56
2016,UKL22,2016,26.1
2017,UKL22,2016,30.07
2018,UKL22,2016,27.23
2016,UKL23,2016,18.25
2017,UKL23,2016,24.02
2018,UKL23,2016,23.41
2016,UKL24,2016,25.8
2017,UKL24,2016,18.83
2018,UKL24,2016,18.2
2016,UKM50,2016,26.36
2017,UKM50,2016,23.25
2018,UKM50,2016,25.0
2016,UKM61,2016,19.59
2017,UKM61,2016,20.24
2018,UKM61,2016,20.26
2016,UKM62,2016,17.2
2017,UKM62,2016,30.17
2018,UKM62,2016,24.28
2016,UKM63,2016,22.13
2017,UKM63,2016,25.21
2018,UKM63,2016,33.22
2016,UKM64,2016,17.22
2017,UKM64,2016,38.0
2018,UKM64,2016,34.92
2016,UKM65,2016,9.78
2017,UKM65,2016,11.08
2018,UKM65,2016,18.78
2016,UKM66,2016,14.15
2017,UKM66,2016,22.08
2018,UKM66,2016,15.61
2016,UKM72,2016,22.96
2017,UKM72,2016,25.02
2018,UKM72,2016,28.62
2016,UKM73,2016,33.5
2017,UKM73,2016,31.17
2018,UKM73,2016,28.78
2016,UKM75,2016,30.92
2017,UKM75,2016,27.63
2018,UKM75,2016,29.17
2016,UKM76,2016,24.97
2017,UKM76,2016,24.83
2018,UKM76,2016,29.18
2016,UKM77,2016,30.02
2017,UKM77,2016,25.79
2018,UKM77,2016,24.84
2016,UKM78,2016,25.55
2017,UKM78,2016,26.19
2018,UKM78,2016,28.45
2016,UKM81,2016,25.09
2017,UKM81,2016,33.95
2018,UKM81,2016,34.19
2016,UKM83,2016,25.7
2017,UKM83,2016,32.13
2018,UKM83,2016,27.66
2016,UKM91,2016,27.36
2017,UKM91,2016,26.16
2018,UKM91,2016,23.28
2016,UKM92,2016,16.07
2017,UKM92,2016,20.05
2018,UKM92,2016,19.05
2016,UKM93,2016,26.19
2017,UKM93,2016,25.06
2018,UKM93,2016,26.22
2016,UKM94,2016,26.65
2017,UKM94,2016,20.69
2018,UKM94,2016,23.34
2016,UKM95,2016,29.14
2017,UKM95,2016,26.3
2018,UKM95,2016,26.34
