year,nuts_id,nuts_year_spec,travel_time_to_road_junctions
2013,UKG31,2013,16.52
2011,UKG32,2010,10.81
2013,UKG32,2013,12.5
2013,UKG33,2013,15.71
2011,UKG33,2010,15.17
2013,UKG36,2013,21.76
2011,UKG36,2010,21.98
2013,UKG37,2013,12.48
2011,UKG37,2010,12.31
2013,UKG38,2013,15.42
2011,UKG38,2010,14.09
2013,UKG39,2013,17.21
2011,UKG39,2010,16.53
2013,UKH11,2013,15.54
2011,UKH11,2010,14.74
2013,UKH12,2013,20.78
2011,UKH12,2010,20.08
2011,UKH13,2010,62.92
2013,UKH14,2013,28.12
2011,UKH14,2010,28.48
2013,UKH15,2013,68.64
2013,UKH16,2013,70.7
2013,UKH17,2013,50.45
2013,UKH21,2013,13.98
2011,UKH21,2010,14.33
2013,UKH23,2013,18.53
2011,UKH23,2010,19.07
2011,UKH24,2010,32.7
2013,UKH24,2013,30.56
2011,UKH25,2010,26.13
2013,UKH25,2013,24.61
2011,UKH31,2010,35.65
2013,UKH31,2013,34.88
2013,UKH32,2013,16.86
2011,UKH32,2010,16.33
2011,UKH33,2010,20.81
2013,UKH34,2013,21.44
2013,UKH35,2013,17.18
2013,UKH36,2013,17.63
2013,UKH37,2013,22.4
2011,UKI11,2010,25.38
2011,UKI12,2010,29.07
2011,UKI21,2010,19.81
2011,UKI22,2010,27.36
2011,UKI23,2010,16.0
2013,UKI31,2013,26.52
2013,UKI32,2013,26.87
2013,UKI33,2013,22.38
2013,UKI34,2013,35.96
2013,UKI41,2013,23.41
2013,UKI42,2013,24.59
2013,UKI43,2013,26.31
2013,UKI44,2013,33.81
2013,UKI45,2013,42.51
2013,UKI51,2013,21.24
2013,UKI52,2013,19.77
2013,UKI53,2013,18.36
2013,UKI54,2013,18.15
2013,UKI61,2013,26.29
2013,UKI62,2013,28.8
2013,UKI63,2013,27.93
2013,UKI71,2013,16.09
2013,UKI72,2013,19.26
2013,UKI73,2013,17.26
2013,UKI74,2013,17.61
2013,UKI75,2013,15.74
2013,UKJ11,2013,18.19
2011,UKJ11,2010,16.23
2013,UKJ12,2013,24.09
2011,UKJ12,2010,23.78
2013,UKJ13,2013,19.95
2011,UKJ13,2010,20.13
2013,UKJ14,2013,21.3
2011,UKJ14,2010,19.43
2013,UKJ21,2013,36.41
2011,UKJ21,2010,33.05
2013,UKJ22,2013,54.29
2011,UKJ22,2010,52.84
2011,UKJ23,2010,18.82
2011,UKJ24,2010,28.57
2013,UKJ25,2013,21.27
2013,UKJ26,2013,16.72
2013,UKJ27,2013,38.23
2013,UKJ28,2013,20.07
2011,UKJ31,2010,11.42
2013,UKJ31,2013,12.37
2011,UKJ32,2010,9.65
2013,UKJ32,2013,10.02
2011,UKJ33,2010,17.03
2013,UKJ35,2013,15.75
2013,UKJ36,2013,19.17
2013,UKJ37,2013,16.77
2011,UKJ41,2010,12.11
2013,UKJ41,2013,14.26
2011,UKJ42,2010,19.14
2013,UKJ43,2013,16.39
2013,UKJ44,2013,23.06
2013,UKJ45,2013,16.82
2013,UKJ46,2013,21.02
2011,UKK11,2010,16.37
2013,UKK11,2013,19.36
2013,UKK12,2013,25.01
2011,UKK12,2010,20.87
2013,UKK13,2013,22.89
2011,UKK13,2010,20.48
2013,UKK14,2013,21.69
2011,UKK14,2010,23.02
2013,UKK15,2013,37.72
2011,UKK15,2010,34.97
2013,UKK21,2013,38.02
2011,UKK21,2010,37.58
2013,UKK22,2013,51.42
2011,UKK22,2010,52.41
2011,UKK23,2010,31.17
2013,UKK23,2013,33.03
2013,UKK30,2013,92.75
2011,UKK30,2010,94.85
2011,UKK41,2010,52.57
2013,UKK41,2013,51.83
2013,UKK42,2013,42.71
2011,UKK42,2010,42.89
2013,UKK43,2013,36.04
2011,UKK43,2010,35.95
2011,UKL11,2010,100.52
2011,UKL12,2010,94.63
2011,UKL13,2010,47.4
2011,UKL14,2010,116.4
2011,UKL15,2010,53.02
2011,UKL16,2010,40.75
2011,UKL17,2010,63.01
2011,UKL18,2010,76.01
2011,UKL21,2010,27.2
2011,UKL22,2010,40.81
2011,UKL23,2010,24.16
2011,UKL24,2010,78.58
