year,nuts_id,nuts_year_spec,total_gtr_projects_stem
2013,UKG2,2016,19
2013,UKE3,2016,90
2013,UKM9,2016,5
2013,UKJ2,2016,96
2013,UKC1,2016,24
2013,UKM8,2016,108
2013,UKG3,2016,174
2013,UKL1,2016,47
2013,UKE4,2016,80
2014,UKH2,2016,75
2014,UKJ1,2016,239
2014,UKD6,2016,24
2014,UKK3,2016,10
2014,UKD1,2016,8
2014,UKF1,2016,93
2014,UKK4,2016,69
2014,UKK2,2016,14
2014,UKH1,2016,323
2014,UKL2,2016,22
2014,UKE1,2016,14
2014,UKM7,2016,164
2014,UKH3,2016,14
2014,UKK1,2016,188
2014,UKD3,2016,126
2014,UKJ3,2016,129
2014,UKG1,2016,30
2014,UKM6,2016,4
2014,UKI4,2016,122
2014,UKI3,2016,293
2014,UKJ4,2016,30
2014,UKD4,2016,49
2014,UKF2,2016,82
2014,UKF3,2016,12
2014,UKD7,2016,100
2014,UKM5,2016,16
2014,UKE2,2016,55
2014,UKC2,2016,48
2014,UKI5,2016,5
2014,UKI6,2016,9
2014,UKI7,2016,53
2014,UKG2,2016,24
2014,UKE3,2016,82
2014,UKM9,2016,9
2014,UKJ2,2016,100
2014,UKC1,2016,19
2014,UKM8,2016,111
2014,UKG3,2016,151
2014,UKL1,2016,54
2014,UKE4,2016,81
2015,UKH2,2016,73
2015,UKJ1,2016,289
2015,UKD6,2016,30
2015,UKK3,2016,8
2015,UKD1,2016,7
2015,UKF1,2016,166
2015,UKK4,2016,72
2015,UKK2,2016,18
2015,UKH1,2016,371
2015,UKL2,2016,22
2015,UKE1,2016,17
2015,UKM7,2016,193
2015,UKH3,2016,21
2015,UKK1,2016,166
2015,UKD3,2016,162
2015,UKJ3,2016,125
2015,UKG1,2016,40
2015,UKM6,2016,4
2015,UKI4,2016,150
2015,UKI3,2016,374
2015,UKJ4,2016,38
2015,UKD4,2016,77
2015,UKF2,2016,77
2015,UKF3,2016,6
2015,UKD7,2016,96
2015,UKM5,2016,36
2015,UKE2,2016,71
2015,UKC2,2016,65
2015,UKI5,2016,9
2015,UKI6,2016,10
2015,UKI7,2016,53
2015,UKG2,2016,36
2015,UKE3,2016,93
2015,UKM9,2016,5
2015,UKJ2,2016,174
2015,UKC1,2016,23
2015,UKM8,2016,112
2015,UKG3,2016,186
2015,UKL1,2016,61
2015,UKE4,2016,116
2016,UKH2,2016,73
2016,UKJ1,2016,354
2016,UKD6,2016,9
2016,UKK3,2016,1
2016,UKD1,2016,0
2016,UKF1,2016,180
2016,UKK4,2016,93
2016,UKK2,2016,10
2016,UKH1,2016,366
2016,UKL2,2016,10
2016,UKE1,2016,6
2016,UKM7,2016,247
2016,UKH3,2016,15
2016,UKK1,2016,229
2016,UKD3,2016,176
2016,UKJ3,2016,170
2016,UKG1,2016,16
2016,UKM6,2016,1
2016,UKI4,2016,117
2016,UKI3,2016,430
2016,UKJ4,2016,24
2016,UKD4,2016,65
2016,UKF2,2016,94
2016,UKF3,2016,9
2016,UKD7,2016,101
2016,UKM5,2016,37
2016,UKE2,2016,73
2016,UKC2,2016,80
2016,UKI5,2016,4
2016,UKI6,2016,6
2016,UKI7,2016,40
2016,UKG2,2016,8
2016,UKE3,2016,137
2016,UKM9,2016,1
2016,UKJ2,2016,126
2016,UKC1,2016,12
2016,UKM8,2016,132
2016,UKG3,2016,198
2016,UKL1,2016,51
2016,UKE4,2016,123
2017,UKH2,2016,97
2017,UKJ1,2016,413
2017,UKD6,2016,22
2017,UKK3,2016,8
2017,UKD1,2016,6
2017,UKF1,2016,178
2017,UKK4,2016,116
2017,UKK2,2016,12
2017,UKH1,2016,464
2017,UKL2,2016,23
2017,UKE1,2016,6
2017,UKM7,2016,239
2017,UKH3,2016,23
2017,UKK1,2016,310
2017,UKD3,2016,248
2017,UKJ3,2016,223
2017,UKG1,2016,39
2017,UKM6,2016,2
2017,UKI4,2016,175
2017,UKI3,2016,544
2017,UKJ4,2016,25
2017,UKD4,2016,73
2017,UKF2,2016,116
2017,UKF3,2016,12
2017,UKD7,2016,133
2017,UKM5,2016,29
2017,UKE2,2016,101
2017,UKC2,2016,104
2017,UKI5,2016,7
2017,UKI6,2016,5
2017,UKI7,2016,50
2017,UKG2,2016,12
2017,UKE3,2016,132
2017,UKM9,2016,8
2017,UKJ2,2016,157
2017,UKC1,2016,12
2017,UKM8,2016,201
2017,UKG3,2016,285
2017,UKL1,2016,65
2017,UKE4,2016,172
2018,UKH2,2016,46
2018,UKJ1,2016,335
2018,UKD6,2016,17
2018,UKD1,2016,3
2018,UKF1,2016,124
2018,UKK4,2016,99
2018,UKK2,2016,4
2018,UKH1,2016,319
2018,UKL2,2016,12
2018,UKE1,2016,10
2018,UKM7,2016,223
2018,UKH3,2016,14
2018,UKK1,2016,197
2018,UKD3,2016,169
2018,UKJ3,2016,165
2018,UKG1,2016,16
2018,UKI4,2016,130
2018,UKI3,2016,400
2018,UKJ4,2016,35
2018,UKD4,2016,66
2018,UKF2,2016,88
2018,UKF3,2016,11
2018,UKD7,2016,99
2018,UKM5,2016,24
2018,UKE2,2016,77
2018,UKC2,2016,87
2018,UKI5,2016,10
2018,UKI6,2016,5
2018,UKI7,2016,31
2018,UKG2,2016,11
2018,UKE3,2016,111
2018,UKM9,2016,4
2018,UKJ2,2016,122
2018,UKC1,2016,7
2018,UKM8,2016,177
2018,UKG3,2016,216
2018,UKL1,2016,66
2018,UKE4,2016,175
