lead_nut_name,lead_nut_code,disc_arts_humanities_project_n,disc_biological_project_n,disc_eng_tech_project_n,disc_env_project_n,disc_maths_comp_project_n,disc_medical_project_n,disc_physics_project_n,disc_social_project_n,disc_arts_humanities_funding_gpb,disc_biological_funding_gpb,disc_eng_tech_funding_gpb,disc_env_funding_gpb,disc_maths_comp_funding_gpb,disc_medical_funding_gpb,disc_physics_funding_gpb,disc_social_funding_gpb
Eastern Scotland,UKM7,302.0,611.0,653.0,377.0,412.0,576.0,134.0,290.0,55728286.0,245250790.0,296262883.0,111999742.0,162116013.0,416042994.0,80356736.0,69678483.0
Essex,UKH3,22.0,26.0,66.0,31.0,48.0,29.0,10.0,51.0,4208669.0,6270718.0,42317268.0,8902424.0,68068054.0,6236462.0,4456352.0,102708747.0
"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,258.0,280.0,1040.0,332.0,420.0,369.0,69.0,250.0,43445628.0,101231569.0,736258823.0,97238018.0,151569808.0,193621126.0,20167766.0,48307268.0
Greater Manchester,UKD3,267.0,339.0,833.0,209.0,247.0,423.0,184.0,246.0,44012254.0,134222117.0,587925889.0,57971549.0,60981139.0,225861732.0,98564494.0,58528073.0
Hampshire and Isle of Wight,UKJ3,135.0,81.0,688.0,447.0,251.0,154.0,114.0,134.0,17939055.0,26941443.0,364460127.0,212019668.0,102348390.0,65198256.0,66860998.0,42353263.0
"Herefordshire, Worcestershire and Warwickshire",UKG1,9.0,16.0,132.0,5.0,50.0,13.0,10.0,7.0,900540.0,4198395.0,64082074.0,786157.0,16458355.0,932030.0,15364756.0,520400.0
Highlands and Islands,UKM6,5.0,2.0,10.0,4.0,4.0,2.0,2.0,2.0,233584.0,246275.0,808541.0,24796.0,168515.0,1357963.0,10000.0,254846.0
Inner London - East,UKI4,369.0,197.0,421.0,80.0,418.0,671.0,115.0,285.0,47383973.0,57809434.0,124217892.0,16745941.0,113424193.0,357086838.0,39043733.0,41584923.0
Inner London - West,UKI3,616.0,635.0,1827.0,527.0,846.0,1656.0,368.0,701.0,128666669.0,295726278.0,1463682254.0,149464819.0,399883960.0,1218680562.0,177514450.0,283996762.0
Kent,UKJ4,64.0,92.0,86.0,18.0,92.0,27.0,13.0,33.0,10320639.0,38209355.0,17423492.0,2055027.0,18356481.0,8885275.0,1029059.0,2988723.0
Lancashire,UKD4,107.0,35.0,186.0,134.0,151.0,36.0,94.0,125.0,14954996.0,6775588.0,59203490.0,35705000.0,47926524.0,7454112.0,27014492.0,17739353.0
"Leicestershire, Rutland and Northamptonshire",UKF2,136.0,107.0,464.0,131.0,176.0,145.0,87.0,99.0,17961237.0,29220913.0,222000726.0,21709634.0,45273409.0,89117698.0,36825792.0,13414725.0
Lincolnshire,UKF3,20.0,25.0,34.0,10.0,17.0,3.0,7.0,7.0,2750894.0,5576291.0,6250907.0,1853988.0,2911856.0,170171.0,5367753.0,1209178.0
Merseyside,UKD7,99.0,175.0,381.0,139.0,146.0,246.0,145.0,62.0,12665598.0,46894090.0,135785790.0,38275041.0,32770211.0,140630704.0,89643560.0,6964936.0
North Eastern Scotland,UKM5,51.0,95.0,64.0,131.0,43.0,69.0,3.0,50.0,9168249.0,31536777.0,20966975.0,27990511.0,20314650.0,27262406.0,381786.0,10598148.0
North Yorkshire,UKE2,112.0,163.0,231.0,142.0,123.0,81.0,43.0,101.0,25490767.0,51827286.0,94545286.0,31261224.0,45100329.0,33210797.0,7991064.0,19243733.0
Northumberland and Tyne and Wear,UKC2,183.0,165.0,325.0,143.0,123.0,212.0,17.0,96.0,21111569.0,67868688.0,165316024.0,30226501.0,76589989.0,126952467.0,2543744.0,15795733.0
Outer London - East and North East,UKI5,7.0,5.0,27.0,5.0,17.0,5.0,6.0,8.0,1453823.0,1433701.0,8413949.0,1328184.0,4136100.0,1345312.0,137200.0,991810.0
Outer London - South,UKI6,29.0,0.0,26.0,2.0,31.0,10.0,3.0,13.0,2162957.0,0.0,5106755.0,61331.0,4444827.0,671808.0,62255.0,2658670.0
Outer London - West and North West,UKI7,63.0,26.0,194.0,22.0,134.0,30.0,31.0,57.0,6533209.0,8572747.0,79194119.0,2734804.0,26556541.0,4211053.0,4904978.0,9755424.0
Shropshire and Staffordshire,UKG2,36.0,23.0,72.0,18.0,29.0,40.0,25.0,32.0,4283812.0,5074134.0,26427595.0,2016525.0,2643829.0,16091687.0,5453348.0,3325900.0
South Yorkshire,UKE3,165.0,176.0,604.0,144.0,163.0,166.0,98.0,122.0,23899166.0,53595790.0,349009287.0,52171146.0,41502670.0,73670568.0,20256098.0,23090363.0
Southern Scotland,UKM9,0.0,4.0,22.0,0.0,12.0,4.0,1.0,1.0,0.0,1579730.0,3797171.0,0.0,765360.0,349582.0,5000.0,5000.0
"Surrey, East and West Sussex",UKJ2,211.0,330.0,414.0,116.0,288.0,186.0,183.0,175.0,46918028.0,131370104.0,176147703.0,25481214.0,105510381.0,87219386.0,57901614.0,36452706.0
Tees Valley and Durham,UKC1,6.0,6.0,92.0,4.0,9.0,7.0,9.0,5.0,389155.0,1881879.0,32471127.0,408337.0,1634194.0,1606125.0,778804.0,1239665.0
West Central Scotland,UKM8,204.0,218.0,736.0,179.0,230.0,247.0,115.0,97.0,36889894.0,89751486.0,464692166.0,44999171.0,73380928.0,146359501.0,66861132.0,33018703.0
West Midlands,UKG3,302.0,373.0,845.0,186.0,417.0,385.0,151.0,291.0,44137183.0,124036388.0,518964469.0,44731375.0,170208332.0,175134768.0,66105585.0,53680569.0
West Wales and The Valleys,UKL1,117.0,108.0,240.0,166.0,101.0,50.0,38.0,66.0,11433088.0,49481326.0,123676349.0,38536683.0,27154070.0,20970796.0,10147643.0,27574180.0
West Yorkshire,UKE4,243.0,183.0,579.0,341.0,204.0,190.0,58.0,104.0,30753208.0,55990322.0,270964049.0,193902226.0,58977779.0,68988758.0,31992238.0,17799647.0
