year,nuts_id,nuts_year_spec,eurostat_private_rd_fte_workforce_data
2016,UKE4,2013,4275.0
2017,UKH2,2013,11804.0
2017,UKJ1,2013,22532.0
2017,UKD6,2013,4573.0
2017,UKK3,2013,606.0
2017,UKD1,2013,1854.0
2017,UKF1,2013,12547.0
2017,UKK4,2013,1983.0
2017,UKK2,2013,2944.0
2017,UKH1,2013,20032.0
2017,UKE1,2013,1919.0
2017,UKL2,2013,2805.0
2017,UKM2,2013,6905.0
2017,UKH3,2013,5549.0
2017,UKK1,2013,13269.0
2017,UKD3,2013,5501.0
2017,UKJ3,2013,8281.0
2017,UKG1,2013,11927.0
2017,UKM6,2013,419.0
2017,UKI4,2013,4556.0
2017,UKI3,2013,12610.0
2017,UKJ4,2013,3572.0
2017,UKD4,2013,3299.0
2017,UKF2,2013,4697.0
2017,UKF3,2013,885.0
2017,UKD7,2013,3565.0
2017,UKM5,2013,1914.0
2017,UKE2,2013,2797.0
2017,UKN0,2013,7444.0
2017,UKC2,2013,3551.0
2017,UKI5,2013,751.0
2017,UKI6,2013,1255.0
2017,UKI7,2013,7213.0
2017,UKG2,2013,2959.0
2017,UKM3,2013,3940.0
2017,UKE3,2013,2438.0
2017,UKJ2,2013,10234.0
2017,UKC1,2013,1865.0
2017,UKG3,2013,7496.0
2017,UKL1,2013,3134.0
2017,UKE4,2013,5612.0
