year,nuts_id,nuts_year_spec,eu_trademark_applications
2009,UKC1,2013,47
2009,UKC2,2013,56
2009,UKD1,2013,14
2009,UKD3,2013,298
2009,UKD4,2013,110
2009,UKD6,2013,77
2009,UKD7,2013,76
2009,UKE1,2013,121
2009,UKE2,2013,91
2009,UKE3,2013,60
2009,UKE4,2013,180
2009,UKF1,2013,208
2009,UKF2,2013,186
2009,UKF3,2013,27
2009,UKG1,2013,155
2009,UKG2,2013,69
2009,UKG3,2013,222
2009,UKH1,2013,219
2009,UKH2,2013,276
2009,UKH3,2013,142
2009,UKI3,2013,1647
2009,UKI4,2013,528
2009,UKI5,2013,95
2009,UKI6,2013,114
2009,UKI7,2013,452
2009,UKJ1,2013,432
2009,UKJ2,2013,366
2009,UKJ3,2013,234
2009,UKJ4,2013,108
2009,UKK1,2013,274
2009,UKK2,2013,102
2009,UKK3,2013,19
2009,UKK4,2013,63
2009,UKL1,2013,76
2009,UKL2,2013,78
2009,UKM2,2013,153
2009,UKM3,2013,125
2009,UKM5,2013,35
2009,UKM6,2013,17
2009,UKN0,2013,88
2008,UKC1,2013,42
2008,UKC2,2013,50
2008,UKD1,2013,6
2008,UKD3,2013,327
2008,UKD4,2013,121
2008,UKD6,2013,106
2008,UKD7,2013,108
2008,UKE1,2013,109
2008,UKE2,2013,57
2008,UKE3,2013,108
2008,UKE4,2013,233
2008,UKF1,2013,150
2008,UKF2,2013,166
2008,UKF3,2013,26
2008,UKG1,2013,139
2008,UKG2,2013,90
2008,UKG3,2013,210
2008,UKH1,2013,242
2008,UKH2,2013,243
2008,UKH3,2013,127
2008,UKI3,2013,1764
2008,UKI4,2013,546
2008,UKI5,2013,109
2008,UKI6,2013,99
2008,UKI7,2013,501
2008,UKJ1,2013,480
2008,UKJ2,2013,427
2008,UKJ3,2013,212
2008,UKJ4,2013,104
2008,UKK1,2013,263
2008,UKK2,2013,149
2008,UKK3,2013,23
2008,UKK4,2013,83
2008,UKL1,2013,71
2008,UKL2,2013,82
2008,UKM2,2013,173
2008,UKM3,2013,116
2008,UKM5,2013,22
2008,UKM6,2013,23
2008,UKN0,2013,106
2007,UKC1,2013,19
2007,UKC2,2013,79
2007,UKD1,2013,17
2007,UKD3,2013,247
2007,UKD4,2013,108
2007,UKD6,2013,119
2007,UKD7,2013,107
2007,UKE1,2013,150
2007,UKE2,2013,86
2007,UKE3,2013,74
2007,UKE4,2013,271
2007,UKF1,2013,204
2007,UKF2,2013,220
2007,UKF3,2013,38
2007,UKG1,2013,185
2007,UKG2,2013,78
2007,UKG3,2013,204
2007,UKH1,2013,290
2007,UKH2,2013,327
2007,UKH3,2013,129
2007,UKI3,2013,1949
2007,UKI4,2013,626
2007,UKI5,2013,85
2007,UKI6,2013,99
2007,UKI7,2013,592
2007,UKJ1,2013,511
2007,UKJ2,2013,439
2007,UKJ3,2013,203
2007,UKJ4,2013,107
2007,UKK1,2013,278
2007,UKK2,2013,122
2007,UKK3,2013,29
2007,UKK4,2013,74
2007,UKL1,2013,88
2007,UKL2,2013,114
2007,UKM2,2013,184
2007,UKM3,2013,137
2007,UKM5,2013,18
2007,UKM6,2013,23
2007,UKN0,2013,108
2006,UKC1,2013,39
2006,UKC2,2013,65
2006,UKD1,2013,23
2006,UKD3,2013,219
2006,UKD4,2013,121
2006,UKD6,2013,110
2006,UKD7,2013,88
2006,UKE1,2013,93
2006,UKE2,2013,79
2006,UKE3,2013,103
2006,UKE4,2013,247
2006,UKF1,2013,148
2006,UKF2,2013,186
2006,UKF3,2013,33
2006,UKG1,2013,158
2006,UKG2,2013,83
2006,UKG3,2013,238
2006,UKH1,2013,286
2006,UKH2,2013,281
2006,UKH3,2013,133
2006,UKI3,2013,1686
2006,UKI4,2013,457
2006,UKI5,2013,85
2006,UKI6,2013,106
2006,UKI7,2013,463
2006,UKJ1,2013,521
2006,UKJ2,2013,431
2006,UKJ3,2013,206
2006,UKJ4,2013,119
2006,UKK1,2013,249
2006,UKK2,2013,100
2006,UKK3,2013,17
2006,UKK4,2013,58
2006,UKL1,2013,89
2006,UKL2,2013,94
2006,UKM2,2013,148
2006,UKM3,2013,159
2006,UKM5,2013,14
2006,UKM6,2013,13
2006,UKN0,2013,84
2005,UKC1,2013,23
2005,UKC2,2013,59
2005,UKD1,2013,14
2005,UKD3,2013,237
2005,UKD4,2013,79
2005,UKD6,2013,127
2005,UKD7,2013,59
2005,UKE1,2013,71
2005,UKE2,2013,59
2005,UKE3,2013,87
2005,UKE4,2013,205
2005,UKF1,2013,149
2005,UKF2,2013,120
2005,UKF3,2013,22
2005,UKG1,2013,113
2005,UKG2,2013,75
2005,UKG3,2013,160
2005,UKH1,2013,228
2005,UKH2,2013,252
2005,UKH3,2013,116
2005,UKI3,2013,1413
2005,UKI4,2013,450
2005,UKI5,2013,64
2005,UKI6,2013,71
2005,UKI7,2013,489
2005,UKJ1,2013,457
2005,UKJ2,2013,312
2005,UKJ3,2013,164
2005,UKJ4,2013,133
2005,UKK1,2013,210
2005,UKK2,2013,96
2005,UKK3,2013,19
2005,UKK4,2013,46
2005,UKL1,2013,52
2005,UKL2,2013,39
2005,UKM2,2013,135
2005,UKM3,2013,100
2005,UKM5,2013,16
2005,UKM6,2013,16
2005,UKN0,2013,74
2004,UKC1,2013,20
2004,UKC2,2013,31
2004,UKD1,2013,11
2004,UKD3,2013,174
2004,UKD4,2013,56
2004,UKD6,2013,86
2004,UKD7,2013,66
2004,UKE1,2013,62
2004,UKE2,2013,62
2004,UKE3,2013,61
2004,UKE4,2013,184
2004,UKF1,2013,129
2004,UKF2,2013,115
2004,UKF3,2013,27
2004,UKG1,2013,90
2004,UKG2,2013,58
2004,UKG3,2013,183
2004,UKH1,2013,190
2004,UKH2,2013,230
2004,UKH3,2013,107
2004,UKI3,2013,1208
2004,UKI4,2013,413
2004,UKI5,2013,91
2004,UKI6,2013,78
2004,UKI7,2013,446
2004,UKJ1,2013,449
2004,UKJ2,2013,367
2004,UKJ3,2013,166
2004,UKJ4,2013,88
2004,UKK1,2013,169
2004,UKK2,2013,78
2004,UKK3,2013,16
2004,UKK4,2013,62
2004,UKL1,2013,42
2004,UKL2,2013,43
2004,UKM2,2013,160
2004,UKM3,2013,124
2004,UKM5,2013,7
2004,UKM6,2013,9
2004,UKN0,2013,68
2003,UKC1,2013,32
2003,UKC2,2013,49
2003,UKD1,2013,22
2003,UKD3,2013,234
2003,UKD4,2013,88
2003,UKD6,2013,95
2003,UKD7,2013,105
2003,UKE1,2013,74
2003,UKE2,2013,55
2003,UKE3,2013,67
2003,UKE4,2013,139
2003,UKF1,2013,150
2003,UKF2,2013,112
2003,UKF3,2013,19
2003,UKG1,2013,112
2003,UKG2,2013,70
2003,UKG3,2013,179
2003,UKH1,2013,168
2003,UKH2,2013,242
2003,UKH3,2013,114
2003,UKI3,2013,1191
2003,UKI4,2013,389
2003,UKI5,2013,78
2003,UKI6,2013,70
2003,UKI7,2013,341
2003,UKJ1,2013,432
2003,UKJ2,2013,307
2003,UKJ3,2013,138
2003,UKJ4,2013,88
2003,UKK1,2013,228
2003,UKK2,2013,91
2003,UKK3,2013,16
2003,UKK4,2013,59
2003,UKL1,2013,50
2003,UKL2,2013,49
2003,UKM2,2013,111
2003,UKM3,2013,113
2003,UKM5,2013,19
2003,UKM6,2013,4
2003,UKN0,2013,57
2002,UKC1,2013,12
2002,UKC2,2013,26
2002,UKD1,2013,15
2002,UKD3,2013,203
2002,UKD4,2013,72
2002,UKD6,2013,66
