year,nuts_id,nuts_year_spec,eurostat_private_rd_headcount_workforce_data
2011,UKC2,2013,2716
2011,UKD1,2013,1715
2011,UKD3,2013,4150
2011,UKD4,2013,3176
2011,UKD6,2013,5853
2011,UKD7,2013,2227
2011,UKE1,2013,0
2011,UKE2,2013,4444
2011,UKE3,2013,1905
2011,UKE4,2013,4232
2011,UKF1,2013,10780
2011,UKF2,2013,4385
2011,UKF3,2013,748
2011,UKG1,2013,7474
2011,UKG2,2013,2569
2011,UKG3,2013,5069
2011,UKH1,2013,17774
2011,UKH2,2013,10581
2011,UKH3,2013,8445
2011,UKI3,2013,7027
2011,UKI4,2013,2585
2011,UKI5,2013,750
2011,UKI6,2013,1681
2011,UKI7,2013,3522
2011,UKJ1,2013,17814
2011,UKJ2,2013,9100
2011,UKJ3,2013,10125
2011,UKJ4,2013,4855
2011,UKK1,2013,13505
2011,UKK2,2013,2706
2011,UKK3,2013,450
2011,UKK4,2013,919
2011,UKL1,2013,2028
2011,UKL2,2013,4259
2011,UKM2,2013,1317
2011,UKM3,2013,5284
2011,UKM5,2013,3446
2011,UKM6,2013,464
2011,UKN0,2013,5388
2012,UKC1,2013,1888
2012,UKC2,2013,2645
2012,UKD1,2013,1505
2012,UKD3,2013,4353
2012,UKD4,2013,3467
2012,UKD6,2013,6002
2012,UKD7,2013,2219
2012,UKE1,2013,1726
2012,UKE2,2013,2372
2012,UKE3,2013,1783
2012,UKE4,2013,4660
2012,UKF1,2013,11158
2012,UKF2,2013,4159
2012,UKF3,2013,761
2012,UKG1,2013,9187
2012,UKG2,2013,2454
2012,UKG3,2013,5877
2012,UKH1,2013,16960
2012,UKH2,2013,10364
2012,UKH3,2013,6468
2012,UKI3,2013,7137
2012,UKI4,2013,2355
2012,UKI5,2013,788
2012,UKI6,2013,1380
2012,UKI7,2013,6398
2012,UKJ1,2013,21222
2012,UKJ2,2013,10304
2012,UKJ3,2013,10115
2012,UKJ4,2013,4037
2012,UKK1,2013,14420
2012,UKK2,2013,2786
2012,UKK3,2013,456
2012,UKK4,2013,888
2012,UKL1,2013,1179
2012,UKL2,2013,3448
2012,UKM2,2013,1557
2012,UKM3,2013,5433
2012,UKM5,2013,3650
2012,UKM6,2013,446
2012,UKN0,2013,6357
2013,UKC1,2013,3174
2013,UKC2,2013,2827
2013,UKD1,2013,1215
2013,UKD3,2013,4220
2013,UKD4,2013,3365
2013,UKD6,2013,5932
2013,UKD7,2013,2513
2013,UKE1,2013,2284
2013,UKE2,2013,3302
2013,UKE3,2013,2330
2013,UKE4,2013,6431
2013,UKF1,2013,13739
2013,UKF2,2013,4700
2013,UKF3,2013,850
2013,UKG1,2013,9379
2013,UKG2,2013,2780
2013,UKG3,2013,7285
2013,UKH1,2013,18357
2013,UKH2,2013,13607
2013,UKH3,2013,6558
2013,UKI3,2013,9171
2013,UKI4,2013,3962
2013,UKI5,2013,860
2013,UKI6,2013,1104
2013,UKI7,2013,5260
2013,UKJ1,2013,23977
2013,UKJ2,2013,10991
2013,UKJ3,2013,11151
2013,UKJ4,2013,3664
2013,UKK1,2013,15387
2013,UKK2,2013,2888
2013,UKK3,2013,428
2013,UKK4,2013,1028
2013,UKL1,2013,1577
2013,UKL2,2013,4489
2013,UKM2,2013,1602
2013,UKM3,2013,6568
2013,UKM5,2013,4629
2013,UKM6,2013,469
2013,UKN0,2013,6717
2014,UKC1,2016,2317
2014,UKC2,2016,3373
2014,UKD1,2016,1952
2014,UKD3,2016,5287
2014,UKD4,2016,3612
2014,UKD6,2016,6931
2014,UKD7,2016,3389
2014,UKE1,2016,2559
2014,UKE2,2016,3486
2014,UKE3,2016,2455
2014,UKE4,2016,6351
2014,UKF1,2016,14480
2014,UKF2,2016,5293
2014,UKF3,2016,960
2014,UKG1,2016,12053
2014,UKG2,2016,3260
2014,UKG3,2016,9177
2014,UKH1,2016,20504
2014,UKH2,2016,13114
2014,UKH3,2016,7019
2014,UKI3,2016,11708
2014,UKI4,2016,5829
2014,UKI5,2016,967
2014,UKI6,2016,1722
2014,UKI7,2016,6621
2014,UKJ1,2016,26535
2014,UKJ2,2016,11533
2014,UKJ3,2016,11274
2014,UKJ4,2016,3941
2014,UKK1,2016,15623
2014,UKK2,2016,3359
2014,UKK3,2016,515
2014,UKK4,2016,1935
2014,UKL1,2016,3927
2014,UKL2,2016,3272
2014,UKM2,2016,2465
2014,UKM3,2016,7095
2014,UKM5,2016,4208
2014,UKM6,2016,426
2014,UKM7,2016,2465
2014,UKM8,2016,5256
2014,UKM9,2016,1838
2014,UKN0,2016,8155
2015,UKC1,2016,2335
2015,UKC2,2016,3962
2015,UKD1,2016,2374
2015,UKD3,2016,6224
2015,UKD4,2016,4103
2015,UKD6,2016,7019
2015,UKD7,2016,3514
2015,UKE1,2016,2476
2015,UKE2,2016,4035
2015,UKE3,2016,2645
2015,UKE4,2016,6795
2015,UKF1,2016,14585
2015,UKF2,2016,5307
2015,UKF3,2016,969
2015,UKG1,2016,12333
2015,UKG2,2016,3478
2015,UKG3,2016,9513
2015,UKH1,2016,22636
2015,UKH2,2016,14193
2015,UKH3,2016,7233
2015,UKI3,2016,12778
2015,UKI4,2016,5481
2015,UKI5,2016,1163
2015,UKI6,2016,1271
2015,UKI7,2016,8549
2015,UKJ1,2016,26565
2015,UKJ2,2016,12234
2015,UKJ3,2016,11834
2015,UKJ4,2016,4193
2015,UKK1,2016,16145
2015,UKK2,2016,3680
2015,UKK3,2016,665
2015,UKK4,2016,2165
2015,UKL1,2016,3975
2015,UKL2,2016,3451
2015,UKM2,2016,8294
2015,UKM3,2016,4744
2015,UKM5,2016,1978
2015,UKM6,2016,465
2015,UKM7,2016,8294
2015,UKM8,2016,3515
2015,UKM9,2016,1229
2015,UKN0,2016,9218
2016,UKC1,2016,2254
2016,UKC2,2016,4564
2016,UKD1,2016,2509
2016,UKD3,2016,6868
2016,UKD4,2016,4909
2016,UKD6,2016,6576
2016,UKD7,2016,4561
2016,UKE1,2016,2601
2016,UKE2,2016,4289
2016,UKE3,2016,2475
2016,UKE4,2016,6625
2016,UKF1,2016,16544
2016,UKF2,2016,5906
2016,UKF3,2016,1113
2016,UKG1,2016,11560
2016,UKG2,2016,3427
2016,UKG3,2016,9970
2016,UKH1,2016,23274
2016,UKH2,2016,14960
2016,UKH3,2016,7527
2016,UKI3,2016,14921
2016,UKI4,2016,5565
2016,UKI5,2016,1166
2016,UKI6,2016,1505
2016,UKI7,2016,8184
2016,UKJ1,2016,29705
2016,UKJ2,2016,12682
2016,UKJ3,2016,11444
2016,UKJ4,2016,4281
2016,UKK1,2016,17220
2016,UKK2,2016,3751
2016,UKK3,2016,666
2016,UKK4,2016,2257
2016,UKL1,2016,4140
2016,UKL2,2016,4001
2016,UKM2,2016,9389
2016,UKM3,2016,5646
2016,UKM5,2016,3249
2016,UKM6,2016,494
2016,UKM7,2016,9389
2016,UKM8,2016,4183
2016,UKM9,2016,1463
2016,UKN0,2016,10871
2017,UKC1,2016,3075
2017,UKC2,2016,5856
2017,UKD1,2016,2890
2017,UKD3,2016,8578
2017,UKD4,2016,5144
2017,UKD6,2016,7131
2017,UKD7,2016,5560
2017,UKE1,2016,3282
2017,UKE2,2016,4785
2017,UKE3,2016,4170
2017,UKE4,2016,9599
2017,UKF1,2016,17741
2017,UKF2,2016,6642
2017,UKF3,2016,1251
2017,UKG1,2016,17285
2017,UKG2,2016,4289
2017,UKG3,2016,10864
2017,UKH1,2016,26668
2017,UKH2,2016,15714
2017,UKH3,2016,7387
2017,UKI3,2016,19383
2017,UKI4,2016,7002
2017,UKI5,2016,1155
2017,UKI6,2016,1929
2017,UKI7,2016,11088
2017,UKJ1,2016,30500
2017,UKJ2,2016,13853
2017,UKJ3,2016,11209
2017,UKJ4,2016,4835
2017,UKK1,2016,19279
2017,UKK2,2016,4278
2017,UKK3,2016,880
2017,UKK4,2016,2881
2017,UKL1,2016,5422
2017,UKL2,2016,4852
2017,UKM2,2016,11358
2017,UKM3,2016,6481
2017,UKM5,2016,3149
2017,UKM6,2016,689
2017,UKM7,2016,11358
2017,UKM8,2016,4802
2017,UKM9,2016,1679
2017,UKN0,2016,10288
2018,UKC1,2016,3673
2018,UKC2,2016,6007
2018,UKD1,2016,3575
2018,UKD3,2016,10006
2018,UKD4,2016,5861
2018,UKD6,2016,7540
2018,UKD7,2016,5708
2018,UKE1,2016,3565
2018,UKE2,2016,5415
2018,UKE3,2016,3758
2018,UKE4,2016,9887
2018,UKF1,2016,19486
2018,UKF2,2016,6639
2018,UKF3,2016,1227
2018,UKG1,2016,20263
2018,UKG2,2016,5021
2018,UKG3,2016,11407
2018,UKH1,2016,29681
2018,UKH2,2016,15600
2018,UKH3,2016,7027
2018,UKI3,2016,21868
2018,UKI4,2016,8297
2018,UKI5,2016,1542
2018,UKI6,2016,1658
2018,UKI7,2016,8878
2018,UKJ1,2016,34380
2018,UKJ2,2016,14495
2018,UKJ3,2016,12292
2018,UKJ4,2016,5152
2018,UKK1,2016,21002
2018,UKK2,2016,4373
2018,UKK3,2016,774
2018,UKK4,2016,3097
2018,UKL1,2016,6045
2018,UKL2,2016,5351
2018,UKM5,2016,3338
2018,UKM6,2016,628
2018,UKM7,2016,12613
2018,UKM8,2016,4815
2018,UKM9,2016,1684
2018,UKN0,2016,11250
