lep_id,lep_year,year,value,variable,description,unit,lep_name
E37000015,2014,2014,2330.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Manchester
E37000015,2014,2015,2345.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Manchester
E37000015,2014,2016,2385.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Manchester
E37000015,2017,2017,2600.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Manchester
E37000015,2017,2018,2710.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Manchester
E37000016,2014,2014,770.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Heart of the South West
E37000016,2014,2015,810.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Heart of the South West
E37000016,2014,2016,795.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Heart of the South West
E37000016,2017,2017,830.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Heart of the South West
E37000016,2017,2018,805.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Heart of the South West
E37000017,2014,2014,160.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Hertfordshire
E37000017,2014,2015,155.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Hertfordshire
E37000017,2014,2016,135.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Hertfordshire
E37000017,2017,2017,165.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Hertfordshire
E37000017,2017,2018,165.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Hertfordshire
E37000018,2014,2014,240.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Humber
E37000018,2014,2015,240.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Humber
E37000018,2014,2016,215.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Humber
E37000018,2017,2017,185.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Humber
E37000018,2017,2018,235.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Humber
E37000019,2014,2014,655.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Lancashire
E37000019,2014,2015,620.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Lancashire
