year,nuts_id,nuts_year_spec,net_migration_rate_international
2010,UKE1,2016,3.42
2011,UKE1,2016,1.45
2012,UKE1,2016,1.44
2013,UKE1,2016,1.59
2014,UKE1,2016,2.49
2015,UKE1,2016,2.39
2016,UKE1,2016,1.26
2017,UKE1,2016,2.22
2018,UKE1,2016,0.78
2009,UKM7,2016,7.52
2010,UKM7,2016,8.27
2011,UKM7,2016,3.62
2012,UKM7,2016,1.21
2013,UKM7,2016,2.56
2014,UKM7,2016,5.4
2015,UKM7,2016,6.15
2016,UKM7,2016,3.83
2017,UKM7,2016,3.38
2018,UKM7,2016,5.63
2009,UKH3,2016,2.01
2010,UKH3,2016,1.49
2011,UKH3,2016,0.98
2012,UKH3,2016,1.33
2013,UKH3,2016,2.47
2014,UKH3,2016,3.55
2015,UKH3,2016,2.78
2016,UKH3,2016,2.09
2017,UKH3,2016,1.8
2018,UKH3,2016,1.75
2009,UKK1,2016,0.97
2010,UKK1,2016,1.38
2011,UKK1,2016,1.08
2012,UKK1,2016,1.19
2013,UKK1,2016,1.58
2014,UKK1,2016,1.96
2015,UKK1,2016,1.47
2016,UKK1,2016,0.58
2017,UKK1,2016,1.95
2018,UKK1,2016,-1.54
2009,UKD3,2016,3.85
2010,UKD3,2016,4.31
2011,UKD3,2016,3.24
2012,UKD3,2016,2.04
2013,UKD3,2016,3.11
2014,UKD3,2016,5.76
2015,UKD3,2016,6.15
2016,UKD3,2016,3.09
2017,UKD3,2016,3.17
2018,UKD3,2016,5.75
2009,UKJ3,2016,2.82
2010,UKJ3,2016,2.05
2011,UKJ3,2016,1.44
2012,UKJ3,2016,1.6
2013,UKJ3,2016,3.36
2014,UKJ3,2016,3.45
2015,UKJ3,2016,3.65
2016,UKJ3,2016,2.27
2017,UKJ3,2016,2.24
2018,UKJ3,2016,1.91
2009,UKG1,2016,1.17
2010,UKG1,2016,1.76
2011,UKG1,2016,2.98
2012,UKG1,2016,2.34
2013,UKG1,2016,3.09
2014,UKG1,2016,3.51
2015,UKG1,2016,3.75
2016,UKG1,2016,3.29
2017,UKG1,2016,2.42
2018,UKG1,2016,1.98
2009,UKM6,2016,1.28
2010,UKM6,2016,1.33
2011,UKM6,2016,-0.92
2012,UKM6,2016,-1.27
2013,UKM6,2016,-0.68
2014,UKM6,2016,0.83
2015,UKM6,2016,1.26
2016,UKM6,2016,0.12
2017,UKM6,2016,-0.23
2018,UKM6,2016,0.51
2009,UKI4,2016,15.77
2010,UKI4,2016,17.64
2011,UKI4,2016,13.74
2012,UKI4,2016,14.75
2013,UKI4,2016,17.55
2014,UKI4,2016,18.6
2015,UKI4,2016,15.68
2016,UKI4,2016,10.83
2017,UKI4,2016,13.82
2018,UKI4,2016,8.08
2009,UKI3,2016,2.02
2010,UKI3,2016,12.57
2011,UKI3,2016,8.56
2012,UKI3,2016,12.86
2013,UKI3,2016,16.33
2014,UKI3,2016,21.87
2015,UKI3,2016,16.5
2016,UKI3,2016,11.83
2017,UKI3,2016,25.05
2018,UKI3,2016,16.17
2009,UKJ4,2016,3.66
2010,UKJ4,2016,1.64
2011,UKJ4,2016,1.56
2012,UKJ4,2016,1.41
2013,UKJ4,2016,3.1
2014,UKJ4,2016,3.62
2015,UKJ4,2016,3.98
2016,UKJ4,2016,2.72
2017,UKJ4,2016,2.37
2018,UKJ4,2016,1.81
2009,UKD4,2016,2.51
2010,UKD4,2016,2.48
2011,UKD4,2016,2.1
2012,UKD4,2016,1.64
2013,UKD4,2016,1.81
2014,UKD4,2016,2.66
2015,UKD4,2016,2.74
2016,UKD4,2016,1.71
2017,UKD4,2016,3.54
2018,UKD4,2016,3.82
2009,UKF2,2016,3.31
2010,UKF2,2016,4.41
2011,UKF2,2016,2.54
2012,UKF2,2016,3.51
2013,UKF2,2016,5.76
2014,UKF2,2016,6.9
2015,UKF2,2016,7.11
2016,UKF2,2016,5.61
2017,UKF2,2016,3.71
2018,UKF2,2016,4.24
2009,UKF3,2016,4.03
2010,UKF3,2016,1.82
2011,UKF3,2016,1.99
2012,UKF3,2016,2.44
2013,UKF3,2016,3.51
2014,UKF3,2016,3.87
2015,UKF3,2016,3.92
2016,UKF3,2016,2.87
2017,UKF3,2016,1.11
2018,UKF3,2016,1.99
2009,UKD7,2016,2.5
2010,UKD7,2016,3.17
2011,UKD7,2016,3.04
2012,UKD7,2016,2.4
2013,UKD7,2016,2.81
2014,UKD7,2016,4.28
2015,UKD7,2016,4.1
2016,UKD7,2016,1.55
2017,UKD7,2016,2.22
2018,UKD7,2016,4.09
2009,UKM5,2016,7.9
2010,UKM5,2016,8.46
2011,UKM5,2016,3.87
2012,UKM5,2016,2.34
2013,UKM5,2016,3.37
2014,UKM5,2016,5.58
2015,UKM5,2016,4.61
2016,UKM5,2016,2.84
2017,UKM5,2016,1.74
2018,UKM5,2016,3.64
2009,UKE2,2016,2.25
2010,UKE2,2016,2.79
2011,UKE2,2016,0.86
2012,UKE2,2016,2.18
2013,UKE2,2016,1.83
2014,UKE2,2016,2.91
2015,UKE2,2016,2.46
2016,UKE2,2016,1.78
2017,UKE2,2016,3.23
2018,UKE2,2016,1.37
2009,UKN0,2016,0.99
2010,UKN0,2016,-0.68
2011,UKN0,2016,0.11
2012,UKN0,2016,-0.7
2013,UKN0,2016,1.22
2014,UKN0,2016,1.55
2015,UKN0,2016,0.59
2016,UKN0,2016,0.16
2017,UKN0,2016,2.14
2018,UKN0,2016,1.96
2009,UKC2,2016,3.69
2010,UKC2,2016,3.02
2011,UKC2,2016,1.14
2012,UKC2,2016,2.42
2013,UKC2,2016,1.47
2014,UKC2,2016,2.27
2015,UKC2,2016,3.09
2016,UKC2,2016,1.59
2017,UKC2,2016,3.62
2018,UKC2,2016,2.83
2009,UKI5,2016,10.03
2010,UKI5,2016,10.06
2011,UKI5,2016,6.99
2012,UKI5,2016,7.03
2013,UKI5,2016,10.34
2014,UKI5,2016,11.54
2015,UKI5,2016,12.14
2016,UKI5,2016,9.45
2017,UKI5,2016,9.62
2018,UKI5,2016,7.57
2009,UKI6,2016,5.33
2010,UKI6,2016,5.99
2011,UKI6,2016,3.01
2012,UKI6,2016,3.79
2013,UKI6,2016,5.11
2014,UKI6,2016,5.65
2015,UKI6,2016,5.6
2016,UKI6,2016,3.54
2017,UKI6,2016,4.68
2018,UKI6,2016,3.35
2009,UKI7,2016,11.39
2010,UKI7,2016,13.29
2011,UKI7,2016,7.12
2012,UKI7,2016,7.95
2013,UKI7,2016,11.82
2014,UKI7,2016,14.31
2015,UKI7,2016,13.55
2016,UKI7,2016,10.28
2017,UKI7,2016,11.81
2018,UKI7,2016,8.81
2009,UKG2,2016,1.4
2010,UKG2,2016,1.86
2011,UKG2,2016,1.21
2012,UKG2,2016,0.88
2013,UKG2,2016,1.48
2014,UKG2,2016,2.17
2015,UKG2,2016,2.84
2016,UKG2,2016,2.35
2017,UKG2,2016,2.15
2018,UKG2,2016,1.99
2009,UKE3,2016,4.83
2010,UKE3,2016,5.46
2011,UKE3,2016,3.6
2012,UKE3,2016,4.1
2013,UKE3,2016,3.77
2014,UKE3,2016,6.0
2015,UKE3,2016,5.18
2016,UKE3,2016,4.34
2017,UKE3,2016,4.7
2018,UKE3,2016,4.17
2009,UKM9,2016,-0.49
2010,UKM9,2016,0.09
2011,UKM9,2016,-1.17
2012,UKM9,2016,-1.57
2013,UKM9,2016,-1.36
2014,UKM9,2016,-0.45
2015,UKM9,2016,0.19
2016,UKM9,2016,-0.24
2017,UKM9,2016,-0.8
2018,UKM9,2016,-0.27
2009,UKJ2,2016,4.1
2010,UKJ2,2016,2.65
2011,UKJ2,2016,2.58
2012,UKJ2,2016,3.11
2013,UKJ2,2016,4.63
2014,UKJ2,2016,4.84
2015,UKJ2,2016,5.28
2016,UKJ2,2016,3.15
2017,UKJ2,2016,4.02
2018,UKJ2,2016,3.33
2009,UKC1,2016,2.26
2010,UKC1,2016,2.27
2011,UKC1,2016,1.28
2012,UKC1,2016,2.07
2013,UKC1,2016,1.5
2014,UKC1,2016,1.96
2015,UKC1,2016,2.87
2016,UKC1,2016,1.94
2017,UKC1,2016,4.28
2018,UKC1,2016,3.73
2009,UKM8,2016,5.12
2010,UKM8,2016,6.74
2011,UKM8,2016,2.91
2012,UKM8,2016,1.39
2013,UKM8,2016,3.41
2014,UKM8,2016,6.59
2015,UKM8,2016,7.6
2016,UKM8,2016,4.96
2017,UKM8,2016,4.56
2018,UKM8,2016,7.16
2009,UKG3,2016,5.61
2010,UKG3,2016,6.36
2011,UKG3,2016,4.02
2012,UKG3,2016,3.32
2013,UKG3,2016,4.8
2014,UKG3,2016,7.09
2015,UKG3,2016,9.2
2016,UKG3,2016,7.05
2017,UKG3,2016,6.41
2018,UKG3,2016,4.75
2009,UKL1,2016,-0.12
2010,UKL1,2016,0.68
2011,UKL1,2016,0.9
2012,UKL1,2016,2.15
2013,UKL1,2016,1.88
2014,UKL1,2016,2.27
2015,UKL1,2016,2.78
2016,UKL1,2016,1.65
2017,UKL1,2016,2.2
2018,UKL1,2016,2.32
2009,UKE4,2016,4.8
2010,UKE4,2016,5.0
2011,UKE4,2016,2.05
2012,UKE4,2016,2.08
2013,UKE4,2016,1.78
2014,UKE4,2016,3.69
2015,UKE4,2016,3.7
2016,UKE4,2016,2.63
2017,UKE4,2016,4.03
2018,UKE4,2016,2.73
