year,nuts_id,nuts_year_spec,net_migration_rate_international
2015,UKD62,2016,0.83
2016,UKD62,2016,-0.36
2017,UKD62,2016,-0.32
2018,UKD62,2016,1.02
2009,UKD47,2016,2.2
2010,UKD47,2016,2.09
2011,UKD47,2016,1.52
2012,UKD47,2016,1.21
2013,UKD47,2016,1.32
2014,UKD47,2016,1.3
2015,UKD47,2016,1.37
2016,UKD47,2016,0.65
2017,UKD47,2016,1.58
2018,UKD47,2016,1.86
2009,UKM75,2016,15.54
2010,UKM75,2016,16.9
2011,UKM75,2016,8.41
2012,UKM75,2016,4.01
2013,UKM75,2016,6.65
2014,UKM75,2016,12.13
2015,UKM75,2016,13.39
2016,UKM75,2016,8.78
2017,UKM75,2016,8.31
2018,UKM75,2016,12.78
2009,UKM72,2016,3.34
2010,UKM72,2016,3.45
2011,UKM72,2016,0.92
2012,UKM72,2016,-0.16
2013,UKM72,2016,0.27
2014,UKM72,2016,2.18
2015,UKM72,2016,2.76
2016,UKM72,2016,1.77
2017,UKM72,2016,0.69
2018,UKM72,2016,2.03
2009,UKL13,2016,-2.19
2010,UKL13,2016,-1.03
2011,UKL13,2016,-0.32
2012,UKL13,2016,0.94
2013,UKL13,2016,0.62
2014,UKL13,2016,0.7
2015,UKL13,2016,1.15
2016,UKL13,2016,0.62
2017,UKL13,2016,1.12
2018,UKL13,2016,1.13
2009,UKK30,2016,1.21
2010,UKK30,2016,1.44
2011,UKK30,2016,1.29
2012,UKK30,2016,0.85
2013,UKK30,2016,1.05
2014,UKK30,2016,0.91
2015,UKK30,2016,0.83
2016,UKK30,2016,0.23
2017,UKK30,2016,1.31
2018,UKK30,2016,-0.97
2009,UKG33,2016,14.98
2010,UKG33,2016,16.43
2011,UKG33,2016,13.87
2012,UKG33,2016,13.99
2013,UKG33,2016,14.74
2014,UKG33,2016,22.98
2015,UKG33,2016,21.66
2016,UKG33,2016,17.51
2017,UKG33,2016,20.8
2018,UKG33,2016,20.39
2009,UKI62,2016,5.59
2010,UKI62,2016,5.46
2011,UKI62,2016,4.79
2012,UKI62,2016,4.57
2013,UKI62,2016,6.25
2014,UKI62,2016,6.43
2015,UKI62,2016,6.64
2016,UKI62,2016,4.22
2017,UKI62,2016,4.81
2018,UKI62,2016,3.33
