year,nuts_id,nuts_year_spec,total_stem_postgraduates
2017,UKJ13,2013,25.0
2018,UKJ13,2016,25.0
2014,UKJ14,2010,2210.0
2015,UKJ14,2013,2455.0
2016,UKJ14,2013,2475.0
2017,UKJ14,2013,2345.0
2018,UKJ14,2016,2390.0
2014,UKJ21,2010,465.0
2015,UKJ21,2013,495.0
2016,UKJ21,2013,455.0
2017,UKJ21,2013,420.0
2018,UKJ21,2016,405.0
2014,UKJ23,2010,910.0
2014,UKJ24,2010,10.0
2015,UKJ25,2013,865.0
2016,UKJ25,2013,830.0
2017,UKJ25,2013,785.0
2018,UKJ25,2016,825.0
2015,UKJ27,2013,10.0
2016,UKJ27,2013,10.0
2017,UKJ27,2013,15.0
2018,UKJ27,2016,10.0
2014,UKJ31,2010,150.0
2015,UKJ31,2013,150.0
2016,UKJ31,2013,185.0
2017,UKJ31,2013,180.0
2018,UKJ31,2016,170.0
2014,UKJ32,2010,1475.0
2015,UKJ32,2013,1440.0
2016,UKJ32,2013,1365.0
2017,UKJ32,2013,1330.0
2018,UKJ32,2016,1305.0
2014,UKJ33,2010,0.0
2015,UKJ36,2013,10.0
2016,UKJ36,2013,10.0
2017,UKJ36,2013,10.0
2018,UKJ36,2016,5.0
2014,UKJ42,2010,530.0
2015,UKJ44,2013,530.0
2016,UKJ44,2013,550.0
2017,UKJ44,2013,530.0
2018,UKJ44,2016,560.0
2014,UKK11,2010,1100.0
2015,UKK11,2013,1100.0
2016,UKK11,2013,1145.0
2017,UKK11,2013,1145.0
2018,UKK11,2016,1195.0
2014,UKK12,2010,615.0
2015,UKK12,2013,630.0
2016,UKK12,2013,710.0
2017,UKK12,2013,755.0
2018,UKK12,2016,740.0
2014,UKK13,2010,35.0
2015,UKK13,2013,25.0
2016,UKK13,2013,30.0
2017,UKK13,2013,25.0
2018,UKK13,2016,15.0
2014,UKK21,2010,155.0
2015,UKK21,2013,15.0
2016,UKK21,2013,0.0
2017,UKK21,2013,0.0
2018,UKK21,2016,0.0
2014,UKK30,2010,0.0
2015,UKK30,2013,0.0
2016,UKK30,2013,0.0
2017,UKK30,2013,0.0
2018,UKK30,2016,0.0
2014,UKK41,2010,280.0
2015,UKK41,2013,270.0
2016,UKK41,2013,240.0
2017,UKK41,2013,215.0
2018,UKK41,2016,160.0
2014,UKK43,2010,490.0
2015,UKK43,2013,540.0
2016,UKK43,2013,555.0
2017,UKK43,2013,615.0
2018,UKK43,2016,645.0
2014,UKL12,2010,235.0
2015,UKL12,2013,215.0
2016,UKL12,2013,235.0
2017,UKL12,2013,220.0
2018,UKL12,2016,245.0
2014,UKL14,2010,150.0
2015,UKL14,2013,185.0
2016,UKL14,2013,175.0
2017,UKL14,2013,180.0
2018,UKL14,2016,155.0
2014,UKL15,2010,60.0
2015,UKL15,2013,50.0
2016,UKL15,2013,55.0
2017,UKL15,2013,85.0
2018,UKL15,2016,105.0
2014,UKL18,2010,355.0
2015,UKL18,2013,375.0
2016,UKL18,2013,465.0
2017,UKL18,2013,435.0
2018,UKL18,2016,505.0
2014,UKL22,2010,805.0
