year,nuts_id,nuts_year_spec,area_university_site
2017,UKE41,2013,20.08
2018,UKE41,2016,19.98
2015,UKE42,2013,193.59199999999998
2016,UKE42,2013,205.821
2017,UKE42,2013,200.962
2018,UKE42,2016,201.76600000000002
2015,UKE44,2013,17.45
2016,UKE44,2013,17.35
2017,UKE44,2013,17.39
2018,UKE44,2016,17.39
2015,UKF11,2013,47.65
2016,UKF11,2013,48.62
2017,UKF11,2013,48.62
2018,UKF11,2016,48.62
2015,UKF14,2013,489.182
2016,UKF14,2013,489.208
2017,UKF14,2013,489.485
2018,UKF14,2016,495.469
2015,UKF21,2013,103.364
2016,UKF21,2013,112.24000000000001
2017,UKF21,2013,112.824
2018,UKF21,2016,112.713
2015,UKF22,2013,121.082
2016,UKF22,2013,120.752
2017,UKF22,2013,120.752
2018,UKF22,2016,120.752
2015,UKF24,2013,45.0
2016,UKF24,2013,45.0
2017,UKF24,2013,45.0
2018,UKF24,2016,39.0
2015,UKF30,2013,455.458
2016,UKF30,2013,264.918
2017,UKF30,2013,264.918
2018,UKF30,2016,264.918
2015,UKG12,2013,86.212
2016,UKG12,2013,86.212
2017,UKG12,2013,86.404
2018,UKG12,2016,86.429
2015,UKG21,2013,143.6
2016,UKG21,2013,143.6
2017,UKG21,2013,143.6
2018,UKG21,2016,143.6
2015,UKG23,2013,58.0
2016,UKG23,2013,52.0
2017,UKG23,2013,52.0
2018,UKG23,2016,52.0
2015,UKG24,2013,209.8
2016,UKG24,2013,209.8
2017,UKG24,2013,209.8
2018,UKG24,2016,209.8
2015,UKG31,2013,169.67
2016,UKG31,2013,169.07
2017,UKG31,2013,162.6
2018,UKG31,2016,67.09
2015,UKG33,2013,260.542
2016,UKG33,2013,527.34
2017,UKG33,2013,526.23
2018,UKG33,2016,306.189
2015,UKG39,2013,37.818
2016,UKG39,2013,37.821
2017,UKG39,2013,37.849
2018,UKG39,2016,38.117
2015,UKH12,2013,288.0
2016,UKH12,2013,163.0
2017,UKH12,2013,177.0
2018,UKH12,2016,238.41
2015,UKH14,2013,7.1
2016,UKH14,2013,7.1
2017,UKH14,2013,7.1
2018,UKH14,2016,7.1
2015,UKH15,2013,147.47
2016,UKH15,2013,147.47
2017,UKH15,2013,147.54
2018,UKH15,2016,146.0
2015,UKH21,2013,36.542
2016,UKH21,2013,36.273
2017,UKH21,2013,36.218
2018,UKH21,2016,36.218
2015,UKH23,2013,94.46
2016,UKH23,2013,94.46
2017,UKH23,2013,94.46
2018,UKH23,2016,94.46
2015,UKH25,2013,254.4
2016,UKH25,2013,254.4
2017,UKH25,2013,254.4
2018,UKH25,2016,254.4
2015,UKH34,2013,111.56
2016,UKH34,2013,111.56
2017,UKH34,2013,111.56
2018,UKH34,2016,111.56
2015,UKH36,2013,242.781
2016,UKH36,2013,242.797
2017,UKH36,2013,22.801
2018,UKH36,2016,22.801
2015,UKI31,2013,314.166
2016,UKI31,2013,315.60200000000003
2017,UKI31,2013,315.611
2018,UKI31,2016,317.833
2015,UKI32,2013,228.74
2016,UKI32,2013,236.209
2017,UKI32,2013,203.17200000000003
2018,UKI32,2016,204.472
2015,UKI33,2013,5.576
2016,UKI33,2013,5.576
2017,UKI33,2013,5.576
2018,UKI33,2016,5.576
2015,UKI34,2013,2.27
2016,UKI34,2013,2.27
2017,UKI34,2013,2.27
2018,UKI34,2016,2.27
2015,UKI41,2013,13.35
2016,UKI41,2013,13.35
2017,UKI41,2013,13.35
2018,UKI41,2016,13.35
2015,UKI42,2013,26.292
2016,UKI42,2013,26.292
2017,UKI42,2013,26.292
2018,UKI42,2016,26.509
2015,UKI43,2013,13.928
2016,UKI43,2013,13.767999999999999
2017,UKI43,2013,13.568
2018,UKI43,2016,13.948
2015,UKI44,2013,24.993000000000002
2016,UKI44,2013,24.993000000000002
2017,UKI44,2013,24.993000000000002
2018,UKI44,2016,7.48
2015,UKI51,2013,48.998999999999995
2016,UKI51,2013,48.998999999999995
2017,UKI51,2013,48.998999999999995
2018,UKI51,2016,48.998999999999995
2015,UKI63,2013,50.92
2016,UKI63,2013,50.92
2017,UKI63,2013,50.92
2018,UKI63,2016,50.92
2015,UKI71,2013,10.947
2016,UKI71,2013,10.947
2017,UKI71,2013,10.947
2018,UKI71,2016,10.947
2015,UKI73,2013,2.44
2016,UKI73,2013,2.423
2017,UKI73,2013,2.423
2018,UKI73,2016,2.423
2015,UKI74,2013,78.35
2016,UKI74,2013,78.35
2017,UKI74,2013,197.83
2018,UKI74,2016,78.35
2015,UKI75,2013,17.23
2016,UKI75,2013,17.23
2017,UKI75,2013,17.23
2018,UKI75,2016,17.23
2015,UKJ11,2013,130.9
2016,UKJ11,2013,130.9
2017,UKJ11,2013,130.9
2018,UKJ11,2016,130.9
2015,UKJ12,2013,58.2
2016,UKJ12,2013,52.97
2017,UKJ12,2013,52.74
2018,UKJ12,2016,52.681
2015,UKJ13,2013,8.1
2016,UKJ13,2013,8.1
2017,UKJ13,2013,8.1
2018,UKJ13,2016,8.5
2015,UKJ14,2013,144.6
2016,UKJ14,2013,530.04
2017,UKJ14,2013,609.5790000000001
2018,UKJ14,2016,613.84
2015,UKJ21,2013,142.665
2016,UKJ21,2013,144.045
2017,UKJ21,2013,144.045
2018,UKJ21,2016,144.045
2015,UKJ25,2013,209.231
2016,UKJ25,2013,171.59
2017,UKJ25,2013,174.2
2018,UKJ25,2016,181.63
2015,UKJ27,2013,28.603
2016,UKJ27,2013,28.603
2017,UKJ27,2013,28.603
2018,UKJ27,2016,0.0
2015,UKJ31,2013,0.0
2016,UKJ31,2013,0.0
2017,UKJ31,2013,0.0
2018,UKJ31,2016,70.976
2015,UKJ32,2013,139.62199999999999
2016,UKJ32,2013,131.002
2017,UKJ32,2013,130.03199999999998
