year,nuts_id,nuts_year_spec,total_postgraduates
2017,UKE41,2013,215.0
2018,UKE41,2016,215.0
2014,UKE42,2010,2270.0
2015,UKE42,2013,2385.0
2016,UKE42,2013,2425.0
2017,UKE42,2013,2415.0
2018,UKE42,2016,2445.0
2014,UKE44,2010,595.0
2015,UKE44,2013,580.0
2016,UKE44,2013,590.0
2017,UKE44,2013,675.0
2018,UKE44,2016,625.0
2014,UKF11,2010,50.0
2015,UKF11,2013,100.0
2016,UKF11,2013,100.0
2017,UKF11,2013,110.0
2018,UKF11,2016,120.0
2014,UKF14,2010,3015.0
2015,UKF14,2013,2990.0
2016,UKF14,2013,3035.0
2017,UKF14,2013,2995.0
2018,UKF14,2016,3035.0
2014,UKF21,2010,1230.0
2015,UKF21,2013,1305.0
2016,UKF21,2013,1230.0
2017,UKF21,2013,1190.0
2018,UKF21,2016,1220.0
2014,UKF22,2010,920.0
2015,UKF22,2013,930.0
2016,UKF22,2013,900.0
2017,UKF22,2013,830.0
2018,UKF22,2016,940.0
2014,UKF24,2010,85.0
2015,UKF24,2013,80.0
2016,UKF24,2013,70.0
2017,UKF24,2013,85.0
2018,UKF24,2016,90.0
2014,UKF30,2010,240.0
2015,UKF30,2013,255.0
2016,UKF30,2013,255.0
2017,UKF30,2013,260.0
2018,UKF30,2016,275.0
2014,UKG12,2010,35.0
2015,UKG12,2013,25.0
2016,UKG12,2013,35.0
2017,UKG12,2013,35.0
2018,UKG12,2016,50.0
2014,UKG21,2010,35.0
2015,UKG21,2013,45.0
2016,UKG21,2013,40.0
2017,UKG21,2013,25.0
2018,UKG21,2016,30.0
2014,UKG23,2010,125.0
2015,UKG23,2013,90.0
2016,UKG23,2013,105.0
2017,UKG23,2013,80.0
2018,UKG23,2016,95.0
2014,UKG24,2010,290.0
2015,UKG24,2013,275.0
2016,UKG24,2013,265.0
2017,UKG24,2013,260.0
2018,UKG24,2016,245.0
2014,UKG31,2010,2490.0
2015,UKG31,2013,2500.0
2016,UKG31,2013,2500.0
2017,UKG31,2013,2550.0
2018,UKG31,2016,2805.0
2014,UKG33,2010,1775.0
2015,UKG33,2013,1815.0
2016,UKG33,2013,1845.0
2017,UKG33,2013,1890.0
2018,UKG33,2016,1825.0
2014,UKG39,2010,170.0
2015,UKG39,2013,195.0
2016,UKG39,2013,200.0
2017,UKG39,2013,175.0
2018,UKG39,2016,160.0
2014,UKH12,2010,4705.0
2015,UKH12,2013,4710.0
2016,UKH12,2013,4610.0
2017,UKH12,2013,4555.0
2018,UKH12,2016,4205.0
2014,UKH13,2010,815.0
2014,UKH14,2010,0.0
2015,UKH14,2013,0.0
2016,UKH14,2013,0.0
2017,UKH14,2013,0.0
2018,UKH14,2016,15.0
2015,UKH15,2013,775.0
2016,UKH15,2013,855.0
2017,UKH15,2013,860.0
2018,UKH15,2016,935.0
2014,UKH21,2010,195.0
2015,UKH21,2013,155.0
2016,UKH21,2013,115.0
2017,UKH21,2013,110.0
2018,UKH21,2016,100.0
2014,UKH23,2010,225.0
2015,UKH23,2013,225.0
2016,UKH23,2013,215.0
2017,UKH23,2013,260.0
2018,UKH23,2016,240.0
2014,UKH25,2010,585.0
2015,UKH25,2013,565.0
2016,UKH25,2013,540.0
2017,UKH25,2013,525.0
2018,UKH25,2016,510.0
2014,UKH33,2010,895.0
2015,UKH34,2013,585.0
2016,UKH34,2013,440.0
2017,UKH34,2013,565.0
2018,UKH34,2016,590.0
2015,UKH36,2013,325.0
2016,UKH36,2013,280.0
2017,UKH36,2013,255.0
2018,UKH36,2016,235.0
2014,UKI11,2010,11855.0
2014,UKI12,2010,2135.0
2014,UKI21,2010,315.0
2014,UKI22,2010,235.0
2014,UKI23,2010,1120.0
2015,UKI31,2013,5500.0
2016,UKI31,2013,5500.0
2017,UKI31,2013,5445.0
2018,UKI31,2016,5555.0
2015,UKI32,2013,6025.0
2016,UKI32,2013,6080.0
2017,UKI32,2013,6300.0
2018,UKI32,2016,6675.0
2015,UKI33,2013,125.0
2016,UKI33,2013,110.0
2017,UKI33,2013,115.0
2018,UKI33,2016,110.0
2015,UKI34,2013,250.0
2016,UKI34,2013,240.0
2017,UKI34,2013,240.0
2018,UKI34,2016,235.0
2015,UKI41,2013,230.0
2016,UKI41,2013,220.0
2017,UKI41,2013,160.0
2018,UKI41,2016,155.0
2015,UKI42,2013,1035.0
2016,UKI42,2013,1085.0
2017,UKI42,2013,1070.0
2018,UKI42,2016,1145.0
2015,UKI43,2013,475.0
2016,UKI43,2013,450.0
2017,UKI43,2013,390.0
2018,UKI43,2016,360.0
2015,UKI44,2013,345.0
2016,UKI44,2013,360.0
2017,UKI44,2013,360.0
2018,UKI44,2016,345.0
2015,UKI51,2013,325.0
2016,UKI51,2013,295.0
2017,UKI51,2013,260.0
2018,UKI51,2016,265.0
2015,UKI63,2013,285.0
2016,UKI63,2013,275.0
2017,UKI63,2013,245.0
2018,UKI63,2016,225.0
2015,UKI71,2013,415.0
2016,UKI71,2013,415.0
2017,UKI71,2013,395.0
2018,UKI71,2016,380.0
2015,UKI73,2013,45.0
2016,UKI73,2013,60.0
2017,UKI73,2013,45.0
2018,UKI73,2016,50.0
2015,UKI74,2013,495.0
2016,UKI74,2013,365.0
2017,UKI74,2013,345.0
2018,UKI74,2016,420.0
2015,UKI75,2013,25.0
2016,UKI75,2013,30.0
2017,UKI75,2013,40.0
2018,UKI75,2016,40.0
2014,UKJ11,2010,960.0
2015,UKJ11,2013,880.0
2016,UKJ11,2013,765.0
2017,UKJ11,2013,730.0
2018,UKJ11,2016,770.0
2014,UKJ12,2010,215.0
2015,UKJ12,2013,240.0
2016,UKJ12,2013,280.0
2017,UKJ12,2013,305.0
2018,UKJ12,2016,305.0
2014,UKJ13,2010,150.0
2015,UKJ13,2013,150.0
2016,UKJ13,2013,145.0
2017,UKJ13,2013,160.0
2018,UKJ13,2016,155.0
2014,UKJ14,2010,4760.0
2015,UKJ14,2013,5215.0
2016,UKJ14,2013,5150.0
2017,UKJ14,2013,4570.0
2018,UKJ14,2016,4675.0
2014,UKJ21,2010,1010.0
2015,UKJ21,2013,1085.0
2016,UKJ21,2013,1020.0
2017,UKJ21,2013,940.0
2018,UKJ21,2016,990.0
2014,UKJ23,2010,1435.0
2014,UKJ24,2010,20.0
2015,UKJ25,2013,1370.0
2016,UKJ25,2013,1355.0
2017,UKJ25,2013,1315.0
2018,UKJ25,2016,1310.0
2015,UKJ27,2013,30.0
2016,UKJ27,2013,35.0
2017,UKJ27,2013,40.0
2018,UKJ27,2016,35.0
2014,UKJ31,2010,280.0
2015,UKJ31,2013,270.0
2016,UKJ31,2013,325.0
2017,UKJ31,2013,335.0
2018,UKJ31,2016,345.0
2014,UKJ32,2010,2280.0
2015,UKJ32,2013,2175.0
2016,UKJ32,2013,2015.0
2017,UKJ32,2013,1865.0
2018,UKJ32,2016,1805.0
2014,UKJ33,2010,10.0
2015,UKJ36,2013,35.0
2016,UKJ36,2013,30.0
2017,UKJ36,2013,30.0
2018,UKJ36,2016,35.0
2014,UKJ42,2010,1135.0
2015,UKJ44,2013,1170.0
2016,UKJ44,2013,1195.0
2017,UKJ44,2013,1175.0
2018,UKJ44,2016,1180.0
2014,UKK11,2010,1740.0
2015,UKK11,2013,1715.0
2016,UKK11,2013,1785.0
2017,UKK11,2013,1785.0
2018,UKK11,2016,1785.0
2014,UKK12,2010,955.0
2015,UKK12,2013,970.0
2016,UKK12,2013,1090.0
2017,UKK12,2013,1150.0
2018,UKK12,2016,1135.0
2014,UKK13,2010,120.0
2015,UKK13,2013,120.0
2016,UKK13,2013,145.0
2017,UKK13,2013,110.0
2018,UKK13,2016,90.0
2014,UKK21,2010,340.0
2015,UKK21,2013,335.0
2016,UKK21,2013,315.0
2017,UKK21,2013,280.0
2018,UKK21,2016,290.0
2014,UKK30,2010,10.0
2015,UKK30,2013,5.0
2016,UKK30,2013,5.0
2017,UKK30,2013,10.0
2018,UKK30,2016,15.0
2014,UKK41,2010,475.0
2015,UKK41,2013,435.0
2016,UKK41,2013,405.0
2017,UKK41,2013,400.0
2018,UKK41,2016,330.0
2014,UKK43,2010,1080.0
2015,UKK43,2013,1065.0
2016,UKK43,2013,1110.0
2017,UKK43,2013,1205.0
2018,UKK43,2016,1255.0
2014,UKL12,2010,415.0
2015,UKL12,2013,405.0
2016,UKL12,2013,430.0
2017,UKL12,2013,405.0
2018,UKL12,2016,445.0
2014,UKL14,2010,340.0
2015,UKL14,2013,375.0
2016,UKL14,2013,330.0
2017,UKL14,2013,365.0
2018,UKL14,2016,370.0
2014,UKL15,2010,115.0
2015,UKL15,2013,105.0
2016,UKL15,2013,115.0
2017,UKL15,2013,130.0
2018,UKL15,2016,165.0
2014,UKL18,2010,585.0
2015,UKL18,2013,605.0
2016,UKL18,2013,755.0
2017,UKL18,2013,725.0
2018,UKL18,2016,780.0
2014,UKL22,2010,1655.0
2015,UKL22,2013,1700.0
2016,UKL22,2013,1600.0
2017,UKL22,2013,1570.0
2018,UKL22,2016,1610.0
2014,UKL23,2010,25.0
2015,UKL23,2013,15.0
2016,UKL23,2013,15.0
2017,UKL23,2013,10.0
2018,UKL23,2016,20.0
2014,UKM21,2010,570.0
2015,UKM21,2013,540.0
2016,UKM21,2013,465.0
2017,UKM21,2013,465.0
2015,UKM22,2013,885.0
2016,UKM22,2013,825.0
2017,UKM22,2013,860.0
2014,UKM23,2010,40.0
2015,UKM23,2013,50.0
2016,UKM23,2013,50.0
2017,UKM23,2013,50.0
2014,UKM25,2010,3455.0
2015,UKM25,2013,3675.0
2016,UKM25,2013,3735.0
2017,UKM25,2013,3695.0
2014,UKM27,2010,355.0
2015,UKM27,2013,355.0
2016,UKM27,2013,360.0
2017,UKM27,2013,380.0
2014,UKM34,2010,3400.0
2015,UKM34,2013,3505.0
2016,UKM34,2013,3600.0
2017,UKM34,2013,3680.0
2014,UKM35,2010,265.0
2015,UKM35,2013,265.0
2016,UKM35,2013,275.0
2017,UKM35,2013,295.0
2014,UKM50,2010,1015.0
2015,UKM50,2013,1005.0
2016,UKM50,2013,1010.0
2017,UKM50,2013,1055.0
2018,UKM50,2016,1015.0
2014,UKM62,2010,25.0
2015,UKM62,2013,45.0
2016,UKM62,2013,55.0
2017,UKM62,2013,90.0
2018,UKM62,2016,105.0
2018,UKM71,2016,555.0
2018,UKM72,2016,900.0
2018,UKM73,2016,55.0
2018,UKM75,2016,3795.0
2018,UKM77,2016,345.0
2018,UKM82,2016,3835.0
2018,UKM83,2016,280.0
2014,UKN01,2010,1265.0
2015,UKN01,2013,1340.0
2016,UKN01,2013,1385.0
2017,UKN01,2013,1400.0
2014,UKN04,2010,400.0
2015,UKN04,2013,385.0
2016,UKN04,2013,370.0
2017,UKN04,2013,450.0
2018,UKN06,2016,1320.0
2018,UKN12,2016,440.0
