year,nuts_id,nuts_year_spec,total_stem_postgraduates
2014,UKH2,2010,760.0
2015,UKH2,2013,710.0
2016,UKH2,2013,655.0
2017,UKH2,2013,665.0
2018,UKH2,2016,635.0
2014,UKH3,2010,330.0
2015,UKH3,2013,335.0
2016,UKH3,2013,280.0
2017,UKH3,2013,335.0
2018,UKH3,2016,375.0
2014,UKI1,2010,6310.0
2014,UKI2,2010,845.0
2015,UKI3,2013,5425.0
2016,UKI3,2013,5730.0
2017,UKI3,2013,5825.0
2018,UKI3,2016,6190.0
2015,UKI4,2013,1070.0
2016,UKI4,2013,1050.0
2017,UKI4,2013,1010.0
2018,UKI4,2016,1025.0
2015,UKI5,2013,150.0
2016,UKI5,2013,130.0
2017,UKI5,2013,125.0
2018,UKI5,2016,110.0
2015,UKI6,2013,100.0
2016,UKI6,2013,100.0
2017,UKI6,2013,75.0
2018,UKI6,2016,70.0
2015,UKI7,2013,545.0
2016,UKI7,2013,470.0
2017,UKI7,2013,465.0
2018,UKI7,2016,530.0
2014,UKJ1,2010,2765.0
2015,UKJ1,2013,2990.0
2016,UKJ1,2013,2940.0
2017,UKJ1,2013,2790.0
2018,UKJ1,2016,2830.0
2014,UKJ2,2010,1385.0
2015,UKJ2,2013,1370.0
2016,UKJ2,2013,1295.0
2017,UKJ2,2013,1220.0
2018,UKJ2,2016,1240.0
2014,UKJ3,2010,1625.0
2015,UKJ3,2013,1600.0
2016,UKJ3,2013,1560.0
2017,UKJ3,2013,1520.0
2018,UKJ3,2016,1480.0
2014,UKJ4,2010,530.0
2015,UKJ4,2013,530.0
2016,UKJ4,2013,550.0
2017,UKJ4,2013,530.0
2018,UKJ4,2016,560.0
2014,UKK1,2010,1750.0
2015,UKK1,2013,1755.0
2016,UKK1,2013,1885.0
2017,UKK1,2013,1925.0
2018,UKK1,2016,1950.0
2014,UKK2,2010,155.0
2015,UKK2,2013,15.0
2016,UKK2,2013,0.0
2017,UKK2,2013,0.0
2018,UKK2,2016,0.0
2014,UKK3,2010,0.0
2015,UKK3,2013,0.0
2016,UKK3,2013,0.0
2017,UKK3,2013,0.0
2018,UKK3,2016,0.0
2014,UKK4,2010,770.0
2015,UKK4,2013,810.0
2016,UKK4,2013,795.0
2017,UKK4,2013,830.0
2018,UKK4,2016,805.0
2014,UKL1,2010,800.0
2015,UKL1,2013,825.0
2016,UKL1,2013,930.0
2017,UKL1,2013,920.0
2018,UKL1,2016,1010.0
2014,UKL2,2010,825.0
2015,UKL2,2013,900.0
2016,UKL2,2013,910.0
2017,UKL2,2013,950.0
2018,UKL2,2016,955.0
2014,UKM2,2010,2200.0
2015,UKM2,2013,2815.0
2016,UKM2,2013,2770.0
2017,UKM2,2013,2855.0
2014,UKM3,2010,1920.0
2015,UKM3,2013,1990.0
2016,UKM3,2013,2120.0
2017,UKM3,2013,2145.0
2014,UKM5,2010,445.0
2015,UKM5,2013,470.0
2016,UKM5,2013,480.0
2017,UKM5,2013,500.0
2018,UKM5,2016,460.0
2014,UKM6,2010,10.0
2015,UKM6,2013,20.0
2016,UKM6,2013,30.0
2017,UKM6,2013,60.0
2018,UKM6,2016,55.0
2018,UKM7,2016,2920.0
2018,UKM8,2016,2195.0
2014,UKN0,2010,830.0
2015,UKN0,2013,850.0
2016,UKN0,2013,830.0
2017,UKN0,2013,915.0
2018,UKN0,2016,875.0
