year,nuts_id,nuts_year_spec,total_university_buildings
2015,UKI51,2013,61.0
2016,UKI51,2013,62.0
2017,UKI51,2013,64.0
2018,UKI51,2016,65.0
2015,UKI63,2013,167.0
2016,UKI63,2013,168.0
2017,UKI63,2013,169.0
2018,UKI63,2016,168.0
2015,UKI71,2013,44.0
2016,UKI71,2013,42.0
2017,UKI71,2013,43.0
2018,UKI71,2016,46.0
2015,UKI73,2013,9.0
2016,UKI73,2013,9.0
2017,UKI73,2013,9.0
2018,UKI73,2016,9.0
2015,UKI74,2013,137.0
2016,UKI74,2013,137.0
2017,UKI74,2013,135.0
2018,UKI74,2016,135.0
2015,UKI75,2013,50.0
2016,UKI75,2013,50.0
2017,UKI75,2013,52.0
2018,UKI75,2016,52.0
2015,UKJ11,2013,153.0
2016,UKJ11,2013,177.0
2017,UKJ11,2013,181.0
2018,UKJ11,2016,183.0
2015,UKJ12,2013,82.0
2016,UKJ12,2013,79.0
2017,UKJ12,2013,75.0
2018,UKJ12,2016,74.0
2015,UKJ13,2013,27.0
2016,UKJ13,2013,27.0
2017,UKJ13,2013,24.0
2018,UKJ13,2016,26.0
2015,UKJ14,2013,422.0
2016,UKJ14,2013,378.0
2017,UKJ14,2013,385.0
2018,UKJ14,2016,389.0
2015,UKJ21,2013,274.0
2016,UKJ21,2013,237.0
2017,UKJ21,2013,242.0
2018,UKJ21,2016,216.0
2015,UKJ25,2013,456.0
2016,UKJ25,2013,460.0
2017,UKJ25,2013,483.0
2018,UKJ25,2016,493.0
2015,UKJ27,2013,126.0
2016,UKJ27,2013,125.0
2017,UKJ27,2013,123.0
2018,UKJ27,2016,112.0
2015,UKJ31,2013,0.0
2016,UKJ31,2013,0.0
2017,UKJ31,2013,95.0
2018,UKJ31,2016,0.0
2015,UKJ32,2013,452.0
2016,UKJ32,2013,458.0
2017,UKJ32,2013,446.0
2018,UKJ32,2016,449.0
2015,UKJ36,2013,58.0
2016,UKJ36,2013,59.0
2017,UKJ36,2013,59.0
2018,UKJ36,2016,60.0
2015,UKJ44,2013,578.0
2016,UKJ44,2013,567.0
2017,UKJ44,2013,541.0
2018,UKJ44,2016,536.0
2015,UKK11,2013,322.0
2016,UKK11,2013,327.0
2017,UKK11,2013,338.0
2018,UKK11,2016,338.0
2015,UKK12,2013,401.0
2016,UKK12,2013,438.0
2017,UKK12,2013,444.0
2018,UKK12,2016,452.0
2015,UKK13,2013,110.0
2016,UKK13,2013,111.0
2017,UKK13,2013,125.0
2018,UKK13,2016,126.0
2015,UKK21,2013,42.0
2016,UKK21,2013,42.0
2017,UKK21,2013,40.0
2018,UKK21,2016,41.0
2015,UKK30,2013,72.0
2016,UKK30,2013,82.0
2017,UKK30,2013,85.0
2018,UKK30,2016,83.0
2015,UKK41,2013,155.0
2016,UKK41,2013,155.0
2017,UKK41,2013,157.0
2018,UKK41,2016,158.0
2015,UKK43,2013,214.0
2016,UKK43,2013,213.0
2017,UKK43,2013,211.0
2018,UKK43,2016,213.0
2015,UKL12,2013,168.0
2016,UKL12,2013,168.0
2017,UKL12,2013,171.0
2018,UKL12,2016,172.0
2015,UKL14,2013,271.0
2016,UKL14,2013,270.0
2017,UKL14,2013,279.0
2018,UKL14,2016,843.0
2015,UKL15,2013,128.0
2016,UKL15,2013,130.0
2017,UKL15,2013,129.0
2018,UKL15,2016,129.0
2015,UKL18,2013,152.0
2016,UKL18,2013,142.0
2017,UKL18,2013,137.0
2018,UKL18,2016,150.0
2015,UKL22,2013,338.0
2016,UKL22,2013,342.0
2017,UKL22,2013,345.0
2018,UKL22,2016,343.0
2015,UKL23,2013,30.0
2016,UKL23,2013,30.0
2017,UKL23,2013,30.0
2018,UKL23,2016,30.0
2015,UKM21,2013,98.0
2016,UKM21,2013,90.0
2017,UKM21,2013,90.0
2015,UKM22,2013,142.0
2016,UKM22,2013,145.0
2017,UKM22,2013,150.0
2015,UKM23,2013,14.0
2016,UKM23,2013,14.0
2017,UKM23,2013,14.0
2015,UKM25,2013,833.0
2016,UKM25,2013,835.0
2017,UKM25,2013,827.0
2015,UKM27,2013,42.0
2016,UKM27,2013,42.0
2017,UKM27,2013,43.0
2015,UKM34,2013,383.0
2016,UKM34,2013,415.0
2017,UKM34,2013,414.0
2015,UKM35,2013,56.0
2016,UKM35,2013,56.0
2017,UKM35,2013,56.0
2015,UKM50,2013,180.0
2016,UKM50,2013,145.0
2017,UKM50,2013,146.0
2018,UKM50,2016,146.0
2015,UKM62,2013,111.0
2016,UKM62,2013,113.0
2017,UKM62,2013,116.0
2018,UKM62,2016,116.0
2018,UKM71,2016,89.0
2018,UKM72,2016,151.0
2018,UKM73,2016,14.0
2018,UKM75,2016,860.0
2018,UKM77,2016,43.0
2018,UKM82,2016,417.0
2018,UKM83,2016,57.0
2015,UKN01,2013,253.0
2016,UKN01,2013,256.0
2017,UKN01,2013,238.0
2015,UKN04,2013,80.0
2016,UKN04,2013,78.0
2017,UKN04,2013,80.0
2018,UKN06,2016,241.0
2018,UKN12,2016,80.0
