year,nuts_id,nuts_year_spec,total_stem_students
2014,UKG24,2010,2015.0
2015,UKG24,2013,2330.0
2016,UKG24,2013,2725.0
2017,UKG24,2013,2805.0
2018,UKG24,2016,2855.0
2014,UKG31,2010,16890.0
2015,UKG31,2013,17570.0
2016,UKG31,2013,18310.0
2017,UKG31,2013,18670.0
2018,UKG31,2016,19115.0
2014,UKG33,2010,13230.0
2015,UKG33,2013,14060.0
2016,UKG33,2013,15090.0
2017,UKG33,2013,16215.0
2018,UKG33,2016,16945.0
2014,UKG39,2010,3505.0
2015,UKG39,2013,3795.0
2016,UKG39,2013,3725.0
2017,UKG39,2013,3580.0
2018,UKG39,2016,3540.0
2014,UKH12,2010,6860.0
2015,UKH12,2013,6845.0
2016,UKH12,2013,6955.0
2017,UKH12,2013,7100.0
2018,UKH12,2016,7100.0
2014,UKH13,2010,3175.0
2014,UKH14,2010,615.0
2015,UKH14,2013,650.0
2016,UKH14,2013,645.0
2017,UKH14,2013,720.0
2018,UKH14,2016,870.0
2015,UKH15,2013,3180.0
2016,UKH15,2013,3540.0
2017,UKH15,2013,3830.0
2018,UKH15,2016,4190.0
2014,UKH21,2010,2930.0
2015,UKH21,2013,2465.0
2016,UKH21,2013,2650.0
2017,UKH21,2013,2395.0
2018,UKH21,2016,2555.0
2014,UKH23,2010,4505.0
2015,UKH23,2013,4605.0
2016,UKH23,2013,4530.0
2017,UKH23,2013,4405.0
2018,UKH23,2016,4405.0
2014,UKH25,2010,1775.0
2015,UKH25,2013,1705.0
2016,UKH25,2013,1605.0
2017,UKH25,2013,1635.0
2018,UKH25,2016,1480.0
2014,UKH33,2010,6085.0
2015,UKH34,2013,2785.0
2016,UKH34,2013,2985.0
2017,UKH34,2013,3210.0
2018,UKH34,2016,3410.0
2015,UKH36,2013,3545.0
2016,UKH36,2013,3465.0
2017,UKH36,2013,3685.0
2018,UKH36,2016,3595.0
2014,UKI11,2010,29585.0
2014,UKI12,2010,17885.0
2014,UKI21,2010,4310.0
2014,UKI22,2010,5550.0
2014,UKI23,2010,10005.0
2015,UKI31,2013,11520.0
2016,UKI31,2013,11845.0
2017,UKI31,2013,12680.0
2018,UKI31,2016,13315.0
2015,UKI32,2013,18210.0
2016,UKI32,2013,19680.0
2017,UKI32,2013,20710.0
2018,UKI32,2016,21745.0
2015,UKI33,2013,0.0
2016,UKI33,2013,0.0
2017,UKI33,2013,0.0
2018,UKI33,2016,0.0
2015,UKI34,2013,1635.0
2016,UKI34,2013,1905.0
2017,UKI34,2013,2300.0
2018,UKI34,2016,2550.0
2015,UKI41,2013,2830.0
2016,UKI41,2013,2840.0
2017,UKI41,2013,3080.0
2018,UKI41,2016,3395.0
2015,UKI42,2013,5645.0
2016,UKI42,2013,6165.0
2017,UKI42,2013,6215.0
2018,UKI42,2016,6430.0
2015,UKI43,2013,5225.0
2016,UKI43,2013,5150.0
2017,UKI43,2013,4950.0
2018,UKI43,2016,4835.0
2015,UKI44,2013,3710.0
2016,UKI44,2013,3790.0
2017,UKI44,2013,3675.0
2018,UKI44,2016,3825.0
2015,UKI51,2013,3915.0
2016,UKI51,2013,3620.0
2017,UKI51,2013,3325.0
2018,UKI51,2016,3350.0
2015,UKI63,2013,5550.0
2016,UKI63,2013,5005.0
2017,UKI63,2013,4905.0
2018,UKI63,2016,4650.0
2015,UKI71,2013,2855.0
2016,UKI71,2013,2910.0
2017,UKI71,2013,3035.0
2018,UKI71,2016,3020.0
2015,UKI73,2013,1115.0
2016,UKI73,2013,1125.0
2017,UKI73,2013,1330.0
2018,UKI73,2016,1535.0
2015,UKI74,2013,5070.0
2016,UKI74,2013,4730.0
2017,UKI74,2013,5175.0
2018,UKI74,2016,5605.0
2015,UKI75,2013,1425.0
2016,UKI75,2013,1390.0
2017,UKI75,2013,1330.0
2018,UKI75,2016,1275.0
2014,UKJ11,2010,3070.0
2015,UKJ11,2013,3195.0
2016,UKJ11,2013,3245.0
2017,UKJ11,2013,3445.0
2018,UKJ11,2016,3420.0
2014,UKJ12,2010,115.0
2015,UKJ12,2013,130.0
2016,UKJ12,2013,125.0
2017,UKJ12,2013,125.0
2018,UKJ12,2016,130.0
2014,UKJ13,2010,1250.0
2015,UKJ13,2013,1280.0
2016,UKJ13,2013,1305.0
2017,UKJ13,2013,1490.0
2018,UKJ13,2016,1775.0
2014,UKJ14,2010,9215.0
2015,UKJ14,2013,9510.0
2016,UKJ14,2013,9735.0
2017,UKJ14,2013,9685.0
2018,UKJ14,2016,9665.0
2014,UKJ21,2010,7640.0
2015,UKJ21,2013,8050.0
2016,UKJ21,2013,8345.0
2017,UKJ21,2013,8665.0
2018,UKJ21,2016,9065.0
2014,UKJ23,2010,7580.0
2014,UKJ24,2010,1300.0
2015,UKJ25,2013,7415.0
2016,UKJ25,2013,8040.0
2017,UKJ25,2013,8460.0
2018,UKJ25,2016,8815.0
2015,UKJ27,2013,1295.0
2016,UKJ27,2013,1310.0
2017,UKJ27,2013,1275.0
2018,UKJ27,2016,1230.0
2014,UKJ31,2010,6860.0
2015,UKJ31,2013,7035.0
2016,UKJ31,2013,7300.0
2017,UKJ31,2013,7260.0
2018,UKJ31,2016,7435.0
2014,UKJ32,2010,12210.0
2015,UKJ32,2013,12520.0
2016,UKJ32,2013,12700.0
2017,UKJ32,2013,12350.0
2018,UKJ32,2016,11890.0
2014,UKJ33,2010,625.0
2015,UKJ36,2013,625.0
2016,UKJ36,2013,725.0
2017,UKJ36,2013,835.0
2018,UKJ36,2016,875.0
2014,UKJ42,2010,6805.0
2015,UKJ44,2013,7190.0
2016,UKJ44,2013,7395.0
2017,UKJ44,2013,7470.0
2018,UKJ44,2016,6990.0
2014,UKK11,2010,7720.0
2015,UKK11,2013,7875.0
2016,UKK11,2013,8330.0
2017,UKK11,2013,8680.0
2018,UKK11,2016,8890.0
2014,UKK12,2010,12300.0
2015,UKK12,2013,13045.0
2016,UKK12,2013,13820.0
2017,UKK12,2013,14295.0
2018,UKK12,2016,14445.0
2014,UKK13,2010,1805.0
2015,UKK13,2013,1785.0
2016,UKK13,2013,1890.0
2017,UKK13,2013,1955.0
2018,UKK13,2016,1885.0
2014,UKK21,2010,3320.0
2015,UKK21,2013,3480.0
2016,UKK21,2013,3985.0
2017,UKK21,2013,4060.0
2018,UKK21,2016,4150.0
2014,UKK30,2010,50.0
2015,UKK30,2013,140.0
2016,UKK30,2013,265.0
2017,UKK30,2013,360.0
2018,UKK30,2016,425.0
2014,UKK41,2010,7860.0
2015,UKK41,2013,6990.0
2016,UKK41,2013,6570.0
2017,UKK41,2013,6430.0
2018,UKK41,2016,5980.0
2014,UKK43,2010,5655.0
2015,UKK43,2013,6105.0
2016,UKK43,2013,6635.0
2017,UKK43,2013,6855.0
2018,UKK43,2016,6880.0
2014,UKL12,2010,3735.0
2015,UKL12,2013,3735.0
2016,UKL12,2013,3935.0
2017,UKL12,2013,3805.0
2018,UKL12,2016,3585.0
2014,UKL14,2010,4495.0
2015,UKL14,2013,4285.0
2016,UKL14,2013,4090.0
2017,UKL14,2013,4010.0
2018,UKL14,2016,3915.0
2014,UKL15,2010,5615.0
2015,UKL15,2013,5715.0
2016,UKL15,2013,5825.0
2017,UKL15,2013,5570.0
2018,UKL15,2016,5590.0
2014,UKL18,2010,5615.0
2015,UKL18,2013,6485.0
2016,UKL18,2013,7380.0
2017,UKL18,2013,7950.0
2018,UKL18,2016,8150.0
2014,UKL22,2010,10010.0
2015,UKL22,2013,10465.0
2016,UKL22,2013,10770.0
2017,UKL22,2013,10830.0
2018,UKL22,2016,11020.0
2014,UKL23,2010,1105.0
2015,UKL23,2013,1045.0
2016,UKL23,2013,975.0
2017,UKL23,2013,905.0
2018,UKL23,2016,875.0
2014,UKM21,2010,4555.0
2015,UKM21,2013,4200.0
2016,UKM21,2013,4315.0
2017,UKM21,2013,4495.0
2015,UKM22,2013,3240.0
2016,UKM22,2013,3220.0
2017,UKM22,2013,3390.0
2014,UKM23,2010,335.0
2015,UKM23,2013,310.0
2016,UKM23,2013,315.0
2017,UKM23,2013,325.0
2014,UKM25,2010,17140.0
2015,UKM25,2013,17875.0
2016,UKM25,2013,18555.0
2017,UKM25,2013,19065.0
2014,UKM27,2010,2540.0
2015,UKM27,2013,2895.0
2016,UKM27,2013,2970.0
2017,UKM27,2013,3160.0
2014,UKM34,2010,18125.0
2015,UKM34,2013,18635.0
2016,UKM34,2013,19665.0
2017,UKM34,2013,20325.0
2014,UKM35,2010,3330.0
2015,UKM35,2013,3280.0
2016,UKM35,2013,3435.0
2017,UKM35,2013,3540.0
2014,UKM50,2010,6310.0
2015,UKM50,2013,6480.0
2016,UKM50,2013,6480.0
2017,UKM50,2013,6465.0
2018,UKM50,2016,6435.0
2014,UKM62,2010,1470.0
2015,UKM62,2013,1490.0
2016,UKM62,2013,1605.0
2017,UKM62,2013,1585.0
2018,UKM62,2016,1560.0
2018,UKM71,2016,5020.0
2018,UKM72,2016,3380.0
2018,UKM73,2016,350.0
2018,UKM75,2016,19660.0
2018,UKM77,2016,3115.0
2018,UKM82,2016,20875.0
2018,UKM83,2016,3820.0
2014,UKN01,2010,6180.0
2015,UKN01,2013,6230.0
2016,UKN01,2013,6225.0
2017,UKN01,2013,6400.0
2014,UKN04,2010,5350.0
2015,UKN04,2013,5245.0
2016,UKN04,2013,5205.0
2017,UKN04,2013,5115.0
2018,UKN06,2016,6430.0
2018,UKN12,2016,4875.0
