,year,geo_type,geo_nm,geo_cd,SIC4,value,cluster_name
118,2016,nuts 2013 level 2,Highlands and Islands,UKM6,0163,5,manufacture_food
119,2016,nuts 2013 level 2,Northern Ireland,UKN0,0163,5,manufacture_food
120,2016,nuts 2013 level 2,Tees Valley and Durham,UKC1,0170,5,manufacture_food
121,2016,nuts 2013 level 2,Northumberland and Tyne and Wear,UKC2,0170,10,manufacture_food
122,2016,nuts 2013 level 2,Cumbria,UKD1,0170,5,manufacture_food
123,2016,nuts 2013 level 2,Greater Manchester,UKD3,0170,0,manufacture_food
124,2016,nuts 2013 level 2,Lancashire,UKD4,0170,0,manufacture_food
125,2016,nuts 2013 level 2,Cheshire,UKD6,0170,0,manufacture_food
126,2016,nuts 2013 level 2,Merseyside,UKD7,0170,0,manufacture_food
127,2016,nuts 2013 level 2,East Yorkshire and Northern Lincolnshire,UKE1,0170,5,manufacture_food
128,2016,nuts 2013 level 2,North Yorkshire,UKE2,0170,20,manufacture_food
129,2016,nuts 2013 level 2,South Yorkshire,UKE3,0170,0,manufacture_food
130,2016,nuts 2013 level 2,West Yorkshire,UKE4,0170,0,manufacture_food
131,2016,nuts 2013 level 2,Derbyshire and Nottinghamshire,UKF1,0170,10,manufacture_food
132,2016,nuts 2013 level 2,"Leicestershire, Rutland and Northamptonshire",UKF2,0170,5,manufacture_food
133,2016,nuts 2013 level 2,Lincolnshire,UKF3,0170,5,manufacture_food
134,2016,nuts 2013 level 2,"Herefordshire, Worcestershire and Warwickshire",UKG1,0170,10,manufacture_food
135,2016,nuts 2013 level 2,Shropshire and Staffordshire,UKG2,0170,10,manufacture_food
136,2016,nuts 2013 level 2,West Midlands,UKG3,0170,0,manufacture_food
137,2016,nuts 2013 level 2,East Anglia,UKH1,0170,15,manufacture_food
138,2016,nuts 2013 level 2,Bedfordshire and Hertfordshire,UKH2,0170,5,manufacture_food
139,2016,nuts 2013 level 2,Essex,UKH3,0170,5,manufacture_food
140,2016,nuts 2013 level 2,Inner London - West,UKI3,0170,0,manufacture_food
141,2016,nuts 2013 level 2,Inner London - East,UKI4,0170,0,manufacture_food
142,2016,nuts 2013 level 2,Outer London - East and North East,UKI5,0170,0,manufacture_food
143,2016,nuts 2013 level 2,Outer London - South,UKI6,0170,0,manufacture_food
144,2016,nuts 2013 level 2,Outer London - West and North West,UKI7,0170,0,manufacture_food
145,2016,nuts 2013 level 2,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,0170,10,manufacture_food
146,2016,nuts 2013 level 2,"Surrey, East and West Sussex",UKJ2,0170,10,manufacture_food
147,2016,nuts 2013 level 2,Hampshire and Isle of Wight,UKJ3,0170,10,manufacture_food
148,2016,nuts 2013 level 2,Kent,UKJ4,0170,5,manufacture_food
149,2016,nuts 2013 level 2,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,0170,15,manufacture_food
150,2016,nuts 2013 level 2,Dorset and Somerset,UKK2,0170,10,manufacture_food
151,2016,nuts 2013 level 2,Cornwall and Isles of Scilly,UKK3,0170,5,manufacture_food
152,2016,nuts 2013 level 2,Devon,UKK4,0170,15,manufacture_food
153,2016,nuts 2013 level 2,West Wales and The Valleys,UKL1,0170,5,manufacture_food
154,2016,nuts 2013 level 2,East Wales,UKL2,0170,5,manufacture_food
155,2016,nuts 2013 level 2,Eastern Scotland,UKM2,0170,25,manufacture_food
156,2016,nuts 2013 level 2,South Western Scotland,UKM3,0170,10,manufacture_food
157,2016,nuts 2013 level 2,North Eastern Scotland,UKM5,0170,5,manufacture_food
