year,nuts_id,nuts_year_spec,gbp_innovate_uk_funding
2013,UKD62,2013,2689925
2014,UKD62,2013,917210
2015,UKD62,2013,2809729
2016,UKD62,2016,1491960
2017,UKD62,2016,4605721
2018,UKD62,2016,2581279
2019,UKD62,2016,4027125
2020,UKD62,2016,627252
2010,UKD63,2010,354223
2011,UKD63,2010,2528208
2012,UKD63,2010,1001070
2013,UKD63,2013,1303043
2014,UKD63,2013,3585610
2015,UKD63,2013,991778
2016,UKD63,2016,790482
2017,UKD63,2016,2782849
2018,UKD63,2016,2449758
2019,UKD63,2016,887600
2020,UKD63,2016,299003
2010,UKD71,2010,214101
2011,UKD71,2010,919610
2012,UKD71,2010,1350231
2013,UKD71,2013,1841638
2014,UKD71,2013,1181559
2015,UKD71,2013,646713
2016,UKD71,2016,1207316
2017,UKD71,2016,1185962
2018,UKD71,2016,3461092
2019,UKD71,2016,2401382
2020,UKD71,2016,830768
2010,UKD72,2010,957517
2011,UKD72,2010,1741941
2012,UKD72,2010,9579732
2013,UKD72,2013,3908769
2014,UKD72,2013,1869185
2015,UKD72,2013,1506407
2016,UKD72,2016,2390633
2017,UKD72,2016,2097481
2018,UKD72,2016,3690043
2019,UKD72,2016,2284694
2020,UKD72,2016,1368096
2010,UKD73,2010,237977
2011,UKD73,2010,332058
2012,UKD73,2010,5000
2013,UKD73,2013,123336
2014,UKD73,2013,188678
2015,UKD73,2013,46100
2016,UKD73,2016,475386
2018,UKD73,2016,2026773
2019,UKD73,2016,200067
2020,UKD73,2016,381110
2010,UKD74,2010,125199
2011,UKD74,2010,1629829
2012,UKD74,2010,303392
2013,UKD74,2013,273886
2014,UKD74,2013,268160
2015,UKD74,2013,569261
2016,UKD74,2016,412964
2017,UKD74,2016,1259824
2018,UKD74,2016,240990
2019,UKD74,2016,702779
2020,UKD74,2016,166972
2010,UKE11,2010,0
2011,UKE11,2010,689644
2012,UKE11,2010,74376
2013,UKE11,2013,117962
2014,UKE11,2013,85971
2015,UKE11,2013,1720736
2016,UKE11,2016,438190
2017,UKE11,2016,429075
2018,UKE11,2016,1004495
2019,UKE11,2016,848420
2020,UKE11,2016,0
2010,UKE12,2010,585534
2011,UKE12,2010,1909330
2012,UKE12,2010,459396
2013,UKE12,2013,481044
2014,UKE12,2013,1253110
2015,UKE12,2013,655000
2016,UKE12,2016,91697
2017,UKE12,2016,1030676
2018,UKE12,2016,199181
2019,UKE12,2016,911660
2020,UKE12,2016,113054
2010,UKE13,2010,25252
2011,UKE13,2010,105500
2012,UKE13,2010,160648
2013,UKE13,2013,306002
2014,UKE13,2013,235789
2015,UKE13,2013,495687
2016,UKE13,2016,276777
2017,UKE13,2016,466812
2018,UKE13,2016,127327
2019,UKE13,2016,197182
2020,UKE13,2016,75925
2010,UKE21,2010,1111248
2011,UKE21,2010,1137967
2012,UKE21,2010,1189433
2013,UKE21,2013,1668189
2014,UKE21,2013,1799480
2015,UKE21,2013,31450689
2016,UKE21,2016,3608864
2017,UKE21,2016,6130421
2018,UKE21,2016,5248354
2019,UKE21,2016,4113544
2020,UKE21,2016,396663
2010,UKE22,2010,838988
2011,UKE22,2010,1127375
2012,UKE22,2010,732555
2013,UKE22,2013,2040840
2014,UKE22,2013,2089442
2015,UKE22,2013,18613152
2016,UKE22,2016,2053942
2017,UKE22,2016,4536666
2018,UKE22,2016,2186028
2019,UKE22,2016,7914425
2020,UKE22,2016,573810
2010,UKE31,2010,192389
2011,UKE31,2010,40897356
2012,UKE31,2010,529575
2013,UKE31,2013,647910
2014,UKE31,2013,1368730
2015,UKE31,2013,11739673
2016,UKE31,2016,4674188
2017,UKE31,2016,4491522
2018,UKE31,2016,127959044
2019,UKE31,2016,944265
2020,UKE31,2016,418687
2010,UKE32,2010,4465430
2011,UKE32,2010,81271316
2012,UKE32,2010,11769301
2013,UKE32,2013,11074444
2014,UKE32,2013,20333917
2015,UKE32,2013,13116083
2016,UKE32,2016,11151707
2017,UKE32,2016,15059911
2018,UKE32,2016,12347093
2019,UKE32,2016,11506425
2020,UKE32,2016,1392949
2010,UKE41,2010,670320
2011,UKE41,2010,2200910
2012,UKE41,2010,2882034
2013,UKE41,2013,1986532
2014,UKE41,2013,873259
2015,UKE41,2013,2105541
2016,UKE41,2016,1324534
2017,UKE41,2016,1112523
2018,UKE41,2016,2407765
2019,UKE41,2016,1369693
2020,UKE41,2016,313736
2010,UKE42,2010,1917799
2011,UKE42,2010,1926448
2012,UKE42,2010,3592979
2013,UKE42,2013,2684416
2014,UKE42,2013,3794894
2015,UKE42,2013,4757905
2016,UKE42,2016,4348847
2017,UKE42,2016,4136266
2018,UKE42,2016,12814597
2019,UKE42,2016,6834735
2020,UKE42,2016,1783732
2010,UKE44,2010,298796
2011,UKE44,2010,1358835
2012,UKE44,2010,1116714
2013,UKE44,2013,1221018
2014,UKE44,2013,1751734
2015,UKE44,2013,2529504
2016,UKE44,2016,886498
2017,UKE44,2016,3563209
2018,UKE44,2016,1904908
2019,UKE44,2016,1562014
2020,UKE44,2016,1190210
2010,UKE45,2010,237469
2011,UKE45,2010,78765
2012,UKE45,2010,249434
2013,UKE45,2013,359541
2014,UKE45,2013,645883
2015,UKE45,2013,105008
2016,UKE45,2016,212792
2017,UKE45,2016,213959
2018,UKE45,2016,445288
2019,UKE45,2016,29383
2010,UKF11,2010,319257
2011,UKF11,2010,753739
2012,UKF11,2010,1414621
2013,UKF11,2013,4842402
2014,UKF11,2013,4675248
2015,UKF11,2013,1249266
2016,UKF11,2016,854916
2017,UKF11,2016,15541131
2018,UKF11,2016,8402598
2019,UKF11,2016,51207704
2020,UKF11,2016,1008580
2010,UKF12,2010,326675
2011,UKF12,2010,1678947
2012,UKF12,2010,534648
2013,UKF12,2013,3123676
2014,UKF12,2013,1548964
2015,UKF12,2013,1005118
2016,UKF12,2016,1897330
2017,UKF12,2016,1840397
2018,UKF12,2016,917196
2019,UKF12,2016,1449910
2020,UKF12,2016,443865
2010,UKF13,2010,1366919
2011,UKF13,2010,1275434
2012,UKF13,2010,427078
2013,UKF13,2013,1235240
2014,UKF13,2013,472242
2015,UKF13,2013,1296659
2016,UKF13,2016,1203765
2017,UKF13,2016,1230816
2018,UKF13,2016,625471
2019,UKF13,2016,152842
2020,UKF13,2016,175925
2010,UKF14,2010,1943978
2011,UKF14,2010,1878133
2012,UKF14,2010,3634354
2013,UKF14,2013,12466292
2014,UKF14,2013,11456357
2015,UKF14,2013,7353819
2016,UKF14,2016,67028004
2017,UKF14,2016,13181274
2018,UKF14,2016,13918681
2019,UKF14,2016,5946172
2020,UKF14,2016,1507294
2011,UKF15,2010,513063
2012,UKF15,2010,227153
2013,UKF15,2013,484508
2014,UKF15,2013,167743
2015,UKF15,2013,354098
2016,UKF15,2016,809832
2017,UKF15,2016,964119
2018,UKF15,2016,410054
2019,UKF15,2016,953604
2020,UKF15,2016,206698
2010,UKF16,2010,296344
2011,UKF16,2010,865817
2012,UKF16,2010,1407592
2013,UKF16,2013,1745086
2014,UKF16,2013,2558624
2015,UKF16,2013,2438016
2016,UKF16,2016,1008082
2017,UKF16,2016,1909294
2018,UKF16,2016,1277423
2019,UKF16,2016,3239989
2020,UKF16,2016,374047
2010,UKF21,2010,683932
2011,UKF21,2010,355478
2012,UKF21,2010,796520
2013,UKF21,2013,726379
2014,UKF21,2013,2276302
2015,UKF21,2013,651565
2016,UKF21,2016,1184427
2017,UKF21,2016,1540947
2018,UKF21,2016,2470278
2019,UKF21,2016,157317
2020,UKF21,2016,223414
2010,UKF22,2010,4901368
2011,UKF22,2010,3669888
2012,UKF22,2010,4976801
2013,UKF22,2013,11500139
2014,UKF22,2013,21114212
2015,UKF22,2013,6843304
2016,UKF22,2016,9204716
2017,UKF22,2016,19737929
2018,UKF22,2016,13710251
2019,UKF22,2016,14190839
2020,UKF22,2016,1332296
2010,UKF24,2010,767699
2011,UKF24,2010,412798
2012,UKF24,2010,447291
2013,UKF24,2013,2301829
2014,UKF24,2013,1185598
2015,UKF24,2013,1620904
2016,UKF24,2016,1692470
2017,UKF24,2016,1110563
2018,UKF24,2016,798361
2019,UKF24,2016,1181842
2020,UKF24,2016,232480
2010,UKF25,2010,417878
2011,UKF25,2010,401815
2012,UKF25,2010,109002
2013,UKF25,2013,412867
2014,UKF25,2013,318450
2015,UKF25,2013,862483
2016,UKF25,2016,198610
2018,UKF25,2016,1193873
2019,UKF25,2016,1102367
2020,UKF25,2016,99755
2010,UKF30,2010,648926
2011,UKF30,2010,1425104
2012,UKF30,2010,1163827
2013,UKF30,2013,3822520
2014,UKF30,2013,2432847
2015,UKF30,2013,2465525
2016,UKF30,2016,4351055
2017,UKF30,2016,2877604
2018,UKF30,2016,4114890
2019,UKF30,2016,694956
2020,UKF30,2016,356076
2010,UKG11,2010,23889
2011,UKG11,2010,54000
2012,UKG11,2010,131000
2013,UKG11,2013,147755
2014,UKG11,2013,952445
2015,UKG11,2013,833921
2016,UKG11,2016,497103
2017,UKG11,2016,287822
2018,UKG11,2016,957713
2019,UKG11,2016,94612
2020,UKG11,2016,148776
2010,UKG12,2010,717334
2011,UKG12,2010,5690110
2012,UKG12,2010,1112735
2013,UKG12,2013,5210256
2014,UKG12,2013,2117556
2015,UKG12,2013,722522
2016,UKG12,2016,372716
2017,UKG12,2016,8265822
2018,UKG12,2016,1001021
2019,UKG12,2016,1530870
2020,UKG12,2016,785575
2010,UKG13,2010,3328368
2011,UKG13,2010,79042404
2012,UKG13,2010,8690359
2013,UKG13,2013,10676017
2014,UKG13,2013,38097282
2015,UKG13,2013,22130734
2016,UKG13,2016,17673085
2017,UKG13,2016,19601809
2018,UKG13,2016,224128069
2019,UKG13,2016,11700311
2020,UKG13,2016,1427543
2010,UKG21,2010,443559
2012,UKG21,2010,706505
2013,UKG21,2013,2113097
2014,UKG21,2013,313506
2015,UKG21,2013,1059420
2016,UKG21,2016,1562480
2017,UKG21,2016,373435
2018,UKG21,2016,1572327
2019,UKG21,2016,413356
2020,UKG21,2016,189279
2010,UKG22,2010,223942
2011,UKG22,2010,94588
2012,UKG22,2010,683083
2013,UKG22,2013,336496
2014,UKG22,2013,1379861
2015,UKG22,2013,189030
2016,UKG22,2016,910743
2017,UKG22,2016,69831
2018,UKG22,2016,432947
2019,UKG22,2016,223978
2020,UKG22,2016,170883
2010,UKG23,2010,127386
2011,UKG23,2010,91688
2012,UKG23,2010,426021
2013,UKG23,2013,406201
2014,UKG23,2013,419051
2015,UKG23,2013,452993
2016,UKG23,2016,262611
2017,UKG23,2016,171840
2018,UKG23,2016,1412300
2019,UKG23,2016,495916
2020,UKG23,2016,49784
2010,UKG24,2010,250055
2011,UKG24,2010,2455717
2012,UKG24,2010,961861
2013,UKG24,2013,4274031
2014,UKG24,2013,3838185
2015,UKG24,2013,2624961
2016,UKG24,2016,4521742
2017,UKG24,2016,5810683
2018,UKG24,2016,3203137
2019,UKG24,2016,1532940
2020,UKG24,2016,486700
2010,UKG31,2010,1446466
2011,UKG31,2010,12746303
2012,UKG31,2010,3827020
2013,UKG31,2013,8319594
2014,UKG31,2013,4952097
2015,UKG31,2013,14802994
2016,UKG31,2016,2563014
2017,UKG31,2016,21559552
2018,UKG31,2016,76588724
2019,UKG31,2016,8213238
2020,UKG31,2016,2477206
2010,UKG32,2010,63325
2011,UKG32,2010,299518
2012,UKG32,2010,631554
2013,UKG32,2013,1416612
2014,UKG32,2013,15731317
2015,UKG32,2013,1553503
2016,UKG32,2016,4574756
2017,UKG32,2016,9278944
2018,UKG32,2016,31125498
2019,UKG32,2016,5711681
2020,UKG32,2016,146046
2010,UKG33,2010,5781691
2011,UKG33,2010,74533342
2012,UKG33,2010,9548479
2013,UKG33,2013,13228017
2014,UKG33,2013,33510225
2015,UKG33,2013,20943912
2016,UKG33,2016,21663225
2017,UKG33,2016,153499365
2018,UKG33,2016,134113668
2019,UKG33,2016,30336285
2020,UKG33,2016,869738
2010,UKG36,2010,154839
2011,UKG36,2010,174232
2012,UKG36,2010,212494
2013,UKG36,2013,482101
2014,UKG36,2013,1987489
2015,UKG36,2013,798359
2016,UKG36,2016,5499473
2017,UKG36,2016,0
2018,UKG36,2016,239144
2019,UKG36,2016,843161
2020,UKG36,2016,294993
2010,UKG37,2010,9709
2011,UKG37,2010,79653
2012,UKG37,2010,72654
2013,UKG37,2013,936704
2014,UKG37,2013,375727
2015,UKG37,2013,188376
2016,UKG37,2016,379652
2017,UKG37,2016,32000
2018,UKG37,2016,806026
2019,UKG37,2016,960274
2010,UKG38,2010,40749
2011,UKG38,2010,6306
2012,UKG38,2010,190000
2013,UKG38,2013,38192
2014,UKG38,2013,148045
2015,UKG38,2013,253134
2017,UKG38,2016,628930
2018,UKG38,2016,551528
2019,UKG38,2016,41625
2010,UKG39,2010,111269
2011,UKG39,2010,243294
2012,UKG39,2010,1038474
2013,UKG39,2013,1326836
2014,UKG39,2013,948296
2015,UKG39,2013,558266
2016,UKG39,2016,345077
2017,UKG39,2016,1283765
2018,UKG39,2016,899437
2019,UKG39,2016,801492
2010,UKH11,2010,118417
2011,UKH11,2010,377005
2012,UKH11,2010,3069601
2013,UKH11,2013,1875051
2014,UKH11,2013,11565354
2015,UKH11,2013,867101
2016,UKH11,2016,3429209
2017,UKH11,2016,1351290
2018,UKH11,2016,1243833
2019,UKH11,2016,1836320
2020,UKH11,2016,126773
2010,UKH12,2010,12965585
2011,UKH12,2010,10969870
2012,UKH12,2010,24043445
2013,UKH12,2013,19957436
2014,UKH12,2013,21068956
2015,UKH12,2013,26888716
2016,UKH12,2016,21048144
2017,UKH12,2016,59071603
2018,UKH12,2016,49421538
2019,UKH12,2016,68107983
2020,UKH12,2016,4373419
2010,UKH13,2010,2762969
2011,UKH13,2010,1556558
2012,UKH13,2010,2309258
2010,UKH14,2010,596372
2011,UKH14,2010,949768
2012,UKH14,2010,1000758
2013,UKH14,2013,923758
2014,UKH14,2013,1603529
2015,UKH14,2013,1313867
2016,UKH14,2016,1154427
2017,UKH14,2016,2018547
2018,UKH14,2016,779139
2019,UKH14,2016,741511
2020,UKH14,2016,195785
2013,UKH15,2013,235780
2014,UKH15,2013,317430
2015,UKH15,2013,655245
2016,UKH15,2016,2634657
2017,UKH15,2016,1749894
2018,UKH15,2016,1550528
2019,UKH15,2016,3277929
2020,UKH15,2016,294204
2013,UKH16,2013,15000
2014,UKH16,2013,370768
2015,UKH16,2013,67271
2016,UKH16,2016,19222
2017,UKH16,2016,114321
2018,UKH16,2016,101761
2013,UKH17,2013,1377760
2014,UKH17,2013,1370290
2015,UKH17,2013,484820
2016,UKH17,2016,1373236
2017,UKH17,2016,1932289
2018,UKH17,2016,1342120
2019,UKH17,2016,3924617
2020,UKH17,2016,98884
2010,UKH21,2010,22000
2011,UKH21,2010,35000
2012,UKH21,2010,136342
2013,UKH21,2013,85606
2014,UKH21,2013,167555
2015,UKH21,2013,38940
2016,UKH21,2016,202992
2018,UKH21,2016,97369
2019,UKH21,2016,0
2010,UKH23,2010,3067756
2011,UKH23,2010,13223129
2012,UKH23,2010,6796585
2013,UKH23,2013,6053043
2014,UKH23,2013,9492017
2015,UKH23,2013,5649370
2016,UKH23,2016,7776431
2017,UKH23,2016,12836653
2018,UKH23,2016,10876426
2019,UKH23,2016,7122285
2020,UKH23,2016,1911580
2010,UKH24,2010,236384
2011,UKH24,2010,1062380
2012,UKH24,2010,10667671
2013,UKH24,2013,5739038
2014,UKH24,2013,1500
2015,UKH24,2013,5284645
2016,UKH24,2016,3725021
2017,UKH24,2016,2585176
2018,UKH24,2016,719363
2019,UKH24,2016,150000
2020,UKH24,2016,419963
2010,UKH25,2010,1241958
2011,UKH25,2010,1261327
2012,UKH25,2010,1705551
2013,UKH25,2013,3218718
2014,UKH25,2013,3949974
2015,UKH25,2013,24605247
2016,UKH25,2016,8271314
2017,UKH25,2016,10054002
2018,UKH25,2016,6451431
2019,UKH25,2016,12479239
2020,UKH25,2016,222340
2010,UKH31,2010,24250
2011,UKH31,2010,89911
2012,UKH31,2010,54810
2013,UKH31,2013,216928
2015,UKH31,2013,866488
2016,UKH31,2016,275721
2017,UKH31,2016,182343
2018,UKH31,2016,13092
2019,UKH31,2016,611089
2020,UKH31,2016,46225
2012,UKH32,2010,135937
2013,UKH32,2013,88492
2015,UKH32,2013,39207
2018,UKH32,2016,204063
2010,UKH33,2010,3880700
2011,UKH33,2010,2326657
2012,UKH33,2010,9024246
2013,UKH34,2013,568766
2014,UKH34,2013,1081880
2015,UKH34,2013,332352
2016,UKH34,2016,916079
2017,UKH34,2016,1431730
2018,UKH34,2016,2200579
2019,UKH34,2016,1788894
2020,UKH34,2016,393809
2013,UKH35,2013,1288592
2014,UKH35,2013,2179749
2015,UKH35,2013,1124867
2016,UKH35,2016,1610752
2017,UKH35,2016,2634514
2018,UKH35,2016,1949436
2019,UKH35,2016,328527
2020,UKH35,2016,498929
2013,UKH36,2013,8412954
2014,UKH36,2013,1602852
2015,UKH36,2013,5358345
2016,UKH36,2016,10828674
2017,UKH36,2016,18561165
2018,UKH36,2016,4295753
2019,UKH36,2016,4376787
2020,UKH36,2016,264251
2013,UKH37,2013,1698996
2014,UKH37,2013,347584
2015,UKH37,2013,836622
2016,UKH37,2016,458132
2017,UKH37,2016,3269741
2018,UKH37,2016,6269325
2020,UKH37,2016,203460
2010,UKI11,2010,16294718
2011,UKI11,2010,19931524
2012,UKI11,2010,93301856
2010,UKI12,2010,5801059
2011,UKI12,2010,5306944
2012,UKI12,2010,76352502
2010,UKI21,2010,514982
2011,UKI21,2010,726862
2012,UKI21,2010,3888975
2010,UKI22,2010,251027
2011,UKI22,2010,988406
2012,UKI22,2010,2281060
2010,UKI23,2010,2414864
2011,UKI23,2010,2746959
2012,UKI23,2010,2971011
2013,UKI31,2013,16767439
2014,UKI31,2013,68743711
2015,UKI31,2013,18550725
2016,UKI31,2016,17590384
2017,UKI31,2016,42079613
2018,UKI31,2016,115070205
2019,UKI31,2016,27455398
2020,UKI31,2016,8072088
2013,UKI32,2013,78819174
2014,UKI32,2013,46222772
2015,UKI32,2013,83192279
2016,UKI32,2016,60877644
2017,UKI32,2016,53092287
2018,UKI32,2016,178531012
2019,UKI32,2016,52728450
2020,UKI32,2016,4544468
2013,UKI33,2013,8053809
2014,UKI33,2013,6153673
2015,UKI33,2013,6810078
2016,UKI33,2016,3038975
2017,UKI33,2016,5966174
2018,UKI33,2016,9065856
2019,UKI33,2016,4143024
2020,UKI33,2016,1755166
2013,UKI34,2013,1003834
2014,UKI34,2013,877268
2015,UKI34,2013,1057109
2016,UKI34,2016,604206
2017,UKI34,2016,1340605
2018,UKI34,2016,2502202
2019,UKI34,2016,2183208
2020,UKI34,2016,739248
2013,UKI41,2013,1870127
2014,UKI41,2013,4989039
2015,UKI41,2013,4638201
2016,UKI41,2016,2145167
2017,UKI41,2016,11477888
2018,UKI41,2016,14128763
2019,UKI41,2016,6655232
2020,UKI41,2016,3006770
2013,UKI42,2013,3485533
2014,UKI42,2013,4517915
2015,UKI42,2013,1883733
2016,UKI42,2016,13281647
2017,UKI42,2016,8737321
2018,UKI42,2016,7782031
2019,UKI42,2016,8569462
2020,UKI42,2016,2811221
2013,UKI43,2013,13030382
2014,UKI43,2013,31016899
2015,UKI43,2013,5147097
2016,UKI43,2016,8353527
2017,UKI43,2016,7682276
2018,UKI43,2016,30773115
2019,UKI43,2016,23115859
2020,UKI43,2016,3708956
2013,UKI44,2013,3045770
2014,UKI44,2013,197962266
2015,UKI44,2013,5828587
2016,UKI44,2016,5840321
2017,UKI44,2016,18810863
2018,UKI44,2016,88711358
2019,UKI44,2016,6182679
2020,UKI44,2016,32368675
2013,UKI45,2013,871113
2014,UKI45,2013,3704658
2015,UKI45,2013,1500619
2016,UKI45,2016,8694450
2017,UKI45,2016,1092863
2018,UKI45,2016,5131903
2019,UKI45,2016,1161358
2020,UKI45,2016,1741208
2013,UKI51,2013,402502
2014,UKI51,2013,1746188
2015,UKI51,2013,326659
2016,UKI51,2016,886020
2017,UKI51,2016,5140142
2018,UKI51,2016,2526934
2019,UKI51,2016,1644578
2020,UKI51,2016,816090
2013,UKI52,2013,216132
2014,UKI52,2013,747761
2015,UKI52,2013,574058
2016,UKI52,2016,407681
2017,UKI52,2016,2664616
2018,UKI52,2016,2502518
2019,UKI52,2016,772269
2020,UKI52,2016,198091
2013,UKI53,2013,10000
2014,UKI53,2013,230041
2015,UKI53,2013,212353
2017,UKI53,2016,195024
2018,UKI53,2016,154477
2019,UKI53,2016,480302
2020,UKI53,2016,416575
2013,UKI54,2013,1179376
2014,UKI54,2013,24750
2015,UKI54,2013,416342
2016,UKI54,2016,2132549
2017,UKI54,2016,52500
2018,UKI54,2016,553857
2019,UKI54,2016,505585
2020,UKI54,2016,198688
2013,UKI61,2013,10000
2014,UKI61,2013,484634
2015,UKI61,2013,364119
2016,UKI61,2016,6089
2017,UKI61,2016,415997
2018,UKI61,2016,510098
2019,UKI61,2016,1263567
2020,UKI61,2016,49986
2013,UKI62,2013,799931
2014,UKI62,2013,720750
2015,UKI62,2013,264078
2016,UKI62,2016,322944
2017,UKI62,2016,425325
2018,UKI62,2016,1032154
2019,UKI62,2016,198761
2020,UKI62,2016,193227
2013,UKI63,2013,1319370
2014,UKI63,2013,2056168
2015,UKI63,2013,440434
2016,UKI63,2016,732553
2017,UKI63,2016,863796
2018,UKI63,2016,2463806
2019,UKI63,2016,1043782
2020,UKI63,2016,248306
2013,UKI71,2013,713291
2014,UKI71,2013,1169617
2015,UKI71,2013,2265206
2016,UKI71,2016,1441404
2017,UKI71,2016,1381052
2018,UKI71,2016,1156532
2019,UKI71,2016,784971
2020,UKI71,2016,387713
2013,UKI72,2013,408160
2014,UKI72,2013,378491
2015,UKI72,2013,496215
2016,UKI72,2016,11970
2017,UKI72,2016,1483188
2018,UKI72,2016,474510
2019,UKI72,2016,739106
2020,UKI72,2016,408462
2013,UKI73,2013,1525018
2014,UKI73,2013,684807
2015,UKI73,2013,228712
2016,UKI73,2016,1316709
