year,nuts_id,nuts_year_spec,total_trademarks_scientific
2014,UKH2,2013,168
2015,UKH2,2013,160
2016,UKH2,2016,194
2017,UKH2,2016,214
2018,UKH2,2016,18
2010,UKH3,2010,57
2011,UKH3,2010,48
2012,UKH3,2010,64
2013,UKH3,2013,45
2014,UKH3,2013,86
2015,UKH3,2013,82
2016,UKH3,2016,88
2017,UKH3,2016,129
2018,UKH3,2016,5
2010,UKI1,2010,815
2011,UKI1,2010,817
2012,UKI1,2010,942
2010,UKI2,2010,198
2011,UKI2,2010,208
2012,UKI2,2010,229
2013,UKI3,2013,664
2014,UKI3,2013,762
2015,UKI3,2013,846
2016,UKI3,2016,949
2017,UKI3,2016,1071
2018,UKI3,2016,83
2013,UKI4,2013,414
2014,UKI4,2013,492
2015,UKI4,2013,609
2016,UKI4,2016,652
2017,UKI4,2016,769
2018,UKI4,2016,59
2013,UKI5,2013,46
2014,UKI5,2013,93
2015,UKI5,2013,96
2016,UKI5,2016,119
2017,UKI5,2016,108
2018,UKI5,2016,8
2013,UKI6,2013,80
2014,UKI6,2013,87
2015,UKI6,2013,94
2016,UKI6,2016,98
2017,UKI6,2016,124
2018,UKI6,2016,25
2013,UKI7,2013,155
2014,UKI7,2013,187
2015,UKI7,2013,241
2016,UKI7,2016,260
2017,UKI7,2016,280
2018,UKI7,2016,26
2010,UKJ1,2010,230
2011,UKJ1,2010,200
2012,UKJ1,2010,213
2013,UKJ1,2013,250
2014,UKJ1,2013,294
2015,UKJ1,2013,276
2016,UKJ1,2016,350
2017,UKJ1,2016,421
2018,UKJ1,2016,22
2010,UKJ2,2010,178
2011,UKJ2,2010,149
2012,UKJ2,2010,212
2013,UKJ2,2013,192
2014,UKJ2,2013,283
2015,UKJ2,2013,294
2016,UKJ2,2016,371
2017,UKJ2,2016,362
2018,UKJ2,2016,27
2010,UKJ3,2010,75
2011,UKJ3,2010,88
2012,UKJ3,2010,124
2013,UKJ3,2013,126
2014,UKJ3,2013,144
2015,UKJ3,2013,214
2016,UKJ3,2016,186
2017,UKJ3,2016,192
2018,UKJ3,2016,20
2010,UKJ4,2010,45
2011,UKJ4,2010,53
2012,UKJ4,2010,63
2013,UKJ4,2013,83
2014,UKJ4,2013,93
2015,UKJ4,2013,88
2016,UKJ4,2016,98
2017,UKJ4,2016,115
2018,UKJ4,2016,5
2010,UKK1,2010,153
2011,UKK1,2010,169
2012,UKK1,2010,182
2013,UKK1,2013,203
2014,UKK1,2013,194
2015,UKK1,2013,206
2016,UKK1,2016,260
2017,UKK1,2016,239
2018,UKK1,2016,19
2010,UKK2,2010,39
2011,UKK2,2010,59
2012,UKK2,2010,54
2013,UKK2,2013,69
2014,UKK2,2013,65
2015,UKK2,2013,69
2016,UKK2,2016,98
2017,UKK2,2016,92
2018,UKK2,2016,5
2010,UKK3,2010,16
2011,UKK3,2010,21
2012,UKK3,2010,9
2013,UKK3,2013,24
2014,UKK3,2013,18
2015,UKK3,2013,33
2016,UKK3,2016,38
2017,UKK3,2016,25
2018,UKK3,2016,2
2010,UKK4,2010,32
2011,UKK4,2010,29
2012,UKK4,2010,53
2013,UKK4,2013,53
2014,UKK4,2013,66
2015,UKK4,2013,60
2016,UKK4,2016,82
2017,UKK4,2016,86
2018,UKK4,2016,8
2010,UKL1,2010,37
2011,UKL1,2010,32
2012,UKL1,2010,43
2013,UKL1,2013,41
2014,UKL1,2013,52
2015,UKL1,2013,43
2016,UKL1,2016,52
2017,UKL1,2016,62
2018,UKL1,2016,4
2010,UKL2,2010,42
2011,UKL2,2010,53
2012,UKL2,2010,59
2013,UKL2,2013,77
2014,UKL2,2013,71
2015,UKL2,2013,61
2016,UKL2,2016,77
2017,UKL2,2016,93
2018,UKL2,2016,9
2010,UKM2,2010,83
2011,UKM2,2010,81
2012,UKM2,2010,115
2013,UKM2,2013,85
2014,UKM2,2013,103
2015,UKM2,2013,95
2010,UKM3,2010,55
2011,UKM3,2010,45
2012,UKM3,2010,90
2013,UKM3,2013,89
2014,UKM3,2013,92
2015,UKM3,2013,81
2010,UKM5,2010,30
2011,UKM5,2010,39
2012,UKM5,2010,40
2013,UKM5,2013,48
2014,UKM5,2013,35
2015,UKM5,2013,22
2016,UKM5,2016,46
2017,UKM5,2016,31
2018,UKM5,2016,7
2010,UKM6,2010,6
2011,UKM6,2010,18
2012,UKM6,2010,14
2013,UKM6,2013,20
2014,UKM6,2013,10
2015,UKM6,2013,17
2016,UKM6,2016,20
2017,UKM6,2016,8
2018,UKM6,2016,1
2016,UKM7,2016,143
2017,UKM7,2016,164
2018,UKM7,2016,19
2016,UKM8,2016,95
2017,UKM8,2016,133
2018,UKM8,2016,3
2016,UKM9,2016,21
2017,UKM9,2016,20
2018,UKM9,2016,1
2010,UKN0,2010,20
2011,UKN0,2010,21
2012,UKN0,2010,44
2013,UKN0,2013,27
2014,UKN0,2013,36
2015,UKN0,2013,42
2016,UKN0,2016,47
2017,UKN0,2016,47
2018,UKN0,2016,10
