year,nuts_id,nuts_year_spec,total_trademarks
2016.0,UKE3,2016,524
2017.0,UKE3,2016,492
2010.0,UKM9,2016,163
2011.0,UKM9,2016,149
2012.0,UKM9,2016,191
2013.0,UKM9,2016,214
2014.0,UKM9,2016,232
2015.0,UKM9,2016,241
2016.0,UKM9,2016,278
2017.0,UKM9,2016,334
2010.0,UKJ2,2016,1242
2011.0,UKJ2,2016,1323
2012.0,UKJ2,2016,1505
2013.0,UKJ2,2016,1785
2014.0,UKJ2,2016,2126
2015.0,UKJ2,2016,2195
2016.0,UKJ2,2016,2400
2017.0,UKJ2,2016,2434
2010.0,UKC1,2016,161
2011.0,UKC1,2016,159
2012.0,UKC1,2016,224
2013.0,UKC1,2016,269
2014.0,UKC1,2016,273
2015.0,UKC1,2016,264
2016.0,UKC1,2016,356
2017.0,UKC1,2016,354
2010.0,UKM8,2016,383
2011.0,UKM8,2016,368
2012.0,UKM8,2016,484
2013.0,UKM8,2016,690
2014.0,UKM8,2016,566
2015.0,UKM8,2016,718
2016.0,UKM8,2016,759
2017.0,UKM8,2016,864
2010.0,UKG3,2016,790
2011.0,UKG3,2016,913
2012.0,UKG3,2016,959
2013.0,UKG3,2016,1300
2014.0,UKG3,2016,1397
2015.0,UKG3,2016,1588
2016.0,UKG3,2016,1753
2017.0,UKG3,2016,1705
2010.0,UKL1,2016,332
2011.0,UKL1,2016,314
2012.0,UKL1,2016,334
2013.0,UKL1,2016,381
2014.0,UKL1,2016,498
2015.0,UKL1,2016,510
2016.0,UKL1,2016,588
2017.0,UKL1,2016,554
2010.0,UKE4,2016,884
2011.0,UKE4,2016,885
2012.0,UKE4,2016,936
2013.0,UKE4,2016,1119
2014.0,UKE4,2016,1309
2015.0,UKE4,2016,1257
2016.0,UKE4,2016,1402
2017.0,UKE4,2016,1420
