year,nuts_id,nuts_year_spec,total_gtr_projects_all_disciplines
2010,UKH3,2010,29694044
2011,UKH3,2010,1202235
2012,UKH3,2010,30310628
2013,UKH3,2013,10760588
2014,UKH3,2013,10758097
2015,UKH3,2013,12721593
2016,UKH3,2016,13038743
2017,UKH3,2016,44459739
2018,UKH3,2016,40384176
2010,UKI1,2010,261132135
2011,UKI1,2010,287348468
2012,UKI1,2010,343926847
2010,UKI2,2010,10953578
2011,UKI2,2010,12119652
2012,UKI2,2010,6420795
2013,UKI3,2013,431946277
2014,UKI3,2013,405371396
2015,UKI3,2013,371185578
2016,UKI3,2016,379413836
2017,UKI3,2016,355233148
2018,UKI3,2016,384188759
2013,UKI4,2013,52831975
2014,UKI4,2013,83235580
2015,UKI4,2013,104371884
2016,UKI4,2016,51567044
2017,UKI4,2016,86390178
2018,UKI4,2016,80541429
2013,UKI5,2013,1587254
2014,UKI5,2013,1107232
2015,UKI5,2013,1228318
2016,UKI5,2016,1804495
2017,UKI5,2016,3142059
2018,UKI5,2016,5036058
2013,UKI6,2013,751472
2014,UKI6,2013,925368
2015,UKI6,2013,937994
2016,UKI6,2016,2438252
2017,UKI6,2016,1882616
2018,UKI6,2016,1421766
2013,UKI7,2013,16967799
2014,UKI7,2013,13933274
2015,UKI7,2013,20438020
2016,UKI7,2016,10208039
2017,UKI7,2016,14152559
2018,UKI7,2016,9052837
2010,UKJ1,2010,293832281
2011,UKJ1,2010,131589051
2012,UKJ1,2010,160351257
2013,UKJ1,2013,232858955
2014,UKJ1,2013,239123599
2015,UKJ1,2013,185450584
2016,UKJ1,2016,187416403
2017,UKJ1,2016,214844665
2018,UKJ1,2016,224226232
2010,UKJ2,2010,58210862
2011,UKJ2,2010,31187520
2012,UKJ2,2010,67577319
2013,UKJ2,2013,41031756
2014,UKJ2,2013,47596218
2015,UKJ2,2013,47247551
2016,UKJ2,2016,72881592
2017,UKJ2,2016,66726748
2018,UKJ2,2016,61608452
2010,UKJ3,2010,127750678
2011,UKJ3,2010,42788013
2012,UKJ3,2010,54978929
2013,UKJ3,2013,82567072
2014,UKJ3,2013,78909560
2015,UKJ3,2013,59792930
2016,UKJ3,2016,75532652
2017,UKJ3,2016,88854350
2018,UKJ3,2016,96224857
2010,UKJ4,2010,2974031
2011,UKJ4,2010,3131802
2012,UKJ4,2010,4680047
2013,UKJ4,2013,8800575
2014,UKJ4,2013,15024637
2015,UKJ4,2013,12532745
2016,UKJ4,2016,7060710
2017,UKJ4,2016,17040851
2018,UKJ4,2016,8892001
2010,UKK1,2010,65674150
2011,UKK1,2010,60115854
2012,UKK1,2010,88470788
2013,UKK1,2013,95462181
2014,UKK1,2013,209357929
2015,UKK1,2013,85645541
2016,UKK1,2016,137920394
2017,UKK1,2016,187807795
2018,UKK1,2016,105231522
2010,UKK2,2010,17620283
2011,UKK2,2010,1385070
2012,UKK2,2010,870889
2013,UKK2,2013,4552179
2014,UKK2,2013,3698003
2015,UKK2,2013,6957063
2016,UKK2,2016,2088639
2017,UKK2,2016,9251022
2018,UKK2,2016,2174600
2010,UKK3,2010,124130
2011,UKK3,2010,2564497
2012,UKK3,2010,270635
2013,UKK3,2013,1409417
2014,UKK3,2013,1028510
2015,UKK3,2013,678499
2016,UKK3,2016,1628225
2017,UKK3,2016,733861
2010,UKK4,2010,21944798
2011,UKK4,2010,13441597
2012,UKK4,2010,30417781
2013,UKK4,2013,35763384
2014,UKK4,2013,35955664
2015,UKK4,2013,25959336
2016,UKK4,2016,36495779
2017,UKK4,2016,49813741
2018,UKK4,2016,44687913
2010,UKL1,2010,14037729
2011,UKL1,2010,15864472
2012,UKL1,2010,33484988
2013,UKL1,2013,30701914
2014,UKL1,2013,22809771
2015,UKL1,2013,20741975
2016,UKL1,2016,12883966
2017,UKL1,2016,29480950
2018,UKL1,2016,60109891
2010,UKL2,2010,340930
2011,UKL2,2010,573780
2012,UKL2,2010,1157785
2013,UKL2,2013,3675058
2014,UKL2,2013,3140082
2015,UKL2,2013,4303454
2016,UKL2,2016,2333311
2017,UKL2,2016,6160127
2018,UKL2,2016,6011063
2010,UKM2,2010,87861282
2011,UKM2,2010,135007402
2012,UKM2,2010,149508977
2013,UKM2,2013,167859837
2014,UKM2,2013,141992701
2015,UKM2,2013,114805733
2010,UKM3,2010,76778551
2011,UKM3,2010,58405150
2012,UKM3,2010,54680098
2013,UKM3,2013,79618707
2014,UKM3,2013,104951815
2015,UKM3,2013,71067269
2010,UKM5,2010,8181043
2011,UKM5,2010,4641762
2012,UKM5,2010,10941328
2013,UKM5,2013,14117449
2014,UKM5,2013,5339441
2015,UKM5,2013,11274243
2016,UKM5,2016,14156561
2017,UKM5,2016,11520675
2018,UKM5,2016,6001536
2011,UKM6,2010,518646
2012,UKM6,2010,23265
2013,UKM6,2013,366531
2014,UKM6,2013,236016
2015,UKM6,2013,515924
2016,UKM6,2016,69948
2017,UKM6,2016,1352963
2016,UKM7,2016,119859567
2017,UKM7,2016,119284032
2018,UKM7,2016,137071618
2016,UKM8,2016,63260503
2017,UKM8,2016,99481144
2018,UKM8,2016,78157377
2016,UKM9,2016,29713
2017,UKM9,2016,2120268
2018,UKM9,2016,1163225
2010,UKN0,2010,11337367
2011,UKN0,2010,9243770
2012,UKN0,2010,16073953
2013,UKN0,2013,26467099
2014,UKN0,2013,14979891
2015,UKN0,2013,17497633
2016,UKN0,2016,18748045
2017,UKN0,2016,26028212
2018,UKN0,2016,21991367
