year,nuts_id,nuts_year_spec,total_ukri_funding
2018,UKC2,2016,328390.21
2018,UKD1,2016,832756.9
2018,UKD3,2016,265772.13
2018,UKD4,2016,209960.61
2018,UKD6,2016,2399172.11
2018,UKD7,2016,283310.17
2018,UKE1,2016,234173.84
2018,UKE2,2016,294464.12
2018,UKE3,2016,249191.51
2018,UKE4,2016,405654.36
2018,UKF1,2016,208394.17
2018,UKF2,2016,301893.83
2018,UKF3,2016,525710.04
2018,UKG1,2016,4287026.82
2018,UKG2,2016,265158.49
2018,UKG3,2016,1349493.18
2018,UKH1,2016,427754.23
2018,UKH2,2016,503195.24
2018,UKH3,2016,789239.39
2018,UKI3,2016,547190.3
2018,UKI4,2016,444920.04
2018,UKI5,2016,452469.33
2018,UKI6,2016,141733.26
2018,UKI7,2016,195782.34
2018,UKJ1,2016,624287.37
2018,UKJ2,2016,292108.57
2018,UKJ3,2016,426387.03
2018,UKJ4,2016,178010.82
2018,UKK1,2016,360038.44
2018,UKK2,2016,158088.69
2018,UKK4,2016,291388.62
2018,UKL1,2016,543946.11
2018,UKL2,2016,392372.39
2018,UKM5,2016,117708.15
2018,UKM7,2016,338833.61
2018,UKM8,2016,532213.09
2018,UKM9,2016,294034.39
2018,UKN0,2016,294004.1
2019,UKC1,2016,414658.71
2019,UKC2,2016,384333.55
2019,UKD1,2016,1422773.75
2019,UKD3,2016,294352.44
2019,UKD4,2016,227534.96
2019,UKD6,2016,396879.26
2019,UKD7,2016,599958.76
2019,UKE1,2016,386924.14
2019,UKE2,2016,401428.38
2019,UKE3,2016,293823.25
2019,UKE4,2016,366599.91
2019,UKF1,2016,236384.19
2019,UKF2,2016,224566.87
2019,UKF3,2016,602408.95
2019,UKG1,2016,891464.7
2019,UKG2,2016,217014.57
2019,UKG3,2016,406077.78
2019,UKH1,2016,394401.76
2019,UKH2,2016,529467.5
2019,UKH3,2016,342918.31
2019,UKI3,2016,497994.75
2019,UKI4,2016,304455.98
2019,UKI5,2016,354167.62
2019,UKI6,2016,57988.58
2019,UKI7,2016,217196.68
2019,UKJ1,2016,455217.53
2019,UKJ2,2016,339220.49
2019,UKJ3,2016,272700.96
2019,UKJ4,2016,211319.45
