Unnamed: 0,year,nuts_id,nuts_year_spec,total_inventions
68,2015,UKF1,2013,375
74,2015,UKF2,2013,160
80,2015,UKF3,2013,58
86,2015,UKG1,2013,212
92,2015,UKG2,2013,133
98,2015,UKG3,2013,250
104,2015,UKH1,2013,588
110,2015,UKH2,2013,324
116,2015,UKH3,2013,147
122,2015,UKI3,2013,463
128,2015,UKI4,2013,158
134,2015,UKI5,2013,41
140,2015,UKI6,2013,71
146,2015,UKI7,2013,206
152,2015,UKJ1,2013,716
158,2015,UKJ2,2013,592
164,2015,UKJ3,2013,410
170,2015,UKJ4,2013,139
176,2015,UKK1,2013,601
182,2015,UKK2,2013,94
188,2015,UKK3,2013,29
194,2015,UKK4,2013,54
200,2015,UKL1,2013,111
206,2015,UKL2,2013,109
212,2015,UKM2,2013,213
218,2015,UKM3,2013,79
224,2015,UKM5,2013,109
230,2015,UKM6,2013,32
236,2015,UKN0,2013,113
3,2016,UKC1,2013,99
9,2016,UKC2,2013,169
15,2016,UKD1,2013,22
21,2016,UKD3,2013,132
27,2016,UKD4,2013,101
33,2016,UKD6,2013,122
39,2016,UKD7,2013,122
45,2016,UKE1,2013,37
51,2016,UKE2,2013,92
57,2016,UKE3,2013,52
63,2016,UKE4,2013,95
69,2016,UKF1,2013,420
75,2016,UKF2,2013,137
81,2016,UKF3,2013,44
87,2016,UKG1,2013,189
93,2016,UKG2,2013,143
99,2016,UKG3,2013,194
105,2016,UKH1,2013,529
111,2016,UKH2,2013,277
117,2016,UKH3,2013,158
123,2016,UKI3,2013,444
129,2016,UKI4,2013,160
135,2016,UKI5,2013,34
141,2016,UKI6,2013,35
147,2016,UKI7,2013,137
153,2016,UKJ1,2013,524
159,2016,UKJ2,2013,464
165,2016,UKJ3,2013,309
171,2016,UKJ4,2013,148
177,2016,UKK1,2013,429
183,2016,UKK2,2013,83
189,2016,UKK3,2013,15
195,2016,UKK4,2013,42
201,2016,UKL1,2013,90
207,2016,UKL2,2013,102
213,2016,UKM2,2013,195
219,2016,UKM3,2013,99
225,2016,UKM5,2013,82
231,2016,UKM6,2013,30
237,2016,UKN0,2013,91
4,2017,UKC1,2013,32
10,2017,UKC2,2013,77
16,2017,UKD1,2013,14
22,2017,UKD3,2013,68
28,2017,UKD4,2013,70
34,2017,UKD6,2013,59
40,2017,UKD7,2013,81
46,2017,UKE1,2013,13
52,2017,UKE2,2013,38
58,2017,UKE3,2013,21
64,2017,UKE4,2013,37
70,2017,UKF1,2013,257
76,2017,UKF2,2013,34
82,2017,UKF3,2013,37
88,2017,UKG1,2013,79
94,2017,UKG2,2013,46
100,2017,UKG3,2013,69
106,2017,UKH1,2013,292
112,2017,UKH2,2013,112
118,2017,UKH3,2013,70
124,2017,UKI3,2013,179
130,2017,UKI4,2013,101
136,2017,UKI5,2013,43
142,2017,UKI6,2013,21
148,2017,UKI7,2013,77
154,2017,UKJ1,2013,290
160,2017,UKJ2,2013,281
166,2017,UKJ3,2013,179
172,2017,UKJ4,2013,76
178,2017,UKK1,2013,217
184,2017,UKK2,2013,57
190,2017,UKK3,2013,10
196,2017,UKK4,2013,19
202,2017,UKL1,2013,45
208,2017,UKL2,2013,49
214,2017,UKM2,2013,117
220,2017,UKM3,2013,32
226,2017,UKM5,2013,31
232,2017,UKM6,2013,5
238,2017,UKN0,2013,46
5,2018,UKC1,2016,18
11,2018,UKC2,2016,105
17,2018,UKD1,2016,3
23,2018,UKD3,2016,16
29,2018,UKD4,2016,6
35,2018,UKD6,2016,22
41,2018,UKD7,2016,14
47,2018,UKE1,2016,4
53,2018,UKE2,2016,9
59,2018,UKE3,2016,3
65,2018,UKE4,2016,15
71,2018,UKF1,2016,139
77,2018,UKF2,2016,27
83,2018,UKF3,2016,27
89,2018,UKG1,2016,34
95,2018,UKG2,2016,57
101,2018,UKG3,2016,23
107,2018,UKH1,2016,90
113,2018,UKH2,2016,23
119,2018,UKH3,2016,20
125,2018,UKI3,2016,42
131,2018,UKI4,2016,18
137,2018,UKI5,2016,6
143,2018,UKI6,2016,9
149,2018,UKI7,2016,26
155,2018,UKJ1,2016,67
161,2018,UKJ2,2016,161
167,2018,UKJ3,2016,47
173,2018,UKJ4,2016,16
179,2018,UKK1,2016,61
185,2018,UKK2,2016,9
191,2018,UKK3,2016,4
197,2018,UKK4,2016,21
203,2018,UKL1,2016,6
209,2018,UKL2,2016,11
215,2018,UKM2,2016,39
221,2018,UKM3,2016,4
227,2018,UKM5,2016,5
233,2018,UKM6,2016,1
239,2018,UKN0,2016,16
