year,lep_id,lep_year_spec,economic_complexity_index
2018,UKM50,2013,-0.0211
2018,UKM61,2013,-0.0392
2018,UKM62,2013,-0.0669
2018,UKM63,2013,-0.0513
2018,UKM64,2013,-0.0106
2018,UKM65,2013,-0.0213
2018,UKM66,2013,-0.0495
2018,UKN01,2013,0.0561
2018,UKN02,2013,-0.0428
2018,UKN03,2013,-0.0635
2018,UKN04,2013,-0.0757
2018,UKN05,2013,-0.0728
2017,UKC11,2013,-0.0404
2017,UKC12,2013,-0.0214
2017,UKC13,2013,-0.0311
2017,UKC14,2013,-0.0461
2017,UKC21,2013,-0.0574
2017,UKC22,2013,-0.0286
2017,UKC23,2013,-0.0352
2017,UKD11,2013,-0.0681
2017,UKD12,2013,-0.0545
2017,UKD33,2013,0.1356
2017,UKD34,2013,0.0723
2017,UKD35,2013,-0.0117
2017,UKD36,2013,-0.0315
2017,UKD37,2013,-0.0123
2017,UKD41,2013,-0.0081
2017,UKD42,2013,-0.0553
2017,UKD44,2013,-0.0542
2017,UKD45,2013,-0.0229
2017,UKD46,2013,-0.0377
2017,UKD47,2013,-0.026
2017,UKD61,2013,0.0506
2017,UKD62,2013,0.0532
2017,UKD63,2013,0.0395
2017,UKD71,2013,-0.0333
2017,UKD72,2013,0.0526
2017,UKD73,2013,-0.0368
2017,UKD74,2013,-0.0108
2017,UKE11,2013,-0.0443
2017,UKE12,2013,-0.0508
2017,UKE13,2013,-0.0696
2017,UKE21,2013,0.0393
2017,UKE22,2013,-0.0524
2017,UKE31,2013,-0.0456
2017,UKE32,2013,-0.0162
2017,UKE41,2013,-0.0336
2017,UKE42,2013,0.0488
2017,UKE44,2013,-0.0276
2017,UKE45,2013,-0.0619
2017,UKF11,2013,-0.0116
2017,UKF12,2013,-0.0525
2017,UKF13,2013,-0.0561
2017,UKF14,2013,0.0306
2017,UKF15,2013,-0.0426
2017,UKF16,2013,0.0234
2017,UKF21,2013,-0.0221
2017,UKF22,2013,0.0069
2017,UKF24,2013,0.0077
2017,UKF25,2013,-0.0377
2017,UKF30,2013,-0.0771
2017,UKG11,2013,-0.0375
2017,UKG12,2013,-0.0257
2017,UKG13,2013,0.0163
2017,UKG21,2013,-0.0466
2017,UKG22,2013,-0.0683
2017,UKG23,2013,-0.0437
2017,UKG24,2013,-0.0355
2017,UKG31,2013,0.017
2017,UKG32,2013,0.0868
2017,UKG33,2013,-0.0116
2017,UKG36,2013,-0.0425
2017,UKG37,2013,-0.0321
2017,UKG38,2013,-0.0321
2017,UKG39,2013,-0.0306
2017,UKH11,2013,-0.0018
2017,UKH12,2013,0.0134
2017,UKH14,2013,-0.0342
2017,UKH15,2013,-0.0324
2017,UKH16,2013,-0.0467
2017,UKH17,2013,-0.059
2017,UKH21,2013,0.0679
2017,UKH23,2013,0.1209
2017,UKH24,2013,0.0304
2017,UKH25,2013,0.0075
2017,UKH31,2013,0.0486
2017,UKH32,2013,-0.0243
2017,UKH34,2013,-0.0361
2017,UKH35,2013,0.0717
2017,UKH36,2013,0.041
2017,UKH37,2013,-0.0168
2017,UKI31,2013,0.1868
2017,UKI32,2013,0.1637
2017,UKI33,2013,0.1823
2017,UKI34,2013,0.2036
2017,UKI41,2013,0.2076
2017,UKI42,2013,0.1613
2017,UKI43,2013,0.1927
2017,UKI44,2013,0.1543
2017,UKI45,2013,0.1831
2017,UKI51,2013,0.074
2017,UKI52,2013,0.009
2017,UKI53,2013,0.1585
2017,UKI54,2013,0.1207
2017,UKI61,2013,0.1663
2017,UKI62,2013,0.1174
2017,UKI63,2013,0.1683
2017,UKI71,2013,0.192
2017,UKI72,2013,0.1607
2017,UKI73,2013,0.1685
2017,UKI74,2013,0.1358
2017,UKI75,2013,0.1743
2017,UKJ11,2013,0.0737
2017,UKJ12,2013,0.0462
2017,UKJ13,2013,0.1154
2017,UKJ14,2013,0.0511
2017,UKJ21,2013,0.1649
2017,UKJ22,2013,0.0415
2017,UKJ25,2013,0.1506
2017,UKJ26,2013,0.1178
2017,UKJ27,2013,0.0016
2017,UKJ28,2013,0.0509
2017,UKJ31,2013,-0.0258
2017,UKJ32,2013,-0.004
2017,UKJ34,2013,-0.0429
2017,UKJ35,2013,-0.0068
2017,UKJ36,2013,0.0208
2017,UKJ37,2013,0.0649
2017,UKJ41,2013,-0.0412
2017,UKJ43,2013,-0.0152
2017,UKJ44,2013,-0.0041
2017,UKJ45,2013,-0.0034
2017,UKJ46,2013,0.1126
2017,UKK11,2013,0.0918
2017,UKK12,2013,0.0254
2017,UKK13,2013,-0.0025
2017,UKK14,2013,0.0366
2017,UKK15,2013,0.018
2017,UKK21,2013,0.0283
2017,UKK22,2013,-0.0407
2017,UKK23,2013,-0.0526
2017,UKK30,2013,-0.0591
2017,UKK41,2013,-0.0179
2017,UKK42,2013,-0.0133
2017,UKK43,2013,-0.0362
2017,UKL11,2013,-0.0681
2017,UKL12,2013,-0.0462
2017,UKL13,2013,-0.0715
2017,UKL14,2013,-0.0772
2017,UKL15,2013,-0.048
2017,UKL16,2013,-0.0603
2017,UKL17,2013,-0.0534
2017,UKL18,2013,-0.0148
2017,UKL21,2013,-0.0567
2017,UKL22,2013,0.0626
2017,UKL23,2013,-0.0632
2017,UKL24,2013,-0.0836
2017,UKM21,2013,-0.0574
2017,UKM22,2013,-0.053
2017,UKM23,2013,-0.0474
2017,UKM24,2013,-0.0639
2017,UKM25,2013,0.0984
2017,UKM26,2013,-0.0531
2017,UKM27,2013,-0.0562
2017,UKM28,2013,-0.0353
2017,UKM31,2013,-0.0512
2017,UKM32,2013,-0.0821
2017,UKM33,2013,-0.0599
2017,UKM34,2013,0.0382
2017,UKM35,2013,-0.0374
2017,UKM36,2013,-0.0501
2017,UKM37,2013,-0.0479
2017,UKM38,2013,-0.0537
2017,UKM50,2013,-0.0363
2017,UKM61,2013,-0.0711
2017,UKM62,2013,-0.0736
2017,UKM63,2013,-0.0628
2017,UKM64,2013,-0.0343
2017,UKM65,2013,-0.0164
2017,UKM66,2013,-0.0588
2017,UKN01,2013,0.0575
2017,UKN02,2013,-0.0294
2017,UKN03,2013,-0.0662
2017,UKN04,2013,-0.0834
2017,UKN05,2013,-0.0793
2016,UKC11,2013,-0.0388
2016,UKC12,2013,-0.0346
2016,UKC13,2013,-0.0244
2016,UKC14,2013,-0.0456
2016,UKC21,2013,-0.0543
2016,UKC22,2013,-0.0249
2016,UKC23,2013,-0.0437
2016,UKD11,2013,-0.0501
2016,UKD12,2013,-0.0395
2016,UKD33,2013,0.1018
2016,UKD34,2013,0.0912
2016,UKD35,2013,-0.0121
2016,UKD36,2013,-0.0297
2016,UKD37,2013,-0.0122
2016,UKD41,2013,-0.0098
2016,UKD42,2013,-0.0583
2016,UKD44,2013,-0.0559
2016,UKD45,2013,-0.0285
2016,UKD46,2013,-0.0477
2016,UKD47,2013,-0.0344
2016,UKD61,2013,0.0407
2016,UKD62,2013,0.0524
2016,UKD63,2013,0.0197
2016,UKD71,2013,-0.0347
2016,UKD72,2013,0.0296
2016,UKD73,2013,-0.0172
2016,UKD74,2013,-0.016
2016,UKE11,2013,-0.0359
2016,UKE12,2013,-0.0405
2016,UKE13,2013,-0.0625
2016,UKE21,2013,0.0226
2016,UKE22,2013,-0.059
2016,UKE31,2013,-0.0441
2016,UKE32,2013,-0.019
2016,UKE41,2013,-0.042
2016,UKE42,2013,0.0272
2016,UKE44,2013,-0.0292
2016,UKE45,2013,-0.0584
2016,UKF11,2013,-0.0128
2016,UKF12,2013,-0.0464
2016,UKF13,2013,-0.0499
2016,UKF14,2013,0.0235
2016,UKF15,2013,-0.0466
2016,UKF16,2013,0.0233
2016,UKF21,2013,-0.0215
2016,UKF22,2013,-0.0149
2016,UKF24,2013,-0.0023
2016,UKF25,2013,-0.0346
2016,UKF30,2013,-0.069
2016,UKG11,2013,-0.0378
2016,UKG12,2013,-0.0374
2016,UKG13,2013,-0.0098
2016,UKG21,2013,-0.0345
2016,UKG22,2013,-0.0678
2016,UKG23,2013,-0.0337
2016,UKG24,2013,-0.0471
2016,UKG31,2013,0.0161
2016,UKG32,2013,0.1056
2016,UKG33,2013,0.0011
2016,UKG36,2013,-0.0439
2016,UKG37,2013,-0.0402
2016,UKG38,2013,-0.0369
2016,UKG39,2013,-0.0287
2016,UKH11,2013,0.0
2016,UKH12,2013,0.0236
2016,UKH14,2013,-0.0396
2016,UKH15,2013,-0.0223
2016,UKH16,2013,-0.0414
2016,UKH17,2013,-0.0565
2016,UKH21,2013,0.0446
2016,UKH23,2013,0.1161
2016,UKH24,2013,0.0234
2016,UKH25,2013,-0.0011
2016,UKH31,2013,0.045
2016,UKH32,2013,0.0009
2016,UKH34,2013,-0.0425
2016,UKH35,2013,0.0707
