year,nuts_id,nuts_year_spec,contract_research_sme
2015,UKM62,2013,459000
2015,UKN01,2013,820000
2015,UKN04,2013,52000
2016,UKC12,2016,216000
2016,UKC14,2016,527000
2016,UKC22,2016,1237000
2016,UKC23,2016,0
2016,UKD12,2016,0
2016,UKD33,2016,2737000
2016,UKD34,2016,167000
2016,UKD36,2016,52000
2016,UKD44,2016,450000
2016,UKD45,2016,106000
2016,UKD47,2016,0
2016,UKD63,2016,49000
2016,UKD72,2016,2280000
2016,UKE11,2016,46000
2016,UKE21,2016,1139000
2016,UKE32,2016,4073000
2016,UKE41,2016,445000
2016,UKE42,2016,2484000
2016,UKE44,2016,294000
2016,UKF11,2016,337000
2016,UKF14,2016,1727000
2016,UKF21,2016,718000
2016,UKF22,2016,161000
2016,UKF24,2016,4000
2016,UKF30,2016,146000
2016,UKG12,2016,0
2016,UKG21,2016,309000
2016,UKG23,2016,49000
2016,UKG24,2016,0
2016,UKG31,2016,2419000
2016,UKG33,2016,953000
2016,UKG39,2016,78000
2016,UKH12,2016,687000
2016,UKH14,2016,0
2016,UKH15,2016,28000
2016,UKH21,2016,43000
2016,UKH23,2016,351000
2016,UKH25,2016,1411000
2016,UKH34,2016,76000
2016,UKH36,2016,55000
2016,UKI31,2016,2593000
2016,UKI32,2016,2724000
2016,UKI33,2016,1361000
2016,UKI34,2016,678000
2016,UKI41,2016,0
2016,UKI42,2016,590000
2016,UKI43,2016,103000
2016,UKI44,2016,308000
2016,UKI51,2016,178000
2016,UKI63,2016,6000
2016,UKI71,2016,34000
2016,UKI73,2016,0
2016,UKI74,2016,51000
2016,UKI75,2016,35000
2016,UKJ11,2016,598000
2016,UKJ12,2016,7000
2016,UKJ13,2016,19000
2016,UKJ14,2016,7876000
2016,UKJ21,2016,387000
2016,UKJ25,2016,818000
2016,UKJ27,2016,0
2016,UKJ31,2016,82000
2016,UKJ32,2016,1652000
2016,UKJ36,2016,17000
2016,UKJ44,2016,8000
2016,UKK11,2016,463000
2016,UKK12,2016,684000
2016,UKK13,2016,178000
2016,UKK21,2016,211000
2016,UKK30,2016,0
2016,UKK41,2016,188000
2016,UKK43,2016,538000
2016,UKL12,2016,145000
2016,UKL14,2016,1349000
2016,UKL15,2016,132000
2016,UKL18,2016,0
2016,UKL22,2016,1514000
2016,UKL23,2016,0
2016,UKM50,2016,5522000
2016,UKM62,2016,62000
2016,UKM71,2016,155000
2016,UKM72,2016,1324000
2016,UKM73,2016,0
2016,UKM75,2016,1633000
2016,UKM77,2016,104000
2016,UKM82,2016,2888000
2016,UKM83,2016,320000
2016,UKN06,2016,761000
2016,UKN12,2016,57000
2017,UKC12,2016,122000
2017,UKC14,2016,852000
2017,UKC22,2016,893000
2017,UKC23,2016,26000
2017,UKD12,2016,0
2017,UKD33,2016,4204000
2017,UKD34,2016,557000
2017,UKD36,2016,69000
2017,UKD44,2016,1293000
2017,UKD45,2016,90000
2017,UKD47,2016,7000
2017,UKD63,2016,29000
2017,UKD72,2016,2592000
2017,UKE11,2016,56000
2017,UKE21,2016,196000
2017,UKE32,2016,4571000
2017,UKE41,2016,316000
2017,UKE42,2016,1819000
2017,UKE44,2016,402000
2017,UKF11,2016,589000
2017,UKF14,2016,1407000
2017,UKF21,2016,730000
2017,UKF22,2016,45000
2017,UKF24,2016,130000
2017,UKF30,2016,161000
2017,UKG12,2016,18000
2017,UKG21,2016,493000
2017,UKG23,2016,77000
2017,UKG24,2016,0
2017,UKG31,2016,1885000
2017,UKG33,2016,778000
2017,UKG39,2016,74000
2017,UKH12,2016,848000
2017,UKH14,2016,0
2017,UKH15,2016,30000
2017,UKH21,2016,48000
2017,UKH23,2016,355000
2017,UKH25,2016,1721000
2017,UKH34,2016,79000
2017,UKH36,2016,95000
2017,UKI31,2016,3081000
2017,UKI32,2016,3844000
2017,UKI33,2016,1719000
2017,UKI34,2016,514000
2017,UKI41,2016,0
2017,UKI42,2016,880000
2017,UKI43,2016,116000
2017,UKI44,2016,202000
2017,UKI51,2016,123000
2017,UKI63,2016,6000
2017,UKI71,2016,10000
2017,UKI73,2016,0
2017,UKI74,2016,330000
2017,UKI75,2016,0
2017,UKJ11,2016,513000
2017,UKJ12,2016,55000
2017,UKJ13,2016,69000
2017,UKJ14,2016,9845000
2017,UKJ21,2016,278000
2017,UKJ25,2016,1634000
2017,UKJ27,2016,118000
2017,UKJ31,2016,32000
2017,UKJ32,2016,2761000
2017,UKJ36,2016,2000
2017,UKJ44,2016,31000
2017,UKK11,2016,462000
2017,UKK12,2016,641000
2017,UKK13,2016,107000
2017,UKK21,2016,101000
2017,UKK30,2016,0
2017,UKK41,2016,86000
2017,UKK43,2016,481000
2017,UKL12,2016,152000
2017,UKL14,2016,989000
2017,UKL15,2016,0
2017,UKL18,2016,0
2017,UKL22,2016,1787000
2017,UKL23,2016,3000
2017,UKM50,2016,5688000
2017,UKM62,2016,89000
2017,UKM71,2016,61000
2017,UKM72,2016,1583000
2017,UKM73,2016,0
2017,UKM75,2016,2308000
2017,UKM77,2016,148000
2017,UKM82,2016,2938000
2017,UKM83,2016,80000
2017,UKN06,2016,1413000
2017,UKN12,2016,143000
2018,UKC12,2016,144000
2018,UKC14,2016,784000
2018,UKC22,2016,646000
2018,UKC23,2016,3000
2018,UKD12,2016,0
2018,UKD33,2016,5140000
2018,UKD34,2016,1021000
2018,UKD36,2016,26000
2018,UKD44,2016,2282000
2018,UKD45,2016,87000
2018,UKD47,2016,3000
2018,UKD63,2016,43000
2018,UKD72,2016,2666000
2018,UKE11,2016,88000
2018,UKE21,2016,256000
2018,UKE32,2016,5412000
2018,UKE41,2016,778000
2018,UKE42,2016,3306000
2018,UKE44,2016,395000
2018,UKF11,2016,363000
2018,UKF14,2016,2481000
2018,UKF21,2016,1104000
2018,UKF22,2016,60000
2018,UKF24,2016,107000
2018,UKF30,2016,289000
2018,UKG12,2016,0
2018,UKG21,2016,525000
2018,UKG23,2016,0
2018,UKG24,2016,3000
2018,UKG31,2016,2659000
2018,UKG33,2016,844000
2018,UKG39,2016,89000
2018,UKH12,2016,839000
2018,UKH14,2016,0
2018,UKH15,2016,0
2018,UKH21,2016,4000
2018,UKH23,2016,497000
2018,UKH25,2016,1482000
2018,UKH34,2016,218000
2018,UKH36,2016,323000
2018,UKI31,2016,3474000
2018,UKI32,2016,4227000
2018,UKI33,2016,2430000
2018,UKI34,2016,313000
2018,UKI41,2016,3000
2018,UKI42,2016,1538000
2018,UKI43,2016,17000
2018,UKI44,2016,224000
2018,UKI51,2016,120000
2018,UKI63,2016,38000
2018,UKI71,2016,165000
2018,UKI73,2016,0
2018,UKI74,2016,29000
2018,UKI75,2016,23000
2018,UKJ11,2016,512000
2018,UKJ12,2016,49000
2018,UKJ13,2016,41000
2018,UKJ14,2016,9711000
2018,UKJ21,2016,375000
2018,UKJ25,2016,2142000
2018,UKJ27,2016,94000
2018,UKJ31,2016,7000
2018,UKJ32,2016,2563000
2018,UKJ36,2016,5000
2018,UKJ44,2016,25000
2018,UKK11,2016,973000
2018,UKK12,2016,490000
2018,UKK13,2016,73000
2018,UKK21,2016,139000
2018,UKK30,2016,0
2018,UKK41,2016,96000
2018,UKK43,2016,1109000
2018,UKL12,2016,87000
2018,UKL14,2016,607000
2018,UKL15,2016,0
2018,UKL18,2016,277000
2018,UKL22,2016,1271000
2018,UKL23,2016,1000
2018,UKM50,2016,6899000
2018,UKM62,2016,91000
2018,UKM71,2016,56000
2018,UKM72,2016,1905000
2018,UKM73,2016,0
2018,UKM75,2016,3601000
2018,UKM77,2016,106000
2018,UKM82,2016,4109000
2018,UKM83,2016,103000
2018,UKN06,2016,1865000
2018,UKN12,2016,210000
