year,nuts_id,nuts_year_spec,consultancy_facilities_sme
2018,UKK21,2016,232000
2018,UKK30,2016,44000
2018,UKK41,2016,2854000
2018,UKK43,2016,599000
2018,UKL12,2016,247000
2018,UKL14,2016,1535000
2018,UKL15,2016,97000
2018,UKL18,2016,395000
2018,UKL22,2016,1153000
2018,UKL23,2016,1000
2018,UKM50,2016,631000
2018,UKM62,2016,1024000
2018,UKM71,2016,450000
2018,UKM72,2016,3032000
2018,UKM73,2016,74000
2018,UKM75,2016,19594000
2018,UKM77,2016,205000
2018,UKM82,2016,1137000
2018,UKM83,2016,152000
2018,UKN06,2016,1938000
2018,UKN12,2016,2017000
