year,lep_id,lep_year_spec,graduate_startups
2018,E37000011,2017,31.0
2018,E37000012,2017,383.0
2018,E37000014,2017,130.0
2018,E37000015,2017,444.0
2018,E37000016,2017,120.0
2018,E37000017,2017,256.0
2018,E37000018,2017,121.0
2018,E37000019,2017,982.0
2018,E37000020,2017,412.0
2018,E37000021,2017,374.0
2018,E37000022,2017,279.0
2018,E37000023,2017,2618.0
2018,E37000024,2017,245.0
2018,E37000025,2017,414.0
2018,E37000027,2017,160.0
2018,E37000029,2017,748.0
2018,E37000030,2017,162.0
2018,E37000032,2017,337.0
2018,E37000034,2017,186.0
2018,E37000035,2017,23.0
2018,E37000036,2017,0.0
2018,E37000037,2017,260.0
2018,E37000038,2017,18.0
2018,E37000039,2017,30.0
2018,E37000040,2017,273.0
2018,E37000041,2017,645.0
2018,E37000042,2017,75.0
