year,nuts_id,nuts_year_spec,consultancy_facilities_public_third
2018,UKL12,2016,682000
2018,UKL14,2016,944000
2018,UKL15,2016,609000
2018,UKL18,2016,2270000
2018,UKL22,2016,4166000
2018,UKL23,2016,0
2018,UKM50,2016,5398000
2018,UKM62,2016,1093000
2018,UKM71,2016,4432000
2018,UKM72,2016,360000
2018,UKM73,2016,102000
2018,UKM75,2016,11261000
2018,UKM77,2016,573000
2018,UKM82,2016,19783000
2018,UKM83,2016,174000
2018,UKN06,2016,5441000
2018,UKN12,2016,3115000
