year,nuts_id,nuts_year_spec,consultancy_facilities_public_third
2016,UKD3,2016,5290000.0
2016,UKD4,2016,18767000.0
2016,UKD6,2016,377000.0
2016,UKD7,2016,3100000.0
2016,UKE1,2016,3427000.0
2016,UKE2,2016,2606000.0
2016,UKE3,2016,6242000.0
2016,UKE4,2016,29651000.0
2016,UKF1,2016,3764000.0
2016,UKF2,2016,20155000.0
2016,UKF3,2016,291000.0
2016,UKG1,2016,831000.0
2016,UKG2,2016,8907000.0
2016,UKG3,2016,16813000.0
2016,UKH1,2016,22144000.0
2016,UKH2,2016,2729000.0
2016,UKH3,2016,6069000.0
2016,UKI3,2016,33245000.0
2016,UKI4,2016,19248000.0
2016,UKI5,2016,2691000.0
2016,UKI6,2016,51000.0
2016,UKI7,2016,1785000.0
2016,UKJ1,2016,7937000.0
2016,UKJ2,2016,7170000.0
2016,UKJ3,2016,31241000.0
2016,UKJ4,2016,6765000.0
2016,UKK1,2016,6579000.0
2016,UKK2,2016,303000.0
2016,UKK3,2016,6000.0
2016,UKK4,2016,2285000.0
2016,UKL1,2016,3724000.0
2016,UKL2,2016,4855000.0
2016,UKM5,2016,5137000.0
2016,UKM6,2016,1127000.0
2016,UKM7,2016,17138000.0
2016,UKM8,2016,14280000.0
2016,UKN0,2016,7281000.0
2017,UKC1,2016,10207000.0
2017,UKC2,2016,4588000.0
2017,UKD1,2016,163000.0
2017,UKD3,2016,5962000.0
2017,UKD4,2016,20984000.0
2017,UKD6,2016,660000.0
2017,UKD7,2016,3078000.0
2017,UKE1,2016,3107000.0
2017,UKE2,2016,2975000.0
2017,UKE3,2016,5876000.0
2017,UKE4,2016,31050000.0
2017,UKF1,2016,4509000.0
2017,UKF2,2016,21073000.0
2017,UKF3,2016,274000.0
2017,UKG1,2016,367000.0
2017,UKG2,2016,5309000.0
2017,UKG3,2016,12527000.0
2017,UKH1,2016,26044000.0
2017,UKH2,2016,2339000.0
2017,UKH3,2016,5227000.0
2017,UKI3,2016,34484000.0
2017,UKI4,2016,19310000.0
2017,UKI5,2016,3764000.0
2017,UKI6,2016,15000.0
2017,UKI7,2016,2265000.0
2017,UKJ1,2016,8505000.0
2017,UKJ2,2016,7473000.0
2017,UKJ3,2016,33348000.0
2017,UKJ4,2016,7000000.0
2017,UKK1,2016,5096000.0
2017,UKK2,2016,400000.0
2017,UKK3,2016,2000.0
2017,UKK4,2016,2168000.0
2017,UKL1,2016,3649000.0
2017,UKL2,2016,5729000.0
2017,UKM5,2016,4641000.0
2017,UKM6,2016,1564000.0
2017,UKM7,2016,16329000.0
2017,UKM8,2016,19824000.0
2017,UKN0,2016,8488000.0
2018,UKC1,2016,8249000.0
2018,UKC2,2016,4322000.0
2018,UKD1,2016,288000.0
2018,UKD3,2016,6247000.0
2018,UKD4,2016,18378000.0
2018,UKD6,2016,1306000.0
2018,UKD7,2016,2853000.0
2018,UKE1,2016,3420000.0
2018,UKE2,2016,2437000.0
2018,UKE3,2016,5576000.0
2018,UKE4,2016,30364000.0
2018,UKF1,2016,4678000.0
2018,UKF2,2016,20573000.0
2018,UKF3,2016,525000.0
2018,UKG1,2016,477000.0
2018,UKG2,2016,5693000.0
2018,UKG3,2016,12757000.0
2018,UKH1,2016,23991000.0
2018,UKH2,2016,6681000.0
2018,UKH3,2016,5147000.0
2018,UKI3,2016,35972000.0
2018,UKI4,2016,19812000.0
2018,UKI5,2016,4610000.0
2018,UKI6,2016,44000.0
2018,UKI7,2016,2920000.0
2018,UKJ1,2016,10702000.0
2018,UKJ2,2016,7521000.0
2018,UKJ3,2016,32491000.0
2018,UKJ4,2016,8055000.0
2018,UKK1,2016,7570000.0
2018,UKK2,2016,192000.0
2018,UKK3,2016,28000.0
2018,UKK4,2016,3194000.0
2018,UKL1,2016,4505000.0
2018,UKL2,2016,4166000.0
2018,UKM5,2016,5398000.0
2018,UKM6,2016,1093000.0
2018,UKM7,2016,16728000.0
2018,UKM8,2016,19957000.0
2018,UKN0,2016,8556000.0
