year,nuts_id,nuts_year_spec,contract_research_sme
2017,UKJ3,2016,2795000
2017,UKJ4,2016,31000
2017,UKK1,2016,1210000
2017,UKK2,2016,101000
2017,UKK3,2016,0
2017,UKK4,2016,567000
2017,UKL1,2016,1141000
2017,UKL2,2016,1790000
2017,UKM5,2016,5688000
2017,UKM6,2016,89000
2017,UKM7,2016,4100000
2017,UKM8,2016,3018000
2017,UKN0,2016,1556000
2018,UKC1,2016,928000
2018,UKC2,2016,649000
2018,UKD1,2016,0
2018,UKD3,2016,6187000
2018,UKD4,2016,2372000
2018,UKD6,2016,43000
2018,UKD7,2016,2666000
2018,UKE1,2016,88000
2018,UKE2,2016,256000
2018,UKE3,2016,5412000
2018,UKE4,2016,4479000
2018,UKF1,2016,2844000
2018,UKF2,2016,1271000
2018,UKF3,2016,289000
2018,UKG1,2016,0
2018,UKG2,2016,528000
2018,UKG3,2016,3592000
2018,UKH1,2016,839000
2018,UKH2,2016,1983000
2018,UKH3,2016,541000
2018,UKI3,2016,10444000
2018,UKI4,2016,1782000
2018,UKI5,2016,120000
2018,UKI6,2016,38000
2018,UKI7,2016,217000
2018,UKJ1,2016,10313000
2018,UKJ2,2016,2611000
2018,UKJ3,2016,2575000
2018,UKJ4,2016,25000
2018,UKK1,2016,1536000
2018,UKK2,2016,139000
2018,UKK3,2016,0
2018,UKK4,2016,1205000
2018,UKL1,2016,971000
2018,UKL2,2016,1272000
2018,UKM5,2016,6899000
2018,UKM6,2016,91000
2018,UKM7,2016,5668000
2018,UKM8,2016,4212000
2018,UKN0,2016,2075000
