year,nuts_id,nuts_year_spec,consultancy_facilities_non_sme
2015,UKD72,2013,661000
2015,UKE11,2013,1204000
2015,UKE21,2013,4481000
2015,UKE32,2013,3882000
2015,UKE41,2013,128000
2015,UKE42,2013,4494000
2015,UKE44,2013,1090000
2015,UKF11,2013,41000
2015,UKF14,2013,5841000
2015,UKF21,2013,1006000
2015,UKF22,2013,7150000
2015,UKF24,2013,293000
2015,UKF30,2013,1117000
2015,UKG12,2013,9000
2015,UKG21,2013,253000
2015,UKG23,2013,58000
2015,UKG24,2013,1262000
2015,UKG31,2013,1867000
2015,UKG33,2013,6101000
2015,UKG39,2013,1501000
2015,UKH12,2013,10440000
2015,UKH14,2013,0
2015,UKH15,2013,2000000
2015,UKH21,2013,28000
2015,UKH23,2013,262000
2015,UKH25,2013,2413000
2015,UKH34,2013,15000
2015,UKH36,2013,8540000
2015,UKI31,2013,13099000
2015,UKI32,2013,16473000
2015,UKI33,2013,36000
2015,UKI34,2013,303000
2015,UKI41,2013,75000
2015,UKI42,2013,2727000
2015,UKI43,2013,1036000
2015,UKI44,2013,80000
2015,UKI51,2013,656000
2015,UKI63,2013,133000
2015,UKI71,2013,9000
2015,UKI73,2013,45000
2015,UKI74,2013,231000
2015,UKI75,2013,385000
2015,UKJ11,2013,2007000
2015,UKJ12,2013,250000
2015,UKJ13,2013,140000
2015,UKJ14,2013,4222000
2015,UKJ21,2013,2682000
2015,UKJ25,2013,4872000
2015,UKJ27,2013,4000
2015,UKJ31,2013,1931000
2015,UKJ32,2013,7560000
2015,UKJ36,2013,37000
2015,UKJ44,2013,1084000
2015,UKK11,2013,1508000
2015,UKK12,2013,1312000
2015,UKK13,2013,133000
2015,UKK21,2013,191000
2015,UKK30,2013,0
2015,UKK41,2013,686000
2015,UKK43,2013,510000
2015,UKL12,2013,135000
2015,UKL14,2013,24000
2015,UKL15,2013,792000
2015,UKL18,2013,919000
2015,UKL22,2013,476000
2015,UKL23,2013,22000
2015,UKM21,2013,735000
2015,UKM22,2013,292000
2015,UKM23,2013,11000
2015,UKM25,2013,15894000
2015,UKM27,2013,1216000
2015,UKM34,2013,9106000
2015,UKM35,2013,85000
2015,UKM50,2013,1294000
2015,UKM62,2013,405000
2015,UKN01,2013,2252000
2015,UKN04,2013,256000
2016,UKC12,2016,144000
2016,UKC14,2016,1700000
2016,UKC22,2016,2251000
2016,UKC23,2016,71000
2016,UKD12,2016,190000
2016,UKD33,2016,3402000
2016,UKD34,2016,1402000
2016,UKD36,2016,0
2016,UKD44,2016,674000
2016,UKD45,2016,283000
2016,UKD47,2016,40000
2016,UKD63,2016,1644000
2016,UKD72,2016,893000
2016,UKE11,2016,1184000
2016,UKE21,2016,3628000
2016,UKE32,2016,3188000
2016,UKE41,2016,86000
2016,UKE42,2016,2310000
2016,UKE44,2016,1082000
2016,UKF11,2016,97000
2016,UKF14,2016,5477000
2016,UKF21,2016,1131000
2016,UKF22,2016,5950000
2016,UKF24,2016,102000
2016,UKF30,2016,563000
2016,UKG12,2016,102000
2016,UKG21,2016,202000
2016,UKG23,2016,46000
2016,UKG24,2016,1180000
2016,UKG31,2016,1951000
2016,UKG33,2016,6210000
2016,UKG39,2016,463000
2016,UKH12,2016,9080000
2016,UKH14,2016,5000
2016,UKH15,2016,792000
2016,UKH21,2016,107000
2016,UKH23,2016,239000
2016,UKH25,2016,2934000
2016,UKH34,2016,39000
2016,UKH36,2016,7228000
2016,UKI31,2016,21761000
2016,UKI32,2016,13224000
2016,UKI33,2016,52000
2016,UKI34,2016,206000
2016,UKI41,2016,15000
2016,UKI42,2016,2571000
2016,UKI43,2016,863000
2016,UKI44,2016,103000
2016,UKI51,2016,653000
2016,UKI63,2016,131000
2016,UKI71,2016,104000
2016,UKI73,2016,17000
2016,UKI74,2016,147000
2016,UKI75,2016,641000
2016,UKJ11,2016,1831000
2016,UKJ12,2016,369000
2016,UKJ13,2016,18000
2016,UKJ14,2016,4351000
2016,UKJ21,2016,4040000
2016,UKJ25,2016,5048000
2016,UKJ27,2016,4000
2016,UKJ31,2016,1374000
2016,UKJ32,2016,7104000
2016,UKJ36,2016,22000
2016,UKJ44,2016,1373000
2016,UKK11,2016,1087000
2016,UKK12,2016,1324000
2016,UKK13,2016,85000
2016,UKK21,2016,71000
2016,UKK30,2016,1000
2016,UKK41,2016,1074000
2016,UKK43,2016,389000
2016,UKL12,2016,44000
2016,UKL14,2016,88000
2016,UKL15,2016,420000
2016,UKL18,2016,614000
2016,UKL22,2016,595000
2016,UKL23,2016,0
2016,UKM50,2016,1248000
2016,UKM62,2016,147000
2016,UKM71,2016,834000
2016,UKM72,2016,345000
2016,UKM73,2016,82000
2016,UKM75,2016,19408000
2016,UKM77,2016,871000
2016,UKM82,2016,7328000
2016,UKM83,2016,27000
2016,UKN06,2016,1935000
2016,UKN12,2016,547000
2017,UKC12,2016,142000
2017,UKC14,2016,1619000
2017,UKC22,2016,2719000
2017,UKC23,2016,56000
2017,UKD12,2016,94000
2017,UKD33,2016,2494000
2017,UKD34,2016,1129000
2017,UKD36,2016,0
2017,UKD44,2016,367000
2017,UKD45,2016,153000
2017,UKD47,2016,21000
2017,UKD63,2016,1749000
2017,UKD72,2016,966000
2017,UKE11,2016,842000
2017,UKE21,2016,4002000
2017,UKE32,2016,2942000
2017,UKE41,2016,218000
2017,UKE42,2016,1839000
2017,UKE44,2016,806000
2017,UKF11,2016,66000
2017,UKF14,2016,7533000
2017,UKF21,2016,747000
2017,UKF22,2016,6221000
2017,UKF24,2016,167000
2017,UKF30,2016,686000
2017,UKG12,2016,156000
2017,UKG21,2016,74000
2017,UKG23,2016,26000
2017,UKG24,2016,1400000
2017,UKG31,2016,1931000
2017,UKG33,2016,6266000
2017,UKG39,2016,214000
2017,UKH12,2016,10574000
2017,UKH14,2016,5000
2017,UKH15,2016,4699000
2017,UKH21,2016,77000
2017,UKH23,2016,255000
2017,UKH25,2016,3241000
2017,UKH34,2016,80000
2017,UKH36,2016,43000
2017,UKI31,2016,25633000
2017,UKI32,2016,12138000
2017,UKI33,2016,96000
2017,UKI34,2016,497000
2017,UKI41,2016,57000
2017,UKI42,2016,3027000
2017,UKI43,2016,931000
2017,UKI44,2016,167000
2017,UKI51,2016,588000
2017,UKI63,2016,25000
2017,UKI71,2016,159000
2017,UKI73,2016,319000
2017,UKI74,2016,207000
2017,UKI75,2016,657000
2017,UKJ11,2016,1497000
2017,UKJ12,2016,462000
2017,UKJ13,2016,0
2017,UKJ14,2016,4252000
2017,UKJ21,2016,4276000
2017,UKJ25,2016,4642000
2017,UKJ27,2016,2000
2017,UKJ31,2016,1510000
2017,UKJ32,2016,6547000
2017,UKJ36,2016,21000
2017,UKJ44,2016,1756000
2017,UKK11,2016,1456000
2017,UKK12,2016,891000
2017,UKK13,2016,16000
2017,UKK21,2016,114000
2017,UKK30,2016,6000
2017,UKK41,2016,691000
2017,UKK43,2016,576000
2017,UKL12,2016,10000
2017,UKL14,2016,158000
2017,UKL15,2016,528000
2017,UKL18,2016,659000
2017,UKL22,2016,1570000
2017,UKL23,2016,3000
2017,UKM50,2016,764000
2017,UKM62,2016,307000
2017,UKM71,2016,1349000
2017,UKM72,2016,183000
2017,UKM73,2016,147000
2017,UKM75,2016,17567000
2017,UKM77,2016,895000
2017,UKM82,2016,7430000
2017,UKM83,2016,50000
2017,UKN06,2016,1688000
2017,UKN12,2016,678000
2018,UKC12,2016,146000
2018,UKC14,2016,1524000
2018,UKC22,2016,3728000
2018,UKC23,2016,4000
2018,UKD12,2016,55000
2018,UKD33,2016,2579000
2018,UKD34,2016,1320000
2018,UKD36,2016,0
2018,UKD44,2016,688000
2018,UKD45,2016,407000
2018,UKD47,2016,39000
2018,UKD63,2016,1718000
2018,UKD72,2016,1642000
2018,UKE11,2016,1069000
2018,UKE21,2016,4142000
2018,UKE32,2016,3263000
2018,UKE41,2016,82000
2018,UKE42,2016,1971000
2018,UKE44,2016,882000
2018,UKF11,2016,74000
2018,UKF14,2016,5753000
2018,UKF21,2016,822000
2018,UKF22,2016,6264000
2018,UKF24,2016,131000
2018,UKF30,2016,612000
2018,UKG12,2016,137000
2018,UKG21,2016,85000
2018,UKG23,2016,32000
2018,UKG24,2016,1735000
2018,UKG31,2016,2002000
2018,UKG33,2016,12818000
2018,UKG39,2016,266000
2018,UKH12,2016,11290000
2018,UKH14,2016,9000
2018,UKH15,2016,3081000
2018,UKH21,2016,111000
2018,UKH23,2016,231000
2018,UKH25,2016,3305000
2018,UKH34,2016,124000
2018,UKH36,2016,24000
2018,UKI31,2016,21484000
2018,UKI32,2016,12371000
2018,UKI33,2016,93000
2018,UKI34,2016,206000
2018,UKI41,2016,46000
2018,UKI42,2016,3876000
2018,UKI43,2016,1049000
2018,UKI44,2016,244000
2018,UKI51,2016,585000
2018,UKI63,2016,0
2018,UKI71,2016,0
2018,UKI73,2016,125000
2018,UKI74,2016,264000
2018,UKI75,2016,626000
2018,UKJ11,2016,1544000
2018,UKJ12,2016,307000
2018,UKJ13,2016,0
2018,UKJ14,2016,4181000
2018,UKJ21,2016,4624000
2018,UKJ25,2016,5144000
2018,UKJ27,2016,0
2018,UKJ31,2016,1343000
2018,UKJ32,2016,6487000
2018,UKJ36,2016,40000
2018,UKJ44,2016,1378000
2018,UKK11,2016,1788000
2018,UKK12,2016,1283000
2018,UKK13,2016,8000
2018,UKK21,2016,67000
2018,UKK30,2016,5000
2018,UKK41,2016,367000
2018,UKK43,2016,453000
2018,UKL12,2016,22000
2018,UKL14,2016,209000
2018,UKL15,2016,644000
2018,UKL18,2016,719000
2018,UKL22,2016,1404000
2018,UKL23,2016,0
2018,UKM50,2016,728000
2018,UKM62,2016,224000
2018,UKM71,2016,1120000
2018,UKM72,2016,465000
2018,UKM73,2016,250000
2018,UKM75,2016,16651000
2018,UKM77,2016,865000
2018,UKM82,2016,7432000
2018,UKM83,2016,79000
2018,UKN06,2016,1560000
2018,UKN12,2016,1509000
