year,nuts_id,nuts_year_spec,ce_cpd_income
2016,UKI43,2016,10164000.0
2016,UKI44,2016,5670000.0
2016,UKI51,2016,3117000.0
2016,UKI63,2016,2980000.0
2016,UKI71,2016,8596000.0
2016,UKI73,2016,2807000.0
2016,UKI74,2016,835000.0
2016,UKI75,2016,369000.0
2016,UKJ11,2016,9415000.0
2016,UKJ12,2016,10467000.0
2016,UKJ13,2016,2299000.0
2016,UKJ14,2016,17187000.0
2016,UKJ21,2016,4116000.0
2016,UKJ25,2016,3993000.0
2016,UKJ27,2016,817000.0
2016,UKJ31,2016,7045000.0
2016,UKJ32,2016,16787000.0
2016,UKJ36,2016,694000.0
2016,UKJ44,2016,11521000.0
2016,UKK11,2016,825000.0
2016,UKK12,2016,11817000.0
2016,UKK13,2016,843000.0
2016,UKK21,2016,5628000.0
2016,UKK30,2016,45000.0
2016,UKK41,2016,736000.0
2016,UKK43,2016,2250000.0
2016,UKL12,2016,4624000.0
2016,UKL14,2016,1562000.0
2016,UKL15,2016,4808000.0
2016,UKL18,2016,1300000.0
2016,UKL22,2016,27408000.0
2016,UKL23,2016,763000.0
2016,UKM50,2016,8554000.0
2016,UKM62,2016,2202000.0
2016,UKM71,2016,1385000.0
2016,UKM72,2016,1304000.0
2016,UKM73,2016,1151000.0
2016,UKM75,2016,20122000.0
2016,UKM77,2016,2358000.0
2016,UKM82,2016,25289000.0
2016,UKM83,2016,919000.0
2016,UKN06,2016,2730000.0
2016,UKN12,2016,2328000.0
2017,UKC12,2016,5873000.0
2017,UKC14,2016,543000.0
2017,UKC22,2016,10448000.0
2017,UKC23,2016,1832000.0
2017,UKD12,2016,4894000.0
2017,UKD33,2016,27301000.0
2017,UKD34,2016,6012000.0
2017,UKD36,2016,517000.0
2017,UKD44,2016,1318000.0
2017,UKD45,2016,9563000.0
2017,UKD47,2016,1977000.0
2017,UKD63,2016,2879000.0
2017,UKD72,2016,7243000.0
2017,UKE11,2016,1136000.0
2017,UKE21,2016,6599000.0
2017,UKE32,2016,4904000.0
2017,UKE41,2016,1989000.0
2017,UKE42,2016,8147000.0
2017,UKE44,2016,822000.0
2017,UKF11,2016,6147000.0
2017,UKF14,2016,11073000.0
2017,UKF21,2016,14238000.0
2017,UKF22,2016,2595000.0
2017,UKF24,2016,881000.0
2017,UKF30,2016,8379000.0
2017,UKG12,2016,831000.0
2017,UKG21,2016,1107000.0
2017,UKG23,2016,4788000.0
2017,UKG24,2016,1915000.0
2017,UKG31,2016,15854000.0
2017,UKG33,2016,17879000.0
2017,UKG39,2016,801000.0
2017,UKH12,2016,17328000.0
2017,UKH14,2016,526000.0
2017,UKH15,2016,5327000.0
2017,UKH21,2016,3938000.0
2017,UKH23,2016,4030000.0
2017,UKH25,2016,18130000.0
2017,UKH34,2016,1799000.0
2017,UKH36,2016,11877000.0
2017,UKI31,2016,57790000.0
2017,UKI32,2016,108265000.0
2017,UKI33,2016,86000.0
2017,UKI34,2016,2909000.0
2017,UKI41,2016,883000.0
2017,UKI42,2016,611000.0
2017,UKI43,2016,9697000.0
2017,UKI44,2016,5508000.0
2017,UKI51,2016,2826000.0
2017,UKI63,2016,3089000.0
2017,UKI71,2016,9114000.0
2017,UKI73,2016,3482000.0
2017,UKI74,2016,1502000.0
2017,UKI75,2016,431000.0
2017,UKJ11,2016,9917000.0
2017,UKJ12,2016,14241000.0
2017,UKJ13,2016,2262000.0
2017,UKJ14,2016,27505000.0
2017,UKJ21,2016,3878000.0
2017,UKJ25,2016,3577000.0
2017,UKJ27,2016,590000.0
2017,UKJ31,2016,9277000.0
2017,UKJ32,2016,15053000.0
2017,UKJ36,2016,637000.0
2017,UKJ44,2016,12189000.0
2017,UKK11,2016,682000.0
2017,UKK12,2016,12098000.0
2017,UKK13,2016,956000.0
2017,UKK21,2016,5198000.0
2017,UKK30,2016,39000.0
2017,UKK41,2016,631000.0
2017,UKK43,2016,2121000.0
2017,UKL12,2016,5228000.0
2017,UKL14,2016,2332000.0
2017,UKL15,2016,5411000.0
2017,UKL18,2016,3502000.0
2017,UKL22,2016,23588000.0
2017,UKL23,2016,921000.0
2017,UKM50,2016,7655000.0
2017,UKM62,2016,2028000.0
2017,UKM71,2016,1629000.0
2017,UKM72,2016,1486000.0
2017,UKM73,2016,1036000.0
2017,UKM75,2016,21291000.0
2017,UKM77,2016,2492000.0
2017,UKM82,2016,26646000.0
2017,UKM83,2016,722000.0
2017,UKN06,2016,2618000.0
2017,UKN12,2016,3554000.0
2018,UKC12,2016,5560000.0
2018,UKC14,2016,1225000.0
2018,UKC22,2016,9718000.0
2018,UKC23,2016,2128000.0
2018,UKD12,2016,6691000.0
2018,UKD33,2016,25829000.0
2018,UKD34,2016,4308000.0
2018,UKD36,2016,482000.0
2018,UKD44,2016,2062000.0
2018,UKD45,2016,10477000.0
2018,UKD47,2016,2358000.0
2018,UKD63,2016,1739000.0
2018,UKD72,2016,7755000.0
2018,UKE11,2016,1060000.0
2018,UKE21,2016,9093000.0
2018,UKE32,2016,5356000.0
2018,UKE41,2016,2224000.0
2018,UKE42,2016,9922000.0
2018,UKE44,2016,725000.0
2018,UKF11,2016,6421000.0
2018,UKF14,2016,13203000.0
2018,UKF21,2016,11433000.0
2018,UKF22,2016,2542000.0
2018,UKF24,2016,849000.0
2018,UKF30,2016,6538000.0
2018,UKG12,2016,519000.0
2018,UKG21,2016,1123000.0
2018,UKG23,2016,4674000.0
2018,UKG24,2016,1757000.0
2018,UKG31,2016,14570000.0
2018,UKG33,2016,17000000.0
2018,UKG39,2016,712000.0
2018,UKH12,2016,21522000.0
2018,UKH14,2016,597000.0
2018,UKH15,2016,4884000.0
2018,UKH21,2016,19243000.0
2018,UKH23,2016,3158000.0
2018,UKH25,2016,18125000.0
2018,UKH34,2016,2997000.0
2018,UKH36,2016,9676000.0
2018,UKI31,2016,59900000.0
2018,UKI32,2016,116997000.0
2018,UKI33,2016,43000.0
2018,UKI34,2016,1304000.0
2018,UKI41,2016,1331000.0
2018,UKI42,2016,745000.0
2018,UKI43,2016,9369000.0
2018,UKI44,2016,4917000.0
2018,UKI51,2016,2469000.0
2018,UKI63,2016,2762000.0
2018,UKI71,2016,7683000.0
2018,UKI73,2016,2918000.0
2018,UKI74,2016,1652000.0
2018,UKI75,2016,398000.0
2018,UKJ11,2016,11539000.0
2018,UKJ12,2016,13047000.0
2018,UKJ13,2016,1941000.0
2018,UKJ14,2016,27753000.0
2018,UKJ21,2016,3747000.0
2018,UKJ25,2016,3724000.0
2018,UKJ27,2016,575000.0
2018,UKJ31,2016,9027000.0
2018,UKJ32,2016,17943000.0
2018,UKJ36,2016,708000.0
2018,UKJ44,2016,15292000.0
2018,UKK11,2016,1056000.0
2018,UKK12,2016,12957000.0
2018,UKK13,2016,1142000.0
2018,UKK21,2016,4107000.0
2018,UKK30,2016,11000.0
2018,UKK41,2016,640000.0
2018,UKK43,2016,2635000.0
2018,UKL12,2016,4573000.0
2018,UKL14,2016,3234000.0
2018,UKL15,2016,4095000.0
2018,UKL18,2016,3165000.0
2018,UKL22,2016,12351000.0
2018,UKL23,2016,1238000.0
2018,UKM50,2016,10171000.0
2018,UKM62,2016,1442000.0
2018,UKM71,2016,1313000.0
2018,UKM72,2016,1276000.0
2018,UKM73,2016,755000.0
2018,UKM75,2016,30944000.0
2018,UKM77,2016,2279000.0
2018,UKM82,2016,28346000.0
2018,UKM83,2016,648000.0
2018,UKN06,2016,2626000.0
2018,UKN12,2016,5815000.0
