year,nuts_id,nuts_year_spec,cash_as_proportion_public_funding
2016,UKH23,2016,0.39
2016,UKH25,2016,0.33
2016,UKH34,2016,0.23
2016,UKH36,2016,0.06
2016,UKI31,2016,inf
2016,UKI32,2016,0.35
2016,UKI33,2016,3.22
2016,UKI34,2016,0.0
2016,UKI42,2016,0.24
2016,UKI43,2016,inf
2016,UKI44,2016,0.15
2016,UKI51,2016,inf
2016,UKI63,2016,0.13
2016,UKI71,2016,0.03
2016,UKI74,2016,1.78
2016,UKJ11,2016,0.17
2016,UKJ12,2016,0.02
2016,UKJ13,2016,inf
2016,UKJ14,2016,0.22
2016,UKJ21,2016,0.12
2016,UKJ25,2016,0.04
2016,UKJ27,2016,0.0
2016,UKJ31,2016,0.14
2016,UKJ32,2016,0.01
2016,UKJ44,2016,4.2
2016,UKK11,2016,0.09
2016,UKK12,2016,0.09
2016,UKK13,2016,0.0
2016,UKK21,2016,0.23
2016,UKK30,2016,0.93
2016,UKK41,2016,0.13
2016,UKK43,2016,0.02
2016,UKL12,2016,0.05
2016,UKL14,2016,0.44
2016,UKL15,2016,0.11
2016,UKL18,2016,0.34
2016,UKL22,2016,0.09
2016,UKL23,2016,0.0
2016,UKM50,2016,0.16
2016,UKM62,2016,0.07
2016,UKM71,2016,0.07
2016,UKM72,2016,0.14
2016,UKM73,2016,0.0
2016,UKM75,2016,0.3
2016,UKM77,2016,0.49
2016,UKM82,2016,0.34
2016,UKM83,2016,0.1
2016,UKN06,2016,0.15
2016,UKN12,2016,0.03
2017,UKC12,2016,inf
2017,UKC14,2016,0.09
2017,UKC22,2016,0.03
2017,UKC23,2016,0.49
2017,UKD33,2016,0.26
2017,UKD34,2016,0.08
2017,UKD36,2016,0.23
2017,UKD44,2016,0.12
2017,UKD45,2016,0.07
2017,UKD63,2016,0.0
2017,UKD72,2016,0.21
2017,UKE11,2016,0.05
2017,UKE21,2016,0.05
2017,UKE32,2016,0.15
2017,UKE41,2016,0.21
2017,UKE42,2016,1.15
2017,UKE44,2016,0.2
2017,UKF11,2016,0.43
2017,UKF14,2016,0.1
2017,UKF21,2016,0.25
2017,UKF22,2016,0.05
2017,UKF24,2016,0.11
2017,UKF30,2016,0.04
2017,UKG12,2016,0.01
2017,UKG21,2016,inf
2017,UKG23,2016,0.55
2017,UKG24,2016,0.02
2017,UKG31,2016,0.14
2017,UKG33,2016,0.03
2017,UKG39,2016,0.02
2017,UKH12,2016,0.14
2017,UKH14,2016,0.0
2017,UKH15,2016,0.02
2017,UKH21,2016,0.0
2017,UKH23,2016,0.35
2017,UKH25,2016,0.62
2017,UKH34,2016,0.19
2017,UKH36,2016,0.24
2017,UKI31,2016,0.22
2017,UKI32,2016,0.33
2017,UKI33,2016,0.42
2017,UKI34,2016,0.0
2017,UKI42,2016,0.28
2017,UKI43,2016,inf
2017,UKI44,2016,0.08
2017,UKI51,2016,inf
2017,UKI63,2016,0.07
2017,UKI71,2016,0.02
2017,UKI73,2016,0.23
2017,UKI74,2016,7.09
2017,UKJ11,2016,0.13
2017,UKJ12,2016,0.0
2017,UKJ13,2016,inf
2017,UKJ14,2016,0.16
2017,UKJ21,2016,0.08
2017,UKJ25,2016,0.05
2017,UKJ31,2016,0.09
2017,UKJ32,2016,0.0
2017,UKJ44,2016,0.2
2017,UKK11,2016,0.11
2017,UKK12,2016,0.08
2017,UKK13,2016,0.0
2017,UKK21,2016,0.09
2017,UKK30,2016,1.88
2017,UKK41,2016,0.06
2017,UKK43,2016,0.02
2017,UKL12,2016,0.06
2017,UKL14,2016,0.61
2017,UKL15,2016,0.08
2017,UKL18,2016,0.15
2017,UKL22,2016,0.12
2017,UKM50,2016,0.18
2017,UKM62,2016,0.14
2017,UKM71,2016,inf
2017,UKM72,2016,0.06
2017,UKM75,2016,0.51
2017,UKM77,2016,1.36
2017,UKM82,2016,0.41
2017,UKM83,2016,0.16
2017,UKN06,2016,0.05
2017,UKN12,2016,0.08
2018,UKC12,2016,inf
2018,UKC14,2016,0.04
2018,UKC22,2016,0.03
2018,UKC23,2016,0.49
2018,UKD12,2016,0.0
2018,UKD33,2016,0.07
2018,UKD34,2016,0.08
2018,UKD36,2016,0.33
2018,UKD44,2016,0.12
2018,UKD45,2016,0.05
2018,UKD63,2016,0.0
2018,UKD72,2016,0.46
2018,UKE11,2016,0.13
2018,UKE21,2016,0.05
2018,UKE32,2016,0.11
2018,UKE41,2016,0.05
2018,UKE42,2016,1.72
2018,UKE44,2016,0.19
2018,UKF11,2016,0.29
2018,UKF14,2016,0.23
2018,UKF21,2016,0.39
2018,UKF22,2016,0.05
2018,UKF24,2016,0.29
2018,UKF30,2016,0.09
2018,UKG12,2016,0.0
2018,UKG21,2016,inf
2018,UKG23,2016,0.24
2018,UKG24,2016,0.03
2018,UKG31,2016,0.13
2018,UKG33,2016,0.04
2018,UKG39,2016,0.09
2018,UKH12,2016,0.28
2018,UKH14,2016,0.0
2018,UKH15,2016,0.02
2018,UKH21,2016,0.0
2018,UKH23,2016,0.58
2018,UKH25,2016,0.0
2018,UKH34,2016,0.26
2018,UKH36,2016,0.18
2018,UKI31,2016,0.17
2018,UKI32,2016,0.46
2018,UKI33,2016,0.41
2018,UKI34,2016,0.0
2018,UKI41,2016,0.26
2018,UKI42,2016,0.32
2018,UKI43,2016,inf
2018,UKI44,2016,0.17
2018,UKI51,2016,inf
2018,UKI63,2016,0.16
2018,UKI71,2016,0.0
2018,UKI73,2016,0.0
2018,UKI74,2016,0.0
2018,UKJ11,2016,0.1
2018,UKJ12,2016,0.35
2018,UKJ13,2016,inf
2018,UKJ14,2016,0.17
2018,UKJ21,2016,0.11
2018,UKJ25,2016,0.02
2018,UKJ31,2016,0.08
2018,UKJ32,2016,0.01
2018,UKJ36,2016,0.0
2018,UKJ44,2016,0.11
2018,UKK11,2016,0.02
2018,UKK12,2016,0.04
2018,UKK13,2016,0.0
2018,UKK21,2016,0.05
2018,UKK30,2016,1.18
2018,UKK41,2016,0.07
2018,UKK43,2016,0.03
2018,UKL12,2016,0.07
2018,UKL14,2016,0.96
2018,UKL15,2016,0.09
2018,UKL18,2016,0.11
2018,UKL22,2016,0.08
2018,UKL23,2016,0.0
2018,UKM50,2016,0.17
2018,UKM62,2016,0.06
2018,UKM71,2016,0.11
2018,UKM72,2016,0.14
2018,UKM75,2016,1.11
2018,UKM77,2016,0.4
2018,UKM82,2016,0.55
2018,UKM83,2016,0.33
2018,UKN06,2016,0.04
2018,UKN12,2016,0.09
