year,nuts_id,nuts_year_spec,collaborative_research_cash
2016,UKG23,2016,41000.0
2016,UKG24,2016,120000.0
2016,UKG31,2016,216000.0
2016,UKG33,2016,716000.0
2016,UKG39,2016,158000.0
2016,UKH12,2016,5191000.0
2016,UKH14,2016,0.0
2016,UKH15,2016,222000.0
2016,UKH21,2016,74000.0
2016,UKH23,2016,142000.0
2016,UKH25,2016,935000.0
2016,UKH34,2016,612000.0
2016,UKH36,2016,146000.0
2016,UKI31,2016,22758000.0
2016,UKI32,2016,12954000.0
2016,UKI33,2016,406000.0
2016,UKI34,2016,0.0
2016,UKI41,2016,0.0
2016,UKI42,2016,2812000.0
2016,UKI43,2016,370000.0
2016,UKI44,2016,617000.0
2016,UKI51,2016,145000.0
2016,UKI63,2016,223000.0
2016,UKI71,2016,61000.0
2016,UKI73,2016,0.0
2016,UKI74,2016,3237000.0
2016,UKI75,2016,0.0
2016,UKJ11,2016,897000.0
2016,UKJ12,2016,7000.0
2016,UKJ13,2016,397000.0
2016,UKJ14,2016,3094000.0
2016,UKJ21,2016,311000.0
2016,UKJ25,2016,501000.0
2016,UKJ27,2016,0.0
2016,UKJ31,2016,152000.0
2016,UKJ32,2016,324000.0
2016,UKJ36,2016,0.0
2016,UKJ44,2016,277000.0
2016,UKK11,2016,864000.0
2016,UKK12,2016,1246000.0
2016,UKK13,2016,0.0
2016,UKK21,2016,215000.0
2016,UKK30,2016,252000.0
2016,UKK41,2016,128000.0
2016,UKK43,2016,529000.0
2016,UKL12,2016,294000.0
2016,UKL14,2016,548000.0
2016,UKL15,2016,160000.0
2016,UKL18,2016,4237000.0
2016,UKL22,2016,824000.0
2016,UKL23,2016,0.0
2016,UKM50,2016,1400000.0
2016,UKM62,2016,453000.0
2016,UKM71,2016,207000.0
2016,UKM72,2016,48000.0
2016,UKM73,2016,0.0
2016,UKM75,2016,5655000.0
2016,UKM77,2016,111000.0
2016,UKM82,2016,11061000.0
2016,UKM83,2016,63000.0
2016,UKN06,2016,2382000.0
2016,UKN12,2016,422000.0
2017,UKC12,2016,1735000.0
2017,UKC14,2016,897000.0
2017,UKC22,2016,1400000.0
2017,UKC23,2016,52000.0
2017,UKD12,2016,0.0
2017,UKD33,2016,2387000.0
2017,UKD34,2016,229000.0
2017,UKD36,2016,22000.0
2017,UKD44,2016,2450000.0
2017,UKD45,2016,205000.0
2017,UKD47,2016,0.0
2017,UKD63,2016,0.0
2017,UKD72,2016,4388000.0
2017,UKE11,2016,245000.0
2017,UKE21,2016,439000.0
2017,UKE32,2016,2054000.0
2017,UKE41,2016,371000.0
2017,UKE42,2016,2848000.0
2017,UKE44,2016,294000.0
2017,UKF11,2016,255000.0
2017,UKF14,2016,125000.0
2017,UKF21,2016,617000.0
2017,UKF22,2016,915000.0
2017,UKF24,2016,48000.0
2017,UKF30,2016,114000.0
2017,UKG12,2016,3000.0
2017,UKG21,2016,1568000.0
2017,UKG23,2016,24000.0
2017,UKG24,2016,92000.0
2017,UKG31,2016,247000.0
2017,UKG33,2016,1598000.0
2017,UKG39,2016,32000.0
2017,UKH12,2016,3055000.0
2017,UKH14,2016,0.0
2017,UKH15,2016,503000.0
2017,UKH21,2016,0.0
2017,UKH23,2016,171000.0
2017,UKH25,2016,1282000.0
2017,UKH34,2016,481000.0
2017,UKH36,2016,161000.0
2017,UKI31,2016,24337000.0
2017,UKI32,2016,17988000.0
2017,UKI33,2016,548000.0
2017,UKI34,2016,0.0
2017,UKI41,2016,0.0
2017,UKI42,2016,4362000.0
2017,UKI43,2016,38000.0
2017,UKI44,2016,411000.0
2017,UKI51,2016,162000.0
2017,UKI63,2016,88000.0
2017,UKI71,2016,26000.0
2017,UKI73,2016,30000.0
2017,UKI74,2016,3211000.0
2017,UKI75,2016,0.0
2017,UKJ11,2016,776000.0
2017,UKJ12,2016,0.0
2017,UKJ13,2016,750000.0
2017,UKJ14,2016,1660000.0
2017,UKJ21,2016,288000.0
2017,UKJ25,2016,414000.0
2017,UKJ27,2016,0.0
2017,UKJ31,2016,157000.0
2017,UKJ32,2016,307000.0
2017,UKJ36,2016,0.0
2017,UKJ44,2016,298000.0
2017,UKK11,2016,1055000.0
2017,UKK12,2016,1128000.0
2017,UKK13,2016,0.0
2017,UKK21,2016,145000.0
2017,UKK30,2016,280000.0
2017,UKK41,2016,76000.0
2017,UKK43,2016,461000.0
2017,UKL12,2016,355000.0
2017,UKL14,2016,1353000.0
2017,UKL15,2016,188000.0
2017,UKL18,2016,2668000.0
2017,UKL22,2016,1079000.0
2017,UKL23,2016,0.0
2017,UKM50,2016,1291000.0
2017,UKM62,2016,1072000.0
2017,UKM71,2016,779000.0
2017,UKM72,2016,17000.0
2017,UKM73,2016,0.0
2017,UKM75,2016,7668000.0
2017,UKM77,2016,30000.0
2017,UKM82,2016,14626000.0
2017,UKM83,2016,72000.0
2017,UKN06,2016,987000.0
2017,UKN12,2016,1326000.0
2018,UKC12,2016,2201000.0
2018,UKC14,2016,435000.0
2018,UKC22,2016,968000.0
2018,UKC23,2016,125000.0
2018,UKD12,2016,0.0
2018,UKD33,2016,3575000.0
2018,UKD34,2016,253000.0
2018,UKD36,2016,58000.0
2018,UKD44,2016,2265000.0
2018,UKD45,2016,161000.0
2018,UKD47,2016,0.0
2018,UKD63,2016,0.0
2018,UKD72,2016,5229000.0
2018,UKE11,2016,360000.0
2018,UKE21,2016,428000.0
2018,UKE32,2016,2347000.0
2018,UKE41,2016,127000.0
2018,UKE42,2016,2625000.0
2018,UKE44,2016,574000.0
2018,UKF11,2016,175000.0
2018,UKF14,2016,355000.0
2018,UKF21,2016,564000.0
2018,UKF22,2016,869000.0
2018,UKF24,2016,27000.0
2018,UKF30,2016,139000.0
2018,UKG12,2016,0.0
2018,UKG21,2016,1639000.0
2018,UKG23,2016,49000.0
2018,UKG24,2016,188000.0
2018,UKG31,2016,256000.0
2018,UKG33,2016,3224000.0
2018,UKG39,2016,163000.0
2018,UKH12,2016,7110000.0
2018,UKH14,2016,0.0
2018,UKH15,2016,420000.0
2018,UKH21,2016,0.0
2018,UKH23,2016,245000.0
2018,UKH25,2016,0.0
2018,UKH34,2016,750000.0
2018,UKH36,2016,211000.0
2018,UKI31,2016,32188000.0
2018,UKI32,2016,19332000.0
2018,UKI33,2016,399000.0
2018,UKI34,2016,0.0
2018,UKI41,2016,45000.0
2018,UKI42,2016,5188000.0
2018,UKI43,2016,115000.0
2018,UKI44,2016,536000.0
2018,UKI51,2016,174000.0
2018,UKI63,2016,69000.0
2018,UKI71,2016,0.0
2018,UKI73,2016,0.0
2018,UKI74,2016,0.0
2018,UKI75,2016,0.0
2018,UKJ11,2016,642000.0
2018,UKJ12,2016,9000.0
2018,UKJ13,2016,173000.0
2018,UKJ14,2016,1048000.0
2018,UKJ21,2016,341000.0
2018,UKJ25,2016,300000.0
2018,UKJ27,2016,0.0
2018,UKJ31,2016,166000.0
2018,UKJ32,2016,536000.0
2018,UKJ36,2016,0.0
2018,UKJ44,2016,292000.0
2018,UKK11,2016,751000.0
2018,UKK12,2016,853000.0
2018,UKK13,2016,0.0
2018,UKK21,2016,73000.0
2018,UKK30,2016,172000.0
2018,UKK41,2016,172000.0
2018,UKK43,2016,621000.0
2018,UKL12,2016,389000.0
2018,UKL14,2016,768000.0
2018,UKL15,2016,273000.0
2018,UKL18,2016,2750000.0
2018,UKL22,2016,835000.0
2018,UKL23,2016,0.0
2018,UKM50,2016,1112000.0
2018,UKM62,2016,517000.0
2018,UKM71,2016,334000.0
2018,UKM72,2016,22000.0
2018,UKM73,2016,0.0
2018,UKM75,2016,18538000.0
2018,UKM77,2016,39000.0
2018,UKM82,2016,16093000.0
2018,UKM83,2016,198000.0
2018,UKN06,2016,798000.0
2018,UKN12,2016,1603000.0
