year,nuts_id,nuts_year_spec,regeneration_development
2016,UKM7,2016,961000
2016,UKM8,2016,4410000
2016,UKN0,2016,8841000
2017,UKC1,2016,2080000
2017,UKC2,2016,3188000
2017,UKD1,2016,506000
2017,UKD3,2016,4374000
2017,UKD4,2016,6087000
2017,UKD6,2016,582000
2017,UKD7,2016,3131000
2017,UKE1,2016,678000
2017,UKE2,2016,1740000
2017,UKE3,2016,1212000
2017,UKE4,2016,3865000
2017,UKF1,2016,13559000
2017,UKF2,2016,11368000
2017,UKF3,2016,1983000
2017,UKG1,2016,194000
2017,UKG2,2016,8374000
2017,UKG3,2016,46043000
2017,UKH1,2016,346000
2017,UKH2,2016,10595000
2017,UKH3,2016,3630000
2017,UKI3,2016,4771000
2017,UKI4,2016,1985000
2017,UKI5,2016,1571000
2017,UKI6,2016,0
2017,UKI7,2016,2297000
2017,UKJ1,2016,8165000
2017,UKJ2,2016,1412000
2017,UKJ3,2016,4672000
2017,UKJ4,2016,955000
2017,UKK1,2016,3982000
2017,UKK2,2016,547000
2017,UKK3,2016,1403000
2017,UKK4,2016,9470000
2017,UKL1,2016,30714000
2017,UKL2,2016,9208000
2017,UKM5,2016,1538000
2017,UKM6,2016,1155000
2017,UKM7,2016,787000
2017,UKM8,2016,2764000
2017,UKN0,2016,11851000
2018,UKC1,2016,3801000
2018,UKC2,2016,2778000
2018,UKD1,2016,563000
2018,UKD3,2016,6745000
2018,UKD4,2016,7953000
2018,UKD6,2016,1646000
2018,UKD7,2016,3309000
2018,UKE1,2016,1237000
2018,UKE2,2016,3147000
2018,UKE3,2016,2883000
2018,UKE4,2016,255000
2018,UKF1,2016,11219000
2018,UKF2,2016,14788000
2018,UKF3,2016,2365000
2018,UKG1,2016,182000
2018,UKG2,2016,9075000
2018,UKG3,2016,54100000
2018,UKH1,2016,527000
2018,UKH2,2016,6966000
2018,UKH3,2016,4410000
2018,UKI3,2016,4364000
2018,UKI4,2016,4741000
2018,UKI5,2016,1768000
2018,UKI6,2016,0
2018,UKI7,2016,6509000
2018,UKJ1,2016,370000
2018,UKJ2,2016,1873000
2018,UKJ3,2016,8986000
2018,UKJ4,2016,1888000
2018,UKK1,2016,7675000
2018,UKK2,2016,429000
2018,UKK3,2016,2714000
2018,UKK4,2016,11839000
2018,UKL1,2016,27188000
2018,UKL2,2016,13222000
2018,UKM5,2016,1106000
2018,UKM6,2016,1870000
2018,UKM7,2016,404000
2018,UKM8,2016,1857000
2018,UKN0,2016,21210000
