year,nuts_id,nuts_year_spec,contract_research_public_third
2016,UKC12,2016,657000
2016,UKC14,2016,4420000
2016,UKC22,2016,23390000
2016,UKC23,2016,703000
2016,UKD12,2016,221000
2016,UKD33,2016,30612000
2016,UKD34,2016,361000
2016,UKD36,2016,24000
2016,UKD44,2016,6779000
2016,UKD45,2016,1309000
2016,UKD47,2016,113000
2016,UKD63,2016,202000
2016,UKD72,2016,7700000
2016,UKE11,2016,2774000
2016,UKE21,2016,14328000
2016,UKE32,2016,33943000
2016,UKE41,2016,360000
2016,UKE42,2016,40547000
2016,UKE44,2016,79000
2016,UKF11,2016,345000
2016,UKF14,2016,19355000
2016,UKF21,2016,11574000
2016,UKF22,2016,2520000
2016,UKF24,2016,626000
2016,UKF30,2016,3220000
2016,UKG12,2016,604000
2016,UKG21,2016,31000
2016,UKG23,2016,1217000
2016,UKG24,2016,837000
2016,UKG31,2016,37534000
2016,UKG33,2016,13146000
2016,UKG39,2016,329000
2016,UKH12,2016,5847000
2016,UKH14,2016,18000
2016,UKH15,2016,2742000
2016,UKH21,2016,812000
2016,UKH23,2016,6560000
2016,UKH25,2016,0
2016,UKH34,2016,13373000
2016,UKH36,2016,412000
2016,UKI31,2016,76564000
2016,UKI32,2016,89324000
2016,UKI33,2016,757000
2016,UKI34,2016,1197000
2016,UKI41,2016,340000
2016,UKI42,2016,1717000
2016,UKI43,2016,1309000
2016,UKI44,2016,478000
2016,UKI51,2016,7112000
2016,UKI63,2016,198000
2016,UKI71,2016,1912000
2016,UKI73,2016,665000
2016,UKI74,2016,1642000
2016,UKI75,2016,52000
2016,UKJ11,2016,2220000
2016,UKJ12,2016,1486000
2016,UKJ13,2016,362000
2016,UKJ14,2016,111793000
2016,UKJ21,2016,11184000
2016,UKJ25,2016,6772000
2016,UKJ27,2016,60000
2016,UKJ31,2016,1455000
2016,UKJ32,2016,18407000
2016,UKJ36,2016,112000
2016,UKJ44,2016,2060000
2016,UKK11,2016,42019000
2016,UKK12,2016,1462000
2016,UKK13,2016,279000
2016,UKK21,2016,632000
2016,UKK30,2016,3000
2016,UKK41,2016,1166000
2016,UKK43,2016,12100000
2016,UKL12,2016,4357000
2016,UKL14,2016,2118000
2016,UKL15,2016,126000
2016,UKL18,2016,929000
2016,UKL22,2016,1814000
2016,UKL23,2016,245000
2016,UKM50,2016,2503000
2016,UKM62,2016,2054000
2016,UKM71,2016,2863000
2016,UKM72,2016,8394000
2016,UKM73,2016,652000
2016,UKM75,2016,2439000
2016,UKM77,2016,948000
2016,UKM82,2016,29808000
2016,UKM83,2016,629000
2016,UKN06,2016,19991000
2016,UKN12,2016,3403000
2017,UKC12,2016,338000
2017,UKC14,2016,3291000
2017,UKC22,2016,21901000
2017,UKC23,2016,549000
2017,UKD12,2016,277000
2017,UKD33,2016,31097000
2017,UKD34,2016,699000
2017,UKD36,2016,18000
2017,UKD44,2016,6812000
2017,UKD45,2016,1200000
2017,UKD47,2016,301000
2017,UKD63,2016,30000
2017,UKD72,2016,8833000
2017,UKE11,2016,1462000
2017,UKE21,2016,14590000
2017,UKE32,2016,38099000
2017,UKE41,2016,498000
2017,UKE42,2016,45125000
2017,UKE44,2016,197000
2017,UKF11,2016,439000
2017,UKF14,2016,24071000
2017,UKF21,2016,8708000
2017,UKF22,2016,1415000
2017,UKF24,2016,1337000
2017,UKF30,2016,5061000
2017,UKG12,2016,280000
2017,UKG21,2016,135000
2017,UKG23,2016,1317000
2017,UKG24,2016,403000
2017,UKG31,2016,40801000
2017,UKG33,2016,11922000
2017,UKG39,2016,1245000
2017,UKH12,2016,3820000
2017,UKH14,2016,46000
2017,UKH15,2016,2070000
2017,UKH21,2016,1145000
2017,UKH23,2016,6075000
2017,UKH25,2016,0
2017,UKH34,2016,13717000
2017,UKH36,2016,838000
2017,UKI31,2016,48771000
2017,UKI32,2016,83324000
2017,UKI33,2016,142000
2017,UKI34,2016,1530000
2017,UKI41,2016,260000
2017,UKI42,2016,3334000
2017,UKI43,2016,863000
2017,UKI44,2016,589000
2017,UKI51,2016,7706000
2017,UKI63,2016,500000
2017,UKI71,2016,1540000
2017,UKI73,2016,568000
2017,UKI74,2016,1885000
2017,UKI75,2016,289000
2017,UKJ11,2016,2910000
2017,UKJ12,2016,1416000
2017,UKJ13,2016,173000
2017,UKJ14,2016,107611000
2017,UKJ21,2016,11725000
2017,UKJ25,2016,8366000
2017,UKJ27,2016,0
2017,UKJ31,2016,1069000
2017,UKJ32,2016,19284000
2017,UKJ36,2016,217000
2017,UKJ44,2016,3360000
2017,UKK11,2016,28657000
2017,UKK12,2016,1347000
2017,UKK13,2016,380000
2017,UKK21,2016,826000
2017,UKK30,2016,0
2017,UKK41,2016,1225000
2017,UKK43,2016,15079000
2017,UKL12,2016,4279000
2017,UKL14,2016,984000
2017,UKL15,2016,72000
2017,UKL18,2016,911000
2017,UKL22,2016,2900000
2017,UKL23,2016,186000
2017,UKM50,2016,1989000
2017,UKM62,2016,2622000
2017,UKM71,2016,3003000
2017,UKM72,2016,8626000
2017,UKM73,2016,199000
2017,UKM75,2016,3367000
2017,UKM77,2016,1422000
2017,UKM82,2016,26971000
2017,UKM83,2016,907000
2017,UKN06,2016,28580000
2017,UKN12,2016,3830000
2018,UKC12,2016,525000
2018,UKC14,2016,3566000
2018,UKC22,2016,20141000
2018,UKC23,2016,1242000
2018,UKD12,2016,142000
2018,UKD33,2016,36402000
2018,UKD34,2016,544000
2018,UKD36,2016,17000
2018,UKD44,2016,7061000
2018,UKD45,2016,1189000
2018,UKD47,2016,453000
2018,UKD63,2016,84000
2018,UKD72,2016,10450000
2018,UKE11,2016,2008000
2018,UKE21,2016,15259000
2018,UKE32,2016,27932000
2018,UKE41,2016,329000
2018,UKE42,2016,45724000
2018,UKE44,2016,142000
2018,UKF11,2016,296000
2018,UKF14,2016,21539000
2018,UKF21,2016,8077000
2018,UKF22,2016,1075000
2018,UKF24,2016,467000
2018,UKF30,2016,6692000
2018,UKG12,2016,309000
2018,UKG21,2016,211000
2018,UKG23,2016,946000
2018,UKG24,2016,357000
2018,UKG31,2016,47593000
2018,UKG33,2016,12665000
2018,UKG39,2016,1165000
2018,UKH12,2016,3772000
2018,UKH14,2016,102000
2018,UKH15,2016,2188000
2018,UKH21,2016,1471000
2018,UKH23,2016,4537000
2018,UKH25,2016,0
2018,UKH34,2016,13892000
2018,UKH36,2016,940000
2018,UKI31,2016,53713000
2018,UKI32,2016,77929000
2018,UKI33,2016,265000
2018,UKI34,2016,2172000
2018,UKI41,2016,256000
2018,UKI42,2016,2676000
2018,UKI43,2016,723000
2018,UKI44,2016,673000
2018,UKI51,2016,6098000
2018,UKI63,2016,252000
2018,UKI71,2016,1385000
2018,UKI73,2016,883000
2018,UKI74,2016,1041000
2018,UKI75,2016,84000
2018,UKJ11,2016,3366000
2018,UKJ12,2016,777000
2018,UKJ13,2016,585000
2018,UKJ14,2016,99996000
2018,UKJ21,2016,12125000
2018,UKJ25,2016,8537000
2018,UKJ27,2016,55000
2018,UKJ31,2016,872000
2018,UKJ32,2016,18789000
2018,UKJ36,2016,215000
2018,UKJ44,2016,2422000
2018,UKK11,2016,25597000
2018,UKK12,2016,1605000
2018,UKK13,2016,827000
2018,UKK21,2016,913000
2018,UKK30,2016,0
2018,UKK41,2016,803000
2018,UKK43,2016,16350000
2018,UKL12,2016,5034000
2018,UKL14,2016,918000
2018,UKL15,2016,338000
2018,UKL18,2016,1557000
2018,UKL22,2016,4519000
2018,UKL23,2016,84000
2018,UKM50,2016,1514000
2018,UKM62,2016,1852000
2018,UKM71,2016,6143000
2018,UKM72,2016,8426000
2018,UKM73,2016,228000
2018,UKM75,2016,2700000
2018,UKM77,2016,1540000
2018,UKM82,2016,26862000
2018,UKM83,2016,954000
2018,UKN06,2016,22832000
2018,UKN12,2016,3555000
