year,nuts_id,nuts_year_spec,ce_cpd_learner_days
2017,UKL2,2016,94175000
2017,UKM5,2016,40039000
2017,UKM6,2016,17721000
2017,UKM7,2016,58480000
2017,UKM8,2016,17371000
2017,UKN0,2016,44359000
2018,UKC1,2016,169732000
2018,UKC2,2016,53219000
2018,UKD1,2016,33958000
2018,UKD3,2016,321429000
2018,UKD4,2016,91541000
2018,UKD6,2016,9770000
2018,UKD7,2016,43111000
2018,UKE1,2016,5904000
2018,UKE2,2016,35846000
2018,UKE3,2016,52049000
2018,UKE4,2016,60650000
2018,UKF1,2016,60817000
2018,UKF2,2016,95385000
2018,UKF3,2016,50145000
2018,UKG1,2016,2076000
2018,UKG2,2016,36623000
2018,UKG3,2016,283820000
2018,UKH1,2016,83547000
2018,UKH2,2016,391399000
2018,UKH3,2016,135566000
2018,UKI3,2016,817445000
2018,UKI4,2016,140736000
2018,UKI5,2016,10488000
2018,UKI6,2016,14116000
2018,UKI7,2016,80468000
2018,UKJ1,2016,175753000
2018,UKJ2,2016,91566000
2018,UKJ3,2016,149627000
2018,UKJ4,2016,106917000
2018,UKK1,2016,88367000
2018,UKK2,2016,19964000
2018,UKK3,2016,132000
2018,UKK4,2016,2788000
2018,UKL1,2016,179153000
2018,UKL2,2016,105190000
2018,UKM5,2016,105507000
2018,UKM6,2016,7345000
2018,UKM7,2016,53128000
2018,UKM8,2016,17054000
2018,UKN0,2016,34866000
