year,nuts_id,nuts_year_spec,ratio_house_price_salary
2011,UKJ4,2018,5.371
2012,UKJ4,2018,5.288
2013,UKJ4,2018,5.26
2014,UKJ4,2018,5.891
2015,UKJ4,2018,6.53
2016,UKJ4,2018,7.287
2017,UKJ4,2018,7.267
2012,UKK1,2018,5.039
2013,UKK1,2018,5.226
2014,UKK1,2018,5.423
2015,UKK1,2018,5.784
2016,UKK1,2018,6.125
2017,UKK1,2018,6.225
2011,UKK2,2018,5.669
2012,UKK2,2018,5.63
2013,UKK2,2018,5.766
2014,UKK2,2018,5.625
2015,UKK2,2018,6.098
2016,UKK2,2018,6.071
2017,UKK2,2018,6.404
2011,UKK3,2018,6.662
2012,UKK3,2018,5.493
2013,UKK3,2018,6.801
2014,UKK3,2018,7.712
2015,UKK3,2018,6.99
2016,UKK3,2018,7.205
2017,UKK3,2018,8.208
2011,UKK4,2018,5.466
2013,UKK4,2018,5.63
2014,UKK4,2018,5.798
2015,UKK4,2018,5.996
2016,UKK4,2018,5.803
2017,UKK4,2018,6.535
2011,UKL1,2018,3.799
2012,UKL1,2018,3.652
2013,UKL1,2018,3.381
2017,UKL1,2018,3.655
2011,UKL2,2018,4.656
2012,UKL2,2018,4.549
2013,UKL2,2018,4.45
2014,UKL2,2018,4.502
2015,UKL2,2018,4.552
2016,UKL2,2018,4.631
2017,UKL2,2018,4.775
2011,UKM5,2018,4.09
2012,UKM5,2018,4.082
2013,UKM5,2018,3.549
2014,UKM5,2018,4.154
2016,UKM5,2018,3.813
2017,UKM5,2018,3.442
2012,UKM6,2018,4.35
2013,UKM6,2018,4.185
2014,UKM6,2018,4.089
2015,UKM6,2018,4.181
2016,UKM6,2018,4.146
2017,UKM6,2018,4.048
2011,UKM7,2018,4.657
2012,UKM7,2018,4.433
2013,UKM7,2018,4.349
2014,UKM7,2018,4.182
2015,UKM7,2018,4.308
2016,UKM7,2018,4.434
2017,UKM7,2018,4.72
2017,UKM8,2018,3.384
2017,UKM9,2018,2.956
2011,UKN0,2018,3.462
2012,UKN0,2018,2.993
2013,UKN0,2018,2.827
2015,UKN0,2018,3.188
2016,UKN0,2018,3.405
2017,UKN0,2018,3.488
