year,lep_id,lep_year_spec,air_pollution_mean_pm10
2010,E37000022,-2014,14.524378601108035
2010,E37000023,-2014,18.95102948636652
2010,E37000024,-2014,16.442787287581698
2010,E37000025,-2014,11.044525062772227
2010,E37000026,-2014,16.477464677351332
2010,E37000027,-2014,15.956958355691835
2010,E37000029,-2014,14.920474109014677
2010,E37000030,-2014,16.111567161495447
2010,E37000031,-2014,16.34620167476241
2010,E37000032,-2014,14.399100128581923
2010,E37000033,-2014,14.582973658536584
2010,E37000034,-2014,14.243309443742099
2010,E37000035,-2014,16.13031750793651
2010,E37000036,-2014,12.978617341037403
2010,E37000037,-2014,14.556100766341098
2010,E37000038,-2014,14.795119314516128
2010,E37000039,-2014,13.856372433662997
2010,E37000040,-2014,15.919944045298164
2011,E37000001,-2014,18.485215323943663
2011,E37000002,-2014,17.66425544465771
