,year,nuts_id,nuts_year_spec,air_pollution_mean_pm10
291,2014,UKD4,2016,21.69913
292,2014,UKD6,2016,18.45496
293,2014,UKD7,2016,18.05693
294,2014,UKE1,2016,26.29265
295,2014,UKE2,2016,27.83339
296,2014,UKE3,2016,23.05034
297,2014,UKE4,2016,21.15646
298,2014,UKF1,2016,23.31178
299,2014,UKF2,2016,22.25721
300,2014,UKF3,2016,24.42469
301,2014,UKG1,2016,21.42422
302,2014,UKG2,2016,24.62801
303,2014,UKG3,2016,22.81959
304,2014,UKH1,2016,22.80629
305,2014,UKH2,2016,21.65009
306,2014,UKH3,2016,22.47201
307,2014,UKI3,2016,24.10369
308,2014,UKI4,2016,23.4618
309,2014,UKI5,2016,21.88444
310,2014,UKI6,2016,22.18008
311,2014,UKI7,2016,22.39307
312,2014,UKJ1,2016,22.26671
313,2014,UKJ2,2016,24.45649
314,2014,UKJ3,2016,19.7998
315,2014,UKJ4,2016,21.66793
316,2014,UKK1,2016,21.60518
317,2014,UKK2,2016,18.77564
318,2014,UKK3,2016,22.54212
319,2014,UKK4,2016,18.80846
320,2014,UKL1,2016,22.87997
321,2014,UKL2,2016,19.80284
322,2014,UKM5,2016,19.38004
323,2014,UKM6,2016,16.070439999999998
324,2014,UKM7,2016,23.39146
325,2014,UKM8,2016,17.38296
326,2014,UKM9,2016,16.541079999999994
327,2014,UKN0,2016,19.38254
328,2015,UKC1,2016,14.86939
329,2015,UKC2,2016,14.83341
330,2015,UKD1,2016,23.16192
331,2015,UKD3,2016,17.70824
332,2015,UKD4,2016,21.03027
333,2015,UKD6,2016,16.20727
334,2015,UKD7,2016,18.9852
335,2015,UKE1,2016,20.37677
336,2015,UKE2,2016,22.2948
337,2015,UKE3,2016,19.14094
338,2015,UKE4,2016,18.054920000000006
339,2015,UKF1,2016,19.59632
340,2015,UKF2,2016,19.58762
341,2015,UKF3,2016,19.98314
342,2015,UKG1,2016,17.89793
343,2015,UKG2,2016,20.78164
344,2015,UKG3,2016,20.83175
345,2015,UKH1,2016,21.28169
346,2015,UKH2,2016,18.0092
347,2015,UKH3,2016,19.98904
348,2015,UKI3,2016,22.41501
349,2015,UKI4,2016,21.45452
350,2015,UKI5,2016,20.14338
