,year,nuts_id,nuts_year_spec,eurostat_private_rd_fte_workforce_data
62,2014,UKH3,2013,5818.0
63,2015,UKH3,2013,5803.0
64,2016,UKH3,2013,6091.0
65,2012,UKK1,2013,11608.0
66,2013,UKK1,2013,12134.0
67,2014,UKK1,2013,11896.0
68,2015,UKK1,2013,12243.0
69,2016,UKK1,2013,13237.0
70,2012,UKD3,2013,3215.0
71,2013,UKD3,2013,3187.0
72,2014,UKD3,2013,3813.0
73,2015,UKD3,2013,4641.0
74,2016,UKD3,2013,4727.0
75,2012,UKJ3,2013,8098.0
76,2013,UKJ3,2013,8692.0
77,2014,UKJ3,2013,8623.0
78,2015,UKJ3,2013,9426.0
79,2016,UKJ3,2013,8270.0
80,2012,UKG1,2013,7189.0
81,2013,UKG1,2013,7559.0
82,2014,UKG1,2013,8980.0
83,2015,UKG1,2013,9239.0
84,2016,UKG1,2013,8779.0
85,2012,UKM6,2013,336.0
86,2013,UKM6,2013,353.0
87,2014,UKM6,2013,298.0
88,2015,UKM6,2013,332.0
89,2016,UKM6,2013,314.0
90,2012,UKI4,2013,1633.0
91,2013,UKI4,2013,2771.0
92,2014,UKI4,2013,3917.0
93,2015,UKI4,2013,3837.0
94,2016,UKI4,2013,3567.0
95,2012,UKI3,2013,4948.0
96,2013,UKI3,2013,6415.0
97,2014,UKI3,2013,7868.0
98,2015,UKI3,2013,8946.0
99,2016,UKI3,2013,9562.0
100,2012,UKJ4,2013,3232.0
101,2013,UKJ4,2013,2856.0
102,2014,UKJ4,2013,3014.0
103,2015,UKJ4,2013,3339.0
104,2016,UKJ4,2013,3094.0
105,2012,UKD4,2013,2561.0
106,2013,UKD4,2013,2541.0
107,2014,UKD4,2013,2604.0
108,2015,UKD4,2013,3059.0
109,2016,UKD4,2013,3379.0
110,2012,UKF2,2013,3319.0
111,2013,UKF2,2013,3667.0
112,2014,UKF2,2013,4190.0
113,2015,UKF2,2013,4132.0
114,2016,UKF2,2013,4347.0
115,2012,UKF3,2013,607.0
116,2013,UKF3,2013,663.0
117,2014,UKF3,2013,760.0
118,2015,UKF3,2013,755.0
119,2016,UKF3,2013,819.0
120,2012,UKD7,2013,1639.0
121,2013,UKD7,2013,1898.0
122,2014,UKD7,2013,2444.0
123,2015,UKD7,2013,2620.0
124,2016,UKD7,2013,3139.0
125,2012,UKM5,2013,1172.0
126,2013,UKM5,2013,1205.0
127,2014,UKM5,2013,1724.0
128,2015,UKM5,2013,1411.0
129,2016,UKM5,2013,2067.0
130,2012,UKE2,2013,3020.0
131,2013,UKE2,2013,2115.0
132,2014,UKE2,2013,2264.0
133,2015,UKE2,2013,2700.0
134,2016,UKE2,2013,2767.0
135,2012,UKN0,2013,4602.0
136,2013,UKN0,2013,4752.0
137,2014,UKN0,2013,4964.0
138,2015,UKN0,2013,6079.0
139,2016,UKN0,2013,6990.0
140,2012,UKC2,2013,2025.0
141,2013,UKC2,2013,2253.0
142,2014,UKC2,2013,2415.0
143,2015,UKC2,2013,2799.0
144,2016,UKC2,2013,2797.0
145,2012,UKI5,2013,547.0
146,2013,UKI5,2013,601.0
147,2014,UKI5,2013,650.0
148,2015,UKI5,2013,814.0
149,2016,UKI5,2013,747.0
150,2012,UKI6,2013,957.0
151,2013,UKI6,2013,772.0
152,2014,UKI6,2013,1157.0
153,2015,UKI6,2013,890.0
154,2016,UKI6,2013,964.0
155,2012,UKI7,2013,4435.0
156,2013,UKI7,2013,3679.0
157,2014,UKI7,2013,4450.0
158,2015,UKI7,2013,5985.0
159,2016,UKI7,2013,5245.0
160,2012,UKG2,2013,1920.0
161,2013,UKG2,2013,2241.0
162,2014,UKG2,2013,2429.0
163,2015,UKG2,2013,2605.0
164,2016,UKG2,2013,2603.0
165,2012,UKM3,2013,2747.0
166,2013,UKM3,2013,3483.0
167,2014,UKM3,2013,2942.0
168,2015,UKM3,2013,3385.0
169,2016,UKM3,2013,3592.0
170,2012,UKE3,2013,1314.0
171,2013,UKE3,2013,1492.0
172,2014,UKE3,2013,1594.0
173,2015,UKE3,2013,1770.0
174,2016,UKE3,2013,1597.0
175,2012,UKJ2,2013,8249.0
176,2013,UKJ2,2013,8567.0
177,2014,UKJ2,2013,8821.0
178,2015,UKJ2,2013,9744.0
179,2016,UKJ2,2013,9165.0
180,2012,UKC1,2013,1445.0
181,2013,UKC1,2013,2530.0
182,2014,UKC1,2013,1658.0
183,2015,UKC1,2013,1650.0
184,2016,UKC1,2013,1382.0
185,2012,UKG3,2013,4599.0
186,2013,UKG3,2013,5872.0
187,2014,UKG3,2013,6837.0
188,2015,UKG3,2013,7126.0
189,2016,UKG3,2013,7571.0
190,2012,UKL1,2013,836.0
191,2013,UKL1,2013,1115.0
192,2014,UKL1,2013,2671.0
193,2015,UKL1,2013,2514.0
194,2016,UKL1,2013,2480.0
195,2012,UKE4,2013,3434.0
196,2013,UKE4,2013,4119.0
197,2014,UKE4,2013,4124.0
198,2015,UKE4,2013,4547.0
199,2016,UKE4,2013,4275.0
