year,nuts_id,nuts_year_spec,eurostat_private_rd_headcount_workforce_data
2013,UKE2,2013,3302
2014,UKE2,2013,3486
2015,UKE2,2013,4035
2016,UKE2,2013,4289
2012,UKN0,2013,6357
2013,UKN0,2013,6717
2014,UKN0,2013,8155
2015,UKN0,2013,9218
2016,UKN0,2013,10871
2012,UKC2,2013,2645
2013,UKC2,2013,2827
2014,UKC2,2013,3373
2015,UKC2,2013,3962
2016,UKC2,2013,4564
2012,UKI5,2013,788
2013,UKI5,2013,860
2014,UKI5,2013,967
2015,UKI5,2013,1163
2016,UKI5,2013,1166
2012,UKI6,2013,1380
2013,UKI6,2013,1104
2014,UKI6,2013,1722
2015,UKI6,2013,1271
2016,UKI6,2013,1505
2012,UKI7,2013,6398
2013,UKI7,2013,5260
2014,UKI7,2013,6621
2015,UKI7,2013,8549
2016,UKI7,2013,8184
2012,UKG2,2013,2454
2013,UKG2,2013,2780
2014,UKG2,2013,3260
2015,UKG2,2013,3478
2016,UKG2,2013,3427
2012,UKM3,2013,5433
2013,UKM3,2013,6568
2014,UKM3,2013,7095
2015,UKM3,2013,4744
2016,UKM3,2013,5646
2012,UKE3,2013,1783
2013,UKE3,2013,2330
2014,UKE3,2013,2455
2015,UKE3,2013,2645
2016,UKE3,2013,2475
2012,UKJ2,2013,10304
2013,UKJ2,2013,10991
2014,UKJ2,2013,11533
2015,UKJ2,2013,12234
2016,UKJ2,2013,12682
2012,UKC1,2013,1888
2013,UKC1,2013,3174
2014,UKC1,2013,2317
2015,UKC1,2013,2335
2016,UKC1,2013,2254
2012,UKG3,2013,5877
2013,UKG3,2013,7285
2014,UKG3,2013,9177
2015,UKG3,2013,9513
2016,UKG3,2013,9970
2012,UKL1,2013,1179
2013,UKL1,2013,1577
2014,UKL1,2013,3927
2015,UKL1,2013,3975
2016,UKL1,2013,4140
2012,UKE4,2013,4660
2013,UKE4,2013,6431
2014,UKE4,2013,6351
2015,UKE4,2013,6795
2016,UKE4,2013,6625
