geo_name,geo,time,Full-time equivalent (FTE),Head count,Percentage of active population - numerator in full-time equivalent (FTE),Percentage of active population - numerator in head count (HC)
East Riding and North Lincolnshire,UKE1,2013,1463.0,2284.0,0.317,0.495
East Riding and North Lincolnshire,UKE1,2014,1662.0,2559.0,0.3615,0.5567
East Riding and North Lincolnshire,UKE1,2015,1657.0,2476.0,0.3701,0.5529
East Riding and North Lincolnshire,UKE1,2016,1678.0,2601.0,0.3683,0.5709
East Wales,UKL2,2012,2444.0,3448.0,0.4344,0.6128
East Wales,UKL2,2013,3175.0,4489.0,0.5489,0.7761
East Wales,UKL2,2014,2225.0,3272.0,0.3941,0.5794
East Wales,UKL2,2015,2183.0,3451.0,0.3914,0.6188
East Wales,UKL2,2016,2397.0,4001.0,0.429,0.7163
Eastern Scotland,UKM2,2012,4089.0,1557.0,0.3924,0.1494
Eastern Scotland,UKM2,2013,4942.0,1602.0,,
Eastern Scotland,UKM2,2014,4961.0,2465.0,,
Eastern Scotland,UKM2,2015,5917.0,8294.0,,
Eastern Scotland,UKM2,2016,5972.0,9389.0,,
Essex,UKH3,2012,5577.0,6468.0,0.6255,0.7255
Essex,UKH3,2013,5550.0,6558.0,0.6194,0.7319
Essex,UKH3,2014,5818.0,7019.0,0.67,0.8084
Essex,UKH3,2015,5803.0,7233.0,0.6369,0.7938
Essex,UKH3,2016,6091.0,7527.0,0.6733,0.832
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,2012,11608.0,14420.0,0.9413,1.1693
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,2013,12134.0,15387.0,0.9712,1.2316
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,2014,11896.0,15623.0,0.9483,1.2455
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,2015,12243.0,16145.0,0.9513,1.2546
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,2016,13237.0,17220.0,1.0157,1.3213
Greater Manchester,UKD3,2012,3215.0,4353.0,0.2395,0.3242
Greater Manchester,UKD3,2013,3187.0,4220.0,0.2376,0.3145
Greater Manchester,UKD3,2014,3813.0,5287.0,0.277,0.3841
Greater Manchester,UKD3,2015,4641.0,6224.0,0.3372,0.4522
Greater Manchester,UKD3,2016,4727.0,6868.0,0.3392,0.4929
Hampshire and Isle of Wight,UKJ3,2012,8098.0,10115.0,0.829,1.0355
Hampshire and Isle of Wight,UKJ3,2013,8692.0,11151.0,0.8739,1.1211
Hampshire and Isle of Wight,UKJ3,2014,8623.0,11274.0,0.8486,1.1095
Hampshire and Isle of Wight,UKJ3,2015,9426.0,11834.0,0.9394,1.1794
Hampshire and Isle of Wight,UKJ3,2016,8270.0,11444.0,0.8235,1.1396
"Herefordshire, Worcestershire and Warwickshire",UKG1,2012,7189.0,9187.0,1.0553,1.3486
"Herefordshire, Worcestershire and Warwickshire",UKG1,2013,7559.0,9379.0,1.1169,1.3858
"Herefordshire, Worcestershire and Warwickshire",UKG1,2014,8980.0,12053.0,1.3245,1.7777
"Herefordshire, Worcestershire and Warwickshire",UKG1,2015,9239.0,12333.0,1.3652,1.8225
"Herefordshire, Worcestershire and Warwickshire",UKG1,2016,8779.0,11560.0,1.2839,1.6906
Highlands and Islands,UKM6,2012,336.0,446.0,0.1133,0.1506
Highlands and Islands,UKM6,2013,353.0,469.0,0.1444,0.1919
Highlands and Islands,UKM6,2014,298.0,426.0,0.1261,0.1804
Highlands and Islands,UKM6,2015,332.0,465.0,0.1421,0.1993
Highlands and Islands,UKM6,2016,314.0,494.0,0.1431,0.2251
Inner London - East,UKI4,2012,1633.0,2355.0,0.1368,0.1973
Inner London - East,UKI4,2013,2771.0,3962.0,0.2211,0.3162
Inner London - East,UKI4,2014,3917.0,5829.0,0.3063,0.4558
Inner London - East,UKI4,2015,3837.0,5481.0,0.292,0.417
Inner London - East,UKI4,2016,3567.0,5565.0,0.2684,0.4188
Inner London - West,UKI3,2012,4948.0,7137.0,0.8217,1.1852
Inner London - West,UKI3,2013,6415.0,9171.0,1.0706,1.5306
Inner London - West,UKI3,2014,7868.0,11708.0,1.2335,1.8354
Inner London - West,UKI3,2015,8946.0,12778.0,1.4039,2.0053
Inner London - West,UKI3,2016,9562.0,14921.0,1.4497,2.2621
Kent,UKJ4,2012,3232.0,4037.0,0.3791,0.4735
Kent,UKJ4,2013,2856.0,3664.0,0.3272,0.4197
Kent,UKJ4,2014,3014.0,3941.0,0.3422,0.4474
Kent,UKJ4,2015,3339.0,4193.0,0.3682,0.4623
Kent,UKJ4,2016,3094.0,4281.0,0.345,0.4774
Lancashire,UKD4,2012,2561.0,3467.0,0.3569,0.4832
Lancashire,UKD4,2013,2541.0,3365.0,0.3687,0.4882
Lancashire,UKD4,2014,2604.0,3612.0,0.3729,0.5171
Lancashire,UKD4,2015,3059.0,4103.0,0.4253,0.5703
Lancashire,UKD4,2016,3379.0,4909.0,0.462,0.6713
"Leicestershire, Rutland and Northamptonshire",UKF2,2012,3319.0,4159.0,0.3716,0.4657
"Leicestershire, Rutland and Northamptonshire",UKF2,2013,3667.0,4700.0,0.414,0.5305
"Leicestershire, Rutland and Northamptonshire",UKF2,2014,4190.0,5293.0,0.4613,0.5827
"Leicestershire, Rutland and Northamptonshire",UKF2,2015,4132.0,5307.0,0.4551,0.5845
"Leicestershire, Rutland and Northamptonshire",UKF2,2016,4347.0,5906.0,0.4749,0.6453
Lincolnshire,UKF3,2012,607.0,761.0,0.1764,0.2211
Lincolnshire,UKF3,2013,663.0,850.0,0.1811,0.2321
Lincolnshire,UKF3,2014,760.0,960.0,0.1973,0.2492
Lincolnshire,UKF3,2015,755.0,969.0,0.2125,0.2729
Lincolnshire,UKF3,2016,819.0,1113.0,0.2274,0.3091
Merseyside,UKD7,2012,1639.0,2219.0,0.2243,0.3037
Merseyside,UKD7,2013,1898.0,2513.0,0.2633,0.3486
Merseyside,UKD7,2014,2444.0,3389.0,0.3505,0.4861
Merseyside,UKD7,2015,2620.0,3514.0,0.3646,0.4891
Merseyside,UKD7,2016,3139.0,4561.0,0.4352,0.6323
North Eastern Scotland,UKM5,2012,1172.0,3650.0,0.4301,1.3399
North Eastern Scotland,UKM5,2013,1205.0,4629.0,0.4562,1.752
North Eastern Scotland,UKM5,2014,1724.0,4208.0,0.6153,1.5022
North Eastern Scotland,UKM5,2015,1411.0,1978.0,0.5074,0.7113
North Eastern Scotland,UKM5,2016,2067.0,3249.0,0.7568,1.1897
North Yorkshire,UKE2,2012,3020.0,2372.0,0.7279,0.5718
North Yorkshire,UKE2,2013,2115.0,3302.0,0.5229,0.8164
North Yorkshire,UKE2,2014,2264.0,3486.0,0.5595,0.8616
North Yorkshire,UKE2,2015,2700.0,4035.0,0.6427,0.9605
North Yorkshire,UKE2,2016,2767.0,4289.0,0.6552,1.0154
Northern Ireland,UKN0,2012,4602.0,6357.0,0.5337,0.7372
Northern Ireland,UKN0,2013,4752.0,6717.0,0.5514,0.7794
Northern Ireland,UKN0,2014,4964.0,8155.0,0.5727,0.9409
Northern Ireland,UKN0,2015,6079.0,9218.0,0.6966,1.0564
Northern Ireland,UKN0,2016,6990.0,10871.0,0.7878,1.2252
Northumberland and Tyne and Wear,UKC2,2012,2025.0,2645.0,0.2853,0.3727
Northumberland and Tyne and Wear,UKC2,2013,2253.0,2827.0,0.3189,0.4001
Northumberland and Tyne and Wear,UKC2,2014,2415.0,3373.0,0.336,0.4694
Northumberland and Tyne and Wear,UKC2,2015,2799.0,3962.0,0.3938,0.5574
Northumberland and Tyne and Wear,UKC2,2016,2797.0,4564.0,0.3875,0.6322
Outer London - East and North East,UKI5,2012,547.0,788.0,0.0628,0.0906
Outer London - East and North East,UKI5,2013,601.0,860.0,0.0687,0.0982
Outer London - East and North East,UKI5,2014,650.0,967.0,0.0718,0.1068
Outer London - East and North East,UKI5,2015,814.0,1163.0,0.085,0.1213
Outer London - East and North East,UKI5,2016,747.0,1166.0,0.0766,0.1196
Outer London - South,UKI6,2012,957.0,1380.0,0.1479,0.2133
Outer London - South,UKI6,2013,772.0,1104.0,0.1087,0.1554
Outer London - South,UKI6,2014,1157.0,1722.0,0.1679,0.2498
Outer London - South,UKI6,2015,890.0,1271.0,0.1307,0.1866
Outer London - South,UKI6,2016,964.0,1505.0,0.1403,0.219
Outer London - West and North West,UKI7,2012,4435.0,6398.0,0.4213,0.6077
Outer London - West and North West,UKI7,2013,3679.0,5260.0,0.3511,0.502
Outer London - West and North West,UKI7,2014,4450.0,6621.0,0.411,0.6115
Outer London - West and North West,UKI7,2015,5985.0,8549.0,0.5598,0.7996
Outer London - West and North West,UKI7,2016,5245.0,8184.0,0.4869,0.7597
Shropshire and Staffordshire,UKG2,2012,1920.0,2454.0,0.2422,0.3096
Shropshire and Staffordshire,UKG2,2013,2241.0,2780.0,0.2786,0.3457
Shropshire and Staffordshire,UKG2,2014,2429.0,3260.0,0.3082,0.4137
Shropshire and Staffordshire,UKG2,2015,2605.0,3478.0,0.3227,0.4308
Shropshire and Staffordshire,UKG2,2016,2603.0,3427.0,0.313,0.4121
South Western Scotland,UKM3,2012,2747.0,5433.0,0.2517,0.4979
South Western Scotland,UKM3,2013,3483.0,6568.0,,
South Western Scotland,UKM3,2014,2942.0,7095.0,,
South Western Scotland,UKM3,2015,3385.0,4744.0,,
South Western Scotland,UKM3,2016,3592.0,5646.0,,
South Yorkshire,UKE3,2012,1314.0,1783.0,0.1954,0.2652
South Yorkshire,UKE3,2013,1492.0,2330.0,0.2148,0.3354
South Yorkshire,UKE3,2014,1594.0,2455.0,0.2265,0.3488
South Yorkshire,UKE3,2015,1770.0,2645.0,0.2717,0.406
South Yorkshire,UKE3,2016,1597.0,2475.0,0.2409,0.3735
"Surrey, East and West Sussex",UKJ2,2012,8249.0,10304.0,0.582,0.727
"Surrey, East and West Sussex",UKJ2,2013,8567.0,10991.0,0.5952,0.7636
"Surrey, East and West Sussex",UKJ2,2014,8821.0,11533.0,0.6162,0.8057
"Surrey, East and West Sussex",UKJ2,2015,9744.0,12234.0,0.6791,0.8525
"Surrey, East and West Sussex",UKJ2,2016,9165.0,12682.0,0.6193,0.857
Tees Valley and Durham,UKC1,2012,1445.0,1888.0,0.2605,0.3404
Tees Valley and Durham,UKC1,2013,2530.0,3174.0,0.4583,0.575
Tees Valley and Durham,UKC1,2014,1658.0,2317.0,0.2927,0.4089
Tees Valley and Durham,UKC1,2015,1650.0,2335.0,0.293,0.4147
Tees Valley and Durham,UKC1,2016,1382.0,2254.0,0.2446,0.399
West Midlands,UKG3,2012,4599.0,5877.0,0.3545,0.453
West Midlands,UKG3,2013,5872.0,7285.0,0.4496,0.5579
West Midlands,UKG3,2014,6837.0,9177.0,0.5245,0.704
West Midlands,UKG3,2015,7126.0,9513.0,0.5547,0.7404
West Midlands,UKG3,2016,7571.0,9970.0,0.5675,0.7473
West Wales and The Valleys,UKL1,2012,836.0,1179.0,0.0908,0.128
West Wales and The Valleys,UKL1,2013,1115.0,1577.0,0.1208,0.1708
West Wales and The Valleys,UKL1,2014,2671.0,3927.0,0.2953,0.4341
West Wales and The Valleys,UKL1,2015,2514.0,3975.0,0.269,0.4253
West Wales and The Valleys,UKL1,2016,2480.0,4140.0,0.2602,0.4344
West Yorkshire,UKE4,2012,3434.0,4660.0,0.3115,0.4228
West Yorkshire,UKE4,2013,4119.0,6431.0,0.371,0.5792
West Yorkshire,UKE4,2014,4124.0,6351.0,0.3739,0.5758
West Yorkshire,UKE4,2015,4547.0,6795.0,0.3983,0.5952
West Yorkshire,UKE4,2016,4275.0,6625.0,0.3721,0.5767
