geo_nm,geo_cd,construction_construction,construction_infrastructure,manufacture_aerospace,manufacture_armaments,manufacture_automotive,manufacture_casting,manufacture_chemical,manufacture_electrical,manufacture_electronics,manufacture_food,manufacture_footwear_leather,manufacture_furniture,manufacture_instruments,manufacture_light,manufacture_machinery_tools,manufacture_materials,manufacture_metal_equipment,manufacture_oils,manufacture_paper,manufacture_pesticides,manufacture_pharmaceuticals,manufacture_plastics,manufacture_rubber,manufacture_ships,manufacture_steel_metal,manufacture_textiles,primary_fishing,primary_forestry,primary_oil_gas,primary_quarrying_concrete,services_administrative,services_agricultural,services_air_transport,services_computing,services_consumer_retail,services_content,services_creative,services_cultural,services_education_post_primary,services_education_primary,services_electronics_machinery,services_energy,services_entertainment,services_environmental,services_facilities,services_financial_legal,services_health,services_hospitality,services_house_installation,services_human_resources,services_industrial_equipment,services_insurance_finance,services_kibs,services_land_transport,services_logistics,services_motor,services_passenger,services_printing,services_professional,services_public_administration,services_publishing,services_r_&_d,services_real_state,services_recreation,services_residential,services_sea_transport,services_security,services_telecommunications,services_textiles,services_travelling,services_utilities,services_wholesale,top_20_salary_share,bottom_20_salary_share
East Yorkshire and Northern Lincolnshire,UKE1,1855,260,45,5,60,15,65,30,40,285,15,370,30,5,645,20,90,20,25,10,15,120,35,40,30,65,370,25,5,85,1000,390,195,1185,4535,100,680,70,370,495,95,95,495,220,445,595,1745,1590,1820,260,480,270,1215,130,1470,1840,180,135,315,460,65,35,1430,1005,1305,70,115,80,110,90,1110,865,0.12740171445462606,0.3054980786284363
Eastern Scotland,UKM2,3380,415,35,5,55,0,80,50,135,540,20,830,85,40,775,40,175,30,20,10,10,90,35,40,50,210,390,405,20,125,2420,1045,125,5480,10020,290,1860,335,800,1035,200,290,1555,305,1350,2120,3405,4610,3135,570,885,1045,5195,235,905,2845,495,215,1075,645,275,250,3350,2645,3095,80,145,285,255,400,2890,1645,0.20337785769329567,0.3207038273824814
Essex,UKH3,6140,1555,100,0,90,10,90,100,205,370,30,800,115,60,1055,65,180,25,55,5,10,210,40,50,75,185,150,75,0,130,2865,880,480,6380,8230,470,2150,150,740,1015,315,70,950,445,1385,1400,3625,2870,5840,1015,1295,1220,5470,240,2020,3655,530,435,1200,475,350,120,4100,2040,2055,90,510,320,340,245,2560,2680,0.19597134132017852,0.23073760864458537
"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,5890,1040,160,5,155,15,115,125,265,650,45,940,125,50,1340,70,260,25,50,10,25,250,85,40,105,200,95,255,5,210,4175,1545,305,9665,12125,1050,3455,240,1405,1475,325,245,1555,460,1895,2455,4855,4370,5125,1265,1805,1960,9005,260,2460,4730,545,505,2025,795,615,235,5620,3685,3625,50,380,580,345,390,3855,3240,0.223785766065413,0.2526544710246898
Greater Manchester,UKD3,4510,1665,130,0,120,10,210,150,255,430,30,925,145,35,1345,60,305,85,85,5,25,340,85,15,105,515,80,40,0,110,5095,675,455,7165,13465,850,2770,135,1210,1430,295,135,1685,545,1805,3770,6070,4700,4360,1400,2065,2325,6275,905,5675,4535,515,485,1435,565,360,175,6215,2820,3470,35,505,510,1190,435,3500,8285,0.17501535941019863,0.258283841900471
Hampshire and Isle of Wight,UKJ3,4975,875,270,10,100,10,90,135,305,345,25,595,100,30,1195,50,195,35,25,5,10,190,55,300,75,175,155,140,10,85,2900,995,300,7610,8980,530,2510,165,945,1180,280,105,1185,335,1625,1735,3740,3425,4740,1035,1320,995,6475,225,1390,3540,420,330,1240,540,355,200,4125,2770,2560,220,335,510,250,300,2940,3825,0.22040793580026752,0.25111457868925546
"Herefordshire, Worcestershire and Warwickshire",UKG1,3020,565,50,5,180,10,80,95,170,565,30,600,70,35,1240,35,230,20,30,0,5,195,60,35,175,130,55,130,0,90,3365,1050,185,4315,6990,290,2385,110,800,840,165,115,780,290,1675,1110,2865,2175,2705,630,1345,725,4640,185,3350,3065,295,260,1380,645,235,175,3590,2205,1760,35,255,265,235,195,2665,2035,0.1906049822064057,0.2402135231316726
Highlands and Islands,UKM6,1545,135,10,0,0,0,15,5,30,235,0,210,10,20,330,10,10,15,0,0,0,20,5,55,0,90,1385,345,15,125,640,380,85,505,2975,65,505,225,245,480,40,170,420,90,250,305,810,1965,995,90,170,120,535,60,290,940,215,25,240,450,90,45,715,830,925,205,35,90,35,100,1025,270,0.11247311827956989,0.3877419354838709
Inner London - East,UKI4,4150,1120,20,5,35,10,60,65,135,385,100,495,75,140,395,45,105,55,30,0,20,65,20,10,25,575,195,35,10,50,7590,370,325,15950,11140,4660,7040,170,1730,1000,265,330,2150,235,1920,3455,4875,5700,2340,1885,1015,1395,14445,270,735,1770,735,495,6030,370,1290,290,7155,2880,3340,80,615,590,1125,670,2425,3975,0.2690530744093453,0.2353604026593547
Inner London - West,UKI3,2330,650,25,0,80,0,95,70,145,400,95,365,120,285,240,45,105,80,20,5,50,35,10,20,30,500,80,45,55,60,9285,335,515,12775,12760,5315,6280,195,1760,695,330,1085,1905,120,2310,15735,5550,7235,1215,5785,710,5335,19565,315,350,1150,445,330,7490,600,1570,480,14430,3905,2325,170,670,610,980,1085,2420,5175,0.2560909907213409,0.2290332235857528
Kent,UKJ4,5050,1160,35,0,80,0,70,90,150,435,20,570,95,65,900,55,195,40,50,10,15,125,25,40,55,130,125,95,5,130,2830,885,295,5210,8320,535,2285,155,835,1050,220,95,985,380,1375,1380,3295,3045,4740,895,1280,1080,5205,315,1510,3290,420,390,1295,525,420,135,3515,2400,2430,125,350,275,245,255,2335,2515,0.18853810067199187,0.25681501204513757
Lancashire,UKD4,3060,685,70,0,120,10,80,80,105,465,25,715,70,10,925,55,145,25,50,5,15,205,55,20,45,205,140,40,10,95,2020,705,135,2885,7780,140,1180,90,585,925,160,75,865,330,840,1255,3105,2690,2585,435,995,750,2560,290,1650,2950,295,280,520,440,145,70,2550,1535,2105,30,195,210,395,210,1695,1985,0.1514786795048143,0.29650962861072905
"Leicestershire, Rutland and Northamptonshire",UKF2,3905,1210,50,0,190,5,120,115,210,525,80,780,80,45,1385,45,225,35,85,15,15,275,80,50,95,805,50,85,0,120,4255,900,440,5175,8385,270,2115,130,890,1085,240,135,995,340,990,1630,3530,2650,3605,915,1870,1720,5370,475,4245,3865,355,490,950,610,240,125,3845,3030,2385,30,240,280,695,255,2155,2900,0.1852176966292135,0.24912219101123595
Lincolnshire,UKF3,1715,245,45,5,45,0,30,30,40,420,10,250,10,15,470,20,65,15,20,5,5,80,35,20,20,65,60,50,5,60,745,565,80,1095,3735,75,590,65,325,480,65,50,380,180,415,435,1280,1310,1430,290,450,275,1240,95,1470,1545,175,120,350,355,105,25,1335,810,1005,10,95,75,130,80,760,860,0.1304045841291891,0.2882444868900851
Merseyside,UKD7,2180,715,40,0,55,10,125,70,75,180,20,370,55,15,645,35,115,40,35,5,20,105,25,30,40,120,35,10,0,55,2365,355,185,2435,6545,200,1195,95,690,735,115,50,995,250,790,1560,3020,2365,2200,710,855,630,2635,335,1980,1840,275,165,590,285,140,85,2120,1360,2150,90,210,200,170,140,1545,1950,0.1562288912477082,0.29769371803531797
North Eastern Scotland,UKM5,1095,85,15,0,5,0,35,25,50,190,5,160,10,0,510,0,75,15,0,0,0,20,20,45,25,45,760,100,155,55,980,340,110,960,2045,50,790,80,195,300,50,135,335,70,400,450,755,980,865,260,390,125,1680,35,300,905,130,30,235,175,50,65,850,760,725,75,55,80,35,55,4070,445,0.28952648475120385,0.2568218298555377
North Yorkshire,UKE2,1850,270,20,0,55,0,60,55,75,455,15,455,40,15,415,30,45,10,15,5,10,80,15,10,30,80,150,100,0,95,1080,775,60,1995,5190,165,1050,145,430,525,110,75,550,165,550,825,1655,2330,1550,350,685,495,2500,150,625,1710,225,165,580,530,120,85,2240,1345,1340,30,70,110,175,135,1090,1085,0.16732059233008478,0.30932793317301605
Northern Ireland,UKN0,5600,375,230,0,105,0,90,75,80,935,30,760,85,25,1080,65,270,30,35,10,25,205,40,30,40,195,330,60,0,350,635,1190,150,2260,10600,295,830,220,645,2605,205,485,2210,400,1095,1985,3590,3365,3285,495,1020,965,1470,150,1645,3610,380,210,705,605,145,90,3455,1385,2900,55,145,180,235,195,1310,1720,0.10441281138790034,0.3291103202846975
Northumberland and Tyne and Wear,UKC2,2005,310,25,5,65,0,70,70,90,230,20,380,50,15,735,45,120,15,20,0,15,125,30,35,40,120,160,120,10,70,1585,420,100,2260,6850,190,1140,110,595,655,125,80,895,210,1080,1105,2750,2800,2210,375,740,535,1895,140,560,1900,300,210,540,340,155,80,2105,1295,2050,50,150,210,180,195,1695,1170,0.15018081259306532,0.3402467560093597
Outer London - East and North East,UKI5,6100,1715,15,0,30,5,45,45,90,365,40,370,70,25,510,55,115,35,25,0,10,85,20,10,30,275,90,30,0,60,3335,340,290,8925,7325,820,2230,105,895,890,165,40,1045,345,1470,1395,4125,2970,4495,850,1040,720,5905,225,1530,2475,620,295,1265,310,265,65,3480,1720,2390,60,505,320,530,265,1630,2630,0.2224981375713931,0.23503849019120934
Outer London - South,UKI6,3625,1015,25,0,15,0,40,50,85,135,25,260,60,30,325,30,80,20,10,0,20,40,20,5,10,125,50,35,0,40,2720,420,120,8300,5520,820,2155,50,710,640,160,35,805,160,1120,1255,3105,2395,3230,840,720,750,6270,155,405,1735,540,265,1350,175,330,75,2845,1635,1770,30,300,265,285,295,1800,2405,0.27225251516780585,0.22671069810306427
Outer London - West and North West,UKI7,6470,1915,40,5,55,5,85,70,165,525,45,475,95,60,510,55,140,40,15,0,35,95,25,15,35,285,130,35,15,80,5020,465,775,15185,10140,2685,3750,95,1265,1050,310,50,1330,290,1560,2645,5315,4025,3605,1600,1460,1085,10995,235,1650,3210,1145,370,2840,225,595,210,8255,2830,2445,90,505,510,815,635,2550,5260,0.25706226407267596,0.21217903513502304
Shropshire and Staffordshire,UKG2,3385,630,40,5,130,30,135,90,160,595,30,670,60,25,1180,115,225,35,45,5,5,240,50,20,105,155,60,125,0,140,1870,1010,155,3315,7925,165,1360,115,705,935,160,80,810,360,975,1135,3060,2335,3240,545,1315,675,3150,215,2190,3410,285,280,640,620,175,70,2840,2325,1965,40,160,270,235,185,1940,2050,0.15622304133009174,0.2771547329621206
South Western Scotland,UKM3,3545,650,105,5,65,10,85,65,135,505,35,620,85,40,1050,40,185,25,45,0,20,130,45,50,45,210,205,255,10,155,2320,850,230,4030,11150,525,1760,280,740,1235,210,210,1770,365,1655,1955,4175,4455,3550,570,1400,985,3515,380,1360,3075,490,265,1030,1315,210,115,3500,2635,3220,85,215,330,280,295,3085,1955,0.16143721539517186,0.329923273657289
South Yorkshire,UKE3,2525,540,15,0,105,25,45,65,95,180,15,445,70,30,920,30,155,10,15,0,0,155,40,10,130,95,50,35,5,95,1560,325,125,2125,6045,225,1010,75,590,655,105,60,705,295,690,885,2415,1965,2240,410,1260,485,1795,240,1575,2210,240,160,560,465,140,65,1895,1205,1520,15,130,210,205,135,1265,1405,0.14027000329272307,0.2867961804412249
"Surrey, East and West Sussex",UKJ2,7475,1575,140,5,150,5,135,170,420,610,50,1060,195,100,1145,90,255,70,30,10,60,200,60,60,100,285,255,260,15,140,5830,1955,565,14515,14275,2025,5185,220,1700,1650,505,200,1930,500,2320,3065,6185,5285,6935,1990,1660,2220,14515,405,1315,5185,795,635,3410,750,990,315,7925,5290,4090,105,540,600,500,650,4245,5475,0.24407884020198728,0.24029972308193515
Tees Valley and Durham,UKC1,1930,270,20,0,45,10,65,30,85,185,15,310,35,10,695,15,125,25,15,5,5,130,20,25,35,90,60,40,10,75,1250,340,70,1330,5135,70,895,90,460,595,75,85,710,215,590,710,2070,1755,1780,290,580,320,1465,105,800,1775,280,115,370,490,65,70,1255,1195,1565,40,140,135,85,120,2520,775,0.16527590847913864,0.31211305518169585
West Midlands,UKG3,4260,790,40,10,265,55,135,125,190,1680,80,850,125,170,2150,90,480,25,60,0,20,425,130,15,385,335,90,30,0,90,3550,455,360,6415,12865,370,2055,140,1205,1345,280,105,1635,575,1845,2775,5585,4075,4020,1290,3055,1195,4650,380,3450,4690,505,405,995,470,220,125,4575,2395,3600,30,440,440,600,345,2805,3565,0.16073339169341502,0.28435949810329736
West Wales and The Valleys,UKL1,4155,690,175,0,110,10,65,70,125,610,25,585,75,30,1010,50,160,30,30,5,20,240,35,50,65,155,245,200,0,215,1905,1215,105,2295,9850,290,1290,230,700,1165,155,175,1320,415,930,1170,3385,4385,2945,355,800,685,1720,210,1230,3460,565,225,620,870,175,125,2230,1845,3240,100,175,220,195,230,1625,2605,0.11165303519171606,0.34163727770691077
West Yorkshire,UKE4,3775,660,30,5,115,20,155,145,185,365,30,1020,110,45,1320,65,265,65,55,5,15,280,90,10,115,460,60,55,0,170,2720,645,240,5415,11240,380,2010,155,1000,1160,250,120,1375,440,1320,2515,4500,3820,3910,1135,2095,1225,4740,240,3105,4150,405,535,1010,465,265,105,4355,2195,3075,25,345,315,655,350,2085,2840,0.1634208298052498,0.29020604007902906
