geo_nm,geo_cd,construction_construction,construction_infrastructure,manufacture_aerospace,manufacture_armaments,manufacture_automotive,manufacture_casting,manufacture_chemical,manufacture_electrical,manufacture_electronics,manufacture_food,manufacture_footwear_leather,manufacture_furniture,manufacture_instruments,manufacture_light,manufacture_machinery_tools,manufacture_materials,manufacture_metal_equipment,manufacture_oils,manufacture_paper,manufacture_pesticides,manufacture_pharmaceuticals,manufacture_plastics,manufacture_rubber,manufacture_ships,manufacture_steel_metal,manufacture_textiles,primary_fishing,primary_forestry,primary_oil_gas,primary_quarrying_concrete,services_administrative,services_agricultural,services_air_transport,services_computing,services_consumer_retail,services_content,services_creative,services_cultural,services_education_post_primary,services_education_primary,services_electronics_machinery,services_energy,services_entertainment,services_environmental,services_facilities,services_financial_legal,services_health,services_hospitality,services_house_installation,services_human_resources,services_industrial_equipment,services_insurance_finance,services_kibs,services_land_transport,services_logistics,services_motor,services_passenger,services_printing,services_professional,services_public_administration,services_publishing,services_r_&_d,services_real_state,services_recreation,services_residential,services_sea_transport,services_security,services_telecommunications,services_textiles,services_travelling,services_utilities,services_wholesale,top_20_salary_share,bottom_20_salary_share
Kent,UKJ4,24400,3595,375,0,1795,30,1040,1765,3925,9390,125,3055,1265,110,8915,705,2515,1500,2150,405,430,3750,225,210,680,545,345,275,0,1505,9525,5190,2690,18930,98600,1125,5550,3000,19500,52575,1510,2700,8365,5305,16450,13360,59125,33675,17050,21100,10375,13520,12075,6255,16000,25375,5950,3390,4310,23405,2855,2825,15050,17450,44250,2455,5175,2945,980,2265,9900,14110,0.10421075574241902,0.3438561213800086
Lancashire,UKD4,16550,8620,13075,0,4650,120,2125,1390,2055,13875,630,9930,845,30,10450,830,3435,1310,2900,55,350,9300,1675,285,1180,3525,1155,135,160,645,7500,4130,615,15825,82025,615,2515,1175,19675,37550,1900,2455,8700,5250,8350,10970,61675,33150,11200,16500,6225,4855,7200,2345,14000,19550,4750,2800,1385,24025,485,700,11050,15605,38200,180,4900,4745,4740,2050,7600,20160,0.10456929657497893,0.33639045864685124
"Leicestershire, Rutland and Northamptonshire",UKF2,16000,1730,1325,0,4300,330,2365,2275,3720,25805,2460,10265,1850,150,10400,1350,7395,705,4375,440,805,6800,1395,770,2280,5560,210,325,0,3460,15875,4200,6650,24250,95975,195,6450,2350,27750,47550,900,7675,14200,4980,9450,35055,63200,32500,17550,39800,20100,9035,11350,2300,37000,33900,3450,4100,5485,28585,900,4060,14850,22950,40700,100,4380,2475,4790,1500,10385,28110,0.09599136014230353,0.31373194494978374
Lincolnshire,UKF3,6600,650,1150,75,1500,0,390,770,875,21375,50,2950,60,25,4210,60,2020,95,1620,135,250,1500,820,220,420,710,325,245,60,640,4125,3915,735,6520,39015,220,1820,1975,6430,17725,320,720,4480,3370,4400,4110,25745,18075,6175,12075,2640,1565,2795,1125,5800,11925,1725,1375,1055,7725,530,180,4950,5585,19000,60,970,730,710,350,3350,4600,0.07505077977071642,0.3612765517953661
Merseyside,UKD7,10600,1870,375,0,7800,115,4775,1610,1275,5595,35,3465,515,55,5855,990,1920,1925,755,275,2050,2700,400,1125,710,845,225,35,300,380,11400,2860,3275,12090,82275,1275,2440,1525,19750,38300,740,1115,10075,4100,9000,25275,79575,30650,11750,17750,4865,7240,7825,2400,18000,13775,9250,2130,3040,33800,955,1785,13125,17590,38200,1880,8450,3850,1350,870,8365,17475,0.0887164822801425,0.32832520782548913
North Eastern Scotland,UKM5,8425,730,135,0,500,10,585,600,710,2770,15,1345,90,10,6975,40,1545,270,520,10,10,255,410,1070,205,485,6155,400,25020,660,2700,1810,3310,5960,25790,230,1380,725,6250,11330,370,810,2640,1080,3875,4905,26225,12825,4150,5875,3905,1260,3285,630,3000,9150,2125,310,1435,11810,270,1600,4125,10775,13375,1255,1520,980,195,505,21575,3070,0.1377272400661062,0.29616655888481713
North Yorkshire,UKE2,9125,1100,315,0,1930,150,695,1695,830,12585,80,2610,575,65,5910,325,510,35,675,95,725,1910,160,55,1025,480,745,475,20,1085,4925,3625,465,10650,52980,720,1810,2250,11975,23875,470,1710,5515,1785,8900,8590,26925,29150,5600,9475,4255,5990,8850,3555,8000,9125,2950,1365,3800,14215,285,2760,9400,10700,21500,160,1545,1075,820,875,6585,7495,0.11728346662484973,0.3695180596936909
Northumberland and Tyne and Wear,UKC2,16450,2260,340,300,13600,90,2790,2005,2830,5905,70,3540,700,25,9235,580,5045,850,1525,10,1950,2775,765,260,1845,965,520,180,50,555,11050,2890,3795,17170,80300,445,2205,1850,23650,31100,950,4970,9525,3260,18000,18005,71625,33200,10350,17500,5320,7070,4850,2800,8000,16600,7700,4100,3375,32500,855,925,12700,14775,36400,680,4145,8650,1060,2400,9000,6345,0.11650901472828848,0.33955212036566784
Outer London - East and North East,UKI5,18600,3320,40,50,3065,60,455,680,605,4890,150,1650,365,40,2170,985,550,570,470,0,450,680,80,0,445,1600,835,75,10,650,8575,1740,1420,19425,75690,1235,4425,1720,13150,50100,1185,970,9850,4625,28250,9195,49175,27790,12650,12750,4515,3275,10225,3350,11000,17035,11650,2450,2445,21010,910,110,12800,14900,37500,375,12550,2880,2650,975,4615,12095,0.08632782517402313,0.37794560067756533
Outer London - South,UKI6,12850,1950,135,0,75,60,390,590,495,710,65,915,465,95,1445,585,315,150,225,10,295,650,50,0,140,460,680,65,0,255,7225,1635,620,20675,62075,1440,5400,350,12225,33600,1760,1280,7335,1425,21250,11750,39250,21675,10450,23750,2815,8240,12025,3325,2500,11275,6850,1715,2575,20055,2235,930,11000,13560,29750,75,3950,2080,940,3050,8750,12025,0.12376443491890855,0.3922992439994455
Outer London - West and North West,UKI7,22450,4565,825,50,330,70,825,545,920,16495,130,2150,520,155,3070,1240,1010,320,215,5,900,1480,45,20,415,885,1000,70,630,985,13750,2005,56600,46125,97800,15375,9800,2825,19600,57675,3190,860,10840,3480,19400,23275,65225,49650,9700,30400,7975,5465,24900,3190,8000,21850,16500,2100,5600,22510,3445,3675,27500,27825,40700,640,12750,5700,4150,3800,9375,30545,0.11445657621334894,0.3235428268961129
Shropshire and Staffordshire,UKG2,20275,1715,1000,250,7600,900,4150,3150,3050,13315,235,4685,515,165,15300,4900,7030,2150,1050,190,100,5600,1275,115,3815,1635,450,690,0,2255,5775,4235,1785,19820,84075,270,3140,1275,14200,41225,1015,735,13360,4700,9000,15250,62000,21550,18100,26625,14625,5775,9450,2600,29000,26250,2825,2560,2505,23050,535,620,12750,17905,37100,260,1655,4200,1210,1625,9425,22240,0.09176606527764573,0.322000307154506
South Western Scotland,UKM3,35500,3515,4500,450,1535,140,1780,2450,1810,12390,800,4935,2855,155,9300,660,3845,705,2600,25,1300,3800,645,3155,1130,2485,2145,1025,20,1725,22850,5725,6475,29725,128100,3175,4475,3450,32150,42100,1600,9350,14775,8205,35700,34625,106800,54100,21150,24250,8700,16900,11775,6885,16000,29775,8850,2800,9275,58530,2145,3400,20800,32700,76500,1805,9350,7425,1885,3350,16425,17475,0.10901955598792923,0.35500658792638523
South Yorkshire,UKE3,12450,2335,125,0,3510,895,860,2175,1230,5665,105,6805,2700,260,11610,520,5945,265,535,40,10,5200,855,20,4980,790,185,120,25,860,12900,1720,830,17000,76875,680,1650,1125,26025,34285,725,1250,6235,4200,8400,16935,58450,22140,8650,18000,8025,6920,8500,4165,19000,15025,4550,1970,3670,22775,795,730,8400,12765,34500,50,3060,5180,1255,675,7600,11450,0.09745591718571806,0.32183524870602687
"Surrey, East and West Sussex",UKJ2,31900,5890,2450,200,5700,60,1060,2920,9400,6135,165,4115,2705,205,9245,1600,3695,1385,295,110,1525,2550,800,350,885,1250,915,700,155,1270,17300,11265,20440,61775,157100,3750,12375,3300,35600,82200,2275,5590,19275,5575,29250,37100,113100,64750,23500,36500,21200,31150,39000,6460,11000,37300,9000,3925,10365,33305,5700,6750,29200,44645,81500,665,6925,5425,2005,6545,24425,35455,0.14774682135001294,0.34127238778563396
Tees Valley and Durham,UKC1,15650,1420,1200,0,4350,275,2950,1265,1845,6140,100,2325,240,15,8100,490,5725,1225,750,390,1780,3425,295,255,2230,755,255,25,315,605,4000,2050,1065,6680,57920,50,1330,1475,15525,27575,1040,1710,4835,2590,7400,10645,40525,18500,7500,9875,4605,2840,3395,2325,11000,12950,4825,735,975,26925,205,1520,8625,9875,31100,1315,1860,2035,755,805,8700,4390,0.08762224867539621,0.3350955815419088
West Midlands,UKG3,27600,2725,2850,250,28300,1540,3825,2235,1675,10310,1500,8770,1990,1125,27875,1420,11150,625,1750,10,0,7000,1315,35,10795,2780,770,360,0,750,17275,2855,7350,43450,142125,1560,7975,2025,50425,81200,1915,5000,19625,8505,23850,54345,117250,37825,22300,52600,32425,16125,16850,10720,24000,41950,10250,2975,7575,46335,750,1420,27450,23325,69500,410,8620,6110,3100,2650,20295,26945,0.12160563425014292,0.30321809693196977
West Wales and The Valleys,UKL1,28350,2370,4000,0,7350,65,1910,1485,2940,11270,40,5525,1895,40,11005,1190,7675,1950,1800,195,2050,7525,1025,475,2310,2075,620,1000,100,1715,8490,7120,905,9790,106470,850,2825,2950,26300,43600,770,2170,10800,6825,10850,15075,82675,42725,10200,9250,5015,6695,4240,1830,8500,20650,5675,3675,2295,48425,525,1500,13925,14300,54500,1185,3180,4395,780,3250,10050,10025,0.07664265845082396,0.3463576203981419
West Yorkshire,UKE4,21850,2215,40,10,4025,515,3385,3500,2420,14710,150,13550,2215,150,15215,1380,9325,2700,3100,810,950,7850,1065,25,2805,9445,445,200,60,2745,17350,5330,6260,42650,123625,2785,5300,2600,31650,70300,1090,5350,15775,7110,28000,54015,85400,42350,16800,43600,12725,19175,22050,4755,32000,27800,8100,9650,7250,38050,1185,1025,20350,20170,60500,320,7495,5275,4110,1410,17790,28750,0.11644126275392536,0.32469695012823113
