,date_name,geography_name,geography_code,obs_value
144,2016,The Marches,E37000036,25803.0
146,2016,West of England,E37000037,28762.0
148,2016,Worcestershire,E37000038,26428.0
150,2016,"York, North Yorkshire and East Riding",E37000039,26750.0
152,2017,Black Country,E37000001,24884.0
154,2017,Buckinghamshire Thames Valley,E37000002,34616.0
156,2017,Cheshire and Warrington,E37000003,28985.0
158,2017,Coast to Capital,E37000004,31403.0
160,2017,Cornwall and Isles of Scilly,E37000005,25135.0
162,2017,Coventry and Warwickshire,E37000006,29973.0
164,2017,Cumbria,E37000007,28474.0
166,2017,"Derby, Derbyshire, Nottingham and Nottinghamshire",E37000008,26986.0
168,2017,Dorset,E37000009,27064.0
170,2017,Enterprise M3,E37000010,35128.0
172,2017,Gloucestershire,E37000011,28652.0
174,2017,Greater Birmingham and Solihull,E37000012,27514.0
176,2017,Greater Cambridge and Greater Peterborough,E37000042,
178,2017,Greater Lincolnshire,E37000014,25612.0
180,2017,Greater Manchester,E37000015,26270.0
182,2017,Heart of the South West,E37000016,26001.0
184,2017,Hertfordshire,E37000017,34152.0
186,2017,Humber,E37000018,25668.0
188,2017,Lancashire,E37000019,25832.0
190,2017,Leeds City Region,E37000020,26511.0
192,2017,Leicester and Leicestershire,E37000021,26000.0
194,2017,Liverpool City Region,E37000022,26552.0
196,2017,London,E37000023,34725.0
198,2017,New Anglia,E37000024,26550.0
200,2017,North East,E37000025,26070.0
202,2017,Oxfordshire,E37000027,32981.0
204,2017,Sheffield City Region,E37000040,26286.0
206,2017,Solent,E37000029,28928.0
208,2017,South East,E37000030,30539.0
210,2017,South East Midlands,E37000041,29961.0
212,2017,Stoke-on-Trent and Staffordshire,E37000032,26500.0
214,2017,Swindon and Wiltshire,E37000033,28991.0
216,2017,Tees Valley,E37000034,25870.0
218,2017,Thames Valley Berkshire,E37000035,33733.0
220,2017,The Marches,E37000036,25201.0
222,2017,West of England,E37000037,29242.0
224,2017,Worcestershire,E37000038,28233.0
226,2017,"York, North Yorkshire and East Riding",E37000039,26930.0
228,2018,Black Country,E37000001,25458.0
230,2018,Buckinghamshire Thames Valley,E37000002,35135.0
232,2018,Cheshire and Warrington,E37000003,30000.0
234,2018,Coast to Capital,E37000004,32403.0
236,2018,Cornwall and Isles of Scilly,E37000005,24800.0
238,2018,Coventry and Warwickshire,E37000006,30151.0
240,2018,Cumbria,E37000007,29260.0
242,2018,"Derby, Derbyshire, Nottingham and Nottinghamshire",E37000008,28221.0
244,2018,Dorset,E37000009,29060.0
246,2018,Enterprise M3,E37000010,35784.0
248,2018,Gloucestershire,E37000011,29572.0
250,2018,Greater Birmingham and Solihull,E37000012,28276.0
252,2018,Greater Cambridge and Greater Peterborough,E37000042,
254,2018,Greater Lincolnshire,E37000014,26457.0
256,2018,Greater Manchester,E37000015,26936.0
258,2018,Heart of the South West,E37000016,26916.0
260,2018,Hertfordshire,E37000017,34653.0
262,2018,Humber,E37000018,26468.0
264,2018,Lancashire,E37000019,26635.0
266,2018,Leeds City Region,E37000020,27167.0
268,2018,Leicester and Leicestershire,E37000021,27334.0
270,2018,Liverpool City Region,E37000022,27236.0
272,2018,London,E37000023,35700.0
274,2018,New Anglia,E37000024,27465.0
276,2018,North East,E37000025,26674.0
278,2018,Oxfordshire,E37000027,34443.0
280,2018,Sheffield City Region,E37000040,26767.0
282,2018,Solent,E37000029,28863.0
284,2018,South East,E37000030,31039.0
286,2018,South East Midlands,E37000041,29943.0
288,2018,Stoke-on-Trent and Staffordshire,E37000032,27523.0
290,2018,Swindon and Wiltshire,E37000033,29754.0
292,2018,Tees Valley,E37000034,26062.0
294,2018,Thames Valley Berkshire,E37000035,34701.0
296,2018,The Marches,E37000036,26535.0
298,2018,West of England,E37000037,30066.0
300,2018,Worcestershire,E37000038,27878.0
302,2018,"York, North Yorkshire and East Riding",E37000039,27923.0
304,2019,Black Country,E37000001,26335.0
306,2019,Buckinghamshire Thames Valley,E37000002,35276.0
308,2019,Cheshire and Warrington,E37000003,31409.0
310,2019,Coast to Capital,E37000004,33363.0
312,2019,Cornwall and Isles of Scilly,E37000005,25861.0
314,2019,Coventry and Warwickshire,E37000006,30385.0
316,2019,Cumbria,E37000007,29424.0
318,2019,"Derby, Derbyshire, Nottingham and Nottinghamshire",E37000008,28517.0
320,2019,Dorset,E37000009,30000.0
322,2019,Enterprise M3,E37000010,36254.0
324,2019,Gloucestershire,E37000011,30012.0
326,2019,Greater Birmingham and Solihull,E37000012,28600.0
328,2019,Greater Cambridge and Greater Peterborough,E37000042,
330,2019,Greater Lincolnshire,E37000014,27482.0
332,2019,Greater Manchester,E37000015,27663.0
334,2019,Heart of the South West,E37000016,27476.0
336,2019,Hertfordshire,E37000017,35450.0
338,2019,Humber,E37000018,28055.0
340,2019,Lancashire,E37000019,27822.0
342,2019,Leeds City Region,E37000020,27840.0
344,2019,Leicester and Leicestershire,E37000021,28702.0
346,2019,Liverpool City Region,E37000022,28550.0
348,2019,London,E37000023,36791.0
350,2019,New Anglia,E37000024,28342.0
352,2019,North East,E37000025,27227.0
354,2019,Oxfordshire,E37000027,34631.0
356,2019,Sheffield City Region,E37000040,27602.0
358,2019,Solent,E37000029,30000.0
360,2019,South East,E37000030,32321.0
362,2019,South East Midlands,E37000041,31413.0
364,2019,Stoke-on-Trent and Staffordshire,E37000032,28353.0
366,2019,Swindon and Wiltshire,E37000033,30382.0
368,2019,Tees Valley,E37000034,27036.0
370,2019,Thames Valley Berkshire,E37000035,35240.0
372,2019,The Marches,E37000036,27868.0
374,2019,West of England,E37000037,31183.0
376,2019,Worcestershire,E37000038,29734.0
378,2019,"York, North Yorkshire and East Riding",E37000039,30000.0
