,year,nuts_2,occupation,gross_annual_salary_median,nuts_2_codes
27,2011,Dorset and Somerset,"science, research, engineering and technology professionals",35445.0,UKK2
28,2011,Cornwall and Isles of Scilly,"science, research, engineering and technology professionals",28711.0,UKK3
29,2011,Devon,"science, research, engineering and technology professionals",34453.0,UKK4
30,2011,West Wales and The Valleys,"science, research, engineering and technology professionals",31351.0,UKL1
31,2011,East Wales,"science, research, engineering and technology professionals",32910.0,UKL2
32,2011,North Eastern Scotland,"science, research, engineering and technology professionals",41813.0,UKM5
33,2011,Eastern Scotland,"science, research, engineering and technology professionals",34399.0,UKM7
34,2011,South Western Scotland,"science, research, engineering and technology professionals",36492.0,
35,2011,Highlands and Islands,"science, research, engineering and technology professionals",,UKM6
36,2011,Northern Ireland,"science, research, engineering and technology professionals",33374.0,UKN0
37,2012,Tees Valley and Durham,"science, research, engineering and technology professionals",32985.0,UKC1
38,2012,Northumberland and Tyne and Wear,"science, research, engineering and technology professionals",35699.0,UKC2
39,2012,Cumbria,"science, research, engineering and technology professionals",41018.0,UKD1
40,2012,Greater Manchester,"science, research, engineering and technology professionals",34999.0,UKD3
41,2012,Lancashire,"science, research, engineering and technology professionals",34643.0,UKD4
42,2012,Cheshire,"science, research, engineering and technology professionals",39165.0,UKD6
43,2012,Merseyside,"science, research, engineering and technology professionals",36387.0,UKD7
44,2012,East Yorkshire and Northern Lincolnshire,"science, research, engineering and technology professionals",35849.0,UKE1
45,2012,North Yorkshire,"science, research, engineering and technology professionals",30801.0,UKE2
46,2012,South Yorkshire,"science, research, engineering and technology professionals",36078.0,UKE3
47,2012,West Yorkshire,"science, research, engineering and technology professionals",34315.0,UKE4
48,2012,Derbyshire and Nottinghamshire,"science, research, engineering and technology professionals",36940.0,UKF1
49,2012,"Leicestershire, Rutland and Northamptonshire","science, research, engineering and technology professionals",35844.0,UKF2
50,2012,Lincolnshire,"science, research, engineering and technology professionals",33180.0,UKF3
51,2012,"Herefordshire, Worcestershire and Warwickshire","science, research, engineering and technology professionals",36437.0,UKG1
52,2012,Shropshire and Staffordshire,"science, research, engineering and technology professionals",33616.0,UKG2
53,2012,West Midlands,"science, research, engineering and technology professionals",36793.0,UKG3
54,2012,East Anglia,"science, research, engineering and technology professionals",37472.0,UKH1
55,2012,Bedfordshire and Hertfordshire,"science, research, engineering and technology professionals",41965.0,UKH2
56,2012,Essex,"science, research, engineering and technology professionals",41592.0,UKH3
57,2012,Inner London,"science, research, engineering and technology professionals",46046.0,
58,2012,Outer London,"science, research, engineering and technology professionals",40678.0,
59,2012,"Berkshire, Buckinghamshire and Oxfordshire","science, research, engineering and technology professionals",42461.0,UKJ1
60,2012,"Surrey, East and West Sussex","science, research, engineering and technology professionals",40907.0,UKJ2
61,2012,Hampshire and Isle of Wight,"science, research, engineering and technology professionals",40178.0,UKJ3
62,2012,Kent,"science, research, engineering and technology professionals",36460.0,UKJ4
63,2012,"Gloucestershire, Wiltshire and Bath/Bristol area","science, research, engineering and technology professionals",38329.0,UKK1
64,2012,Dorset and Somerset,"science, research, engineering and technology professionals",35696.0,UKK2
65,2012,Cornwall and Isles of Scilly,"science, research, engineering and technology professionals",34805.0,UKK3
66,2012,Devon,"science, research, engineering and technology professionals",,UKK4
67,2012,West Wales and The Valleys,"science, research, engineering and technology professionals",32277.0,UKL1
68,2012,East Wales,"science, research, engineering and technology professionals",33909.0,UKL2
69,2012,Eastern Scotland,"science, research, engineering and technology professionals",35679.0,UKM7
70,2012,South Western Scotland,"science, research, engineering and technology professionals",37417.0,
71,2012,North Eastern Scotland,"science, research, engineering and technology professionals",41245.0,UKM5
72,2012,Highlands and Islands,"science, research, engineering and technology professionals",30497.0,UKM6
73,2012,Northern Ireland,"science, research, engineering and technology professionals",34411.0,UKN0
74,2013,Tees Valley and Durham,"science, research, engineering and technology professionals",35332.0,UKC1
75,2013,Northumberland and Tyne and Wear,"science, research, engineering and technology professionals",33182.0,UKC2
76,2013,Cumbria,"science, research, engineering and technology professionals",35753.0,UKD1
77,2013,Greater Manchester,"science, research, engineering and technology professionals",36282.0,UKD3
78,2013,Lancashire,"science, research, engineering and technology professionals",33985.0,UKD4
79,2013,Cheshire,"science, research, engineering and technology professionals",38473.0,UKD6
80,2013,Merseyside,"science, research, engineering and technology professionals",33405.0,UKD7
81,2013,East Yorkshire and Northern Lincolnshire,"science, research, engineering and technology professionals",36178.0,UKE1
82,2013,North Yorkshire,"science, research, engineering and technology professionals",32169.0,UKE2
83,2013,South Yorkshire,"science, research, engineering and technology professionals",37256.0,UKE3
84,2013,West Yorkshire,"science, research, engineering and technology professionals",36741.0,UKE4
85,2013,Derbyshire and Nottinghamshire,"science, research, engineering and technology professionals",37937.0,UKF1
86,2013,"Leicestershire, Rutland and Northamptonshire","science, research, engineering and technology professionals",35477.0,UKF2
87,2013,Lincolnshire,"science, research, engineering and technology professionals",32128.0,UKF3
88,2013,"Herefordshire, Worcestershire and Warwickshire","science, research, engineering and technology professionals",36110.0,UKG1
89,2013,Shropshire and Staffordshire,"science, research, engineering and technology professionals",35794.0,UKG2
90,2013,West Midlands,"science, research, engineering and technology professionals",38234.0,UKG3
91,2013,East Anglia,"science, research, engineering and technology professionals",40150.0,UKH1
92,2013,Bedfordshire and Hertfordshire,"science, research, engineering and technology professionals",40963.0,UKH2
93,2013,Essex,"science, research, engineering and technology professionals",43561.0,UKH3
94,2013,Inner London,"science, research, engineering and technology professionals",46199.0,
95,2013,Outer London,"science, research, engineering and technology professionals",41384.0,
96,2013,"Berkshire, Buckinghamshire and Oxfordshire","science, research, engineering and technology professionals",42323.0,UKJ1
97,2013,"Surrey, East and West Sussex","science, research, engineering and technology professionals",42227.0,UKJ2
98,2013,Hampshire and Isle of Wight,"science, research, engineering and technology professionals",40682.0,UKJ3
99,2013,Kent,"science, research, engineering and technology professionals",38079.0,UKJ4
100,2013,"Gloucestershire, Wiltshire and Bath/Bristol area","science, research, engineering and technology professionals",37738.0,UKK1
101,2013,Dorset and Somerset,"science, research, engineering and technology professionals",35650.0,UKK2
102,2013,Cornwall and Isles of Scilly,"science, research, engineering and technology professionals",28232.0,UKK3
103,2013,Devon,"science, research, engineering and technology professionals",33997.0,UKK4
104,2013,West Wales and The Valleys,"science, research, engineering and technology professionals",34667.0,UKL1
105,2013,East Wales,"science, research, engineering and technology professionals",35025.0,UKL2
106,2013,Eastern Scotland,"science, research, engineering and technology professionals",36555.0,UKM7
107,2013,South Western Scotland,"science, research, engineering and technology professionals",38164.0,
108,2013,North Eastern Scotland,"science, research, engineering and technology professionals",49267.0,UKM5
109,2013,Highlands and Islands,"science, research, engineering and technology professionals",31859.0,UKM6
110,2013,Northern Ireland,"science, research, engineering and technology professionals",35743.0,UKN0
111,2014,Tees Valley and Durham,"science, research, engineering and technology professionals",36330.0,UKC1
112,2014,Northumberland and Tyne and Wear,"science, research, engineering and technology professionals",36577.0,UKC2
113,2014,Cumbria,"science, research, engineering and technology professionals",41032.0,UKD1
114,2014,Greater Manchester,"science, research, engineering and technology professionals",36780.0,UKD3
115,2014,Lancashire,"science, research, engineering and technology professionals",35736.0,UKD4
116,2014,Cheshire,"science, research, engineering and technology professionals",37729.0,UKD6
117,2014,Merseyside,"science, research, engineering and technology professionals",34155.0,UKD7
118,2014,East Yorkshire and Northern Lincolnshire,"science, research, engineering and technology professionals",35961.0,UKE1
119,2014,North Yorkshire,"science, research, engineering and technology professionals",32927.0,UKE2
120,2014,South Yorkshire,"science, research, engineering and technology professionals",35744.0,UKE3
121,2014,West Yorkshire,"science, research, engineering and technology professionals",36580.0,UKE4
122,2014,Derbyshire and Nottinghamshire,"science, research, engineering and technology professionals",38670.0,UKF1
123,2014,"Leicestershire, Rutland and Northamptonshire","science, research, engineering and technology professionals",35701.0,UKF2
124,2014,Lincolnshire,"science, research, engineering and technology professionals",37326.0,UKF3
125,2014,"Herefordshire, Worcestershire and Warwickshire","science, research, engineering and technology professionals",38126.0,UKG1
126,2014,Shropshire and Staffordshire,"science, research, engineering and technology professionals",,UKG2
127,2014,West Midlands,"science, research, engineering and technology professionals",38219.0,UKG3
128,2014,East Anglia,"science, research, engineering and technology professionals",40418.0,UKH1
129,2014,Bedfordshire and Hertfordshire,"science, research, engineering and technology professionals",41488.0,UKH2
130,2014,Essex,"science, research, engineering and technology professionals",45710.0,UKH3
131,2014,Inner London - West,"science, research, engineering and technology professionals",47000.0,UKI3
132,2014,Inner London - East,"science, research, engineering and technology professionals",46607.0,UKI4
133,2014,Outer London - East and North East,"science, research, engineering and technology professionals",41831.0,UKI5
134,2014,Outer London - South,"science, research, engineering and technology professionals",40252.0,UKI6
135,2014,Outer London - West and North West,"science, research, engineering and technology professionals",43319.0,UKI7
136,2014,"Berkshire, Buckinghamshire and Oxfordshire","science, research, engineering and technology professionals",41988.0,UKJ1
137,2014,"Surrey, East and West Sussex","science, research, engineering and technology professionals",41728.0,UKJ2
138,2014,Hampshire and Isle of Wight,"science, research, engineering and technology professionals",40692.0,UKJ3
139,2014,Kent,"science, research, engineering and technology professionals",37116.0,UKJ4
140,2014,"Gloucestershire, Wiltshire and Bath/Bristol area","science, research, engineering and technology professionals",38950.0,UKK1
141,2014,Dorset and Somerset,"science, research, engineering and technology professionals",38636.0,UKK2
142,2014,Cornwall and Isles of Scilly,"science, research, engineering and technology professionals",25761.0,UKK3
143,2014,Devon,"science, research, engineering and technology professionals",34512.0,UKK4
144,2014,West Wales,"science, research, engineering and technology professionals",35980.0,
145,2014,East Wales,"science, research, engineering and technology professionals",36293.0,UKL2
146,2014,Eastern Scotland,"science, research, engineering and technology professionals",40104.0,UKM7
147,2014,South Western Scotland,"science, research, engineering and technology professionals",38177.0,
148,2014,North Eastern Scotland,"science, research, engineering and technology professionals",46354.0,UKM5
149,2014,Highlands and Islands,"science, research, engineering and technology professionals",34048.0,UKM6
150,2014,Northern Ireland,"science, research, engineering and technology professionals",,UKN0
151,2015,Tees Valley and Durham,"science, research, engineering and technology professionals",35430.0,UKC1
152,2015,Northumberland and Tyne and Wear,"science, research, engineering and technology professionals",38623.0,UKC2
153,2015,Cumbria,"science, research, engineering and technology professionals",46607.0,UKD1
154,2015,Greater Manchester,"science, research, engineering and technology professionals",36353.0,UKD3
155,2015,Lancashire,"science, research, engineering and technology professionals",36707.0,UKD4
156,2015,Cheshire,"science, research, engineering and technology professionals",36895.0,UKD6
157,2015,Merseyside,"science, research, engineering and technology professionals",40010.0,UKD7
158,2015,East Yorkshire and Northern Lincolnshire,"science, research, engineering and technology professionals",36943.0,UKE1
159,2015,North Yorkshire,"science, research, engineering and technology professionals",34055.0,UKE2
160,2015,South Yorkshire,"science, research, engineering and technology professionals",38031.0,UKE3
161,2015,West Yorkshire,"science, research, engineering and technology professionals",38646.0,UKE4
162,2015,Derbyshire and Nottinghamshire,"science, research, engineering and technology professionals",37554.0,UKF1
163,2015,"Leicestershire, Rutland and Northamptonshire","science, research, engineering and technology professionals",37016.0,UKF2
164,2015,Lincolnshire,"science, research, engineering and technology professionals",36932.0,UKF3
165,2015,"Herefordshire, Worcestershire and Warwickshire","science, research, engineering and technology professionals",39529.0,UKG1
166,2015,Shropshire and Staffordshire,"science, research, engineering and technology professionals",35880.0,UKG2
167,2015,West Midlands,"science, research, engineering and technology professionals",39281.0,UKG3
168,2015,East Anglia,"science, research, engineering and technology professionals",39969.0,UKH1
169,2015,Bedfordshire and Hertfordshire,"science, research, engineering and technology professionals",41134.0,UKH2
170,2015,Essex,"science, research, engineering and technology professionals",,UKH3
171,2015,Inner London - West,"science, research, engineering and technology professionals",49589.0,UKI3
172,2015,Inner London - East,"science, research, engineering and technology professionals",46361.0,UKI4
173,2015,Outer London - East and North East,"science, research, engineering and technology professionals",41358.0,UKI5
174,2015,Outer London - South,"science, research, engineering and technology professionals",40240.0,UKI6
175,2015,Outer London - West and North West,"science, research, engineering and technology professionals",43982.0,UKI7
176,2015,"Berkshire, Buckinghamshire and Oxfordshire","science, research, engineering and technology professionals",42341.0,UKJ1
177,2015,"Surrey, East and West Sussex","science, research, engineering and technology professionals",42061.0,UKJ2
178,2015,Hampshire and Isle of Wight,"science, research, engineering and technology professionals",41252.0,UKJ3
179,2015,Kent,"science, research, engineering and technology professionals",36269.0,UKJ4
180,2015,"Gloucestershire, Wiltshire and Bath/Bristol area","science, research, engineering and technology professionals",39122.0,UKK1
181,2015,Dorset and Somerset,"science, research, engineering and technology professionals",37596.0,UKK2
182,2015,Cornwall and Isles of Scilly,"science, research, engineering and technology professionals",29686.0,UKK3
183,2015,Devon,"science, research, engineering and technology professionals",34735.0,UKK4
184,2015,West Wales,"science, research, engineering and technology professionals",35694.0,
185,2015,East Wales,"science, research, engineering and technology professionals",37151.0,UKL2
186,2015,Eastern Scotland,"science, research, engineering and technology professionals",40844.0,UKM7
187,2015,South Western Scotland,"science, research, engineering and technology professionals",38843.0,
188,2015,North Eastern Scotland,"science, research, engineering and technology professionals",,UKM5
189,2015,Highlands and Islands,"science, research, engineering and technology professionals",34346.0,UKM6
190,2015,Northern Ireland,"science, research, engineering and technology professionals",36509.0,UKN0
191,2016,Tees Valley and Durham,"science, research, engineering and technology professionals",35971.0,UKC1
192,2016,Northumberland and Tyne and Wear,"science, research, engineering and technology professionals",,UKC2
193,2016,Cumbria,"science, research, engineering and technology professionals",41847.0,UKD1
194,2016,Greater Manchester,"science, research, engineering and technology professionals",35948.0,UKD3
195,2016,Lancashire,"science, research, engineering and technology professionals",36830.0,UKD4
196,2016,Cheshire,"science, research, engineering and technology professionals",38357.0,UKD6
197,2016,Merseyside,"science, research, engineering and technology professionals",39993.0,UKD7
198,2016,East Yorkshire and Northern Lincolnshire,"science, research, engineering and technology professionals",37703.0,UKE1
199,2016,North Yorkshire,"science, research, engineering and technology professionals",34739.0,UKE2
200,2016,South Yorkshire,"science, research, engineering and technology professionals",39321.0,UKE3
201,2016,West Yorkshire,"science, research, engineering and technology professionals",38148.0,UKE4
202,2016,Derbyshire and Nottinghamshire,"science, research, engineering and technology professionals",39305.0,UKF1
203,2016,"Leicestershire, Rutland and Northamptonshire","science, research, engineering and technology professionals",32473.0,UKF2
204,2016,Lincolnshire,"science, research, engineering and technology professionals",35256.0,UKF3
205,2016,"Herefordshire, Worcestershire and Warwickshire","science, research, engineering and technology professionals",41159.0,UKG1
206,2016,Shropshire and Staffordshire,"science, research, engineering and technology professionals",36087.0,UKG2
207,2016,West Midlands,"science, research, engineering and technology professionals",39632.0,UKG3
208,2016,East Anglia,"science, research, engineering and technology professionals",40879.0,UKH1
209,2016,Bedfordshire and Hertfordshire,"science, research, engineering and technology professionals",41812.0,UKH2
210,2016,Essex,"science, research, engineering and technology professionals",45181.0,UKH3
211,2016,Inner London - West,"science, research, engineering and technology professionals",51720.0,UKI3
212,2016,Inner London - East,"science, research, engineering and technology professionals",47645.0,UKI4
213,2016,Outer London - East and North East,"science, research, engineering and technology professionals",43152.0,UKI5
214,2016,Outer London - South,"science, research, engineering and technology professionals",38474.0,UKI6
215,2016,Outer London - West and North West,"science, research, engineering and technology professionals",43958.0,UKI7
216,2016,"Berkshire, Buckinghamshire and Oxfordshire","science, research, engineering and technology professionals",43454.0,UKJ1
217,2016,"Surrey, East and West Sussex","science, research, engineering and technology professionals",42763.0,UKJ2
218,2016,Hampshire and Isle of Wight,"science, research, engineering and technology professionals",44178.0,UKJ3
219,2016,Kent,"science, research, engineering and technology professionals",36165.0,UKJ4
220,2016,"Gloucestershire, Wiltshire and Bath/Bristol area","science, research, engineering and technology professionals",40419.0,UKK1
221,2016,Dorset and Somerset,"science, research, engineering and technology professionals",39830.0,UKK2
222,2016,Cornwall and Isles of Scilly,"science, research, engineering and technology professionals",29254.0,UKK3
223,2016,Devon,"science, research, engineering and technology professionals",37251.0,UKK4
224,2016,West Wales,"science, research, engineering and technology professionals",34432.0,
225,2016,East Wales,"science, research, engineering and technology professionals",38261.0,UKL2
226,2016,Eastern Scotland,"science, research, engineering and technology professionals",39894.0,UKM7
227,2016,South Western Scotland,"science, research, engineering and technology professionals",38095.0,
228,2016,North Eastern Scotland,"science, research, engineering and technology professionals",48686.0,UKM5
229,2016,Highlands and Islands,"science, research, engineering and technology professionals",35153.0,UKM6
230,2016,Northern Ireland,"science, research, engineering and technology professionals",36294.0,UKN0
231,2017,Tees Valley and Durham,"science, research, engineering and technology professionals",39128.0,UKC1
232,2017,Northumberland and Tyne and Wear,"science, research, engineering and technology professionals",38819.0,UKC2
233,2017,Cumbria,"science, research, engineering and technology professionals",43574.0,UKD1
234,2017,Greater Manchester,"science, research, engineering and technology professionals",37932.0,UKD3
235,2017,Lancashire,"science, research, engineering and technology professionals",37145.0,UKD4
236,2017,Cheshire,"science, research, engineering and technology professionals",39168.0,UKD6
237,2017,Merseyside,"science, research, engineering and technology professionals",39453.0,UKD7
238,2017,East Yorkshire and Northern Lincolnshire,"science, research, engineering and technology professionals",38061.0,UKE1
239,2017,North Yorkshire,"science, research, engineering and technology professionals",35377.0,UKE2
240,2017,South Yorkshire,"science, research, engineering and technology professionals",38719.0,UKE3
241,2017,West Yorkshire,"science, research, engineering and technology professionals",38808.0,UKE4
242,2017,Derbyshire and Nottinghamshire,"science, research, engineering and technology professionals",39931.0,UKF1
243,2017,"Leicestershire, Rutland and Northamptonshire","science, research, engineering and technology professionals",38428.0,UKF2
244,2017,Lincolnshire,"science, research, engineering and technology professionals",37540.0,UKF3
245,2017,"Herefordshire, Worcestershire and Warwickshire","science, research, engineering and technology professionals",42125.0,UKG1
246,2017,Shropshire and Staffordshire,"science, research, engineering and technology professionals",36348.0,UKG2
247,2017,West Midlands,"science, research, engineering and technology professionals",42550.0,UKG3
248,2017,East Anglia,"science, research, engineering and technology professionals",40963.0,UKH1
249,2017,Bedfordshire and Hertfordshire,"science, research, engineering and technology professionals",44049.0,UKH2
250,2017,Essex,"science, research, engineering and technology professionals",41812.0,UKH3
251,2017,Inner London - West,"science, research, engineering and technology professionals",52026.0,UKI3
252,2017,Inner London - East,"science, research, engineering and technology professionals",47560.0,UKI4
253,2017,Outer London - East and North East,"science, research, engineering and technology professionals",46229.0,UKI5
254,2017,Outer London - South,"science, research, engineering and technology professionals",39310.0,UKI6
255,2017,Outer London - West and North West,"science, research, engineering and technology professionals",43685.0,UKI7
256,2017,"Berkshire, Buckinghamshire and Oxfordshire","science, research, engineering and technology professionals",44123.0,UKJ1
257,2017,"Surrey, East and West Sussex","science, research, engineering and technology professionals",44005.0,UKJ2
258,2017,Hampshire and Isle of Wight,"science, research, engineering and technology professionals",42268.0,UKJ3
259,2017,Kent,"science, research, engineering and technology professionals",38425.0,UKJ4
260,2017,"Gloucestershire, Wiltshire and Bath/Bristol area","science, research, engineering and technology professionals",42013.0,UKK1
261,2017,Dorset and Somerset,"science, research, engineering and technology professionals",40000.0,UKK2
262,2017,Cornwall and Isles of Scilly,"science, research, engineering and technology professionals",26678.0,UKK3
263,2017,Devon,"science, research, engineering and technology professionals",34363.0,UKK4
264,2017,West Wales and The Valleys,"science, research, engineering and technology professionals",36863.0,UKL1
265,2017,East Wales,"science, research, engineering and technology professionals",38618.0,UKL2
266,2017,North Eastern Scotland,"science, research, engineering and technology professionals",51937.0,UKM5
267,2017,Highlands and Islands,"science, research, engineering and technology professionals",36710.0,UKM6
268,2017,Eastern Scotland,"science, research, engineering and technology professionals",38952.0,UKM7
269,2017,West Central Scotland,"science, research, engineering and technology professionals",37511.0,UKM8
270,2017,Southern Scotland,"science, research, engineering and technology professionals",40704.0,UKM9
271,2017,Northern Ireland,"science, research, engineering and technology professionals",36792.0,UKN0
