year,nuts_id,nuts_year_spec,total_gtr_projects_stem
2015,UKF2,2013,18100968
2016,UKF2,2016,32647297
2017,UKF2,2016,22949506
2018,UKF2,2016,34644515
2010,UKF3,2010,1612704
2011,UKF3,2010,1375585
2012,UKF3,2010,809164
2013,UKF3,2013,1939536
2014,UKF3,2013,930080
2015,UKF3,2013,834760
2016,UKF3,2016,2470937
2017,UKF3,2016,2854235
2018,UKF3,2016,8903738
2010,UKG1,2010,9433247
2011,UKG1,2010,1856851
2012,UKG1,2010,4309371
2013,UKG1,2013,3489679
2014,UKG1,2013,3615791
2015,UKG1,2013,23377193
2016,UKG1,2016,2826692
2017,UKG1,2016,31650590
2018,UKG1,2016,14103358
2010,UKG2,2010,918828
2011,UKG2,2010,1719385
2012,UKG2,2010,2527478
2013,UKG2,2013,1622077
2014,UKG2,2013,13540853
2015,UKG2,2013,7206024
2016,UKG2,2016,705789
2017,UKG2,2016,3456424
2018,UKG2,2016,3222995
2010,UKG3,2010,43081501
2011,UKG3,2010,39519586
2012,UKG3,2010,59038109
2013,UKG3,2013,116272310
2014,UKG3,2013,145246723
2015,UKG3,2013,57373471
2016,UKG3,2016,74120990
2017,UKG3,2016,90667595
2018,UKG3,2016,94592468
2010,UKH1,2010,101260414
2011,UKH1,2010,71898317
2012,UKH1,2010,137545210
2013,UKH1,2013,113168295
2014,UKH1,2013,155398335
2015,UKH1,2013,126330189
2016,UKH1,2016,132679717
2017,UKH1,2016,165164789
2018,UKH1,2016,186811388
2010,UKH2,2010,17799868
2011,UKH2,2010,18187051
2012,UKH2,2010,61646677
2013,UKH2,2013,19269223
2014,UKH2,2013,21585705
2015,UKH2,2013,20275644
2016,UKH2,2016,18507717
2017,UKH2,2016,40442336
2018,UKH2,2016,29144989
2010,UKH3,2010,2655866
2011,UKH3,2010,1125111
2012,UKH3,2010,29098787
2013,UKH3,2013,1414127
2014,UKH3,2013,987923
2015,UKH3,2013,5963543
2016,UKH3,2016,11983654
2017,UKH3,2016,43436706
2018,UKH3,2016,22881273
2010,UKI1,2010,154446931
2011,UKI1,2010,148228429
2012,UKI1,2010,205742159
2010,UKI2,2010,8830914
2011,UKI2,2010,10267491
2012,UKI2,2010,4039601
2013,UKI3,2013,224105716
2014,UKI3,2013,276554527
2015,UKI3,2013,205905211
2016,UKI3,2016,292610132
2017,UKI3,2016,214422232
2018,UKI3,2016,218821291
2013,UKI4,2013,20306366
2014,UKI4,2013,36449011
2015,UKI4,2013,38303784
2016,UKI4,2016,24205737
2017,UKI4,2016,44790469
2018,UKI4,2016,43869844
2013,UKI5,2013,1412718
2014,UKI5,2013,407335
2015,UKI5,2013,825436
2016,UKI5,2016,722476
2017,UKI5,2016,2482025
2018,UKI5,2016,5036058
2013,UKI6,2013,380704
2014,UKI6,2013,592085
2015,UKI6,2013,531627
2016,UKI6,2016,2043813
2017,UKI6,2016,1662902
2018,UKI6,2016,1326381
2013,UKI7,2013,15372453
2014,UKI7,2013,11819763
2015,UKI7,2013,18573813
2016,UKI7,2016,7682022
2017,UKI7,2016,12633652
2018,UKI7,2016,7628876
2010,UKJ1,2010,257274932
2011,UKJ1,2010,88917774
2012,UKJ1,2010,62797945
2013,UKJ1,2013,140092049
2014,UKJ1,2013,168828746
2015,UKJ1,2013,114124897
2016,UKJ1,2016,132172647
2017,UKJ1,2016,133561734
2018,UKJ1,2016,170411398
2010,UKJ2,2010,46279482
2011,UKJ2,2010,15899626
2012,UKJ2,2010,44198217
2013,UKJ2,2013,25823799
2014,UKJ2,2013,39539048
2015,UKJ2,2013,41426418
2016,UKJ2,2016,56990649
2017,UKJ2,2016,54032485
2018,UKJ2,2016,45454224
2010,UKJ3,2010,117307396
2011,UKJ3,2010,34990743
2012,UKJ3,2010,50266300
2013,UKJ3,2013,44577160
2014,UKJ3,2013,67174479
2015,UKJ3,2013,56079858
2016,UKJ3,2016,72498175
2017,UKJ3,2016,81389263
2018,UKJ3,2016,90809078
2010,UKJ4,2010,2915560
2011,UKJ4,2010,2313666
2012,UKJ4,2010,3394811
2013,UKJ4,2013,6181707
2014,UKJ4,2013,11323707
2015,UKJ4,2013,9731842
2016,UKJ4,2016,5266431
2017,UKJ4,2016,11860413
2018,UKJ4,2016,8343496
2010,UKK1,2010,50175043
2011,UKK1,2010,49210754
2012,UKK1,2010,61521669
2013,UKK1,2013,66557160
2014,UKK1,2013,183725605
2015,UKK1,2013,66921758
2016,UKK1,2016,109598042
2017,UKK1,2016,169479024
2018,UKK1,2016,86657356
2010,UKK2,2010,17508763
2011,UKK2,2010,1363193
2012,UKK2,2010,796266
2013,UKK2,2013,4517496
2014,UKK2,2013,1599253
2015,UKK2,2013,6268967
2016,UKK2,2016,1802153
2017,UKK2,2016,8648231
2018,UKK2,2016,1492422
2010,UKK3,2010,124130
2011,UKK3,2010,2532399
2012,UKK3,2010,245738
2013,UKK3,2013,1256878
2014,UKK3,2013,768074
2015,UKK3,2013,663499
2016,UKK3,2016,1407674
2017,UKK3,2016,733861
2010,UKK4,2010,16682782
2011,UKK4,2010,9728509
2012,UKK4,2010,23555707
2013,UKK4,2013,29565370
2014,UKK4,2013,30198007
2015,UKK4,2013,15652874
2016,UKK4,2016,28281388
2017,UKK4,2016,44658202
2018,UKK4,2016,35672469
2010,UKL1,2010,7587878
2011,UKL1,2010,14116277
2012,UKL1,2010,29726550
2013,UKL1,2013,13173658
2014,UKL1,2013,14708897
2015,UKL1,2013,19215498
2016,UKL1,2016,10596029
2017,UKL1,2016,21375366
2018,UKL1,2016,58780593
2010,UKL2,2010,340930
2011,UKL2,2010,573780
2012,UKL2,2010,829528
2013,UKL2,2013,1862074
2014,UKL2,2013,2273265
2015,UKL2,2013,2941617
2016,UKL2,2016,2175346
2017,UKL2,2016,5930438
2018,UKL2,2016,5919618
2010,UKM2,2010,55435747
2011,UKM2,2010,64259185
2012,UKM2,2010,113820343
2013,UKM2,2013,89348791
2014,UKM2,2013,102286670
2015,UKM2,2013,76811463
2010,UKM3,2010,55229643
2011,UKM3,2010,47787375
2012,UKM3,2010,41349719
2013,UKM3,2013,56597529
2014,UKM3,2013,84819890
2015,UKM3,2013,34215037
2010,UKM5,2010,6014722
2011,UKM5,2010,2020517
2012,UKM5,2010,9164685
2013,UKM5,2013,8361084
2014,UKM5,2013,2940120
2015,UKM5,2013,8380305
2016,UKM5,2016,9477249
2017,UKM5,2016,5074572
2018,UKM5,2016,4734586
2011,UKM6,2010,509027
2012,UKM6,2010,18265
2013,UKM6,2013,300169
2014,UKM6,2013,236016
2015,UKM6,2013,358321
2016,UKM6,2016,69948
2017,UKM6,2016,0
2016,UKM7,2016,84749021
2017,UKM7,2016,85908439
2018,UKM7,2016,101451054
2016,UKM8,2016,50628966
2017,UKM8,2016,74362107
2018,UKM8,2016,57900348
2016,UKM9,2016,29713
2017,UKM9,2016,2120268
2018,UKM9,2016,1163225
2010,UKN0,2010,8560919
2011,UKN0,2010,7953244
2012,UKN0,2010,10507149
2013,UKN0,2013,16371436
2014,UKN0,2013,11993163
2015,UKN0,2013,13946559
2016,UKN0,2016,13591505
2017,UKN0,2016,18270473
2018,UKN0,2016,12753211
