year,nuts_id,nuts_year_spec,gbp_venture_capital_received
2018,UKE2,2016,2000000
2019,UKE2,2016,6050000
2010,UKE3,2010,3500000
2011,UKE3,2010,28000000
2012,UKE3,2010,8735000
2013,UKE3,2013,20414000
2014,UKE3,2013,6900000
2015,UKE3,2013,2636000
2016,UKE3,2016,25648955
2017,UKE3,2016,15410000
2018,UKE3,2016,15600000
2019,UKE3,2016,1300000
2010,UKE4,2010,1000000
2011,UKE4,2010,2000000
2012,UKE4,2010,12804500
2013,UKE4,2013,7147270
2014,UKE4,2013,29000000
2015,UKE4,2013,10500000
2016,UKE4,2016,21595000
2017,UKE4,2016,31100000
2018,UKE4,2016,9500000
2019,UKE4,2016,21000000
2010,UKF1,2010,869
2011,UKF1,2010,0
2012,UKF1,2010,6300000
2013,UKF1,2013,867866
2014,UKF1,2013,9361613
2015,UKF1,2013,27453998
2016,UKF1,2016,17400000
2017,UKF1,2016,3700000
2018,UKF1,2016,16499000
2019,UKF1,2016,1000000
2010,UKF2,2010,6353400
2011,UKF2,2010,1400000
2012,UKF2,2010,5000000
2013,UKF2,2013,2000000
2014,UKF2,2013,2800000
2015,UKF2,2013,29200000
2016,UKF2,2016,18470000
2017,UKF2,2016,14500000
2018,UKF2,2016,15738081
2019,UKF2,2016,0
2011,UKF3,2010,0
2012,UKF3,2010,10000000
2013,UKF3,2013,0
2014,UKF3,2013,1000000
2015,UKF3,2013,0
2016,UKF3,2016,0
2017,UKF3,2016,0
2018,UKF3,2016,5000000
2019,UKF3,2016,0
2010,UKG1,2010,1860000
2011,UKG1,2010,1881000
2012,UKG1,2010,210000
2013,UKG1,2013,9700000
2014,UKG1,2013,32771500
2015,UKG1,2013,2450000
2016,UKG1,2016,4275236
2017,UKG1,2016,4298248
2018,UKG1,2016,27056650
2019,UKG1,2016,3500000
2010,UKG2,2010,1350000
2011,UKG2,2010,510000
2012,UKG2,2010,0
2013,UKG2,2013,1500000
2014,UKG2,2013,100000
2015,UKG2,2013,21745800
2016,UKG2,2016,4769600
2017,UKG2,2016,1400000
2018,UKG2,2016,0
2019,UKG2,2016,39000000
2010,UKG3,2010,10863000
2011,UKG3,2010,12125000
2012,UKG3,2010,30270000
2013,UKG3,2013,5460000
2014,UKG3,2013,9240500
2015,UKG3,2013,89582455
2016,UKG3,2016,15950000
2017,UKG3,2016,23714150
2018,UKG3,2016,127340000
2019,UKG3,2016,14752200
2010,UKH1,2010,44038092
2011,UKH1,2010,35562000
2012,UKH1,2010,26044791
2013,UKH1,2013,73361292
2014,UKH1,2013,52840000
2015,UKH1,2013,22841750
2016,UKH1,2016,207466133
2017,UKH1,2016,102334375
2018,UKH1,2016,259068476
2019,UKH1,2016,113195370
2010,UKH2,2010,1255050
2011,UKH2,2010,2650000
2012,UKH2,2010,13500000
2013,UKH2,2013,2000000
2014,UKH2,2013,8206835
2015,UKH2,2013,13300000
2016,UKH2,2016,3900000
2017,UKH2,2016,7100000
2018,UKH2,2016,41973380
2019,UKH2,2016,0
2010,UKH3,2010,11850000
2011,UKH3,2010,0
2012,UKH3,2010,22000000
2013,UKH3,2013,3100000
2014,UKH3,2013,7300000
2015,UKH3,2013,25000000
2016,UKH3,2016,22000000
2017,UKH3,2016,25505000
2018,UKH3,2016,400000
2019,UKH3,2016,0
2010,UKI1,2010,197217715
2011,UKI1,2010,302691195
2012,UKI1,2010,278037499
2010,UKI2,2010,9200000
2011,UKI2,2010,0
2012,UKI2,2010,607000
2013,UKI3,2013,267037439
2014,UKI3,2013,378688379
2015,UKI3,2013,557375833
2016,UKI3,2016,820853990
2017,UKI3,2016,1548728022
2018,UKI3,2016,1512047850
2019,UKI3,2016,993956479
2013,UKI4,2013,0
2014,UKI4,2013,2000000
2015,UKI4,2013,0
2016,UKI4,2016,5800000
2017,UKI4,2016,1800000
2018,UKI4,2016,2000000
2019,UKI4,2016,6005972
2013,UKI5,2013,0
2014,UKI5,2013,0
2015,UKI5,2013,0
2016,UKI5,2016,0
2017,UKI5,2016,0
2018,UKI5,2016,3400000
2013,UKI6,2013,0
2014,UKI6,2013,57800000
2015,UKI6,2013,1855250
2016,UKI6,2016,16000000
2017,UKI6,2016,16000000
2018,UKI6,2016,6000000
2019,UKI6,2016,0
2013,UKI7,2013,10800000
2014,UKI7,2013,3050000
2015,UKI7,2013,29150000
2016,UKI7,2016,26200000
2017,UKI7,2016,5000000
2018,UKI7,2016,4411900
2019,UKI7,2016,0
2010,UKJ1,2010,30265000
2011,UKJ1,2010,52865102
2012,UKJ1,2010,109281899
2013,UKJ1,2013,99090000
2014,UKJ1,2013,72848790
2015,UKJ1,2013,149362450
2016,UKJ1,2016,185538862
2017,UKJ1,2016,164968675
2018,UKJ1,2016,437780000
2019,UKJ1,2016,118951500
2010,UKJ2,2010,8600000
2011,UKJ2,2010,11881810
2012,UKJ2,2010,13750000
2013,UKJ2,2013,40150000
2014,UKJ2,2013,22300000
2015,UKJ2,2013,52735788
2016,UKJ2,2016,31900000
2017,UKJ2,2016,23800000
2018,UKJ2,2016,83701957
2019,UKJ2,2016,3200000
2010,UKJ3,2010,15954295
2011,UKJ3,2010,13750000
2012,UKJ3,2010,12449875
2013,UKJ3,2013,12713950
2014,UKJ3,2013,14467500
2015,UKJ3,2013,11578502
2016,UKJ3,2016,30730000
2017,UKJ3,2016,20200000
2018,UKJ3,2016,39035923
2019,UKJ3,2016,6000000
2010,UKJ4,2010,7915000
2011,UKJ4,2010,0
2012,UKJ4,2010,1000000
2013,UKJ4,2013,0
2014,UKJ4,2013,13953819
2015,UKJ4,2013,11500000
2016,UKJ4,2016,8830700
2017,UKJ4,2016,14420000
2018,UKJ4,2016,4266200
2019,UKJ4,2016,26589300
2010,UKK1,2010,2000000
2011,UKK1,2010,26900000
2012,UKK1,2010,5150000
2013,UKK1,2013,14819500
2014,UKK1,2013,43581200
2015,UKK1,2013,28569200
2016,UKK1,2016,17214550
2017,UKK1,2016,121030000
2018,UKK1,2016,107660000
2019,UKK1,2016,23845000
2010,UKK2,2010,0
2011,UKK2,2010,2250000
2012,UKK2,2010,0
2013,UKK2,2013,0
2014,UKK2,2013,0
2015,UKK2,2013,0
2016,UKK2,2016,0
2017,UKK2,2016,6500000
2018,UKK2,2016,100000
2019,UKK2,2016,0
2010,UKK3,2010,0
2011,UKK3,2010,10000000
2012,UKK3,2010,0
2013,UKK3,2013,0
2014,UKK3,2013,0
2015,UKK3,2013,0
2016,UKK3,2016,0
2017,UKK3,2016,0
2018,UKK3,2016,16000000
2019,UKK3,2016,2450000
2010,UKK4,2010,0
2011,UKK4,2010,0
2012,UKK4,2010,750000
2013,UKK4,2013,5058
2014,UKK4,2013,0
2015,UKK4,2013,10000000
2016,UKK4,2016,6696160
2017,UKK4,2016,2500000
2018,UKK4,2016,11875000
2019,UKK4,2016,0
2010,UKL1,2010,4850000
2011,UKL1,2010,6000000
2012,UKL1,2010,8500000
2013,UKL1,2013,3600000
2014,UKL1,2013,7574100
2015,UKL1,2013,3500000
2016,UKL1,2016,8778995
2017,UKL1,2016,16240000
2018,UKL1,2016,17840000
2019,UKL1,2016,7250000
2010,UKL2,2010,3450000
2011,UKL2,2010,0
2012,UKL2,2010,7095000
2013,UKL2,2013,0
2014,UKL2,2013,14200000
2015,UKL2,2013,10000000
2016,UKL2,2016,0
2017,UKL2,2016,9433800
2018,UKL2,2016,58500000
2019,UKL2,2016,1100000
2010,UKM2,2010,10910000
2011,UKM2,2010,13030000
2012,UKM2,2010,12772000
2013,UKM2,2013,13750000
2014,UKM2,2013,16771067
2015,UKM2,2013,22141507
2010,UKM3,2010,20750000
2011,UKM3,2010,17900000
2012,UKM3,2010,12577500
2013,UKM3,2013,5537383
2014,UKM3,2013,22700000
2015,UKM3,2013,16336037
2010,UKM5,2010,0
2011,UKM5,2010,0
2012,UKM5,2010,17300000
2013,UKM5,2013,7850000
2014,UKM5,2013,5000000
2015,UKM5,2013,5000000
2016,UKM5,2016,3000000
2017,UKM5,2016,0
2018,UKM5,2016,0
2019,UKM5,2016,0
2010,UKM6,2010,0
2011,UKM6,2010,4000000
2013,UKM6,2013,6800000
2015,UKM6,2013,0
2016,UKM6,2016,0
2017,UKM6,2016,0
2018,UKM6,2016,5000000
2016,UKM7,2016,36301500
2017,UKM7,2016,74760000
2018,UKM7,2016,51321630
2019,UKM7,2016,8700000
2016,UKM8,2016,15079847
2017,UKM8,2016,56300000
2018,UKM8,2016,61460000
2019,UKM8,2016,3522000
2016,UKM9,2016,6600000
2017,UKM9,2016,1800000
2018,UKM9,2016,4533898
2019,UKM9,2016,0
2010,UKN0,2010,0
2011,UKN0,2010,0
2012,UKN0,2010,6960000
2013,UKN0,2013,0
2014,UKN0,2013,1989250
2015,UKN0,2013,1732240
2016,UKN0,2016,16600000
2017,UKN0,2016,10300000
2018,UKN0,2016,14382985
2019,UKN0,2016,10100000
