year,nuts_id,nuts_year_spec,total_stem_postgraduates
2016,UKK2,2016,0.0
2017,UKK2,2016,0.0
2018,UKK2,2016,0.0
2014,UKK3,2013,0.0
2015,UKK3,2013,0.0
2016,UKK3,2016,0.0
2017,UKK3,2016,0.0
2018,UKK3,2016,0.0
2014,UKK4,2013,770.0
2015,UKK4,2013,810.0
2016,UKK4,2016,795.0
2017,UKK4,2016,830.0
2018,UKK4,2016,805.0
2014,UKL1,2013,800.0
2015,UKL1,2013,825.0
2016,UKL1,2016,930.0
2017,UKL1,2016,920.0
2018,UKL1,2016,1010.0
2014,UKL2,2013,825.0
2015,UKL2,2013,900.0
2016,UKL2,2016,910.0
2017,UKL2,2016,950.0
2018,UKL2,2016,955.0
2014,UKM2,2013,2625.0
2015,UKM2,2013,2815.0
2014,UKM3,2013,1920.0
2015,UKM3,2013,1990.0
2014,UKM5,2013,445.0
2015,UKM5,2013,470.0
2016,UKM5,2016,480.0
2017,UKM5,2016,500.0
2018,UKM5,2016,460.0
2014,UKM6,2013,10.0
2015,UKM6,2013,20.0
2016,UKM6,2016,30.0
2017,UKM6,2016,60.0
2018,UKM6,2016,55.0
2016,UKM7,2016,2770.0
2017,UKM7,2016,2855.0
2018,UKM7,2016,2920.0
2016,UKM8,2016,2120.0
2017,UKM8,2016,2145.0
2018,UKM8,2016,2195.0
2014,UKN0,2013,830.0
2015,UKN0,2013,850.0
2016,UKN0,2016,830.0
2017,UKN0,2016,915.0
2018,UKN0,2016,875.0
